"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
436;Berkay Özcan\Berkay-Ozcan;tr TUR;MF;Başakşehir;21;1998;9;192;21;8.9;2.1;2;54;7;12;7;2.78;3;0;+3;+1.41;+0.54;Matches
437;Oğuzhan Özcan\Oguzhan-Ozcan;tr TUR;FW;Kasımpaşa;18;2001;0;;;;;0;;0;;1;;;;;;;Matches
438;Arda Özçimen\Arda-Ozcimen;tr TUR;GK;Göztepe;17;2002;0;;;;;0;;0;;1;;;;;;;Matches
439;Hamza Özdemir\Hamza-Ozdemir;tr TUR;DF;Alanyaspor;18;2001;0;;;;;0;;0;;6;;;;;;;Matches
440;Özer Özdemir\Ozer-Ozdemir;tr TUR;DF;Yeni Mal'spor;21;1998;8;544;68;26.3;6.0;5;90;3;31;15;1.25;9;9;0;0.00;-0.06;Matches
441;Kenan Özer\Kenan-Ozer;tr TUR;FWMF;Gaziantep FK;31;1987;19;503;26;23.3;5.6;4;71;15;15;4;1.11;12;9;+3;+0.54;+0.92;Matches
442;Erdem Özgenç\Erdem-Ozgenc;tr TUR;DF;Gençlerbirliği;34;1984;14;1129;81;52.3;12.5;13;86;1;9;6;1.50;18;16;+2;+0.16;+1.21;Matches
443;Muhammet Özkal\Muhammet-Ozkal;tr TUR;DF;Denizlispor;19;1999;1;31;31;1.4;0.3;0;;1;31;5;0.00;1;0;+1;+2.90;+3.33;Matches
444;Serdar Özkan\Serdar-Ozkan;tr TUR;MF;Antalyaspor;32;1987;12;732;61;33.9;8.1;7;74;5;43;4;0.58;9;13;-4;-0.49;+0.20;Matches
445;Ege Özkayimoglu\Ege-Ozkayimoglu;tr TUR;MF;Göztepe;18;2001;1;4;4;0.2;0.0;0;;1;4;9;1.00;0;0;0;0.00;-0.17;Matches
446;Hakan Özmert\Hakan-Ozmert;tr TUR;MF;Antalyaspor;34;1985;19;1345;71;62.3;14.9;16;80;3;22;2;1.11;18;29;-11;-0.74;-0.29;Matches
447;Yasin Öztekin\Yasin-Oztekin;tr TUR;MF;Sivasspor;32;1987;7;245;35;11.3;2.7;1;79;6;28;0;1.57;7;3;+4;+1.47;+0.76;Matches
448;Yasin Öztekin\Yasin-Oztekin;tr TUR;MF;Göztepe;32;1987;8;157;20;7.6;1.7;1;61;7;14;9;0.38;0;7;-7;-4.01;-4.53;Matches
449;Ferhat Öztorun\Ferhat-Oztorun;tr TUR;DF;Konyaspor;32;1987;8;590;74;27.3;6.6;8;74;0;;11;0.63;2;7;-5;-0.76;-0.30;Matches
450;Alpaslan Öztürk\Alpaslan-Ozturk;be BEL;DF;Göztepe;26;1993;18;1304;72;63.0;14.5;15;85;3;8;0;1.39;20;14;+6;+0.41;+0.65;Matches
451;Bahadır Öztürk\Bahadir-Ozturk;tr TUR;DF;Antalyaspor;23;1995;11;893;81;41.3;9.9;11;81;0;;0;1.09;10;16;-6;-0.60;+0.03;Matches
452;Fatih Öztürk\Fatih-Ozturk;tr TUR;GK;Kasımpaşa;32;1986;20;1800;90;83.3;20.0;20;90;0;;0;0.75;26;44;-18;-0.90;-0.90;Matches
453;Oğuzhan Özyakup\Oguzhan-Ozyakup;tr TUR;MF;Beşiktaş;26;1992;12;448;37;19.9;5.0;4;77;8;17;5;1.92;12;7;+5;+1.00;+0.85;Matches
454;Murat Paluli\Murat-Paluli;tr TUR;DF;Göztepe;24;1994;3;225;75;10.9;2.5;2;90;1;45;16;2.00;3;1;+2;+0.80;+0.70;Matches
455;Paul Papp\Paul-Papp;ro ROU;DF;Sivasspor;29;1989;3;75;25;3.5;0.8;1;65;2;5;21;1.67;0;1;-1;-1.20;-2.06;Matches
456;İlhan Parlak\Ilhan-Parlak;tr TUR;MFFW;Ankaragücü;32;1987;24;1804;75;80.2;20.0;20;87;4;14;0;0.83;18;34;-16;-0.80;+0.61;Matches
457;Abdülkadir Parmak\Abdulkadir-Parmak;tr TUR;MF;Trabzonspor;24;1994;17;1050;62;50.7;11.7;11;80;6;28;2;2.29;32;13;+19;+1.63;+0.75;Matches
458;David Pavelka\David-Pavelka;cz CZE;DF;Kasımpaşa;28;1991;3;206;69;9.5;2.3;2;66;1;74;0;2.00;4;1;+3;+1.31;+2.28;Matches
459;Bartłomiej Pawłowski\Bartlomiej-Pawlowski;pl POL;FW;Gaziantep FK;26;1992;15;419;28;19.4;4.7;2;72;13;21;7;1.27;5;13;-8;-1.72;-1.93;Matches
460;Michał Pazdan\Michal-Pazdan;pl POL;DF;Ankaragücü;31;1987;23;1949;85;86.6;21.7;22;88;1;3;1;0.74;17;43;-26;-1.20;-2.10;Matches
461;Halil Pehlivan\Halil-Pehlivan;tr TUR;DF;Gençlerbirliği;26;1993;13;990;76;45.8;11.0;11;86;2;25;9;1.54;17;20;-3;-0.27;+0.27;Matches
462;Yasin Pehlivan\Yasin-Pehlivan;at AUT;MF;Gençlerbirliği;30;1989;11;753;68;34.9;8.4;9;78;2;24;7;1.00;9;14;-5;-0.60;-0.28;Matches
463;Mustafa Pektemek\Mustafa-Pektemek;tr TUR;MFFW;Kasımpaşa;30;1988;16;981;61;45.4;10.9;11;80;5;21;1;0.94;17;17;0;0.00;+1.37;Matches
464;Mustafa Pektemek\Mustafa-Pektemek;tr TUR;FW;Alanyaspor;30;1988;4;69;17;3.2;0.8;0;;4;17;3;0.25;0;1;-1;-1.30;-2.12;Matches
465;João Pereira\Joao-Pereira;pt POR;DF;Trabzonspor;35;1984;21;1890;90;91.3;21.0;21;90;0;;0;2.00;46;22;+24;+1.14;-1.36;Matches
466;Tiago Pinto\Tiago-Pinto;pt POR;DF;Ankaragücü;31;1988;21;1824;87;81.1;20.3;20;89;1;45;1;0.90;19;36;-17;-0.84;+0.43;Matches
467;Lukas Podolski\Lukas-Podolski;de GER;MF;Antalyaspor;34;1985;4;121;30;5.6;1.3;1;88;3;11;1;2.00;4;2;+2;+1.49;+2.24;Matches
468;Furkan Polat\Furkan-Polat;tr TUR;MF;Kayserispor;21;1998;4;61;15;2.8;0.7;0;;4;15;1;0.75;1;5;-4;-5.90;-4.74;Matches
