"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
56;Baiano\Baiano;br BRA;DF;Alanyaspor;32;1987;8.1;0;0;0;0;0;;;0.00;0.00;;;Matches
57;Fabrício Baiano\Fabricio-Baiano;br BRA;MFDF;Gençlerbirliği;27;1992;16.6;0;0;0;9;3;;33.3;0.54;0.18;0.00;0.00;Matches
58;Riad Bajić\Riad-Bajic;ba BIH;FW;Konyaspor;25;1994;12.0;1;0;0;19;5;;26.3;1.59;0.42;0.05;0.20;Matches
59;Anastasios Bakasetas\Anastasios-Bakasetas;gr GRE;MF;Alanyaspor;26;1993;22.2;6;0;0;56;23;;41.1;2.52;1.04;0.11;0.26;Matches
60;Göktuğ Bakırbaş\Goktug-Bakirbas;tr TUR;GK;Göztepe;23;1996;2.9;0;0;0;0;0;;;0.00;0.00;;;Matches
61;Bünyamin Balcı\Bunyamin-Balci;tr TUR;DF;Antalyaspor;19;2000;6.5;0;0;0;1;0;;0.0;0.15;0.00;0.00;;Matches
62;Yacine Bammou\Yacine-Bammou;ma MAR;FWMF;Alanyaspor;27;1991;5.9;1;0;0;21;7;;33.3;3.58;1.19;0.05;0.14;Matches
63;Modou Barrow\Modou-Barrow;gm GAM;MF;Denizlispor;26;1992;19.1;3;0;0;18;6;;33.3;0.94;0.31;0.17;0.50;Matches
64;Bilal Başaçıkoğlu\Bilal-Basacikoglu;tr TUR;MFFW;Kayserispor;24;1995;5.4;0;0;0;10;8;;80.0;1.86;1.49;0.00;0.00;Matches
65;Bilal Başaçıkoğlu\Bilal-Basacikoglu;tr TUR;FWMF;Trabzonspor;24;1995;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
66;Altay Bayındır\Altay-Bayindir;tr TUR;GK;Fenerbahçe;21;1998;24.0;0;0;0;0;0;;;0.00;0.00;;;Matches
67;Emin Bayram\Emin-Bayram;tr TUR;DF;Galatasaray;16;2003;0.0;0;0;0;0;0;;;;;;;Matches
68;Ömer Bayram\Omer-Bayram;tr TUR;MF;Galatasaray;28;1991;18.2;1;0;0;27;4;;14.8;1.48;0.22;0.04;0.25;Matches
69;Aziz Behich\Aziz-Behich;au AUS;DF;Başakşehir;28;1990;3.6;0;0;0;0;0;;;0.00;0.00;;;Matches
70;Younès Belhanda\Younes-Belhanda;ma MAR;MF;Galatasaray;29;1990;12.4;3;3;3;23;12;;52.2;1.86;0.97;0.00;0.00;Matches
71;Emre Belözoğlu\Emre-Belozoglu;tr TUR;MF;Fenerbahçe;38;1980;12.2;1;1;2;17;5;;29.4;1.39;0.41;0.00;0.00;Matches
72;Syam Ben Youssef\Syam-Ben-Youssef;tn TUN;DF;Kasımpaşa;30;1989;15.0;1;0;0;5;1;;20.0;0.33;0.07;0.20;1.00;Matches
73;Syam Ben Youssef\Syam-Ben-Youssef;tn TUN;DF;Denizlispor;30;1989;2.0;0;0;0;1;1;;100.0;0.50;0.50;0.00;0.00;Matches
74;Zakarya Bergdich\Zakarya-Bergdich;ma MAR;DF;Denizlispor;30;1989;13.5;1;0;0;3;0;;0.0;0.22;0.00;0.33;;Matches
75;Rahmetullah Berişbek\Rahmetullah-Berisbek;tr TUR;MF;Gençlerbirliği;20;1999;2.9;1;0;0;7;2;;28.6;2.45;0.70;0.14;0.50;Matches
76;Beto\Beto;pt POR;GK;Göztepe;37;1982;20.0;0;0;0;0;0;;;0.00;0.00;;;Matches
77;Thievy Bifouma\Thievy-Bifouma;cg CGO;MFFW;Yeni Mal'spor;27;1992;14.1;6;0;0;32;15;;46.9;2.27;1.07;0.19;0.40;Matches
78;Tayfur Bingöl\Tayfur-Bingol;tr TUR;MF;Alanyaspor;26;1993;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
79;André Biyogo Poko\Andre-Biyogo-Poko;ga GAB;MF;Göztepe;26;1993;7.0;0;0;0;4;1;;25.0;0.58;0.14;0.00;0.00;Matches
80;Mattias Bjärsmyr\Mattias-Bjarsmyr;se SWE;DF;Gençlerbirliği;33;1986;7.0;0;0;0;2;0;;0.0;0.29;0.00;0.00;;Matches
81;Gustavo Blanco Leschuk\Gustavo-Blanco-Leschuk;ar ARG;FW;Antalyaspor;27;1991;12.6;3;0;0;34;13;;38.2;2.69;1.03;0.09;0.23;Matches
82;Kevin-Prince Boateng\Kevin-Prince-Boateng;gh GHA;MF;Beşiktaş;32;1987;3.4;2;0;0;12;3;;25.0;3.52;0.88;0.17;0.67;Matches
83;Ruud Boffin\Ruud-Boffin;be BEL;GK;Antalyaspor;31;1987;16.0;0;0;0;0;0;;;0.00;0.00;;;Matches
84;Fernando Boldrin\Fernando-Boldrin;br BRA;MFFW;Rizespor;30;1989;19.7;4;1;2;51;17;;33.3;2.59;0.86;0.06;0.18;Matches
85;Celso Borges\Celso-Borges;cr CRC;MFDF;Göztepe;31;1988;6.5;1;0;0;4;1;;25.0;0.61;0.15;0.25;1.00;Matches
86;Andriy Boryachuk\Andriy-Boryachuk;ua UKR;DFFW;Rizespor;23;1996;0.1;0;0;0;1;1;;100.0;12.86;12.86;0.00;0.00;Matches
87;Tyler Boyd\Tyler-Boyd;us USA;MF;Beşiktaş;24;1994;6.3;0;0;0;9;0;;0.0;1.43;0.00;0.00;;Matches
88;Tomáš Břečka\Tomas-Brecka;cz CZE;DF;Kasımpaşa;25;1994;6.1;1;0;0;8;3;;37.5;1.30;0.49;0.13;0.33;Matches
89;Onur Bulut\Onur-Bulut;tr TUR;DF;Alanyaspor;25;1994;9.6;1;0;0;4;1;;25.0;0.41;0.10;0.25;1.00;Matches
90;Umut Bulut\Umut-Bulut;tr TUR;FW;Yeni Mal'spor;36;1983;4.3;1;0;0;6;3;;50.0;1.38;0.69;0.17;0.33;Matches
91;Umut Bulut\Umut-Bulut;tr TUR;MFFW;Kayserispor;36;1983;10.1;3;0;0;22;10;;45.5;2.19;0.99;0.14;0.30;Matches
92;Adem Büyük\Adem-Buyuk;tr TUR;FWMF;Galatasaray;31;1987;9.4;6;2;2;28;13;;46.4;2.99;1.39;0.14;0.31;Matches
93;Musa Çağıran\Musa-Cagiran;tr TUR;MF;Alanyaspor;26;1992;3.7;0;0;0;6;2;;33.3;1.64;0.55;0.00;0.00;Matches
94;Rahman Çağıran\Rahman-Cagiran;tr TUR;MF;Yeni Mal'spor;24;1995;1.4;0;0;0;2;2;;100.0;1.46;1.46;0.00;0.00;Matches
95;Oğulcan Çağlayan\Ogulcan-Caglayan;tr TUR;FWMF;Rizespor;23;1996;12.7;3;0;0;34;11;;32.4;2.68;0.87;0.09;0.27;Matches
96;Júnior Caiçara\Junior-Caicara;br BRA;DF;Başakşehir;30;1989;23.0;0;0;0;9;1;;11.1;0.39;0.04;0.00;0.00;Matches
97;Uğurcan Çakır\Ugurcan-Cakir;tr TUR;GK;Trabzonspor;23;1996;21.6;0;0;0;0;0;;;0.00;0.00;;;Matches
98;Burak Çalık\Burak-Calik;tr TUR;MF;Denizlispor;30;1989;1.0;0;0;0;5;1;;20.0;5.11;1.02;0.00;0.00;Matches
99;Samba Camara\Samba-Camara;fr FRA;DF;Sivasspor;26;1992;1.5;0;0;0;1;0;;0.0;0.69;0.00;0.00;;Matches
100;Tarık Çamdal\Tarik-Camdal;tr TUR;DFMF;Antalyaspor;28;1991;3.1;0;0;0;3;1;;33.3;0.98;0.33;0.00;0.00;Matches
101;Ali Çamdalı\Ali-Camdali;tr TUR;MF;Konyaspor;35;1984;0.6;0;0;0;0;0;;;0.00;0.00;;;Matches
102;Gustavo Campanharo\Gustavo-Campanharo;br BRA;MF;Kayserispor;27;1992;6.3;0;0;0;3;1;;33.3;0.48;0.16;0.00;0.00;Matches
103;Gastón Campi\Gaston-Campi;ar ARG;DF;Trabzonspor;28;1991;14.0;0;0;0;11;4;;36.4;0.79;0.29;0.00;0.00;Matches
104;Djalma Campos\Djalma-Campos;ao ANG;MF;Alanyaspor;32;1987;10.7;4;0;0;26;13;;50.0;2.42;1.21;0.15;0.31;Matches
105;Mücahit Can Akçay\Mucahit-Can-Akcay;tr TUR;FW;Konyaspor;21;1998;1.2;0;0;0;2;1;;50.0;1.71;0.86;0.00;0.00;Matches
106;Ahmet Can Arık\Ahmet-Can-Arik;tr TUR;DF;Ankaragücü;21;1997;0.0;0;0;0;0;0;;;;;;;Matches
107;Osman Can Çötür\Osman-Can-Cotur;tr TUR;DF;Kayserispor;17;2001;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
108;Ahmet Canbaz\Ahmet-Canbaz;tr TUR;MF;Trabzonspor;21;1998;0.7;0;0;0;3;1;;33.3;4.03;1.34;0.00;0.00;Matches
109;Daniel Candeias\Daniel-Candeias;pt POR;MF;Gençlerbirliği;31;1988;21.7;3;0;0;44;12;;27.3;2.03;0.55;0.07;0.25;Matches
110;Héctor Canteros\Hector-Canteros;ar ARG;MF;Ankaragücü;30;1989;11.7;1;0;0;20;6;;30.0;1.71;0.51;0.05;0.17;Matches
111;Oğuzhan Çapar\Oguzhan-Capar;tr TUR;DF;Kayserispor;22;1996;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
112;José Carlos Marafona\Jose-Carlos-Marafona;pt POR;GK;Alanyaspor;32;1987;24.0;0;0;0;0;0;;;0.00;0.00;;;Matches
113;André Castro\Andre-Castro;pt POR;MF;Göztepe;31;1988;17.0;3;0;0;20;5;;25.0;1.17;0.29;0.15;0.60;Matches
114;Steven Caulker\Steven-Caulker;eng ENG;DF;Alanyaspor;27;1991;19.1;0;0;0;16;6;;37.5;0.84;0.31;0.00;0.00;Matches
115;Özgür Çek\Ozgur-Cek;tr TUR;DF;Kasımpaşa;28;1991;3.2;0;0;0;3;2;;66.7;0.94;0.62;0.00;0.00;Matches
116;Özgür Çek\Ozgur-Cek;tr TUR;DF;Denizlispor;28;1991;4.4;0;0;0;3;1;;33.3;0.69;0.23;0.00;0.00;Matches
117;Alpay Çelebi\Alpay-Celebi;tr TUR;DF;Kayserispor;20;1999;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
118;Muğdat Çelik\Mugdat-Celik;tr TUR;FW;Gaziantep FK;29;1990;0.3;0;0;0;0;0;;;0.00;0.00;;;Matches
119;Korcan Çelikay\Korcan-Celikay;tr TUR;GK;Ankaragücü;31;1987;20.0;0;0;0;0;0;;;0.00;0.00;;;Matches
120;Ondřej Čelůstka\Ondrej-Celustka;cz CZE;DF;Antalyaspor;30;1989;20.8;1;0;0;17;6;;35.3;0.82;0.29;0.06;0.17;Matches
121;Tarık Çetin\Tarik-Cetin;tr TUR;GK;Rizespor;22;1997;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
122;Oğuz Ceylan\Oguz-Ceylan;tr TUR;DFMF;Gaziantep FK;28;1990;21.0;1;0;0;17;6;;35.3;0.81;0.29;0.06;0.17;Matches
123;Ghaylène Chaalali\Ghaylene-Chaalali;tn TUN;MF;Yeni Mal'spor;25;1994;6.1;0;0;0;6;2;;33.3;0.99;0.33;0.00;0.00;Matches
124;Aatif Chahechouhe\Aatif-Chahechouhe;ma MAR;MFFW;Antalyaspor;33;1986;11.8;1;0;1;35;11;;31.4;2.95;0.93;0.03;0.09;Matches
125;Dimitris Chatziisaias\Dimitris-Chatziisaias;gr GRE;DF;Rizespor;26;1992;7.6;0;0;0;3;2;;66.7;0.40;0.26;0.00;0.00;Matches
126;Issam Chebake\Issam-Chebake;ma MAR;DF;Yeni Mal'spor;29;1989;16.5;1;0;0;23;8;;34.8;1.40;0.49;0.04;0.13;Matches
127;Aurélien Chedjou\Aurelien-Chedjou;cm CMR;DF;Başakşehir;34;1985;2.0;0;0;0;0;0;;;0.00;0.00;;;Matches
128;Raman Chibsah\Raman-Chibsah;gh GHA;MF;Gaziantep FK;26;1993;12.4;1;0;0;7;1;;14.3;0.57;0.08;0.14;1.00;Matches
129;Chico\Chico;br BRA;MFDF;Antalyaspor;32;1987;10.2;1;0;0;7;3;;42.9;0.68;0.29;0.14;0.33;Matches
130;Nadir Çiftçi\Nadir-Ciftci;nl NED;MFFW;Gençlerbirliği;27;1992;5.2;0;0;0;19;4;;21.1;3.69;0.78;0.00;0.00;Matches
131;Uğur Çiftçi\Ugur-Ciftci;tr TUR;DF;Sivasspor;27;1992;17.0;1;0;0;9;1;;11.1;0.53;0.06;0.11;1.00;Matches
132;Sadık Çiftpınar\Sadik-Ciftpinar;tr TUR;DF;Fenerbahçe;26;1993;1.5;0;0;0;0;0;;;0.00;0.00;;;Matches
133;Tolga Ciğerci\Tolga-Cigerci;tr TUR;MF;Fenerbahçe;27;1992;14.8;2;0;0;33;13;;39.4;2.23;0.88;0.06;0.15;Matches
134;Orkan Çınar\Orkan-Cinar;tr TUR;MF;Ankaragücü;23;1996;0.3;0;0;0;0;0;;;0.00;0.00;;;Matches
135;Orkan Çınar\Orkan-Cinar;tr TUR;MF;Beşiktaş;23;1996;0.5;0;0;0;3;0;;0.0;6.14;0.00;0.00;;Matches
136;Şamil Çinaz\Samil-Cinaz;tr TUR;MF;Kayserispor;33;1986;4.1;0;0;0;0;0;;;0.00;0.00;;;Matches
137;İsmail Çipe\Ismail-Cipe;tr TUR;GK;Kayserispor;24;1995;5.0;0;0;0;0;0;;;0.00;0.00;;;Matches
138;Papiss Cissé\Papiss-Cisse;sn SEN;FW;Alanyaspor;34;1985;20.5;16;2;3;95;41;;43.2;4.62;2.00;0.15;0.34;Matches
139;Emirhan Civelek\Emirhan-Civelek;tr TUR;DF;Kayserispor;19;2000;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
140;Gaël Clichy\Gael-Clichy;fr FRA;DF;Başakşehir;34;1985;21.0;2;0;0;11;2;;18.2;0.52;0.10;0.18;1.00;Matches
141;Isaac Cofie\Isaac-Cofie;gh GHA;MF;Sivasspor;27;1991;4.7;0;0;0;1;0;;0.0;0.21;0.00;0.00;;Matches
142;Kamil Çörekçi\Kamil-Corekci;tr TUR;MFDF;Trabzonspor;27;1992;10.0;0;0;0;5;0;;0.0;0.50;0.00;0.00;;Matches
143;Manuel da Costa\Manuel-da-Costa;ma MAR;DF;Trabzonspor;33;1986;3.0;1;0;0;3;2;;66.7;1.00;0.67;0.33;0.50;Matches
144;Enzo Crivelli\Enzo-Crivelli;fr FRA;FW;Başakşehir;24;1995;19.9;9;0;0;37;17;;45.9;1.86;0.86;0.24;0.53;Matches
145;Erdon Daci\Erdon-Daci;mk MKD;MFFW;Konyaspor;21;1998;6.9;1;0;0;9;2;;22.2;1.31;0.29;0.11;0.50;Matches
146;Nill De Pauw\Nill-De-Pauw;be BEL;MFFW;Rizespor;29;1990;4.7;0;0;0;8;3;;37.5;1.69;0.64;0.00;0.00;Matches
147;Emre Demir\Emre-Demir;tr TUR;MFFW;Kayserispor;15;2004;5.6;1;0;0;4;1;;25.0;0.72;0.18;0.25;1.00;Matches
148;Muhammet Demir\Muhammet-Demir;tr TUR;FW;Gaziantep FK;27;1992;7.8;2;0;2;21;3;;14.3;2.68;0.38;0.10;0.67;Matches
149;Uğur Demirok\Ugur-Demirok;tr TUR;DF;Konyaspor;31;1988;3.0;0;0;0;0;0;;;0.00;0.00;;;Matches
150;İlhan Depe\Ilhan-Depe;tr TUR;MF;Kasımpaşa;26;1992;9.1;0;0;0;16;6;;37.5;1.76;0.66;0.00;0.00;Matches
151;Eren Derdiyok\Eren-Derdiyok;ch SUI;FW;Göztepe;31;1988;3.0;0;0;0;6;0;;0.0;2.03;0.00;0.00;;Matches
152;Abdoulay Diaby\Abdoulay-Diaby;ml MLI;MF;Beşiktaş;28;1991;14.9;2;0;0;37;15;;40.5;2.48;1.01;0.05;0.13;Matches
153;Fallou Diagne\Fallou-Diagne;sn SEN;DF;Konyaspor;29;1989;3.0;0;0;0;0;0;;;0.00;0.00;;;Matches
154;Mbaye Diagne\Mbaye-Diagne;sn SEN;FW;Galatasaray;27;1991;2.3;0;0;0;3;2;;66.7;1.33;0.89;0.00;0.00;Matches
155;Abdoulaye Diallo\Abdoulaye-Diallo;sn SEN;GK;Gençlerbirliği;27;1992;4.0;0;0;0;0;0;;;0.00;0.00;;;Matches
156;Sadio Diallo\Sadio-Diallo;gn GUI;MF;Gençlerbirliği;28;1990;1.8;0;0;0;3;0;;0.0;1.71;0.00;0.00;;Matches
157;Souleymane Diarra\Souleymane-Diarra;ml MLI;MF;Gaziantep FK;24;1995;12.6;2;0;0;16;5;;31.3;1.27;0.40;0.13;0.40;Matches
158;Soner Dikmen\Soner-Dikmen;tr TUR;MF;Gençlerbirliği;25;1993;0.7;0;0;0;2;0;;0.0;3.05;0.00;0.00;;Matches
159;Ismaël Diomandé\Ismael-Diomande;ci CIV;MF;Rizespor;26;1992;13.4;0;0;0;13;3;;23.1;0.97;0.22;0.00;0.00;Matches
160;Nabil Dirar\Nabil-Dirar;ma MAR;DF;Fenerbahçe;33;1986;18.7;2;0;0;10;4;;40.0;0.53;0.21;0.20;0.50;Matches
161;Brice Dja Djédjé\Brice-Dja-Djedje;ci CIV;MF;Kayserispor;28;1990;19.0;0;0;0;14;6;;42.9;0.74;0.32;0.00;0.00;Matches
162;Armin Djerlek\Armin-Djerlek;rs SRB;FW;Sivasspor;19;2000;0.6;0;0;0;2;1;;50.0;3.53;1.76;0.00;0.00;Matches
163;Papy Djilobodji\Papy-Djilobodji;sn SEN;DFMF;Gaziantep FK;30;1988;22.5;4;0;0;26;11;;42.3;1.16;0.49;0.15;0.36;Matches
164;Mitchell Donald\Mitchell-Donald;nl NED;MF;Yeni Mal'spor;30;1988;15.3;3;0;0;27;6;;22.2;1.77;0.39;0.11;0.50;Matches
165;Ryan Donk\Ryan-Donk;nl NED;DF;Galatasaray;33;1986;15.7;3;0;0;9;4;;44.4;0.57;0.26;0.33;0.75;Matches
166;Douglas\Douglas;br BRA;DF;Beşiktaş;28;1990;3.1;0;0;0;0;0;;;0.00;0.00;;;Matches
167;Abdullah Durak\Abdullah-Durak;tr TUR;MFDF;Rizespor;32;1987;12.5;0;0;0;2;0;;0.0;0.16;0.00;0.00;;Matches
168;Jimmy Durmaz\Jimmy-Durmaz;se SWE;MF;Galatasaray;30;1989;2.0;0;0;0;2;0;;0.0;0.98;0.00;0.00;;Matches
169;Abdurrahim Dursun\Abdurrahim-Dursun;tr TUR;DF;Trabzonspor;20;1998;0.4;0;0;0;0;0;;;0.00;0.00;;;Matches
170;Salih Dursun\Salih-Dursun;tr TUR;DF;Antalyaspor;28;1991;0.8;0;0;0;0;0;;;0.00;0.00;;;Matches
