id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
45;Enis Bardhi\Enis-Bardhi;mk MKD;MF;Levante;24;1995;15.1;4;0;0;31;29;4;45;15;9;1;0;0;21;35;60.0;22;0;21;37;56.8;16;Matches
46;Antonio Barragán\Antonio-Barragan;es ESP;DF;Betis;32;1987;4.6;1;0;0;6;9;0;18;0;6;0;1;0;3;4;75.0;3;1;1;5;20.0;4;Matches
47;Ander Barrenetxea\Ander-Barrenetxea;es ESP;MFFW;Real Sociedad;17;2001;1.7;0;0;0;7;2;1;7;2;1;0;1;0;8;17;47.1;9;1;4;8;50.0;4;Matches
48;Marc Bartra\Marc-Bartra;es ESP;DFMF;Betis;28;1991;20.9;5;0;0;26;25;0;1;31;25;0;1;0;10;15;66.7;13;2;51;64;79.7;13;Matches
49;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;FWDF;Granada;22;1996;0.9;0;0;0;2;1;0;2;0;0;0;0;0;3;3;100.0;3;1;2;3;66.7;1;Matches
50;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;20;1999;14.1;2;1;0;11;8;0;10;14;13;0;1;0;12;18;66.7;13;1;23;37;62.2;14;Matches
51;Hatem Ben Arfa\Hatem-Ben-Arfa;fr FRA;MF;Valladolid;32;1987;0.1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;50.0;1;0;0;1;0.0;1;Matches
52;Karim Benzema\Karim-Benzema;fr FRA;FW;Real Madrid;31;1987;23.7;0;0;0;14;11;15;17;9;6;0;0;0;24;41;58.5;25;1;12;22;54.5;10;Matches
53;Yuri Berchiche\Yuri-Berchiche;es ESP;DF;Athletic Bilbao;29;1990;23.0;4;0;0;25;43;2;77;22;23;0;1;0;35;51;68.6;36;0;37;47;78.7;10;Matches
54;Markel Bergara\Markel-Bergara;es ESP;MF;Getafe;33;1986;0.8;2;0;0;3;0;0;2;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
55;Sergio Bermejo\Sergio-Bermejo;es ESP;FW;Celta Vigo;21;1997;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;100.0;1;0;0;0;;0;Matches
56;Pedro Bigas\Pedro-Bigas;es ESP;DF;Eibar;28;1990;9.6;1;0;0;5;11;0;6;10;15;0;0;0;0;1;0.0;1;0;12;20;60.0;8;Matches
57;Rubén Blanco\Ruben-Blanco;es ESP;GK;Celta Vigo;24;1995;24.0;3;0;0;1;4;0;0;0;0;0;1;0;0;0;;0;0;0;1;0.0;1;Matches
58;Pablo de Blasis\Pablo-de-Blasis;ar ARG;DFMF;Eibar;31;1988;11.1;0;0;0;10;8;0;54;20;17;0;1;0;8;17;47.1;10;0;30;58;51.7;28;Matches
59;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;28;1991;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
60;Filip Bradarić\Filip-Bradaric;hr CRO;MF;Celta Vigo;27;1992;1.4;0;1;0;3;0;0;2;1;2;0;0;0;1;1;100.0;1;0;1;2;50.0;1;Matches
61;Martin Braithwaite\Martin-Braithwaite;dk DEN;FW;Barcelona;28;1991;0.4;0;0;0;0;1;0;2;0;0;0;0;0;2;2;100.0;2;0;0;0;;0;Matches
62;Martin Braithwaite\Martin-Braithwaite;dk DEN;FWMF;Leganés;28;1991;21.5;3;0;0;30;31;9;9;9;4;0;0;0;32;52;61.5;35;3;15;24;62.5;9;Matches
63;Brandon\Brandon;es ESP;FW;Osasuna;24;1995;4.5;4;0;0;6;6;0;4;2;1;0;0;0;3;8;37.5;3;0;4;9;44.4;5;Matches
64;Darko Brašanac\Darko-Brasanac;rs SRB;MF;Osasuna;27;1992;17.7;7;0;0;42;17;1;12;21;14;1;0;0;9;15;60.0;9;0;32;51;62.7;19;Matches
65;Yan Brice Eteki\Yan-Brice-Eteki;cm CMR;MF;Granada;21;1997;9.1;3;0;0;34;13;0;0;12;7;0;0;0;9;14;64.3;10;0;20;28;71.4;8;Matches
66;Bryan\Bryan;es ESP;MFFW;Leganés;18;2001;1.0;2;0;0;6;4;1;3;1;0;0;0;0;2;5;40.0;2;0;2;2;100.0;0;Matches
67;Bryan\Bryan;es ESP;FW;Sevilla;18;2001;0.7;2;0;0;1;0;0;2;1;0;0;0;0;3;5;60.0;3;0;1;3;33.3;2;Matches
68;Ante Budimir\Ante-Budimir;hr CRO;FW;Mallorca;28;1991;22.1;6;0;0;51;47;14;2;17;4;1;0;0;12;25;48.0;13;2;23;33;69.7;10;Matches
69;Esteban Burgos\Esteban-Burgos;ar ARG;DF;Eibar;27;1992;5.8;2;0;0;5;3;0;0;5;9;0;0;0;4;4;100.0;4;0;8;9;88.9;1;Matches
70;Burgui\Burgui;es ESP;MF;Alavés;25;1993;0.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
71;Oliver Burke\Oliver-Burke;sco SCO;MFFW;Alavés;22;1997;8.8;1;0;0;11;8;0;9;4;8;0;0;0;17;29;58.6;20;0;12;21;57.1;9;Matches
72;Sergio Busquets\Sergio-Busquets;es ESP;MF;Barcelona;31;1988;19.0;6;0;0;29;37;0;1;49;31;0;1;0;16;18;88.9;17;1;58;78;74.4;20;Matches
73;Unai Bustinza\Unai-Bustinza;es ESP;DF;Leganés;27;1992;21.2;3;0;0;41;36;3;37;32;49;0;1;0;6;15;40.0;8;0;53;70;75.7;17;Matches
74;Erick Cabaco\Erick-Cabaco;uy URU;DF;Levante;24;1995;9.0;4;0;0;7;7;0;1;10;13;0;0;0;4;5;80.0;4;0;14;17;82.4;3;Matches
75;Ariday Cabrera\Ariday-Cabrera;es ESP;MFFW;Mallorca;30;1988;0.4;0;0;0;2;0;0;0;1;0;0;0;0;0;2;0.0;0;0;1;1;100.0;0;Matches
76;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Getafe;28;1991;17.0;3;0;0;16;9;1;7;2;21;0;0;0;5;6;83.3;5;0;8;14;57.1;6;Matches
77;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Espanyol;28;1991;6.0;1;0;0;6;4;0;1;6;4;0;0;0;0;0;;0;0;15;21;71.4;6;Matches
78;Fernando Calero\Fernando-Calero;es ESP;DF;Espanyol;23;1995;10.8;4;1;0;7;5;0;0;6;7;0;0;0;1;1;100.0;1;0;12;19;63.2;7;Matches
79;Jonathan Calleri\Jonathan-Calleri;ar ARG;FW;Espanyol;25;1993;14.6;1;0;0;31;31;7;17;7;6;0;0;0;11;21;52.4;15;1;12;22;54.5;10;Matches
80;Víctor Camarasa\Victor-Camarasa;es ESP;MF;Alavés;25;1994;6.7;1;0;0;7;4;2;7;6;8;0;0;0;5;11;45.5;5;1;7;13;53.8;6;Matches
81;Sergio Camello\Sergio-Camello;es ESP;FW;Atlético Madrid;18;2001;0.3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
82;José Campaña\Jose-Campana;es ESP;MF;Levante;26;1993;24.6;3;1;1;20;41;1;124;17;26;0;1;0;31;52;59.6;38;4;23;58;39.7;35;Matches
83;Xisco Campos\Xisco-Campos;es ESP;DF;Mallorca;37;1982;3.8;1;0;0;6;3;1;0;4;9;0;0;0;0;0;;0;0;6;10;60.0;4;Matches
84;Víctor Campuzano\Victor-Campuzano;es ESP;FW;Espanyol;22;1997;7.7;2;0;0;22;11;11;7;12;1;0;0;0;7;9;77.8;7;0;13;23;56.5;10;Matches
85;Sergio Canales\Sergio-Canales;es ESP;MF;Betis;28;1991;24.5;4;0;0;19;32;1;94;18;8;0;1;0;29;46;63.0;33;1;22;42;52.4;20;Matches
86;Ander Capa\Ander-Capa;es ESP;DF;Athletic Bilbao;27;1992;23.8;10;0;0;40;13;4;79;22;24;0;0;0;34;54;63.0;38;4;42;69;60.9;27;Matches
87;Marc Cardona\Marc-Cardona;es ESP;FW;Osasuna;24;1995;5.7;1;0;0;6;7;5;3;1;1;0;0;0;2;6;33.3;2;0;1;7;14.3;6;Matches
88;Diego Carlos\Diego-Carlos;br BRA;DF;Sevilla;26;1993;23.8;6;0;0;32;7;2;4;28;23;0;0;0;7;8;87.5;7;0;38;48;79.2;10;Matches
89;Yannick Carrasco\Yannick-Carrasco;be BEL;MFFW;Atlético Madrid;25;1993;1.3;0;0;0;2;2;1;6;0;0;0;0;0;7;11;63.6;7;0;0;1;0.0;1;Matches
90;Daniel Carriço\Daniel-Carrico;pt POR;DF;Sevilla;30;1988;9.4;3;0;0;8;2;0;0;9;8;0;0;0;3;3;100.0;3;0;11;16;68.8;5;Matches
91;Guido Carrillo\Guido-Carrillo;ar ARG;FW;Leganés;28;1991;10.1;1;0;0;22;20;1;2;9;1;0;0;0;2;4;50.0;2;0;14;23;60.9;9;Matches
92;Dani Carvajal\Dani-Carvajal;es ESP;DF;Real Madrid;27;1992;22.0;8;0;0;35;20;3;87;38;30;0;0;0;18;37;48.6;19;1;54;75;72.0;21;Matches
93;William Carvalho\William-Carvalho;pt POR;MF;Betis;27;1992;7.9;4;1;0;11;5;0;1;3;3;0;0;0;11;12;91.7;11;1;4;12;33.3;8;Matches
94;Casemiro\Casemiro;br BRA;MF;Real Madrid;27;1992;23.7;9;0;0;61;39;3;15;66;53;0;0;0;13;19;68.4;13;1;96;152;63.2;56;Matches
95;Santi Cazorla\Santi-Cazorla;es ESP;MF;Villarreal;34;1984;19.3;3;0;0;19;27;2;101;20;10;0;0;0;36;49;73.5;37;3;33;64;51.6;31;Matches
96;Charles\Charles;br BRA;FW;Eibar;35;1984;9.1;5;0;0;28;13;5;2;2;3;0;0;0;2;2;100.0;2;0;7;13;53.8;6;Matches
