"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
13;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;32;1986;4;2;180;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
14;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;27;1992;10;8;638;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.2;0.03;0.02;0.05;0.03;0.05;Matches
15;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Bilbao;24;1995;24;24;2160;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1.1;1.1;0.5;0.04;0.02;0.07;0.04;0.07;Matches
16;Amath\Amath;sn SEN;MF;Getafe;23;1996;3;0;45;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
17;Miguel Ángel Guerrero\Miguel-Angel-Guerrero;es ESP;FW;Leganés;29;1990;2;2;134;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.07;0.05;0.12;0.07;0.12;Matches
18;Miguel Ángel Moyá\Miguel-Angel-Moya;es ESP;GK;Real Sociedad;35;1984;7;7;630;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
19;José Ángel\Jose-Angel;es ESP;DF;Eibar;29;1989;19;19;1656;1;1;0;0;2;0;0.05;0.05;0.11;0.05;0.11;0.4;0.4;2.2;0.02;0.12;0.14;0.02;0.14;Matches
20;Antoñito\Antonito;es ESP;DFMF;Valladolid;31;1987;9;6;519;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.8;0.02;0.13;0.15;0.02;0.15;Matches
21;Vitorino Antunes\Vitorino-Antunes;pt POR;MF;Getafe;32;1987;1;0;5;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
22;Anuar\Anuar;ma MAR;MFFW;Valladolid;24;1995;11;1;181;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.02;0.00;0.02;0.02;0.02;Matches
