"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
492;Germán Valera\German-Valera;es ESP;FW;Atlético Madrid;17;2002;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
493;Martin Valjent\Martin-Valjent;sk SVK;DF;Mallorca;23;1995;26.0;0;0;0;12;3;0;25.0;0.46;0.12;0.00;0.00;0.4;0.4;0.03;-0.4;-0.4;Matches
494;Jesús Vallejo\Jesus-Vallejo;es ESP;DF;Granada;22;1997;1.0;0;0;0;1;0;0;0.0;0.96;0.00;0.00;;0.1;0.1;0.07;-0.1;-0.1;Matches
495;Manu Vallejo\Manu-Vallejo;es ESP;MFFW;Valencia;22;1997;3.5;1;0;0;6;2;0;33.3;1.71;0.57;0.17;0.50;1.3;1.3;0.21;-0.3;-0.3;Matches
496;Federico Valverde\Federico-Valverde;uy URU;MF;Real Madrid;21;1998;13.9;2;0;0;21;9;0;42.9;1.51;0.65;0.10;0.22;1.8;1.8;0.09;+0.2;+0.2;Matches
497;Raphaël Varane\Raphael-Varane;fr FRA;DF;Real Madrid;26;1993;22.0;3;0;0;8;3;0;37.5;0.36;0.14;0.38;1.00;0.7;0.7;0.09;+2.3;+2.3;Matches
498;Matías Vargas\Matias-Vargas;ar ARG;FWMF;Espanyol;21;1997;10.5;0;0;0;18;2;1;11.1;1.72;0.19;0.00;0.00;0.9;0.9;0.05;-0.9;-0.9;Matches
499;Franco Vázquez\Franco-Vazquez;ar ARG;MFFW;Sevilla;30;1989;9.8;3;0;0;14;5;0;35.7;1.42;0.51;0.21;0.60;1.2;1.2;0.09;+1.8;+1.8;Matches
500;Kevin Vázquez\Kevin-Vazquez;es ESP;DF;Celta Vigo;26;1993;8.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
501;Lucas Vázquez\Lucas-Vazquez;es ESP;FWMF;Real Madrid;28;1991;6.1;2;0;0;9;3;0;33.3;1.48;0.49;0.22;0.67;1.1;1.1;0.12;+0.9;+0.9;Matches
