"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
252;Leonardo Koutris\Leonardo-Koutris;gr GRE;DF;Mallorca;24;1995;1.0;0;0.2;-0.2;1;41;56;73.2;1;5;20.0;37;44;84.1;3;7;42.9;34;2;0;0;0;17;1;2;1;Matches
253;İsmail Köybaşı\Ismail-Koybasi;tr TUR;DFFW;Granada;30;1989;2.5;0;0.2;-0.2;1;53;79;67.1;2;7;28.6;38;48;79.2;13;24;54.2;55;5;1;0;0;15;7;2;2;Matches
254;Toni Kroos\Toni-Kroos;de GER;MF;Real Madrid;29;1990;20.1;5;3.7;+1.3;49;1500;1688;88.9;26;36;72.2;1075;1125;95.6;399;527;75.7;259;1396;82;4;106;3;180;27;5;Matches
255;Takefusa Kubo\Takefusa-Kubo;jp JPN;MFFW;Mallorca;18;2001;15.0;2;1.9;+0.1;19;264;409;64.5;9;35;25.7;232;311;74.6;23;63;36.5;304;75;6;1;15;3;22;13;4;Matches
256;Víctor Laguardia\Victor-Laguardia;es ESP;DF;Alavés;29;1989;20.5;2;0.6;+1.4;6;564;746;75.6;6;11;54.5;299;348;85.9;259;387;66.9;55;586;40;0;0;0;52;4;0;Matches
257;Diego Lainez\Diego-Lainez;mx MEX;MF;Betis;19;2000;2.3;0;0.0;0.0;1;54;70;77.1;3;7;42.9;45;54;83.3;6;9;66.7;46;16;2;1;0;2;0;1;0;Matches
258;Larra\Larra;es ESP;FWMF;Athletic Bilbao;21;1997;2.0;0;0.1;-0.1;1;31;57;54.4;2;3;66.7;24;35;68.6;5;19;26.3;6;44;0;0;4;1;1;1;1;Matches
259;Toni Lato\Toni-Lato;es ESP;MF;Osasuna;21;1997;0.9;0;0.0;0.0;0;12;20;60.0;1;2;50.0;10;14;71.4;1;4;25.0;16;2;0;0;0;1;1;0;0;Matches
260;Robin Le Normand\Robin-Le-Normand;fr FRA;DF;Real Sociedad;22;1996;15.2;0;0.0;0.0;0;874;972;89.9;6;19;31.6;606;647;93.7;262;306;85.6;82;803;32;0;0;1;43;1;0;Matches
261;Wu Lei\Wu-Lei;cn CHN;FWMF;Espanyol;27;1991;12.3;0;1.0;-1.0;7;136;209;65.1;2;15;13.3;121;166;72.9;13;28;46.4;28;151;3;0;0;1;8;1;0;Matches
262;Iñigo Lekue\Inigo-Lekue;es ESP;DFFW;Athletic Bilbao;26;1993;3.6;1;0.2;+0.8;3;106;157;67.5;2;3;66.7;92;114;80.7;12;40;30.0;25;94;0;0;5;26;5;0;0;Matches
263;Thomas Lemar\Thomas-Lemar;fr FRA;MF;Atlético Madrid;23;1995;9.0;0;0.4;-0.4;5;271;339;79.9;8;17;47.1;203;233;87.1;60;89;67.4;262;53;8;1;13;4;24;7;2;Matches
264;Clément Lenglet\Clement-Lenglet;fr FRA;DF;Barcelona;24;1995;17.8;1;0.6;+0.4;5;1210;1310;92.4;12;20;60.0;802;839;95.6;396;451;87.8;1096;158;35;2;0;2;102;1;0;Matches
265;Pedro León\Pedro-Leon;es ESP;MFFW;Eibar;32;1986;15.6;0;2.5;-2.5;29;313;525;59.6;8;29;27.6;251;328;76.5;54;168;32.1;59;389;22;0;46;9;17;13;7;Matches
