"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
41;Marc Andre Schmerböck\Marc-Andre-Schmerbock;at AUT;FWMF;at Wolfsberger AC;25;1994;4;0;7;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.36;0.00;0.36;0.36;0.36;Matches
42;Marcos Antônio\Marcos-Antonio;br BRA;MF;ua Shakhtar;19;2000;2;1;100;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.2;0.17;0.20;0.37;0.17;0.37;Matches
43;Marcus Antonsson\Marcus-Antonsson;se SWE;MFFW;se Malmö;28;1991;4;3;275;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.0;0.14;0.01;0.15;0.14;0.15;Matches
44;Mirko Antonucci\Mirko-Antonucci;it ITA;MF;it Roma;20;1999;2;0;26;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.12;0.00;0.12;0.12;0.12;Matches
45;Youssef El-Arabi\Youssef-El-Arabi;ma MAR;FW;gr Olympiacos;32;1987;2;2;210;1;0;0;0;1;0;0.43;0.00;0.43;0.43;0.43;0.5;0.5;0.2;0.22;0.08;0.30;0.22;0.30;Matches
46;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;es Getafe;23;1995;5;4;352;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.04;0.01;0.05;0.04;0.05;Matches
47;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;de Leverkusen;30;1989;1;1;72;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
48;Marco Aratore\Marco-Aratore;ch SUI;MFFW;ch Lugano;28;1991;6;4;385;1;0;0;0;0;0;0.23;0.00;0.23;0.23;0.23;0.4;0.4;0.4;0.10;0.09;0.19;0.10;0.19;Matches
49;Scott Arfield\Scott-Arfield;ca CAN;MFFW;sco Rangers;30;1988;8;5;495;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.5;0.13;0.09;0.23;0.13;0.23;Matches
50;Ari\Ari;ru RUS;FWMF;ru Krasnodar;33;1985;4;2;219;2;1;1;1;3;1;0.82;0.41;1.23;0.41;0.82;1.7;0.9;1.3;0.69;0.54;1.23;0.38;0.92;Matches
51;Joe Aribo\Joe-Aribo;ng NGA;FWMF;sco Rangers;23;1996;6;1;173;1;0;0;0;1;0;0.52;0.00;0.52;0.52;0.52;0.5;0.5;0.4;0.27;0.19;0.46;0.27;0.46;Matches
52;Giedrius Arlauskis\Giedrius-Arlauskis;lt LTU;GK;ro CFR Cluj;31;1987;8;8;720;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
53;Maximilian Arnold\Maximilian-Arnold;de GER;MF;de Wolfsburg;25;1994;7;7;610;1;3;0;0;2;0;0.15;0.44;0.59;0.15;0.59;0.3;0.3;1.1;0.04;0.16;0.20;0.04;0.20;Matches
54;Arthur\Arthur;br BRA;FW;ch Basel;21;1998;8;4;405;2;2;0;0;0;0;0.44;0.44;0.89;0.44;0.89;1.5;1.5;0.2;0.34;0.05;0.40;0.34;0.40;Matches
55;Serkan Asan\Serkan-Asan;tr TUR;DF;tr Trabzonspor;20;1999;3;3;270;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
56;Takuma Asano\Takuma-Asano;jp JPN;FWMF;rs Partizan;24;1994;6;6;509;2;1;0;0;0;0;0.35;0.18;0.53;0.35;0.53;1.5;1.5;0.3;0.26;0.06;0.32;0.26;0.32;Matches
57;Gjermund Åsen\Gjermund-Asen;no NOR;MFFW;no Rosenborg;28;1991;5;3;287;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.04;0.04;0.09;0.04;0.09;Matches
58;Roger Assalé\Roger-Assale;ci CIV;FWMF;ch Young Boys;25;1993;6;6;457;2;0;1;1;1;0;0.39;0.00;0.39;0.20;0.20;2.6;1.8;0.1;0.50;0.03;0.53;0.35;0.38;Matches
