id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
59;Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang;ga GAB;FW;eng Arsenal;30;1989;4.5;0;0;0;3;2;0;9;2;1;0;0;0;18;4;3;57.1;Matches
60;Luís Aurélio\Luis-Aurelio;pt POR;MF;ro CFR Cluj;30;1988;0.7;0;0;0;0;1;0;0;2;0;0;0;0;12;1;1;50.0;Matches
61;Donis Avdijaj\Donis-Avdijaj;xk KVX;MF;tr Trabzonspor;22;1996;3.6;1;0;0;1;4;2;3;0;5;0;0;0;25;0;3;0.0;Matches
62;Felipe Avenatti\Felipe-Avenatti;uy URU;FW;be Standard Liège;26;1993;0.9;0;0;0;2;0;1;0;0;0;0;0;0;1;5;3;62.5;Matches
63;Behlül Aydın\Behlul-Aydin;tr TUR;MF;tr Trabzonspor;18;2000;0.3;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;;Matches
64;Yassin Ayoub\Yassin-Ayoub;nl NED;MF;nl Feyenoord;25;1994;0.3;0;0;0;1;1;0;2;0;4;0;0;0;3;1;1;50.0;Matches
65;Demba Ba\Demba-Ba;sn SEN;FW;tr Başakşehir;34;1985;3.7;0;0;0;7;7;6;0;0;1;2;0;0;16;5;16;23.8;Matches
66;Ousseynou Ba\Ousseynou-Ba;sn SEN;DF;gr Olympiacos;23;1995;3.3;2;0;0;2;2;1;0;5;4;0;0;0;27;8;2;80.0;Matches
67;Ryan Babel\Ryan-Babel;nl NED;FW;nl Ajax;32;1986;2.0;1;0;0;3;1;5;1;0;0;0;0;0;7;3;4;42.9;Matches
68;Vladyslav Babohlo\Vladyslav-Babohlo;ua UKR;DF;ua FC Oleksandriya;20;1998;2.0;0;0;0;5;2;0;0;4;0;0;0;0;11;4;10;28.6;Matches
69;Fouad Bachirou\Fouad-Bachirou;km COM;MF;se Malmö;29;1990;7.0;3;0;0;10;8;0;2;8;3;0;0;0;75;8;15;34.8;Matches
