"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
338;Luis Muriel\Luis-Muriel;co COL;FW;Atalanta;28;1991;10.2;0;2.8;-2.8;18;240;340;70.6;13;34;38.2;191;241;79.3;36;65;55.4;46;266;6;2;5;3;18;14;1;Matches
339;Jeison Murillo\Jeison-Murillo;co COL;DF;Sampdoria;27;1992;7.4;0;0.2;-0.2;2;232;281;82.6;2;5;40.0;135;150;90.0;95;126;75.4;58;179;24;0;0;18;13;2;2;Matches
340;Nicola Murru\Nicola-Murru;it ITA;DF;Sampdoria;24;1994;21.0;0;1.4;-1.4;18;607;895;67.8;7;33;21.2;463;546;84.8;137;316;43.4;636;38;14;0;0;166;58;22;13;Matches
341;Mateo Musacchio\Mateo-Musacchio;ar ARG;DF;Milan;28;1990;16.3;0;0.6;-0.6;11;895;996;89.9;12;22;54.5;599;639;93.7;284;335;84.8;93;853;33;1;0;3;75;3;0;Matches
342;Juan Musso\Juan-Musso;ar ARG;GK;Udinese;25;1994;25.0;0;0.0;0.0;1;538;759;70.9;9;11;81.8;259;263;98.5;270;485;55.7;65;549;61;0;0;0;4;0;0;Matches
343;Radja Nainggolan\Radja-Nainggolan;be BEL;MFFW;Cagliari;31;1988;19.4;6;5.1;+0.9;39;774;998;77.6;10;40;25.0;494;578;85.5;270;380;71.1;103;850;26;8;15;9;92;31;5;Matches
344;Nahitan Nández\Nahitan-Nandez;uy URU;MF;Cagliari;23;1995;20.2;3;2.3;+0.7;23;590;773;76.3;16;41;39.0;471;544;86.6;103;188;54.8;37;655;9;1;1;38;34;11;3;Matches
345;Michel Ndary Adopo\Michel-Ndary-Adopo;fr FRA;MF;Torino;19;2000;0.0;0;0.0;0.0;0;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;Matches
346;Emanuele Ndoj\Emanuele-Ndoj;al ALB;MF;Brescia;22;1996;4.7;0;0.3;-0.3;6;110;144;76.4;1;10;10.0;82;95;86.3;27;39;69.2;14;124;2;0;0;2;5;7;2;Matches
347;Ilija Nestorovski\Ilija-Nestorovski;mk MKD;FW;Udinese;29;1990;7.6;1;0.6;+0.4;8;155;210;73.8;3;21;14.3;125;150;83.3;27;39;69.2;133;48;1;0;0;1;11;4;1;Matches
348;Nicolas Nkoulou\Nicolas-Nkoulou;cm CMR;DF;Torino;29;1990;18.7;0;0.0;0.0;1;607;676;89.8;7;11;63.6;392;420;93.3;208;245;84.9;90;549;31;0;0;1;12;0;0;Matches
349;Bram Nuytinck\Bram-Nuytinck;nl NED;DF;Udinese;29;1990;14.7;0;0.7;-0.7;3;609;726;83.9;6;12;50.0;471;512;92.0;132;202;65.3;514;150;19;1;0;11;60;3;0;Matches
350;Pedro Obiang\Pedro-Obiang;gq EQG;MF;Sassuolo;27;1992;17.1;1;0.6;+0.4;12;897;1011;88.7;18;32;56.3;750;810;92.6;129;169;76.3;115;846;26;1;0;3;70;10;0;Matches
351;Stefano Okaka\Stefano-Okaka;it ITA;FW;Udinese;29;1989;18.3;2;1.5;+0.5;20;341;437;78.0;20;40;50.0;287;351;81.8;34;46;73.9;8;374;2;0;0;3;27;11;0;Matches
352;Christian Oliva\Christian-Oliva;uy URU;MF;Cagliari;23;1996;5.1;1;0.1;+0.9;2;205;235;87.2;6;12;50.0;149;160;93.1;50;63;79.4;13;209;10;1;0;0;33;2;1;Matches
353;Maximiliano Olivera\Maximiliano-Olivera;uy URU;DF;Fiorentina;27;1992;0.1;0;0.0;0.0;0;3;5;60.0;0;0;;0;0;;3;5;60.0;5;0;0;0;0;0;1;1;1;Matches
354;Robin Olsen\Robin-Olsen;se SWE;GK;Cagliari;29;1990;15.9;0;0.0;0.0;0;305;464;65.7;4;4;100.0;117;117;100.0;184;343;53.6;33;354;55;0;0;1;4;0;0;Matches
355;Nicholas Opoku\Nicholas-Opoku;gh GHA;DF;Udinese;21;1997;5.3;0;;;;;;;;;;;;;;;;;;;;;;;;;Matches
356;Riccardo Orsolini\Riccardo-Orsolini;it ITA;FWMF;Bologna;22;1997;22.0;4;5.4;-1.4;43;518;828;62.6;9;47;19.1;381;503;75.7;128;278;46.0;686;73;29;1;72;7;25;19;3;Matches
357;David Ospina\David-Ospina;co COL;GK;Napoli;30;1988;11.0;0;0.0;0.0;0;262;297;88.2;5;5;100.0;170;170;100.0;87;122;71.3;36;214;24;0;0;0;1;0;0;Matches
358;Daniele Padelli\Daniele-Padelli;it ITA;GK;Inter;33;1985;3.0;0;0.0;0.0;0;76;91;83.5;1;1;100.0;43;43;100.0;32;47;68.1;49;27;6;0;0;0;0;0;0;Matches
359;Marko Pajač\Marko-Pajac;hr CRO;DF;Genoa;26;1993;8.4;0;1.7;-1.7;11;338;466;72.5;6;23;26.1;265;317;83.6;67;126;53.2;340;54;10;0;9;61;11;18;14;Matches
360;Rodrigo Palacio\Rodrigo-Palacio;ar ARG;FW;Bologna;37;1982;21.3;3;4.2;-1.2;39;564;765;73.7;15;59;25.4;459;558;82.3;90;148;60.8;97;566;2;3;0;5;24;26;12;Matches
361;Alberto Paloschi\Alberto-Paloschi;it ITA;FW;SPAL;29;1990;4.9;0;0.2;-0.2;4;50;67;74.6;3;7;42.9;43;54;79.6;4;6;66.7;8;49;0;0;0;0;2;0;0;Matches
362;Alberto Paloschi\Alberto-Paloschi;it ITA;FWMF;Cagliari;29;1990;1.1;0;0.0;0.0;1;20;22;90.9;1;2;50.0;18;19;94.7;1;1;100.0;8;11;0;0;0;0;0;0;0;Matches
363;Goran Pandev\Goran-Pandev;mk MKD;FWMF;Genoa;36;1983;11.0;0;1.3;-1.3;15;277;357;77.6;13;25;52.0;221;270;81.9;43;62;69.4;274;66;0;1;1;0;19;23;3;Matches
364;Lucas Paquetá\Lucas-Paqueta;br BRA;MFFW;Milan;21;1997;9.1;1;1.0;0.0;13;314;405;77.5;9;18;50.0;251;311;80.7;54;76;71.1;316;63;8;3;0;3;41;10;0;Matches
365;Marco Parolo\Marco-Parolo;it ITA;MF;Lazio;34;1985;7.7;0;0.3;-0.3;4;248;293;84.6;9;14;64.3;190;216;88.0;49;63;77.8;66;201;3;0;0;1;26;3;2;Matches
366;Mario Pašalić\Mario-Pasalic;hr CRO;MF;Atalanta;24;1995;18.6;5;2.1;+2.9;28;884;995;88.8;16;28;57.1;631;693;91.1;237;274;86.5;264;680;20;1;4;2;79;16;4;Matches
367;Javier Pastore\Javier-Pastore;ar ARG;MF;Roma;30;1989;4.9;1;0.5;+0.5;4;201;249;80.7;4;11;36.4;153;178;86.0;44;60;73.3;17;220;4;3;1;0;25;3;0;Matches
368;Patric\Patric;es ESP;DF;Lazio;26;1993;10.2;0;0.1;-0.1;3;535;597;89.6;5;8;62.5;346;371;93.3;184;218;84.4;61;503;14;1;0;9;37;2;0;Matches
369;Leonardo Pavoletti\Leonardo-Pavoletti;it ITA;FW;Cagliari;30;1988;0.5;0;0.0;0.0;0;13;15;86.7;1;1;100.0;12;14;85.7;0;0;;4;8;0;0;0;0;0;0;0;Matches
370;Nehuén Paz\Nehuen-Paz;ar ARG;MF;Lecce;26;1993;0.2;0;0.0;0.0;0;7;7;100.0;1;1;100.0;3;3;100.0;3;3;100.0;6;1;1;0;0;0;0;0;0;Matches
371;Nehuén Paz\Nehuen-Paz;ar ARG;DF;Bologna;26;1993;1.3;1;0.0;+1.0;1;35;45;77.8;0;0;;23;27;85.2;12;18;66.7;27;7;2;0;0;0;2;1;0;Matches
372;Giampaolo Pazzini\Giampaolo-Pazzini;it ITA;FW;Hellas Verona;34;1984;1.7;0;0.1;-0.1;2;21;29;72.4;2;5;40.0;19;23;82.6;0;1;0.0;6;18;0;1;0;1;1;0;0;Matches
373;Pedro\Pedro;br BRA;FW;Fiorentina;22;1997;0.7;0;0.0;0.0;1;14;19;73.7;2;4;50.0;11;13;84.6;1;2;50.0;2;15;0;0;0;0;0;0;0;Matches
374;João Pedro\Joao-Pedro;br BRA;FWMF;Cagliari;27;1992;25.0;2;1.2;+0.8;20;494;631;78.3;12;34;35.3;368;454;81.1;114;143;79.7;64;454;4;2;4;10;36;10;0;Matches
375;Gianluca Pegolo\Gianluca-Pegolo;it ITA;GK;Sassuolo;38;1981;3.0;0;0.0;0.0;0;77;91;84.6;2;2;100.0;52;52;100.0;23;37;62.2;46;26;6;0;0;0;0;0;0;Matches
376;Lorenzo Pellegrini\Lorenzo-Pellegrini;it ITA;MF;Roma;23;1996;16.7;8;5.8;+2.2;51;682;895;76.2;12;41;29.3;513;588;87.2;157;266;59.0;112;758;40;13;73;10;75;43;6;Matches
377;Luca Pellegrini\Luca-Pellegrini;it ITA;DF;Cagliari;20;1999;18.5;4;2.1;+1.9;23;716;986;72.6;9;40;22.5;538;643;83.7;169;303;55.8;637;146;13;1;1;167;43;29;17;Matches
378;Federico Peluso\Federico-Peluso;it ITA;DF;Sassuolo;35;1984;10.6;1;0.0;+1.0;2;485;564;86.0;3;13;23.1;409;439;93.2;73;112;65.2;450;40;24;0;0;51;22;2;0;Matches
379;Gastón Pereiro\Gaston-Pereiro;uy URU;MF;Cagliari;24;1995;1.2;0;0.0;0.0;0;29;38;76.3;0;1;0.0;25;27;92.6;4;10;40.0;32;3;2;0;0;1;3;0;0;Matches
380;Bruno Peres\Bruno-Peres;br BRA;DF;Roma;29;1990;3.8;1;0.4;+0.6;3;194;236;82.2;2;9;22.2;151;167;90.4;41;60;68.3;34;151;2;0;1;46;5;6;3;Matches
381;Carles Pérez\Carles-Perez;es ESP;FWMF;Roma;21;1998;1.4;1;0.2;+0.8;2;27;37;73.0;1;2;50.0;20;28;71.4;6;7;85.7;35;2;0;0;1;0;1;1;0;Matches
382;Mattia Perin\Mattia-Perin;it ITA;GK;Genoa;26;1992;8.0;0;0.0;0.0;1;163;265;61.5;0;0;;77;77;100.0;86;188;45.7;37;171;24;0;0;0;11;1;0;Matches
383;Diego Perotti\Diego-Perotti;ar ARG;FWMF;Roma;31;1988;8.0;1;1.8;-0.8;19;242;308;78.6;5;17;29.4;202;226;89.4;35;65;53.8;45;253;1;2;6;2;16;5;1;Matches
384;Matteo Pessina\Matteo-Pessina;it ITA;MFFW;Hellas Verona;22;1997;18.1;0;1.0;-1.0;13;630;827;76.2;14;49;28.6;529;640;82.7;87;138;63.0;632;114;29;0;1;4;82;10;1;Matches
