"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
634;Morten Thorsby\Morten-Thorsby;no NOR;MFDF;Sampdoria;23;1996;13;1065;82;49.3;11.8;12;84;1;52;7;1.31;16;21;-5;-0.42;+0.56;17.5;14.5;+2.9;+0.25;+0.40;Matches
635;Jeremy Toljan\Jeremy-Toljan;de GER;DF;Sassuolo;24;1994;22;1822;83;84.4;20.2;20;88;2;30;1;1.18;30;27;+3;+0.15;+1.21;27.3;33.8;-6.6;-0.32;+0.46;Matches
636;Rafael Tolói\Rafael-Toloi;br BRA;DF;Atalanta;28;1990;22;1830;83;81.3;20.3;20;90;2;15;1;1.86;52;28;+24;+1.18;-1.39;48.9;22.0;+26.9;+1.32;-0.34;Matches
637;Takehiro Tomiyasu\Takehiro-Tomiyasu;jp JPN;DF;Bologna;20;1998;20;1794;90;76.7;19.9;20;90;0;;0;1.40;28;30;-2;-0.10;+0.23;32.5;23.7;+8.8;+0.44;+0.99;Matches
638;Nenad Tomović\Nenad-Tomovic;rs SRB;DF;SPAL;31;1987;19;1394;73;62.0;15.5;16;85;3;10;4;0.74;9;28;-19;-1.23;-0.60;17.2;27.3;-10.1;-0.65;-0.22;Matches
639;Sandro Tonali\Sandro-Tonali;it ITA;MF;Brescia;19;2000;23;2041;89;90.7;22.7;23;89;0;;0;0.70;21;37;-16;-0.71;+2.74;27.2;39.8;-12.6;-0.56;+1.63;Matches
640;Lorenzo Tonelli\Lorenzo-Tonelli;it ITA;DF;Sampdoria;29;1990;4;342;86;15.8;3.8;4;86;0;;0;1.00;6;10;-4;-1.05;-0.41;7.1;5.5;+1.6;+0.42;+0.44;Matches
641;Lorenzo Tonelli\Lorenzo-Tonelli;it ITA;DF;Napoli;29;1990;0;;;;;0;;0;;9;;;;;;;;;;;;Matches
642;Ernesto Torregrossa\Ernesto-Torregrossa;it ITA;FW;Brescia;27;1992;12;894;75;39.7;9.9;12;75;0;;0;0.67;10;19;-9;-0.91;+0.09;14.5;19.5;-5.0;-0.50;+0.34;Matches
643;Abdoullaye Traoré\Abdoullaye-Traore;bf BFA;MF;Hellas Verona;19;2000;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
644;Amad Traoré\Amad-Traore;ci CIV;FW;Atalanta;17;2002;3;24;8;1.1;0.3;0;;3;8;3;2.00;1;1;0;0.00;-1.46;0.4;0.5;-0.1;-0.34;-1.75;Matches
645;Luca Tremolada\Luca-Tremolada;it ITA;MF;Brescia;27;1991;1;14;14;0.6;0.2;0;;1;14;3;0.00;0;0;0;0.00;+0.97;0.1;1.0;-0.9;-6.03;-5.36;Matches
646;Alessandro Tripaldelli\Alessandro-Tripaldelli;it ITA;DF;Sassuolo;20;1999;2;135;68;6.3;1.5;1;90;1;45;14;0.00;4;4;0;0.00;+0.04;1.5;3.3;-1.8;-1.21;-0.87;Matches
647;William Troost-Ekong\William-Troost-Ekong;ng NGA;DF;Udinese;25;1993;22;1970;90;87.6;21.9;22;90;0;;2;1.23;21;33;-12;-0.55;+0.74;25.1;34.9;-9.8;-0.45;+0.57;Matches
648;Georgi Tunjov\Georgi-Tunjov;ee EST;MF;SPAL;18;2001;2;27;14;1.2;0.3;0;;2;14;10;0.00;0;1;-1;-3.33;-2.36;0.1;1.8;-1.7;-5.73;-5.22;Matches
649;Ľubomír Tupta\Lubomir-Tupta;sk SVK;FWMF;Hellas Verona;21;1998;0;;;;;0;;0;;3;;;;;;;;;;;;Matches
650;Stefano Turati\Stefano-Turati;it ITA;GK;Sassuolo;;;2;180;90;8.3;2.0;2;90;0;;15;1.00;4;4;0;0.00;+0.05;2.6;5.0;-2.4;-1.22;-0.90;Matches
651;Gennaro Tutino\Gennaro-Tutino;it ITA;FW;Hellas Verona;22;1996;6;223;37;10.3;2.5;2;73;4;19;9;0.67;1;3;-2;-0.81;-1.09;2.3;4.7;-2.3;-0.94;-1.07;Matches
652;Samir Ujkani\Samir-Ujkani;xk KVX;GK;Torino;31;1988;0;;;;;0;;0;;23;;;;;;;;;;;;Matches
653;Cengiz Ünder\Cengiz-Under;tr TUR;FW;Roma;22;1997;15;775;52;33.1;8.6;9;74;6;19;4;1.60;19;17;+2;+0.23;-0.57;19.9;11.7;+8.2;+0.95;+0.50;Matches
654;Mirko Valdifiori\Mirko-Valdifiori;it ITA;MF;SPAL;33;1986;13;746;57;33.2;8.3;8;84;5;15;11;0.85;6;13;-7;-0.84;+0.23;10.0;13.0;-3.0;-0.36;+0.31;Matches
655;Borja Valero\Borja-Valero;es ESP;MF;Inter;34;1985;9;421;47;19.5;4.7;4;84;5;17;14;1.89;7;2;+5;+1.07;-0.07;7.5;3.8;+3.7;+0.79;+0.07;Matches
656;Mattia Valoti\Mattia-Valoti;it ITA;MFFW;SPAL;25;1993;20;1159;58;51.5;12.9;13;77;7;22;3;0.55;11;23;-12;-0.93;+0.14;16.3;25.2;-8.9;-0.69;-0.25;Matches
657;Denis Vavro\Denis-Vavro;sk SVK;DF;Lazio;23;1996;5;194;39;8.3;2.2;1;90;4;26;17;2.40;3;5;-2;-0.93;-2.56;3.1;2.8;+0.2;+0.11;-0.70;Matches
658;Matías Vecino\Matias-Vecino;uy URU;MF;Inter;27;1991;17;1168;69;54.1;13.0;13;83;4;23;3;2.41;30;10;+20;+1.54;+0.91;21.5;14.3;+7.2;+0.55;-0.38;Matches
659;Miguel Veloso\Miguel-Veloso;pt POR;MF;Hellas Verona;33;1986;21;1724;82;79.8;19.2;20;85;1;20;0;1.52;21;17;+4;+0.21;+0.21;24.1;24.6;-0.5;-0.03;-0.20;Matches
