"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
54;Cristiano Biraghi\Cristiano-Biraghi;it ITA;DFMF;Inter;26;1992;16;13;1131;0;3;0;0;0;0;0.00;0.24;0.24;0.00;0.24;0.4;0.4;2.2;0.03;0.18;0.21;0.03;0.21;Matches
55;Davide Biraschi\Davide-Biraschi;it ITA;DF;Genoa;25;1994;14;13;1214;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.0;0.02;0.00;0.02;0.02;0.02;Matches
56;Valter Birsa\Valter-Birsa;si SVN;MFFW;Cagliari;32;1986;3;1;77;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.08;0.00;0.08;0.08;0.08;Matches
57;Dimitri Bisoli\Dimitri-Bisoli;it ITA;MF;Brescia;25;1994;24;23;2088;1;1;0;0;5;0;0.04;0.04;0.09;0.04;0.09;2.5;2.5;2.9;0.11;0.13;0.23;0.11;0.23;Matches
58;Birkir Bjarnason\Birkir-Bjarnason;is ISL;MFFW;Brescia;31;1988;4;2;211;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.07;0.04;0.12;0.07;0.12;Matches
59;Kevin-Prince Boateng\Kevin-Prince-Boateng;gh GHA;FW;Fiorentina;32;1987;14;6;596;1;0;0;0;2;0;0.15;0.00;0.15;0.15;0.15;1.7;1.7;0.3;0.26;0.04;0.30;0.26;0.30;Matches
60;Salvatore Bocchetti\Salvatore-Bocchetti;it ITA;DF;Hellas Verona;32;1986;5;3;302;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
61;Jeremie Boga\Jeremie-Boga;ci CIV;FW;Sassuolo;22;1997;23;20;1785;7;2;0;0;0;0;0.35;0.10;0.45;0.35;0.45;3.7;3.7;2.2;0.19;0.11;0.30;0.19;0.30;Matches
62;Giacomo Bonaventura\Giacomo-Bonaventura;it ITA;MFFW;Milan;29;1989;16;9;774;2;0;0;0;1;0;0.23;0.00;0.23;0.23;0.23;1.5;1.5;0.8;0.17;0.10;0.27;0.17;0.27;Matches
63;Federico Bonazzoli\Federico-Bonazzoli;it ITA;FW;Sampdoria;22;1997;10;4;384;1;0;0;0;1;0;0.23;0.00;0.23;0.23;0.23;2.0;2.0;0.3;0.46;0.06;0.53;0.46;0.53;Matches
