"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
459;Kyle Walker-Peters\Kyle-Walker-Peters;eng ENG;DF;Tottenham;22;1997;2.7;0;0.1;-0.1;2;183;214;85.5;1;8;12.5;156;165;94.5;26;41;63.4;15;171;4;0;0;23;12;1;0;Matches
460;Kyle Walker-Peters\Kyle-Walker-Peters;eng ENG;DF;Southampton;22;1997;0.8;0;0.0;0.0;0;39;57;68.4;0;3;0.0;37;48;77.1;2;6;33.3;3;31;1;0;0;21;3;1;0;Matches
461;Aaron Wan-Bissaka\Aaron-Wan-Bissaka;eng ENG;DF;Manchester Utd;21;1997;24.9;2;2.3;-0.3;20;1222;1529;79.9;28;83;33.7;1094;1266;86.4;100;180;55.6;60;1131;11;0;0;286;86;5;0;Matches
462;Victor Wanyama\Victor-Wanyama;ke KEN;MF;Tottenham;28;1991;0.3;0;0.0;0.0;0;18;19;94.7;2;2;100.0;11;12;91.7;5;5;100.0;0;16;1;0;0;1;3;0;0;Matches
463;Joel Ward\Joel-Ward;eng ENG;DF;Crystal Palace;29;1989;16.5;0;0.2;-0.2;4;598;795;75.2;16;42;38.1;476;560;85.0;106;193;54.9;63;497;9;0;0;173;49;4;2;Matches
464;James Ward-Prowse\James-Ward-Prowse;eng ENG;MFDF;Southampton;24;1994;28.0;3;3.9;-0.9;46;1009;1397;72.2;21;51;41.2;743;876;84.8;245;470;52.1;115;1071;63;3;132;51;87;21;1;Matches
465;Adam Webster\Adam-Webster;eng ENG;DF;Brighton;24;1995;21.4;1;1.2;-0.2;10;1206;1415;85.2;6;21;28.6;817;905;90.3;383;489;78.3;259;1008;40;1;0;31;62;5;1;Matches
466;Danny Welbeck\Danny-Welbeck;eng ENG;FWMF;Watford;28;1990;2.9;0;0.1;-0.1;2;45;56;80.4;0;1;0.0;41;49;83.7;4;6;66.7;1;46;0;0;0;0;4;2;0;Matches
467;Ashley Westwood\Ashley-Westwood;eng ENG;MF;Burnley;29;1990;25.0;5;4.0;+1.0;35;880;1206;73.0;18;40;45.0;605;711;85.1;257;455;56.5;68;1073;44;6;71;2;107;13;4;Matches
468;Connor Wickham\Connor-Wickham;eng ENG;FWMF;Crystal Palace;26;1993;1.0;1;0.6;+0.4;2;29;44;65.9;2;5;40.0;23;32;71.9;4;7;57.1;5;16;0;0;0;1;2;0;0;Matches
