"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
535;Jean-Clair Todibo\Jean-Clair-Todibo;fr FRA;DF;Barcelona;19;1999;2;77;39;3.3;0.9;1;73;1;4;7;3.00;3;0;+3;+3.51;+2.39;1.4;1.3;+0.1;+0.06;-0.76;Matches
536;Karl Toko Ekambi\Karl-Toko-Ekambi;cm CMR;FW;Villarreal;26;1992;18;995;55;42.5;11.1;11;76;7;22;1;1.39;19;15;+4;+0.36;+0.16;20.9;15.8;+5.1;+0.46;+0.26;Matches
537;Raúl de Tomás\Raul-de-Tomas;es ESP;FW;Espanyol;24;1994;5;450;90;19.2;5.0;5;90;0;;0;1.60;6;5;+1;+0.20;+1.30;6.1;5.7;+0.4;+0.08;+0.39;Matches
538;Toño\Tono;es ESP;DF;Levante;29;1989;14;1171;84;50.0;13.0;13;90;1;1;3;1.07;13;18;-5;-0.38;-0.15;13.4;23.8;-10.3;-0.79;-0.28;Matches
539;Daniel Torres\Daniel-Torres;co COL;MF;Alavés;29;1989;0;;;;;0;;0;;5;;;;;;;;;;;;Matches
540;Ferrán Torres\Ferran-Torres;es ESP;MFFW;Valencia;19;2000;25;1775;71;73.0;19.7;20;84;5;19;2;1.60;25;23;+2;+0.10;+0.51;21.9;30.8;-8.9;-0.45;-0.34;Matches
541;Óliver Torres\Oliver-Torres;es ESP;FWMF;Sevilla;24;1994;20;1115;56;47.6;12.4;14;70;6;23;2;1.85;19;15;+4;+0.32;-0.12;15.6;11.2;+4.3;+0.35;-0.17;Matches
542;Pau Torres\Pau-Torres;es ESP;DF;Villarreal;22;1997;23;1980;86;84.6;22.0;22;90;1;0;0;1.35;35;32;+3;+0.14;-0.86;36.4;29.5;+7.0;+0.32;+0.05;Matches
543;Roberto Torres\Roberto-Torres;es ESP;MFFW;Osasuna;30;1989;25;1984;79;84.8;22.0;23;85;2;17;1;1.24;26;29;-3;-0.14;+0.37;28.0;28.7;-0.8;-0.03;+0.15;Matches
544;Aleksandar Trajkovski\Aleksandar-Trajkovski;mk MKD;MF;Mallorca;26;1992;7;147;21;6.3;1.6;0;;7;21;4;1.00;1;3;-2;-1.22;-0.61;1.6;2.2;-0.7;-0.42;+0.08;Matches
545;Manu Trigueros\Manu-Trigueros;es ESP;MF;Villarreal;27;1991;19;1144;60;48.9;12.7;13;85;6;7;6;1.42;20;16;+4;+0.31;+0.09;19.7;16.6;+3.1;+0.24;-0.13;Matches
