"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
222;Timofei Margasov\Timofei-Margasov;ru RUS;DF;Sochi;27;1992;4.1;0;0;0;2;0;;0.0;0.48;0.00;0.00;;Matches
223;Guilherme Marinato\Guilherme-Marinato;ru RUS;GK;Loko Moscow;33;1985;18.0;0;0;0;0;0;;;0.00;0.00;;;Matches
224;João Mário\Joao-Mario;pt POR;MFFW;Loko Moscow;26;1993;8.6;1;0;0;18;6;;33.3;2.08;0.69;0.06;0.17;Matches
225;Ivan Markelov\Ivan-Markelov;ru RUS;MFFW;Tambov;31;1988;2.2;0;0;0;2;2;;100.0;0.91;0.91;0.00;0.00;Matches
226;Yevgeni Markov\Yevgeni-Markov;ru RUS;FW;Rubin Kazan;25;1994;8.0;4;0;0;20;8;;40.0;2.51;1.01;0.20;0.50;Matches
227;Alyaksandr Martynovich\Alyaksandr-Martynovich;by BLR;DF;Krasnodar;31;1987;15.0;1;0;0;7;2;;28.6;0.47;0.13;0.14;0.50;Matches
228;Ablaye Mbengue\Ablaye-Mbengue;sn SEN;FW;Akhmat Grozny;27;1992;6.4;1;0;0;20;6;;30.0;3.15;0.94;0.05;0.17;Matches
229;Lorenzo Melgarejo\Lorenzo-Melgarejo;py PAR;FWMF;Spartak Moscow;28;1990;6.7;1;0;0;14;4;;28.6;2.09;0.60;0.07;0.25;Matches
230;Georgi Melkadze\Georgi-Melkadze;ru RUS;MFFW;Tambov;22;1997;10.4;5;0;0;32;12;;37.5;3.08;1.15;0.16;0.42;Matches
231;Georgi Melkadze\Georgi-Melkadze;ru RUS;FWMF;Spartak Moscow;22;1997;0.4;0;0;0;0;0;;;0.00;0.00;;;Matches
232;Mikhail Merkulov\Mikhail-Merkulov;ru RUS;DF;Ural;25;1994;17.4;0;0;0;5;0;;0.0;0.29;0.00;0.00;;Matches
233;Miha Mevlja\Miha-Mevlja;si SVN;DF;Sochi;29;1990;9.6;1;0;0;2;1;;50.0;0.21;0.10;0.50;1.00;Matches
234;Konrad Michalak\Konrad-Michalak;pl POL;MF;Akhmat Grozny;21;1997;2.6;0;0;0;1;1;;100.0;0.39;0.39;0.00;0.00;Matches
235;Srđan Mijailović\Srdjan-Mijailovic;rs SRB;MF;Samara;25;1993;11.6;1;0;0;10;6;;60.0;0.86;0.52;0.10;0.17;Matches
236;Beka Mikeltadze\Beka-Mikeltadze;ge GEO;MF;Rubin Kazan;21;1997;4.6;1;0;0;15;3;;20.0;3.25;0.65;0.07;0.33;Matches
237;Ivan Miladinović\Ivan-Miladinovic;rs SRB;DF;Sochi;24;1994;13.4;0;0;0;7;1;;14.3;0.52;0.07;0.00;0.00;Matches
238;Aleksei Miranchuk\Aleksei-Miranchuk;ru RUS;MFFW;Loko Moscow;23;1995;15.3;5;3;3;46;13;;28.3;3.02;0.85;0.04;0.15;Matches
239;Anton Miranchuk\Anton-Miranchuk;ru RUS;MFFW;Loko Moscow;23;1995;8.3;2;0;1;23;6;;26.1;2.76;0.72;0.09;0.33;Matches
240;Reziuan Mirzov\Reziuan-Mirzov;ru RUS;MFFW;Spartak Moscow;26;1993;5.2;0;0;0;15;3;;20.0;2.90;0.58;0.00;0.00;Matches
241;Danijel Miškić\Danijel-Miskic;hr CRO;MF;Orenburg;25;1993;17.8;0;0;0;34;8;;23.5;1.91;0.45;0.00;0.00;Matches
242;Magomed Mitrishev\Magomed-Mitrishev;ru RUS;FW;Akhmat Grozny;26;1992;1.5;0;0;0;3;1;;33.3;1.94;0.65;0.00;0.00;Matches
243;Pavel Mogilevets\Pavel-Mogilevets;ru RUS;MF;Rubin Kazan;26;1993;13.5;0;0;0;22;9;;40.9;1.63;0.67;0.00;0.00;Matches
244;Grigori Morozov\Grigori-Morozov;ru RUS;DFMF;Dynamo Mosc;25;1994;10.8;1;0;0;8;2;;25.0;0.74;0.18;0.13;0.50;Matches
245;Andrei Mostovoy\Andrei-Mostovoy;ru RUS;FWMF;Sochi;21;1997;15.1;3;0;0;30;10;;33.3;1.98;0.66;0.10;0.30;Matches
246;Magomed Musalov\Magomed-Musalov;ru RUS;DF;Akhmat Grozny;25;1994;8.6;0;0;0;2;0;;0.0;0.23;0.00;0.00;;Matches
247;Leon Musayev\Leon-Musayev;ru RUS;MF;Zenit;20;1999;0.1;0;0;0;0;0;;;0.00;0.00;;;Matches
248;Olabiran Muyiwa\Olabiran-Muyiwa;ng NGA;FW;Tambov;20;1998;3.1;1;0;0;7;2;;28.6;2.27;0.65;0.14;0.50;Matches
249;Clinton N'Jie\Clinton-NJie;cm CMR;MFFW;Dynamo Mosc;25;1993;6.9;1;0;0;28;12;;42.9;4.05;1.74;0.04;0.08;Matches
250;Kirill Nababkin\Kirill-Nababkin;ru RUS;DF;CSKA Moscow;32;1986;2.8;0;0;0;2;1;;50.0;0.72;0.36;0.00;0.00;Matches
251;Elmir Nabiullin\Elmir-Nabiullin;ru RUS;DFMF;Sochi;24;1995;9.6;0;0;0;8;3;;37.5;0.83;0.31;0.00;0.00;Matches
252;Younes Namli\Younes-Namli;dk DEN;FWMF;Krasnodar;25;1994;4.8;1;0;0;9;1;;11.1;1.86;0.21;0.11;1.00;Matches
253;Islamzhan Nasyrov\Islamzhan-Nasyrov;ru RUS;DF;Ural;21;1998;1.0;0;0;0;2;0;;0.0;1.98;0.00;0.00;;Matches
254;Ionuț Nedelcearu\Ionut-Nedelcearu;ro ROU;DF;Ufa;23;1996;14.0;0;0;0;2;0;;0.0;0.14;0.00;0.00;;Matches
255;Maksim Nenakhov\Maksim-Nenakhov;ru RUS;DF;Akhmat Grozny;20;1998;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
256;Roman Neustädter\Roman-Neustadter;ru RUS;MF;Dynamo Mosc;31;1988;10.6;0;0;0;4;1;;25.0;0.38;0.09;0.00;0.00;Matches
257;Artur Nigmatullin\Artur-Nigmatullin;ru RUS;GK;Arsenal Tula;28;1991;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
258;Aleksei Nikitin\Aleksei-Nikitin;ru RUS;DF;Ufa;27;1992;3.0;0;0;0;0;0;;;0.00;0.00;;;Matches
259;Takuma Nishimura\Takuma-Nishimura;jp JPN;FW;CSKA Moscow;22;1996;2.5;0;0;0;6;1;;16.7;2.40;0.40;0.00;0.00;Matches
260;Zoran Nižić\Zoran-Nizic;hr CRO;DF;Akhmat Grozny;29;1989;11.3;0;0;0;9;2;;22.2;0.80;0.18;0.00;0.00;Matches
261;Christian Noboa\Christian-Noboa;ec ECU;MF;Sochi;34;1985;12.7;2;0;0;32;9;;28.1;2.52;0.71;0.06;0.22;Matches
262;Mathias Normann\Mathias-Normann;no NOR;MF;Rostov;23;1996;17.0;1;0;0;39;6;;15.4;2.30;0.35;0.03;0.17;Matches
263;Ivan Novoseltsev\Ivan-Novoseltsev;ru RUS;DFMF;Sochi;27;1991;9.8;0;0;0;1;0;;0.0;0.10;0.00;0.00;;Matches
264;Ivan Oblyakov\Ivan-Oblyakov;ru RUS;MF;CSKA Moscow;21;1998;18.6;2;0;0;38;13;;34.2;2.04;0.70;0.05;0.15;Matches
265;Vladimir Obukhov\Vladimir-Obukhov;ru RUS;FW;Sochi;27;1992;1.1;0;0;0;1;0;;0.0;0.89;0.00;0.00;;Matches
266;Vladimir Obukhov\Vladimir-Obukhov;ru RUS;FW;Tambov;27;1992;10.7;5;1;1;32;12;;37.5;2.98;1.12;0.13;0.33;Matches
267;Kristoffer Olsson\Kristoffer-Olsson;se SWE;MF;Krasnodar;24;1995;13.8;1;0;0;12;1;;8.3;0.87;0.07;0.08;1.00;Matches
268;Ivan Ordets\Ivan-Ordets;ua UKR;DF;Dynamo Mosc;27;1992;7.0;1;0;0;4;1;;25.0;0.57;0.14;0.25;1.00;Matches
269;Viðar Örn Kjartansson\Vidar-Orn-Kjartansson;is ISL;FW;Rubin Kazan;29;1990;10.7;1;0;0;29;9;;31.0;2.71;0.84;0.03;0.11;Matches
270;Maksim Osipenko\Maksim-Osipenko;ru RUS;DF;Rostov;25;1994;1.0;0;0;0;1;0;;0.0;1.00;0.00;0.00;;Matches
271;Maksim Osipenko\Maksim-Osipenko;ru RUS;DFMF;Tambov;25;1994;16.9;1;0;0;8;3;;37.5;0.47;0.18;0.13;0.33;Matches
272;Yordan Osorio\Yordan-Osorio;ve VEN;DF;Zenit;25;1994;1.3;0;0;0;0;0;;;0.00;0.00;;;Matches
273;Adessoye Oyewole\Adessoye-Oyewole;ru RUS;DF;Tambov;36;1982;18.9;1;0;0;6;2;;33.3;0.32;0.11;0.17;0.50;Matches
274;Magomed Ozdoyev\Magomed-Ozdoyev;ru RUS;MF;Zenit;26;1992;17.4;3;0;0;27;6;;22.2;1.55;0.35;0.11;0.50;Matches
275;Dzyanis Palyakow\Dzyanis-Palyakow;by BLR;DF;Ural;28;1991;14.5;0;0;0;1;0;;0.0;0.07;0.00;0.00;;Matches
