id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OGMatches
60;Rody de Boer\Rody-de-Boer;nl NED;GK;AZ Alkmaar;21;1997;1.9;0;0;0;0;0;0;0;0;0;;;0;Matches
61;Tom Boere\Tom-Boere;nl NED;FW;Twente;26;1992;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
62;Omar Bogle\Omar-Bogle;eng ENG;FW;ADO Den Haag;26;1993;2.9;0;0;0;6;5;0;2;0;0;;;0;Matches
63;Henk Bos\Henk-Bos;nl NED;MF;Emmen;26;1992;1.4;0;0;0;1;1;0;0;3;2;;;0;Matches
64;Olivier Boscagli\Olivier-Boscagli;fr FRA;DF;PSV Eindhoven;21;1997;6.8;1;0;0;4;8;0;14;12;11;;;0;Matches
65;Jesse Bosch\Jesse-Bosch;nl NED;MF;Twente;;;2.7;0;0;0;2;1;0;1;3;4;;;0;Matches
66;Sven Botman\Sven-Botman;nl NED;DF;Heerenveen;19;2000;25.0;0;0;0;15;13;2;1;32;36;;;1;Matches
67;Eric Botteghin\Eric-Botteghin;br BRA;DF;Feyenoord;31;1987;18.8;3;0;0;19;6;2;1;25;40;;;0;Matches
68;Róbert Boženík\Robert-Bozenik;sk SVK;FW;Feyenoord;19;1999;2.4;1;0;0;7;5;4;1;0;0;;;0;Matches
69;Wout Brama\Wout-Brama;nl NED;MF;Twente;32;1986;6.7;1;0;0;10;19;0;2;8;9;;;0;Matches
70;Joshua Brenet\Joshua-Brenet;nl NED;DF;Vitesse;25;1994;1.9;0;0;0;2;1;0;6;2;3;;;0;Matches
71;Tim Breukers\Tim-Breukers;nl NED;DF;Heracles Almelo;31;1987;15.0;4;0;0;21;9;1;21;27;15;;;0;Matches
72;Jorn Brondeel\Jorn-Brondeel;be BEL;GK;Twente;25;1993;1.8;0;0;0;0;1;0;0;0;0;;;0;Matches
73;Damian van Bruggen\Damian-van-Bruggen;nl NED;MFDF;VVV-Venlo;23;1996;2.4;0;0;0;0;0;0;0;0;3;;;0;Matches
74;Jordy Bruijn\Jordy-Bruijn;nl NED;MFFW;Heerenveen;23;1996;7.5;1;0;0;16;17;1;21;10;0;;;0;Matches
75;Bruma\Bruma;pt POR;FWMF;PSV Eindhoven;24;1994;10.7;0;0;0;3;11;9;20;13;7;;;0;Matches
76;Thomas Bruns\Thomas-Bruns;nl NED;MF;Zwolle;27;1992;4.9;1;0;0;5;9;0;16;8;3;;;0;Matches
77;Thomas Bruns\Thomas-Bruns;nl NED;MF;VVV-Venlo;27;1992;4.7;0;0;0;6;7;0;13;5;3;;;0;Matches
78;Thomas Buitink\Thomas-Buitink;nl NED;MFFW;Vitesse;19;2000;4.2;3;0;0;10;1;1;8;2;2;;;0;Matches
79;Mick van Buren\Mick-van-Buren;nl NED;FW;ADO Den Haag;26;1992;1.0;0;0;0;2;1;0;4;0;0;;;0;Matches
80;Wouter Burger\Wouter-Burger;nl NED;MF;Feyenoord;18;2001;2.7;0;0;0;4;1;0;0;3;7;;;0;Matches
81;Delano Burgzorg\Delano-Burgzorg;nl NED;FW;Heracles Almelo;20;1998;3.7;0;0;0;10;11;1;3;4;0;;;0;Matches
82;Lorenzo Burnet\Lorenzo-Burnet;nl NED;DF;Emmen;28;1991;17.0;4;1;0;22;9;0;34;18;28;;;0;Matches
83;Oriol Busquets\Oriol-Busquets;es ESP;MFDF;Twente;20;1999;17.7;2;0;0;11;11;0;4;16;31;;;0;Matches
84;Aitor Cantalapiedra\Aitor-Cantalapiedra;es ESP;FW;Twente;23;1996;20.3;4;0;0;29;56;4;127;11;9;;;0;Matches
85;Àlex Carbonell\Alex-Carbonell;es ESP;MF;Fortuna Sittard;21;1997;7.7;3;0;0;10;6;0;1;11;7;;;0;Matches
86;Lee Cattermole\Lee-Cattermole;eng ENG;MF;VVV-Venlo;31;1988;8.7;4;0;0;14;6;0;5;15;6;;;0;Matches
87;Václav Černý\Vaclav-Cerny;cz CZE;FW;Utrecht;21;1997;3.8;1;0;0;8;2;2;20;5;4;;;0;Matches
88;Michael Chacon\Michael-Chacon;nl NED;MF;Emmen;25;1994;22.4;8;0;0;42;40;0;11;28;33;;;0;Matches
89;Paweł Cibicki\Pawel-Cibicki;se SWE;FW;ADO Den Haag;25;1994;1.3;0;0;0;0;1;0;1;0;0;;;0;Matches
90;Jeremy Cijntje\Jeremy-Cijntje;cw CUW;MFFW;Heracles Almelo;21;1998;2.7;1;0;0;2;6;0;9;4;2;;;0;Matches
91;Amadou Ciss\Amadou-Ciss;sn SEN;MFFW;Fortuna Sittard;19;1999;21.0;3;1;0;24;31;8;15;27;16;;;0;Matches
92;Max Clark\Max-Clark;eng ENG;DF;Vitesse;23;1996;21.9;2;0;0;15;13;0;109;55;26;;;0;Matches
93;Jordy Clasie\Jordy-Clasie;nl NED;MFDF;AZ Alkmaar;28;1991;10.1;2;0;0;7;3;0;2;16;17;;;0;Matches
94;Pelle Clement\Pelle-Clement;nl NED;MF;Zwolle;23;1996;23.2;6;0;0;19;28;0;24;23;24;;;0;Matches
95;Tim Coremans\Tim-Coremans;nl NED;GK;Sparta R'dam;28;1991;10.0;1;1;0;1;0;0;0;0;0;;;0;Matches
96;Karim Coulibaly\Karim-Coulibaly;fr FRA;MF;Willem II;26;1993;0.1;0;0;0;1;0;0;0;0;0;;;0;Matches
97;George Cox\George-Cox;eng ENG;DF;Fortuna Sittard;;;20.1;2;1;0;10;31;0;40;25;46;;;0;Matches
98;Vito van Crooy\Vito-van-Crooy;nl NED;FW;Zwolle;23;1996;11.1;4;0;0;15;24;9;33;5;5;;;0;Matches
99;Lennart-Marten Czyborra\Lennart-Marten-Czyborra;de GER;DF;Heracles Almelo;20;1999;18.4;2;0;0;14;22;0;57;15;42;;;0;Matches
100;Adrián Dalmau\Adrian-Dalmau;es ESP;FW;Utrecht;25;1994;4.0;0;0;0;4;5;5;0;2;0;;;0;Matches
101;Vitalie Damașcan\Vitalie-Damascan;md MDA;FW;Fortuna Sittard;20;1999;12.1;2;0;0;14;9;14;2;3;1;;;0;Matches
102;Wessel Dammers\Wessel-Dammers;nl NED;DF;Fortuna Sittard;24;1995;9.1;3;0;0;9;7;0;0;5;16;;;0;Matches
103;Lennerd Daneels\Lennerd-Daneels;be BEL;FW;RKC Waalwijk;21;1998;1.8;1;0;0;2;1;1;8;1;0;;;0;Matches
104;Danilo\Danilo;br BRA;FW;Ajax;20;1999;0.2;0;0;0;0;0;0;1;0;0;;;0;Matches
105;Damil Dankerlui\Damil-Dankerlui;nl NED;DFMF;Willem II;22;1996;8.3;0;0;0;7;7;0;14;7;5;;;0;Matches
106;Oussama Darfalou\Oussama-Darfalou;dz ALG;FW;VVV-Venlo;25;1993;7.0;1;0;0;6;12;3;6;7;3;;;0;Matches
107;Oussama Darfalou\Oussama-Darfalou;dz ALG;FW;Vitesse;25;1993;0.6;1;0;0;1;2;0;3;2;1;;;0;Matches
108;Eli Dasa\Eli-Dasa;il ISR;DFMF;Vitesse;26;1992;8.4;0;0;0;9;4;0;34;9;8;;;0;Matches
109;Laurens De Bock\Laurens-De-Bock;be BEL;DF;ADO Den Haag;26;1992;6.8;1;0;0;5;2;0;13;9;15;;;0;Matches
110;Rick Dekker\Rick-Dekker;nl NED;MFDF;Zwolle;24;1995;13.2;4;0;0;11;7;0;0;23;18;;;0;Matches
111;Tristan Dekker\Tristan-Dekker;nl NED;DF;VVV-Venlo;21;1998;0.6;0;0;0;0;0;0;2;0;3;;;0;Matches
112;Hannes Delcroix\Hannes-Delcroix;be BEL;DF;RKC Waalwijk;20;1999;21.9;3;1;0;18;4;0;1;26;37;;;0;Matches
113;Arjen van der Heide\Arjen-van-der-Heide;nl NED;FW;Heerenveen;17;2001;0.3;0;0;0;1;0;0;2;1;0;;;0;Matches
114;Jan-Arie van der Heijden\Jan-Arie-van-der-Heijden;nl NED;DF;Feyenoord;31;1988;4.0;1;0;0;4;1;0;0;1;5;;;0;Matches
115;Mark van der Maarel\Mark-van-der-Maarel;nl NED;DF;Utrecht;29;1989;14.9;3;0;0;25;6;0;12;16;23;;;0;Matches
116;Richard van der Venne\Richard-van-der-Venne;nl NED;MF;RKC Waalwijk;27;1992;5.1;1;0;0;9;8;0;4;6;3;;;0;Matches
117;Silvester van der Water\Silvester-van-der-Water;nl NED;FWMF;Heracles Almelo;22;1996;17.5;4;0;0;14;37;1;24;32;7;;;0;Matches
118;Halil Dervişoğlu\Halil-Dervisoglu;tr TUR;FW;Sparta R'dam;19;1999;13.7;3;0;0;21;21;3;4;14;0;;;0;Matches
119;Cyriel Dessers\Cyriel-Dessers;be BEL;FW;Heracles Almelo;24;1994;24.7;1;0;0;52;12;26;21;6;2;;;0;Matches
120;Sergiño Dest\Sergino-Dest;us USA;DF;Ajax;18;2000;15.0;1;0;0;12;9;0;38;25;17;;;0;Matches
121;Nouha Dicko\Nouha-Dicko;ml MLI;FW;Vitesse;27;1992;12.4;1;0;0;8;13;5;41;13;8;;;0;Matches
