,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
131,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,26,2060,79,81.7,22.9,23,85,3,34,1,1.62,35,26,+9,+0.39,+0.78,32.8,21.5,+11.3,+0.49,+0.62,Matches
132,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,27,2360,87,93.7,26.2,27,87,0,,0,0.96,25,41,-16,-0.61,-0.61,31.1,39.5,-8.4,-0.32,+0.39,Matches
133,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,1,59,59,2.3,0.7,1,59,0,,8,0.00,0,2,-2,-3.05,-2.90,0.1,1.5,-1.4,-2.08,-1.99,Matches
134,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,263,66,10.8,2.9,4,66,0,,1,1.00,2,9,-7,-2.40,-1.94,2.5,5.9,-3.4,-1.17,-0.31,Matches
135,Anthony Driscoll-Glennon\Anthony-Driscoll-Glennon,eng ENG,DF,Burnley,19,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
136,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,13,170,13,6.7,1.9,0,,13,13,3,0.69,1,3,-2,-1.06,-0.14,2.9,3.8,-0.8,-0.44,+0.03,Matches
137,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,28,2520,90,100.0,28.0,28,90,0,,0,1.14,24,41,-17,-0.61,,22.5,45.4,-22.9,-0.82,,Matches
138,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,6,494,82,19.6,5.5,6,82,0,,0,1.17,3,6,-3,-0.55,+0.48,6.7,9.5,-2.8,-0.50,-0.04,Matches
139,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,15,1071,71,42.5,11.9,11,90,4,20,8,1.13,13,15,-2,-0.17,+0.20,12.9,16.7,-3.7,-0.31,-0.17,Matches
140,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,16,1229,77,48.8,13.7,14,83,2,37,3,1.38,14,20,-6,-0.44,+0.33,11.1,21.3,-10.2,-0.75,+0.14,Matches
141,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,26,2340,90,92.9,26.0,26,90,0,,0,1.08,31,36,-5,-0.19,+1.31,33.1,34.3,-1.1,-0.04,+2.43,Matches
142,Jake Eastwood\Jake-Eastwood,eng ENG,GK,Sheffield Utd,22,1996,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
143,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24,2081,87,85.6,23.1,24,87,0,,0,2.13,61,22,+39,+1.69,+1.69,60.7,20.9,+39.8,+1.72,+1.69,Matches
144,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26,2329,90,95.8,25.9,26,90,0,,0,1.50,26,22,+4,+0.15,+0.15,31.2,31.2,0.0,0.00,-0.15,Matches
145,Harvey Elliot\Harvey-Elliot,eng ENG,FW,Liverpool,,,1,,0,0.0,0.0,0,,1,0,3,3.00,0,0,0,,,0.0,0.0,0.0,,,Matches
146,Rob Elliot\Rob-Elliot,ie IRL,GK,Newcastle Utd,33,1986,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
147,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11,701,64,28.8,7.8,7,90,4,18,11,0.64,7,24,-17,-2.18,-2.13,7.4,19.7,-12.2,-1.57,-0.95,Matches
148,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16,1357,85,55.8,15.1,14,89,2,56,4,0.69,20,28,-8,-0.53,+0.31,19.7,29.6,-9.9,-0.66,+0.54,Matches
149,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,20,1092,55,43.3,12.1,10,88,10,22,3,1.30,20,17,+3,+0.25,0.00,14.9,18.5,-3.5,-0.29,-0.32,Matches
150,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,28,2486,89,98.7,27.6,28,89,0,,0,1.79,51,28,+23,+0.83,-7.11,42.7,34.4,+8.3,+0.30,-4.38,Matches
151,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,15,1219,81,48.4,13.5,15,81,0,,0,1.27,22,21,+1,+0.07,+1.11,15.5,24.9,-9.4,-0.69,+0.09,Matches
152,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,19,1354,71,53.7,15.0,14,90,5,19,1,2.74,36,15,+21,+1.40,-0.38,28.0,16.4,+11.6,+0.77,-0.43,Matches
153,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,22,22,0.9,0.2,1,22,0,,19,0.00,0,1,-1,-4.09,-3.19,0.1,0.9,-0.8,-3.22,-2.77,Matches
154,Akin Famewo\Akin-Famewo,eng ENG,DF,Norwich City,20,1998,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
155,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,18,1436,80,57.0,16.0,16,88,2,17,3,0.94,17,29,-12,-0.75,-0.42,21.8,27.8,-6.0,-0.37,-0.07,Matches
156,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,4,360,90,14.3,4.0,4,90,0,,0,2.00,6,1,+5,+1.25,+0.96,4.6,5.1,-0.5,-0.12,-0.72,Matches
157,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,4,40,10,1.6,0.4,0,,4,10,2,1.75,2,0,+2,+4.50,+4.32,2.6,0.3,+2.3,+5.21,+5.41,Matches
158,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,22,1718,78,68.2,19.1,19,89,3,8,4,1.27,19,25,-6,-0.31,+0.92,17.7,32.9,-15.3,-0.80,+0.06,Matches
159,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,22,1907,87,78.5,21.2,21,88,1,53,4,2.14,51,21,+30,+1.42,-0.13,49.3,18.8,+30.5,+1.44,-0.19,Matches
160,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,27,1991,28,2332,83,92.5,25.9,26,87,2,35,0,2.82,56,15,+41,+1.58,+0.15,51.0,24.3,+26.7,+1.03,+0.79,Matches
161,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,24,2099,87,86.4,23.3,24,87,0,,0,1.50,24,21,+3,+0.13,-0.14,28.4,29.3,-0.9,-0.04,-0.33,Matches
162,Phil Foden\Phil-Foden,eng ENG,MFFW,Manchester City,19,2000,13,264,20,10.9,2.9,2,70,11,11,13,2.85,12,4,+8,+2.73,+1.44,7.0,3.6,+3.4,+1.17,-0.35,Matches
163,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,23,1996,26,1377,53,54.6,15.3,14,79,12,23,1,1.04,21,25,-4,-0.26,+0.53,17.0,26.1,-9.1,-0.59,+0.32,Matches
164,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,31,1988,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
165,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,28,2520,90,100.0,28.0,28,90,0,,0,0.96,27,43,-16,-0.57,,33.5,43.3,-9.8,-0.35,,Matches
166,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,3,58,19,2.3,0.6,1,33,2,13,6,0.33,0,6,-6,-9.31,-8.94,0.4,3.9,-3.5,-5.48,-5.26,Matches
167,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,4,65,16,2.6,0.7,1,45,3,7,6,1.50,0,3,-3,-4.15,-4.52,0.8,0.7,+0.1,+0.08,+0.19,Matches
168,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,15,964,64,38.3,10.7,10,85,5,24,4,0.67,7,21,-14,-1.31,-1.13,10.1,19.5,-9.3,-0.87,-0.67,Matches
169,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,27,1973,73,78.3,21.9,20,88,7,29,0,0.96,21,33,-12,-0.55,+0.28,24.1,36.8,-12.6,-0.58,-0.54,Matches
170,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24,1937,81,76.9,21.5,21,89,3,19,0,1.54,33,24,+9,+0.42,-0.04,32.4,23.8,+8.6,+0.40,-0.43,Matches
171,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,20,1688,84,67.0,18.8,19,88,1,18,1,1.10,25,30,-5,-0.27,+0.71,20.0,33.5,-13.4,-0.72,+0.07,Matches
172,Kieron Freeman\Kieron-Freeman,wal WAL,DFMF,Sheffield Utd,27,1992,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
173,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,9,322,36,13.3,3.6,3,74,6,17,12,1.44,5,4,+1,+0.28,+0.15,5.0,3.0,+2.0,+0.55,+0.63,Matches
174,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8,634,79,25.2,7.0,7,90,1,4,1,2.00,11,6,+5,+0.71,-0.29,11.6,7.8,+3.7,+0.53,+0.23,Matches
175,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,6,269,45,11.1,3.0,2,90,4,22,5,2.50,7,5,+2,+0.67,-0.87,4.2,4.1,+0.2,+0.06,-1.60,Matches
176,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,1,8,8,0.3,0.1,0,,1,8,6,3.00,0,1,-1,-11.25,-11.72,0.4,0.3,+0.1,+1.49,+1.00,Matches
177,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,11,288,26,11.4,3.2,3,59,8,14,6,0.64,4,6,-2,-0.62,-0.02,2.8,4.4,-1.6,-0.50,+0.36,Matches
178,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,1612,90,64.0,17.9,17,90,1,82,10,1.11,25,26,-1,-0.06,-0.85,23.4,22.2,+1.2,+0.07,+0.50,Matches
179,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,2,135,68,5.4,1.5,1,90,1,45,0,2.00,1,0,+1,+0.67,+0.89,1.2,1.7,-0.5,-0.34,-0.58,Matches
180,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,28,2520,90,100.0,28.0,28,90,0,,0,1.50,42,30,+12,+0.43,,42.8,28.9,+14.0,+0.50,,Matches
181,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,24,1657,69,68.2,18.4,21,76,3,21,2,0.92,24,38,-14,-0.76,-0.29,23.0,35.9,-12.9,-0.70,+0.60,Matches
182,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,4,123,31,4.9,1.4,1,67,3,19,13,1.00,2,2,0,0.00,-0.26,1.2,2.2,-1.0,-0.71,-1.15,Matches
183,Ben Gibson\Ben-Gibson,eng ENG,DF,Burnley,26,1993,0,,,,,0,,0,,11,,,,,,,,,,,,Matches
184,Lewis Gibson\Lewis-Gibson,eng ENG,DF,Everton,19,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
185,Liam Gibson\Liam-Gibson,eng ENG,DF,Newcastle Utd,22,1997,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
186,Billy Gilmour\Billy-Gilmour,sco SCO,MFFW,Chelsea,18,2001,2,9,5,0.4,0.1,0,,2,5,3,2.00,0,1,-1,-10.00,-10.32,0.3,0.1,+0.2,+2.12,+1.38,Matches
187,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,8,356,45,14.1,4.0,4,69,4,20,7,1.38,4,7,-3,-0.76,-1.22,5.5,4.6,+0.9,+0.22,-0.61,Matches
188,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,20,1745,87,69.2,19.4,20,87,0,,1,0.90,20,38,-18,-0.93,0.00,23.1,32.7,-9.6,-0.50,-0.07,Matches
189,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,10,698,70,27.7,7.8,8,83,2,19,0,1.20,9,9,0,0.00,+0.25,10.2,7.4,+2.8,+0.36,+0.20,Matches
190,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,2,19,10,0.8,0.2,0,,2,10,3,1.50,0,1,-1,-4.74,-5.20,0.2,0.2,0.0,0.00,-0.51,Matches
191,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,38,1981,0,,,,,0,,0,,28,,,,,,,,,,,,Matches
192,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,18,1186,66,47.1,13.2,13,90,5,3,9,3.00,32,4,+28,+2.12,+1.05,29.1,12.2,+16.9,+1.28,+0.59,Matches
193,Mace Goodridge\Mace-Goodridge,eng ENG,MF,Burnley,19,1999,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
194,Anthony Gordon\Anthony-Gordon,eng ENG,MF,Everton,18,2001,1,45,45,1.8,0.5,0,,1,45,5,1.00,0,0,0,0.00,+0.18,0.8,0.3,+0.5,+1.02,+0.82,Matches
195,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,15,873,58,34.6,9.7,10,80,5,14,2,0.73,6,16,-10,-1.03,-0.65,9.1,15.7,-6.6,-0.68,-0.34,Matches
196,Lee Grant\Lee-Grant,eng ENG,GK,Manchester Utd,36,1983,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
197,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,19,710,37,28.2,7.9,7,72,12,17,9,0.63,6,17,-11,-1.39,-1.15,11.2,13.2,-2.0,-0.25,+0.14,Matches
198,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,14,411,29,16.3,4.6,2,76,12,22,9,2.21,13,4,+9,+1.97,+1.25,8.1,5.3,+2.8,+0.61,+0.30,Matches
199,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,25,2244,90,92.3,24.9,25,90,0,,0,1.00,32,48,-16,-0.64,+0.33,28.7,50.1,-21.5,-0.86,+0.44,Matches
200,Mason Greenwood\Mason-Greenwood,eng ENG,FWMF,Manchester Utd,17,2001,22,646,29,25.6,7.2,4,81,18,18,5,1.32,15,9,+6,+0.84,+0.55,12.7,6.2,+6.5,+0.91,+0.55,Matches
201,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,9,407,45,16.2,4.5,4,76,5,20,1,0.33,3,6,-3,-0.66,-0.07,4.4,7.1,-2.7,-0.59,-0.16,Matches
202,Pascal Groß\Pascal-Gross,de GER,MFFW,Brighton,28,1991,23,1492,65,59.2,16.6,18,78,5,19,5,1.00,21,25,-4,-0.24,+0.11,20.8,22.7,-1.9,-0.12,+0.25,Matches
203,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,26,2340,90,92.9,26.0,26,90,0,,0,1.35,23,28,-5,-0.19,+0.81,25.4,33.2,-7.8,-0.30,+0.60,Matches
204,Marc Guéhi\Marc-Guehi,eng ENG,DF,Chelsea,19,2000,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
205,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,22,1591,72,65.5,17.7,17,88,5,20,4,1.41,23,27,-4,-0.23,-0.98,23.2,27.0,-3.9,-0.22,-0.21,Matches
206,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22,1810,82,74.5,20.1,20,89,2,18,2,1.00,28,32,-4,-0.20,+1.83,24.0,38.7,-14.6,-0.73,+0.66,Matches
207,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,24,1499,62,61.7,16.7,16,84,8,19,2,2.00,34,24,+10,+0.60,-2.20,38.9,17.3,+21.7,+1.30,-0.47,Matches
208,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,900,90,35.7,10.0,10,90,0,,18,0.80,9,25,-16,-1.60,-1.60,12.6,15.3,-2.7,-0.27,-0.49,Matches
209,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,26,2058,79,81.7,22.9,23,87,3,20,1,1.00,30,39,-9,-0.39,+0.58,28.0,42.1,-14.1,-0.62,+0.67,Matches
210,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14,1172,84,46.5,13.0,13,89,1,12,3,0.86,12,24,-12,-0.92,+0.01,13.5,21.1,-7.6,-0.58,-0.20,Matches
211,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,32,1987,0,,,,,0,,0,,28,,,,,,,,,,,,Matches
212,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,11,990,90,40.7,11.0,11,90,0,,1,0.91,11,24,-13,-1.18,-0.87,11.0,23.5,-12.4,-1.13,-0.40,Matches
