,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
527,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,14,1136,81,45.1,12.6,13,86,1,22,9,0.79,13,23,-10,-0.79,-0.40,15.1,17.3,-2.3,-0.18,-0.42,Matches
528,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,12,438,37,17.4,4.9,4,86,8,12,12,1.58,9,6,+3,+0.62,+0.44,8.4,5.0,+3.3,+0.69,+0.37,Matches
529,João Virgínia\Joao-Virginia,pt POR,GK,Everton,19,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
530,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,35,1983,0,,,,,0,,0,,9,,,,,,,,,,,,Matches
531,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,11,355,32,14.1,3.9,4,78,7,6,8,0.64,4,8,-4,-1.01,-0.10,3.5,5.5,-2.0,-0.52,-0.05,Matches
532,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9,308,34,12.2,3.4,2,70,7,24,9,0.89,6,1,+5,+1.46,+1.91,4.2,3.5,+0.7,+0.19,+0.38,Matches
533,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,20,1025,51,40.7,11.4,14,66,6,16,2,1.55,18,12,+6,+0.53,+1.19,20.2,11.0,+9.2,+0.81,+1.00,Matches
534,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,21,1809,86,74.4,20.1,21,86,0,,5,1.95,49,22,+27,+1.34,-0.40,49.8,18.3,+31.5,+1.57,+0.35,Matches
535,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,3,242,81,9.6,2.7,3,81,0,,2,1.33,5,4,+1,+0.37,+0.13,3.3,3.9,-0.6,-0.24,-0.14,Matches
536,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,1,73,73,2.9,0.8,1,73,0,,1,0.00,1,2,-1,-1.23,-0.68,0.5,0.4,+0.1,+0.12,+0.07,Matches
537,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,25,2241,90,88.9,24.9,25,90,0,,1,1.52,39,28,+11,+0.44,+0.12,38.8,26.2,+12.6,+0.51,+0.08,Matches
538,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,2,23,12,0.9,0.3,0,,2,12,2,1.50,0,2,-2,-7.83,-8.15,0.2,0.3,-0.1,-0.43,-0.32,Matches
539,Danny Ward\Danny-Ward,wal WAL,GK,Leicester City,26,1993,0,,,,,0,,0,,28,,,,,,,,,,,,Matches
540,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,19,1483,78,58.8,16.5,17,85,2,15,0,1.16,14,18,-4,-0.24,+0.02,17.6,19.3,-1.7,-0.10,+0.59,Matches
541,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,28,2520,90,100.0,28.0,28,90,0,,0,1.21,35,51,-16,-0.57,,39.4,37.9,+1.4,+0.05,,Matches
542,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
543,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,22,1926,88,76.4,21.4,22,88,0,,5,0.91,22,33,-11,-0.51,-0.97,26.6,32.3,-5.7,-0.27,-0.21,Matches
544,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,8,261,33,10.4,2.9,3,57,5,18,2,0.38,0,3,-3,-1.03,-0.52,3.3,4.0,-0.7,-0.24,+0.12,Matches
545,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,25,2250,90,89.3,25.0,25,90,0,,0,1.52,32,28,+4,+0.16,+3.49,28.2,30.1,-1.9,-0.08,+0.58,Matches
546,Alfie Whiteman\Alfie-Whiteman,eng ENG,GK,Tottenham,20,1998,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
547,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,6,90,15,3.6,1.0,0,,6,15,7,1.00,3,2,+1,+1.00,+1.30,2.2,1.7,+0.5,+0.51,+0.88,Matches
548,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,27,2242,83,89.0,24.9,27,83,0,,0,2.81,54,17,+37,+1.49,-0.78,46.2,25.5,+20.7,+0.83,-1.25,Matches
549,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,19,1498,79,59.4,16.6,18,81,1,36,2,1.21,18,24,-6,-0.36,+0.61,15.5,29.3,-13.9,-0.83,-0.04,Matches
550,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11,682,62,27.1,7.6,8,84,3,3,9,1.45,16,9,+7,+0.92,+0.68,13.2,8.4,+4.7,+0.62,+0.17,Matches
551,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
552,Willian\Willian,br BRA,FW,Chelsea,30,1988,27,1858,69,73.7,20.6,20,86,7,20,0,1.67,35,21,+14,+0.68,+1.49,37.4,17.9,+19.5,+0.94,+0.77,Matches
553,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,19,1999,19,574,30,23.6,6.4,6,66,13,14,5,1.21,9,11,-2,-0.31,-0.56,8.4,11.6,-3.1,-0.49,-0.45,Matches
554,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,6,175,29,6.9,1.9,2,51,4,19,1,0.83,1,4,-3,-1.54,-1.12,0.9,3.8,-2.9,-1.51,-0.82,Matches
555,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,27,2260,84,89.7,25.1,25,87,2,37,0,0.89,27,44,-17,-0.68,-0.68,28.3,42.4,-14.1,-0.56,-1.00,Matches
556,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,23,1446,63,57.4,16.1,19,69,4,33,2,0.96,19,28,-9,-0.56,+0.11,18.0,24.3,-6.3,-0.39,+0.15,Matches
557,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,23,1594,69,63.3,17.7,19,79,4,23,3,1.52,27,27,0,0.00,-0.68,22.8,28.5,-5.7,-0.32,-0.57,Matches
558,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,25,1979,79,78.5,22.0,24,81,1,32,0,1.40,23,27,-4,-0.18,+0.15,22.3,27.7,-5.4,-0.25,-0.50,Matches
559,Sam Woods\Sam-Woods,eng ENG,DF,Crystal Palace,20,1998,0,,,,,0,,0,,7,,,,,,,,,,,,Matches
560,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,21,1818,87,74.8,20.2,21,87,0,,0,1.52,31,25,+6,+0.30,+0.74,27.5,27.9,-0.4,-0.02,+0.49,Matches
561,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MF,West Ham,29,1989,15,828,55,32.9,9.2,9,71,6,32,0,1.27,9,14,-5,-0.54,-0.06,10.7,16.5,-5.9,-0.64,+0.15,Matches
562,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,12,772,64,30.6,8.6,8,86,4,22,3,1.17,8,11,-3,-0.35,+0.37,9.4,15.8,-6.4,-0.75,+0.10,Matches
563,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,8,558,70,22.1,6.2,6,90,2,9,15,1.00,5,18,-13,-2.10,-1.96,7.1,11.3,-4.2,-0.68,-0.94,Matches
564,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,12,954,80,37.9,10.6,10,90,2,29,8,1.50,12,10,+2,+0.19,-0.39,15.9,9.3,+6.7,+0.63,+0.21,Matches
565,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,10,589,59,23.4,6.5,6,87,4,17,18,0.60,5,14,-9,-1.38,-1.14,7.7,13.3,-5.6,-0.86,-0.15,Matches
566,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,28,2455,88,97.4,27.3,27,90,1,25,0,1.29,25,32,-7,-0.26,-0.26,26.9,36.5,-9.6,-0.35,-0.31,Matches
567,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,15,1296,86,51.4,14.4,15,86,0,,0,0.73,13,21,-8,-0.56,+0.77,18.2,20.1,-1.9,-0.13,+0.70,Matches
568,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,11,829,75,34.1,9.2,9,87,2,25,2,2.00,22,9,+13,+1.41,-0.05,24.1,10.0,+14.1,+1.53,+0.07,Matches
569,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,21,1713,82,68.0,19.0,18,88,3,46,4,1.57,31,27,+4,+0.21,-0.24,31.5,19.9,+11.5,+0.61,-0.42,Matches
