Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK;xG;npxG;xA;xGPerM;xAPerM;xG+xA;npxGPerM;npxG+xA
de Leverkusen;18;2;22;180;5;4;1;1;5;0;2.50;2.00;4.50;2.00;4.00;4.6;3.8;3.8;2.28;1.88;4.16;1.90;3.78
bg Ludogorets;22;6;88;720;11;8;1;1;19;3;1.83;1.33;3.17;1.67;3.00;7.0;6.2;5.4;1.17;0.91;2.07;1.04;1.95
ch Lugano;24;6;66;540;2;2;0;0;14;0;0.33;0.33;0.67;0.33;0.67;4.2;4.2;3.4;0.70;0.57;1.27;0.70;1.27
de M'gladbach;19;6;66;540;5;4;1;1;15;0;0.83;0.67;1.50;0.67;1.33;10.4;9.6;7.5;1.73;1.25;2.98;1.60;2.86
se Malmö;22;6;88;720;8;6;2;2;23;0;1.33;1.00;2.33;1.00;2.00;7.7;6.3;4.7;1.28;0.79;2.07;1.05;1.84
eng Manchester Utd;35;6;88;720;16;11;3;3;8;0;2.67;1.83;4.50;2.17;4.00;14.9;12.6;7.7;2.48;1.28;3.75;2.10;3.38
gr Olympiacos;17;2;22;210;2;2;0;0;6;0;1.00;1.00;2.00;1.00;2.00;1.5;1.5;1.3;0.74;0.66;1.40;0.74;1.40
rs Partizan;21;6;66;540;10;7;1;1;9;0;1.67;1.17;2.83;1.50;2.67;10.4;9.6;6.8;1.73;1.13;2.86;1.61;2.73
pt Porto;22;6;88;720;9;8;0;0;25;1;1.50;1.33;2.83;1.50;2.83;12.2;12.2;8.4;2.04;1.40;3.44;2.04;3.44
nl PSV Eindhoven;22;6;66;540;7;6;1;1;7;0;1.17;1.00;2.17;1.00;2.00;6.9;6.2;5.2;1.15;0.86;2.01;1.03;1.89
az Qarabağ Ağdam;19;6;66;540;8;7;1;1;11;1;1.33;1.17;2.50;1.17;2.33;9.3;8.6;6.9;1.55;1.14;2.69;1.43;2.57
sco Rangers;21;6;88;720;12;9;0;2;18;1;2.00;1.50;3.50;2.00;3.50;9.4;7.9;6.7;1.57;1.11;2.68;1.31;2.43
at RB Salzburg;19;2;22;180;3;2;1;1;4;0;1.50;1.00;2.50;1.00;2.00;3.0;2.3;1.7;1.51;0.86;2.37;1.13;1.99
fr Rennes;25;6;66;540;5;2;1;2;15;2;0.83;0.33;1.17;0.67;1.00;7.2;5.6;3.8;1.19;0.64;1.83;0.94;1.58
it Roma;25;6;88;720;13;10;2;2;18;0;2.17;1.67;3.83;1.83;3.50;13.7;12.3;10.9;2.28;1.81;4.09;2.05;3.86
no Rosenborg;21;6;66;540;3;1;0;0;8;0;0.50;0.17;0.67;0.50;0.67;5.0;5.0;3.2;0.83;0.53;1.36;0.83;1.36
fr Saint-Étienne;27;6;66;540;5;3;1;1;11;0;0.83;0.50;1.33;0.67;1.17;4.7;4.0;3.0;0.79;0.49;1.28;0.66;1.16
es Sevilla;28;6;88;720;15;11;0;1;13;0;2.50;1.83;4.33;2.50;4.33;18.5;17.7;14.9;3.08;2.48;5.55;2.95;5.43
ua Shakhtar;16;2;22;180;4;3;0;0;3;0;2.00;1.50;3.50;2.00;3.50;2.2;2.2;1.9;1.10;0.93;2.02;1.10;2.02
sk Slovan Bratislava;18;6;66;540;9;6;0;1;15;0;1.50;1.00;2.50;1.50;2.50;6.2;5.3;4.2;1.03;0.69;1.72;0.88;1.57
pt Sporting CP;26;6;88;750;15;11;2;2;19;1;2.50;1.83;4.33;2.17;4.00;9.7;8.2;5.8;1.61;0.97;2.58;1.36;2.33
be Standard Liège;21;6;66;540;7;3;1;1;13;0;1.17;0.50;1.67;1.00;1.50;6.3;5.6;4.3;1.06;0.72;1.78;0.93;1.65
tr Trabzonspor;27;6;66;540;3;2;0;0;13;0;0.50;0.33;0.83;0.50;0.83;4.4;4.4;3.1;0.73;0.51;1.24;0.73;1.24
pt Vitória;22;6;66;540;7;6;0;0;13;0;1.17;1.00;2.17;1.17;2.17;6.1;6.1;3.7;1.01;0.62;1.63;1.01;1.63
at Wolfsberger AC;19;6;66;540;6;4;0;0;14;1;1.00;0.67;1.67;1.00;1.67;5.7;5.7;4.1;0.95;0.69;1.64;0.95;1.64
de Wolfsburg;24;6;88;720;13;12;1;1;16;0;2.17;2.00;4.17;2.00;4.00;11.4;10.6;9.3;1.89;1.55;3.44;1.77;3.32
eng Wolves;24;6;88;720;17;13;1;2;14;1;2.83;2.17;5.00;2.67;4.83;13.5;12.0;8.3;2.25;1.38;3.63;2.00;3.38
ch Young Boys;19;6;66;540;7;3;3;3;9;0;1.17;0.50;1.67;0.67;1.17;8.3;6.0;3.8;1.38;0.64;2.02;1.00;1.64
