"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
478;Petar Škuletić\Petar-Skuletic;rs SRB;FW;Montpellier;29;1990;1.1;0;0.1;-0.1;1;17;26;65.4;2;2;100.0;13;21;61.9;2;3;66.7;10;6;0;0;0;0;0;2;0;Matches
479;Islam Slimani\Islam-Slimani;dz ALG;FW;Monaco;31;1988;14.1;7;4.2;+2.8;30;376;534;70.4;8;33;24.2;306;393;77.9;62;108;57.4;107;367;1;12;0;4;44;26;6;Matches
480;Oumar Solet\Oumar-Solet;fr FRA;DF;Lyon;19;2000;0.1;0;0.0;0.0;0;4;5;80.0;0;0;;2;2;100.0;2;3;66.7;0;5;0;0;0;0;0;0;0;Matches
481;Adama Soumaoro\Adama-Soumaoro;fr FRA;DF;Lille;27;1992;4.6;0;0.0;0.0;0;328;340;96.5;3;5;60.0;227;234;97.0;98;101;97.0;28;295;7;0;0;1;8;0;0;Matches
482;Boubakary Soumaré\Boubakary-Soumare;fr FRA;MF;Lille;20;1999;13.4;0;0.6;-0.6;11;672;744;90.3;12;19;63.2;484;523;92.5;176;202;87.1;119;592;10;1;0;1;92;5;1;Matches
483;Bryan Soumaré\Bryan-Soumare;fr FRA;MFFW;Dijon;20;1999;4.2;0;0.4;-0.4;5;99;147;67.3;2;8;25.0;78;104;75.0;19;35;54.3;117;18;4;2;12;1;5;5;0;Matches
484;Arnaud Souquet\Arnaud-Souquet;fr FRA;DF;Montpellier;27;1992;22.4;0;1.2;-1.2;13;808;1064;75.9;12;56;21.4;681;806;84.5;115;202;56.9;119;647;14;1;0;237;52;9;1;Matches
485;Bassem Srarfi\Bassem-Srarfi;tn TUN;FWDF;Nice;22;1997;1.5;0;0.1;-0.1;1;42;50;84.0;1;4;25.0;34;37;91.9;7;9;77.8;42;7;2;0;0;1;0;2;0;Matches
486;Vlatko Stojanovski\Vlatko-Stojanovski;mk MKD;FW;Nîmes;22;1997;1.3;0;0.1;-0.1;3;20;28;71.4;0;4;0.0;17;21;81.0;3;3;100.0;8;16;0;0;0;0;1;1;1;Matches
487;Kevin Strootman\Kevin-Strootman;nl NED;MF;Marseille;29;1990;15.6;3;0.9;+2.1;12;824;941;87.6;20;35;57.1;638;696;91.7;166;210;79.0;756;115;40;1;0;11;83;9;1;Matches
488;Mathías Suárez\Mathias-Suarez;uy URU;DF;Montpellier;23;1996;0.7;0;0.0;0.0;0;19;27;70.4;1;5;20.0;15;17;88.2;3;5;60.0;1;14;1;0;0;12;0;0;0;Matches
489;Danijel Subašić\Danijel-Subasic;hr CRO;GK;Monaco;34;1984;0.0;0;0.0;0.0;0;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;Matches
490;Stoppila Sunzu\Stoppila-Sunzu;zm ZAM;DF;Metz;30;1989;15.0;0;0.0;0.0;0;454;520;87.3;7;14;50.0;308;325;94.8;139;181;76.8;51;437;11;0;0;2;14;0;0;Matches
491;Issiaga Sylla\Issiaga-Sylla;gn GUI;DF;Toulouse;25;1994;27.0;2;1.6;+0.4;22;1047;1415;74.0;16;48;33.3;860;1043;82.5;171;324;52.8;908;150;35;1;3;233;74;22;15;Matches
492;Moussa Sylla\Moussa-Sylla;fr FRA;FW;Monaco;19;1999;0.1;0;0.0;0.0;0;2;2;100.0;0;0;;2;2;100.0;0;0;;0;2;0;0;0;0;0;0;0;Matches
493;Eddy Sylvestre\Eddy-Sylvestre;fr FRA;MF;Nice;19;1999;0.4;0;0.0;0.0;0;14;18;77.8;0;1;0.0;11;13;84.6;3;4;75.0;16;2;0;0;0;0;3;0;0;Matches
494;Flavien Tait\Flavien-Tait;fr FRA;MFFW;Rennes;26;1993;8.8;1;1.1;-0.1;13;267;365;73.2;4;21;19.0;218;274;79.6;45;70;64.3;37;299;3;1;3;7;17;20;3;Matches
495;Mahdi Talal\Mahdi-Talal;fr FRA;FW;Amiens;21;1997;0.2;0;0.0;0.0;0;3;4;75.0;0;1;0.0;2;2;100.0;1;1;100.0;1;3;0;0;0;0;0;0;0;Matches
496;Adrien Tameze\Adrien-Tameze;cm CMR;MF;Nice;25;1994;5.8;0;0.4;-0.4;7;206;238;86.6;10;12;83.3;173;189;91.5;23;37;62.2;30;204;4;1;0;1;15;6;0;Matches
497;Adil Taoui\Adil-Taoui;fr FRA;MF;Toulouse;17;2001;0.3;0;0.0;0.0;0;0;1;0.0;0;0;;0;0;;0;1;0.0;0;1;0;0;0;0;0;0;0;Matches
498;Ciprian Tătărușanu\Ciprian-Tatarusanu;ro ROU;GK;Lyon;33;1986;2.0;0;0.0;0.0;0;54;59;91.5;0;0;;26;26;100.0;28;33;84.8;11;30;1;0;0;0;0;0;0;Matches
499;Júlio Tavares\Julio-Tavares;cv CPV;FW;Dijon;30;1988;21.2;2;2.6;-0.6;32;362;535;67.7;20;49;40.8;308;415;74.2;34;71;47.9;78;227;4;2;0;15;27;12;1;Matches
500;Ally Taylor\Ally-Taylor;fr FRA;MF;Toulouse;;;0.1;0;0.0;0.0;0;5;9;55.6;0;0;;4;6;66.7;1;3;33.3;0;9;0;0;2;0;1;0;0;Matches
501;Aurélien Tchouaméni\Aurelien-Tchouameni;fr FRA;MF;Bordeaux;19;2000;12.4;1;0.1;+0.9;4;592;688;86.0;6;17;35.3;467;526;88.8;119;145;82.1;76;578;16;0;0;0;44;2;0;Matches
502;Aurélien Tchouaméni\Aurelien-Tchouameni;fr FRA;MF;Monaco;19;2000;0.7;0;0.0;0.0;1;21;24;87.5;1;1;100.0;17;20;85.0;3;3;100.0;2;20;3;0;0;0;0;0;0;Matches
503;Martin Terrier\Martin-Terrier;fr FRA;FWMF;Lyon;22;1997;13.0;2;1.3;+0.7;14;341;432;78.9;10;21;47.6;287;336;85.4;44;75;58.7;37;352;12;2;10;2;24;6;0;Matches
504;Kenny Tete\Kenny-Tete;nl NED;DF;Lyon;23;1995;11.8;1;1.2;-0.2;12;684;842;81.2;7;39;17.9;563;635;88.7;114;168;67.9;32;649;10;1;0;129;47;11;3;Matches
505;Florian Thauvin\Florian-Thauvin;fr FRA;FW;Marseille;26;1993;0.2;0;0.0;0.0;0;12;12;100.0;0;0;;12;12;100.0;0;0;;10;2;0;0;0;0;0;0;0;Matches
506;Sada Thioub\Sada-Thioub;sn SEN;MFFW;Angers;24;1995;15.8;1;1.7;-0.7;24;527;660;79.8;12;36;33.3;458;527;86.9;57;97;58.8;76;544;6;3;2;14;41;18;2;Matches
