"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
554;Bassem Srarfi\Bassem-Srarfi;tn TUN;FWDF;Nice;22;1997;3;132;44;5.4;1.5;1;75;2;29;5;2.00;2;2;0;0.00;-0.08;1.6;1.5;+0.2;+0.13;+0.43;Matches
555;Vlatko Stojanovski\Vlatko-Stojanovski;mk MKD;FW;Nîmes;22;1997;6;119;20;4.9;1.3;1;59;5;12;11;0.17;0;1;-1;-0.76;-0.25;1.2;2.2;-1.0;-0.79;-0.31;Matches
556;Kevin Strootman\Kevin-Strootman;nl NED;MF;Marseille;29;1990;25;1408;56;55.9;15.6;15;88;10;9;0;2.00;21;17;+4;+0.26;-0.39;22.1;20.4;+1.7;+0.11;-0.03;Matches
557;Mathías Suárez\Mathias-Suarez;uy URU;DF;Montpellier;23;1996;1;61;61;2.5;0.7;1;61;0;;9;0.00;0;1;-1;-1.48;-1.74;0.9;0.3;+0.6;+0.93;+0.96;Matches
558;Danijel Subašić\Danijel-Subasic;hr CRO;GK;Monaco;34;1984;1;;0;0.0;0.0;0;;1;0;16;3.00;4;1;+3;;;0.0;0.0;0.0;;;Matches
559;Stoppila Sunzu\Stoppila-Sunzu;zm ZAM;DF;Metz;30;1989;17;1351;79;55.6;15.0;14;87;3;46;1;0.94;13;23;-10;-0.67;-0.75;16.1;19.2;-3.1;-0.20;+0.17;Matches
560;Sanasi Sy\Sanasi-Sy;fr FRA;DF;Amiens;20;1999;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
561;Seydou Sy\Seydou-Sy;sn SEN;GK;Monaco;23;1995;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
562;Issiaga Sylla\Issiaga-Sylla;gn GUI;DF;Toulouse;25;1994;27;2430;90;100.0;27.0;27;90;0;;0;0.48;21;56;-35;-1.30;;30.2;42.6;-12.4;-0.46;;Matches
563;Moussa Sylla\Moussa-Sylla;fr FRA;FW;Monaco;19;1999;1;9;9;0.4;0.1;0;;1;9;0;0.00;0;0;0;0.00;-0.04;0.1;0.1;0.0;-0.24;-0.56;Matches
564;Eddy Sylvestre\Eddy-Sylvestre;fr FRA;MF;Nice;19;1999;1;36;36;1.5;0.4;0;;1;36;2;3.00;1;1;0;0.00;-0.08;0.4;0.5;-0.1;-0.33;-0.05;Matches
565;Flavien Tait\Flavien-Tait;fr FRA;MFFW;Rennes;26;1993;16;790;49;32.5;8.8;8;81;8;18;5;1.56;9;9;0;0.00;-0.49;11.5;10.9;+0.6;+0.07;-0.15;Matches
566;Mahdi Talal\Mahdi-Talal;fr FRA;FW;Amiens;21;1997;2;18;9;0.7;0.2;0;;2;9;5;2.00;0;0;0;0.00;+0.68;0.0;0.0;0.0;-0.20;+0.14;Matches
567;Adrien Tameze\Adrien-Tameze;cm CMR;MF;Nice;25;1994;8;519;65;21.4;5.8;6;81;2;18;5;1.25;8;11;-3;-0.52;-0.76;7.6;8.2;-0.6;-0.10;+0.23;Matches
568;Adil Taoui\Adil-Taoui;fr FRA;MF;Toulouse;17;2001;2;23;12;0.9;0.3;0;;2;12;1;0.00;0;0;0;0.00;+1.31;0.2;0.1;+0.2;+1.39;+1.86;Matches
569;Ciprian Tătărușanu\Ciprian-Tatarusanu;ro ROU;GK;Lyon;33;1986;2;180;90;7.4;2.0;2;90;0;;22;1.50;4;2;+2;+1.00;+0.44;2.5;2.0;+0.5;+0.24;-0.16;Matches
570;Júlio Tavares\Julio-Tavares;cv CPV;FW;Dijon;30;1988;22;1907;87;78.5;21.2;21;89;1;33;0;1.14;22;28;-6;-0.28;+0.58;24.3;35.9;-11.6;-0.55;-0.14;Matches
571;Ally Taylor\Ally-Taylor;fr FRA;MF;Toulouse;;;1;11;11;0.5;0.1;0;;1;11;0;0.00;0;0;0;0.00;+1.30;0.2;0.1;+0.2;+1.39;+1.86;Matches
572;Aurélien Tchouaméni\Aurelien-Tchouameni;fr FRA;MF;Bordeaux;19;2000;15;1113;74;45.8;12.4;13;83;2;17;5;1.60;21;13;+8;+0.65;+0.78;12.0;15.8;-3.9;-0.31;-0.34;Matches
573;Aurélien Tchouaméni\Aurelien-Tchouameni;fr FRA;MF;Monaco;19;2000;3;62;21;2.6;0.7;0;;3;21;2;1.33;0;1;-1;-1.45;-1.53;1.5;1.1;+0.4;+0.57;+0.26;Matches
