"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
67;Robert Berić\Robert-Beric;si SVN;FWMF;Saint-Étienne;28;1991;4.6;1;0;0;7;1;0;14.3;1.54;0.22;0.14;1.00;1.2;1.2;0.18;-0.2;-0.2;Matches
68;Paul Bernardoni\Paul-Bernardoni;fr FRA;GK;Nîmes;22;1997;23.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
69;Juan Bernat\Juan-Bernat;es ESP;DFMF;Paris S-G;26;1993;15.4;0;0;0;6;1;0;16.7;0.39;0.06;0.00;0.00;0.5;0.5;0.09;-0.5;-0.5;Matches
70;Dimitry Bertaud\Dimitry-Bertaud;fr FRA;GKFW;Montpellier;21;1998;2.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
71;El Bilal Touré\El-Bilal-Toure;ml MLI;FW;Reims;17;2001;4.1;2;2;2;6;2;0;33.3;1.47;0.49;0.00;0.00;2.1;0.7;0.12;-0.1;-0.7;Matches
72;Ludovic Blas\Ludovic-Blas;fr FRA;FWMF;Nantes;21;1997;19.7;5;0;0;43;18;0;41.9;2.18;0.91;0.12;0.28;2.6;2.6;0.06;+2.4;+2.4;Matches
73;Alexis Blin\Alexis-Blin;fr FRA;MF;Amiens;22;1996;20.5;0;0;0;2;0;0;0.0;0.10;0.00;0.00;;0.2;0.2;0.09;-0.2;-0.2;Matches
74;Antonin Bobichon\Antonin-Bobichon;fr FRA;MF;Nîmes;23;1995;2.0;0;0;0;2;0;0;0.0;1.00;0.00;0.00;;0.0;0.0;0.01;0.0;0.0;Matches
75;Antonin Bobichon\Antonin-Bobichon;fr FRA;MF;Angers;23;1995;6.3;1;0;0;19;4;1;21.1;3.04;0.64;0.05;0.25;1.0;1.0;0.05;0.0;0.0;Matches
76;Mathieu Bodmer\Mathieu-Bodmer;fr FRA;MF;Amiens;36;1982;0.9;1;0;0;4;2;0;50.0;4.56;2.28;0.25;0.50;0.3;0.3;0.07;+0.7;+0.7;Matches
77;Sacha Boey\Sacha-Boey;fr FRA;DF;Rennes;18;2000;1.8;0;0;0;1;0;0;0.0;0.56;0.00;0.00;;0.1;0.1;0.08;-0.1;-0.1;Matches
78;Quentin Boisgard\Quentin-Boisgard;fr FRA;MFFW;Toulouse;22;1997;11.9;0;0;0;17;1;2;5.9;1.43;0.08;0.00;0.00;0.7;0.7;0.04;-0.7;-0.7;Matches
79;Gabriel Boschilia\Gabriel-Boschilia;br BRA;MFFW;Monaco;23;1996;1.4;0;0;0;5;0;1;0.0;3.52;0.00;0.00;;0.2;0.2;0.03;-0.2;-0.2;Matches
80;Denis Bouanga\Denis-Bouanga;ga GAB;FWDF;Saint-Étienne;24;1994;21.7;9;3;3;73;32;2;43.8;3.36;1.47;0.08;0.19;9.1;6.8;0.09;-0.1;-0.8;Matches
81;Hicham Boudaoui\Hicham-Boudaoui;dz ALG;MFFW;Nice;19;1999;5.4;0;0;0;4;3;0;75.0;0.73;0.55;0.00;0.00;0.8;0.8;0.20;-0.8;-0.8;Matches
82;Ryad Boudebouz\Ryad-Boudebouz;dz ALG;MFFW;Saint-Étienne;29;1990;16.9;1;1;1;24;5;5;20.8;1.42;0.30;0.00;0.00;1.7;1.0;0.04;-0.7;-1.0;Matches
83;Farid Boulaya\Farid-Boulaya;dz ALG;FW;Metz;26;1993;8.2;2;0;0;22;8;6;36.4;2.70;0.98;0.09;0.25;1.9;1.9;0.09;+0.1;+0.1;Matches
84;Benjamin Bourigeaud\Benjamin-Bourigeaud;fr FRA;MF;Rennes;25;1994;20.9;2;0;0;40;10;10;25.0;1.91;0.48;0.05;0.20;2.3;2.3;0.06;-0.3;-0.3;Matches
85;Bilal Boutobba\Bilal-Boutobba;fr FRA;MFDF;Montpellier;20;1998;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
86;John Boye\John-Boye;gh GHA;DF;Metz;32;1987;22.5;1;0;0;3;1;0;33.3;0.13;0.04;0.33;1.00;1.0;1.0;0.33;0.0;0.0;Matches
87;Domagoj Bradarić\Domagoj-Bradaric;hr CRO;DF;Lille;19;1999;14.8;0;0;0;5;0;1;0.0;0.34;0.00;0.00;;0.3;0.3;0.07;-0.3;-0.3;Matches
88;Anthony Briançon\Anthony-Briancon;fr FRA;DF;Nîmes;24;1994;19.3;1;0;0;17;3;0;17.6;0.88;0.16;0.06;0.33;1.5;1.5;0.09;-0.5;-0.5;Matches
89;Jimmy Briand\Jimmy-Briand;fr FRA;FW;Bordeaux;33;1985;17.0;7;1;1;27;10;0;37.0;1.59;0.59;0.22;0.60;5.7;4.9;0.18;+1.3;+1.1;Matches
90;Dylan Bronn\Dylan-Bronn;tn TUN;DF;Metz;24;1995;8.0;0;0;0;2;1;0;50.0;0.25;0.12;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
91;Lucas Buadés\Lucas-Buades;fr FRA;FW;Nîmes;21;1997;1.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
92;Patrick Burner\Patrick-Burner;fr FRA;DF;Nice;23;1996;15.9;1;0;0;7;1;0;14.3;0.44;0.06;0.14;1.00;0.2;0.2;0.03;+0.8;+0.8;Matches
93;Ludovic Butelle\Ludovic-Butelle;fr FRA;GK;Angers;36;1983;25.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
94;Marcin Bułka\Marcin-Bulka;pl POL;GK;Paris S-G;19;1999;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
95;Yohan Cabaye\Yohan-Cabaye;fr FRA;MF;Saint-Étienne;33;1986;9.6;0;0;0;11;3;1;27.3;1.15;0.31;0.00;0.00;0.7;0.7;0.06;-0.7;-0.7;Matches
96;Manuel Cabit\Manuel-Cabit;mq MTQ;DF;Metz;26;1993;3.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
97;Anthony Caci\Anthony-Caci;fr FRA;DF;Strasbourg;22;1997;7.7;1;0;0;4;3;0;75.0;0.52;0.39;0.25;0.33;0.2;0.2;0.05;+0.8;+0.8;Matches
98;Jhonder Cádiz\Jhonder-Cadiz;ve VEN;FWMF;Dijon;24;1995;8.7;2;0;0;29;12;0;41.4;3.35;1.39;0.07;0.17;2.5;2.5;0.09;-0.5;-0.5;Matches
99;Mathieu Cafaro\Mathieu-Cafaro;fr FRA;FWMF;Reims;22;1997;10.3;1;1;1;38;14;6;36.8;3.68;1.35;0.00;0.00;2.8;2.0;0.05;-1.8;-2.0;Matches
100;Jonathan Cafu\Jonathan-Cafu;br BRA;DF;Bordeaux;28;1991;2.2;0;0;0;1;0;0;0.0;0.45;0.00;0.00;;0.1;0.1;0.10;-0.1;-0.1;Matches
101;Arturo Calabresi\Arturo-Calabresi;it ITA;DF;Amiens;23;1996;20.9;1;0;0;6;1;0;16.7;0.29;0.05;0.17;1.00;0.8;0.8;0.13;+0.2;+0.2;Matches
102;Duje Ćaleta-Car\Duje-Caleta-Car;hr CRO;DF;Marseille;22;1996;20.9;1;0;0;15;4;0;26.7;0.72;0.19;0.07;0.25;1.3;1.3;0.09;-0.3;-0.3;Matches
103;Mahdi Camara\Mahdi-Camara;fr FRA;MF;Saint-Étienne;21;1998;9.2;0;0;0;5;2;0;40.0;0.55;0.22;0.00;0.00;0.3;0.3;0.06;-0.3;-0.3;Matches
