"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
349;Danny Post\Danny-Post;nl NED;MF;VVV-Venlo;30;1989;17.9;1;0;0;12;2;;16.7;0.67;0.11;0.08;0.50;Matches
350;Romano Postema\Romano-Postema;nl NED;FW;Groningen;17;2002;2.8;0;0;0;6;1;;16.7;2.13;0.36;0.00;0.00;Matches
351;Quincy Promes\Quincy-Promes;nl NED;FWMF;Ajax;27;1992;15.6;11;0;0;54;28;;51.9;3.46;1.79;0.20;0.39;Matches
352;Robin Pröpper\Robin-Propper;nl NED;DF;Heracles Almelo;25;1993;17.1;0;0;0;17;4;;23.5;1.00;0.23;0.00;0.00;Matches
353;Paul Quasten\Paul-Quasten;cz CZE;DF;RKC Waalwijk;34;1985;9.9;1;0;0;5;2;;40.0;0.51;0.20;0.20;0.50;Matches
354;Johnny Quiñónez\Johnny-Quinonez;ec ECU;MF;Willem II;21;1998;1.1;0;0;0;2;0;;0.0;1.76;0.00;0.00;;Matches
355;Freddy Quispel\Freddy-Quispel;nl NED;FW;Emmen;;;0.3;0;0;0;1;0;;0.0;3.33;0.00;0.00;;Matches
356;Patrik Raitanen\Patrik-Raitanen;fi FIN;DF;Fortuna Sittard;18;2001;0.3;0;0;0;1;0;;0.0;3.10;0.00;0.00;;Matches
357;Bart Ramselaar\Bart-Ramselaar;nl NED;MF;Utrecht;23;1996;10.8;3;0;0;12;6;;50.0;1.11;0.56;0.25;0.50;Matches
358;Jan Ras\Jan-Ras;nl NED;MF;Heerenveen;20;1999;0.5;0;0;0;0;0;;;0.00;0.00;;;Matches
359;Mohamed Rayhi\Mohamed-Rayhi;nl NED;MFFW;Sparta R'dam;25;1994;20.8;7;1;2;57;21;;36.8;2.73;1.01;0.11;0.29;Matches
360;Daishawn Redan\Daishawn-Redan;nl NED;FW;Groningen;18;2001;3.0;0;0;0;1;1;;100.0;0.34;0.34;0.00;0.00;Matches
361;Tijjani Reijnders\Tijjani-Reijnders;nl NED;MF;RKC Waalwijk;21;1998;5.0;0;0;0;11;2;;18.2;2.19;0.40;0.00;0.00;Matches
362;Tijjani Reijnders\Tijjani-Reijnders;nl NED;MF;AZ Alkmaar;21;1998;0.4;0;0;0;1;1;;100.0;2.37;2.37;0.00;0.00;Matches
363;Etiënne Reijnen\Etienne-Reijnen;nl NED;DF;Zwolle;32;1987;2.9;0;0;0;0;0;;;0.00;0.00;;;Matches
364;Ricardo van Rhijn\Ricardo-van-Rhijn;nl NED;DF;Heerenveen;28;1991;15.4;0;0;0;17;5;;29.4;1.11;0.33;0.00;0.00;Matches
365;Ben Rienstra\Ben-Rienstra;nl NED;MF;Heerenveen;29;1990;0.8;0;0;0;0;0;;;0.00;0.00;;;Matches
366;Daan Rienstra\Daan-Rienstra;nl NED;MF;RKC Waalwijk;26;1992;18.6;0;0;0;6;2;;33.3;0.32;0.11;0.00;0.00;Matches
367;Dante Rigo\Dante-Rigo;be BEL;MFFW;Sparta R'dam;20;1998;9.1;0;0;0;9;3;;33.3;0.99;0.33;0.00;0.00;Matches
368;Ricardo Rodríguez\Ricardo-Rodriguez;ch SUI;DF;PSV Eindhoven;26;1992;4.2;0;0;0;6;1;;16.7;1.42;0.24;0.00;0.00;Matches
369;Godfried Roemeratoe\Godfried-Roemeratoe;nl NED;MF;Twente;19;1999;12.4;0;0;0;3;0;;0.0;0.24;0.00;0.00;;Matches
370;Mitchell van Rooijen\Mitchell-van-Rooijen;nl NED;MF;Utrecht;20;1998;0.7;0;0;0;1;1;;100.0;1.36;1.36;0.00;0.00;Matches
371;Ruben Roosken\Ruben-Roosken;nl NED;DF;Emmen;;;0.5;0;0;0;1;0;;0.0;2.00;0.00;0.00;;Matches
