"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
556;Lars Unnerstall\Lars-Unnerstall;de GER;GK;PSV Eindhoven;29;1990;13;1170;90;52.0;13.0;13;90;0;;7;1.69;25;13;+12;+0.92;-0.16;Matches
557;Etienne Vaessen\Etienne-Vaessen;nl NED;GK;RKC Waalwijk;24;1995;23;2022;88;89.9;22.5;23;88;0;;0;0.61;22;49;-27;-1.20;+0.38;Matches
558;Dario Van den Buijs\Dario-Van-den-Buijs;be BEL;DF;Heracles Almelo;23;1995;11;426;39;18.9;4.7;4;78;7;16;14;1.45;4;8;-4;-0.85;-1.24;Matches
559;Jeroen Van der Lely\Jeroen-Van-der-Lely;nl NED;DF;Twente;23;1996;0;;;;;0;;0;;2;;;;;;;Matches
560;Đoàn Văn Hậu\Djoan-Van-Hau;vn VIE;DF;Heerenveen;20;1999;0;;;;;0;;0;;16;;;;;;;Matches
561;Bruno Varela\Bruno-Varela;pt POR;GK;Ajax;24;1994;1;90;90;4.2;1.0;1;90;0;;23;0.00;1;2;-1;-1.00;-2.91;Matches
562;Keziah Veendorp\Keziah-Veendorp;nl NED;DF;Emmen;22;1997;18;1384;77;61.5;15.4;14;89;4;33;7;1.11;16;26;-10;-0.65;-0.03;Matches
563;Joey Veerman\Joey-Veerman;nl NED;MF;Heerenveen;20;1998;21;1677;80;74.5;18.6;19;86;2;22;0;1.33;30;32;-2;-0.11;-0.74;Matches
564;Marko Vejinović\Marko-Vejinovic;nl NED;MF;AZ Alkmaar;29;1990;0;;;;;0;;0;;1;;;;;;;Matches
565;Odysseus Velanas\Odysseus-Velanas;nl NED;MF;Utrecht;21;1998;0;;;;;0;;0;;2;;;;;;;Matches
566;Lars Veldwijk\Lars-Veldwijk;za RSA;FW;Sparta R'dam;27;1991;15;453;30;20.1;5.0;3;72;12;20;1;1.27;7;11;-4;-0.79;-1.00;Matches
567;Stefan Velkov\Stefan-Velkov;bg BUL;DF;RKC Waalwijk;22;1996;3;270;90;12.0;3.0;3;90;0;;3;0.00;1;7;-6;-2.00;-0.86;Matches
