"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
76;Thomas Bruns\Thomas-Bruns;nl NED;MF;Zwolle;27;1992;8;5;443;1;0;0;0;1;0;0.20;0.00;0.20;0.20;0.20;Matches
77;Thomas Bruns\Thomas-Bruns;nl NED;MF;VVV-Venlo;27;1992;5;5;419;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
78;Thomas Buitink\Thomas-Buitink;nl NED;MFFW;Vitesse;19;2000;16;2;375;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
79;Mick van Buren\Mick-van-Buren;nl NED;FW;ADO Den Haag;26;1992;4;1;92;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
80;Wouter Burger\Wouter-Burger;nl NED;MF;Feyenoord;18;2001;6;2;242;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
81;Delano Burgzorg\Delano-Burgzorg;nl NED;FW;Heracles Almelo;20;1998;4;4;332;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
82;Lorenzo Burnet\Lorenzo-Burnet;nl NED;DF;Emmen;28;1991;19;18;1526;0;3;0;0;4;1;0.00;0.18;0.18;0.00;0.18;Matches
83;Oriol Busquets\Oriol-Busquets;es ESP;MFDF;Twente;20;1999;20;19;1597;0;1;0;0;2;0;0.00;0.06;0.06;0.00;0.06;Matches
84;Aitor Cantalapiedra\Aitor-Cantalapiedra;es ESP;FW;Twente;23;1996;21;21;1824;7;4;4;5;4;0;0.35;0.20;0.54;0.15;0.35;Matches
85;Àlex Carbonell\Alex-Carbonell;es ESP;MF;Fortuna Sittard;21;1997;17;7;690;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
86;Lee Cattermole\Lee-Cattermole;eng ENG;MF;VVV-Venlo;31;1988;11;9;779;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
87;Václav Černý\Vaclav-Cerny;cz CZE;FW;Utrecht;21;1997;12;3;346;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
88;Michael Chacon\Michael-Chacon;nl NED;MF;Emmen;25;1994;23;23;2013;0;0;0;0;8;0;0.00;0.00;0.00;0.00;0.00;Matches
89;Paweł Cibicki\Pawel-Cibicki;se SWE;FW;ADO Den Haag;25;1994;3;1;117;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
90;Jeremy Cijntje\Jeremy-Cijntje;cw CUW;MFFW;Heracles Almelo;21;1998;8;2;244;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
91;Amadou Ciss\Amadou-Ciss;sn SEN;MFFW;Fortuna Sittard;19;1999;22;22;1891;6;3;0;0;3;1;0.29;0.14;0.43;0.29;0.43;Matches
92;Max Clark\Max-Clark;eng ENG;DF;Vitesse;23;1996;23;22;1969;1;3;0;0;2;0;0.05;0.14;0.18;0.05;0.18;Matches
93;Jordy Clasie\Jordy-Clasie;nl NED;MFDF;AZ Alkmaar;28;1991;17;9;907;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
94;Pelle Clement\Pelle-Clement;nl NED;MF;Zwolle;23;1996;24;24;2086;2;3;0;0;6;0;0.09;0.13;0.22;0.09;0.22;Matches
95;Tim Coremans\Tim-Coremans;nl NED;GK;Sparta R'dam;28;1991;10;10;899;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;Matches
96;Karim Coulibaly\Karim-Coulibaly;fr FRA;MF;Willem II;26;1993;1;0;9;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
97;George Cox\George-Cox;eng ENG;DF;Fortuna Sittard;;;21;21;1812;1;0;0;0;2;1;0.05;0.00;0.05;0.05;0.05;Matches
98;Vito van Crooy\Vito-van-Crooy;nl NED;FW;Zwolle;23;1996;16;11;1002;0;1;0;0;4;0;0.00;0.09;0.09;0.00;0.09;Matches
99;Lennart-Marten Czyborra\Lennart-Marten-Czyborra;de GER;DF;Heracles Almelo;20;1999;19;19;1652;2;2;0;0;2;0;0.11;0.11;0.22;0.11;0.22;Matches
100;Adrián Dalmau\Adrian-Dalmau;es ESP;FW;Utrecht;25;1994;6;3;358;3;0;0;0;0;0;0.75;0.00;0.75;0.75;0.75;Matches
101;Vitalie Damașcan\Vitalie-Damascan;md MDA;FW;Fortuna Sittard;20;1999;19;13;1091;6;1;0;0;2;0;0.49;0.08;0.58;0.49;0.58;Matches
102;Wessel Dammers\Wessel-Dammers;nl NED;DF;Fortuna Sittard;24;1995;11;9;817;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
103;Lennerd Daneels\Lennerd-Daneels;be BEL;FW;RKC Waalwijk;21;1998;7;1;158;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
104;Danilo\Danilo;br BRA;FW;Ajax;20;1999;1;0;18;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
105;Damil Dankerlui\Damil-Dankerlui;nl NED;DFMF;Willem II;22;1996;15;7;746;1;3;0;0;0;0;0.12;0.36;0.48;0.12;0.48;Matches
106;Oussama Darfalou\Oussama-Darfalou;dz ALG;FW;VVV-Venlo;25;1993;7;7;630;3;0;1;1;1;0;0.43;0.00;0.43;0.29;0.29;Matches
107;Oussama Darfalou\Oussama-Darfalou;dz ALG;FW;Vitesse;25;1993;6;0;54;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
108;Eli Dasa\Eli-Dasa;il ISR;DFMF;Vitesse;26;1992;9;8;753;0;1;0;0;0;0;0.00;0.12;0.12;0.00;0.12;Matches
109;Laurens De Bock\Laurens-De-Bock;be BEL;DF;ADO Den Haag;26;1992;7;7;615;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
110;Rick Dekker\Rick-Dekker;nl NED;MFDF;Zwolle;24;1995;17;13;1185;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
111;Tristan Dekker\Tristan-Dekker;nl NED;DF;VVV-Venlo;21;1998;4;0;56;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
112;Hannes Delcroix\Hannes-Delcroix;be BEL;DF;RKC Waalwijk;20;1999;22;22;1967;1;1;0;0;3;1;0.05;0.05;0.09;0.05;0.09;Matches
113;Arjen van der Heide\Arjen-van-der-Heide;nl NED;FW;Heerenveen;17;2001;5;0;31;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
114;Jan-Arie van der Heijden\Jan-Arie-van-der-Heijden;nl NED;DF;Feyenoord;31;1988;5;5;360;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
115;Mark van der Maarel\Mark-van-der-Maarel;nl NED;DF;Utrecht;29;1989;16;15;1339;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
116;Richard van der Venne\Richard-van-der-Venne;nl NED;MF;RKC Waalwijk;27;1992;6;6;459;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
117;Silvester van der Water\Silvester-van-der-Water;nl NED;FWMF;Heracles Almelo;22;1996;22;19;1575;5;2;0;0;4;0;0.29;0.11;0.40;0.29;0.40;Matches
118;Halil Dervişoğlu\Halil-Dervisoglu;tr TUR;FW;Sparta R'dam;19;1999;17;15;1232;5;3;1;1;3;0;0.37;0.22;0.58;0.29;0.51;Matches
119;Cyriel Dessers\Cyriel-Dessers;be BEL;FW;Heracles Almelo;24;1994;25;25;2222;15;5;1;1;1;0;0.61;0.20;0.81;0.57;0.77;Matches
120;Sergiño Dest\Sergino-Dest;us USA;DF;Ajax;18;2000;19;14;1354;0;4;0;0;1;0;0.00;0.27;0.27;0.00;0.27;Matches
121;Nouha Dicko\Nouha-Dicko;ml MLI;FW;Vitesse;27;1992;18;13;1120;4;1;0;0;1;0;0.32;0.08;0.40;0.32;0.40;Matches
