id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
72;Guido Burgstaller\Guido-Burgstaller;at AUT;FW;Schalke 04;30;1989;12.2;2;0;0;19;16;15;11;2;6;0;0;0;56;26;78;25.0;Matches
73;Jonathan Burkardt\Jonathan-Burkardt;de GER;FWDF;Mainz 05;19;2000;1.0;0;0;0;1;2;0;1;0;3;0;0;0;9;1;2;33.3;Matches
74;Roman Bürki\Roman-Burki;ch SUI;GK;Dortmund;28;1990;21.8;0;0;0;0;2;0;0;1;0;0;0;0;124;0;0;;Matches
75;Daniel Caligiuri\Daniel-Caligiuri;it ITA;MFFW;Schalke 04;31;1988;18.1;4;0;0;21;28;1;90;20;21;0;0;0;181;38;31;55.1;Matches
76;Emre Can\Emre-Can;de GER;MF;Dortmund;25;1994;4.7;2;0;0;6;11;0;4;10;12;0;0;0;60;3;2;60.0;Matches
77;Koen Casteels\Koen-Casteels;be BEL;GK;Wolfsburg;27;1992;17.0;0;0;0;0;3;0;0;0;0;0;0;0;98;0;0;;Matches
78;Timothy Chandler\Timothy-Chandler;us USA;DFMF;Eint Frankfurt;29;1990;10.4;3;0;0;9;9;4;48;10;8;0;0;0;69;35;23;60.3;Matches
79;Kwon Chang-hoon\Kwon-Chang-hoon;kr KOR;MFFW;Freiburg;25;1994;5.8;0;0;0;2;15;2;10;4;4;1;0;0;55;14;18;43.8;Matches
80;Darko Churlinov\Darko-Churlinov;mk MKD;FW;Köln;19;2000;0.2;0;0;0;1;0;1;2;1;0;0;0;0;3;0;1;0.0;Matches
81;Per Ciljan Skjelbred\Per-Ciljan-Skjelbred;no NOR;MF;Hertha BSC;32;1987;13.4;3;0;0;17;7;0;3;17;23;0;0;0;130;17;12;58.6;Matches
82;Jamilu Collins\Jamilu-Collins;ng NGA;DF;Paderborn 07;24;1994;20.6;8;1;1;31;22;1;26;56;34;0;1;0;270;20;17;54.1;Matches
83;Kingsley Coman\Kingsley-Coman;fr FRA;FWMF;Bayern Munich;23;1996;11.1;1;0;0;6;21;3;57;0;10;1;0;0;74;4;11;26.7;Matches
84;Jhon Córdoba\Jhon-Cordoba;co COL;FW;Köln;26;1993;15.5;5;0;0;35;50;17;9;3;8;0;0;0;73;36;55;39.6;Matches
85;Sergio Córdova\Sergio-Cordova;ve VEN;FW;Augsburg;21;1997;2.9;0;0;0;5;9;1;2;1;1;0;0;0;19;8;24;25.0;Matches
86;Danny da Costa\Danny-da-Costa;de GER;DFMF;Eint Frankfurt;26;1993;11.4;0;0;0;6;5;3;62;12;15;0;0;0;88;22;24;47.8;Matches
87;Philippe Coutinho\Philippe-Coutinho;br BRA;MFFW;Bayern Munich;27;1992;15.4;0;0;0;5;23;3;40;6;25;1;0;0;91;6;9;40.0;Matches
88;Mickaël Cuisance\Mickael-Cuisance;fr FRA;MF;Bayern Munich;19;1999;0.4;1;0;0;5;0;0;2;0;1;0;0;0;4;0;0;;Matches
89;Matheus Cunha\Matheus-Cunha;br BRA;FW;Hertha BSC;20;1999;3.4;2;0;0;10;16;1;2;3;5;0;0;0;19;2;10;16.7;Matches
90;Matheus Cunha\Matheus-Cunha;br BRA;FWMF;RB Leipzig;20;1999;3.0;0;0;0;9;6;3;1;1;4;0;0;0;26;6;9;40.0;Matches
91;Rafael Czichos\Rafael-Czichos;de GER;DF;Köln;29;1990;18.9;3;1;1;19;16;1;5;29;29;0;2;1;198;50;26;65.8;Matches
92;Moanes Dabour\Moanes-Dabour;il ISR;FWMF;Hoffenheim;27;1992;3.3;1;0;0;9;7;0;4;1;6;0;0;0;19;4;6;40.0;Matches
93;Mahmoud Dahoud\Mahmoud-Dahoud;de GER;MF;Dortmund;23;1996;3.3;0;0;0;6;2;0;3;3;4;0;0;0;33;3;4;42.9;Matches
94;Leon Dajaku\Leon-Dajaku;de GER;DF;Bayern Munich;18;2001;0.1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;;Matches
95;Vladimír Darida\Vladimir-Darida;cz CZE;MF;Hertha BSC;28;1990;17.7;7;1;1;27;18;1;67;18;32;0;0;0;175;16;26;38.1;Matches
96;Alphonso Davies\Alphonso-Davies;ca CAN;DF;Bayern Munich;18;2000;17.7;0;0;0;18;24;3;49;27;37;0;0;0;260;22;20;52.4;Matches
97;Thomas Delaney\Thomas-Delaney;dk DEN;MF;Dortmund;27;1991;5.3;2;0;0;13;7;0;1;18;6;0;0;1;65;16;7;69.6;Matches
98;Kerem Demirbay\Kerem-Demirbay;de GER;MF;Leverkusen;26;1993;12.4;3;1;1;18;13;1;91;13;17;0;0;0;119;13;11;54.2;Matches
99;Diego Demme\Diego-Demme;de GER;MF;RB Leipzig;27;1991;13.5;3;0;0;19;13;0;8;12;28;0;0;0;139;10;17;37.0;Matches
100;Moussa Diaby\Moussa-Diaby;fr FRA;FWMF;Leverkusen;20;1999;12.6;1;0;0;10;15;6;48;5;3;0;0;0;78;2;9;18.2;Matches
101;Javairô Dilrosun\Javairo-Dilrosun;nl NED;MFFW;Hertha BSC;21;1998;12.9;2;0;0;4;15;3;31;17;5;0;0;0;95;4;12;25.0;Matches
102;Bas Dost\Bas-Dost;nl NED;FW;Eint Frankfurt;30;1989;10.8;1;0;0;7;9;7;1;2;2;0;0;0;45;77;37;67.5;Matches
103;Mohamed Dräger\Mohamed-Drager;tn TUN;DF;Paderborn 07;23;1996;10.5;1;0;0;12;17;0;33;14;19;0;0;0;110;7;8;46.7;Matches
104;Aleksandar Dragović\Aleksandar-Dragovic;at AUT;DF;Leverkusen;28;1991;6.0;4;1;1;12;3;0;0;5;11;0;1;0;62;13;4;76.5;Matches
105;Dominick Drexler\Dominick-Drexler;de GER;MFFW;Köln;29;1990;13.3;4;0;0;21;26;7;28;18;15;0;1;0;120;14;26;35.0;Matches
106;Ondrej Duda\Ondrej-Duda;sk SVK;MFFW;Hertha BSC;24;1994;5.0;2;0;0;12;11;0;7;5;3;0;0;0;43;7;11;38.9;Matches
107;Erik Durm\Erik-Durm;de GER;DF;Eint Frankfurt;27;1992;5.5;0;0;0;4;3;0;19;4;8;0;0;0;58;5;10;33.3;Matches
108;Johannes Eggestein\Johannes-Eggestein;de GER;MFFW;Werder Bremen;21;1998;5.2;3;1;1;6;6;1;12;3;3;0;0;0;53;2;11;15.4;Matches
109;Maximilian Eggestein\Maximilian-Eggestein;de GER;MFDF;Werder Bremen;22;1996;21.7;5;0;0;25;25;0;20;20;19;0;0;0;208;26;25;51.0;Matches
110;Kingsley Ehizibue\Kingsley-Ehizibue;nl NED;DF;Köln;24;1995;20.2;5;1;0;42;26;1;53;34;43;0;1;0;149;31;19;62.0;Matches
111;Nico Elvedi\Nico-Elvedi;ch SUI;DF;M'gladbach;22;1996;21.7;3;0;0;14;17;1;1;59;32;0;0;0;264;71;46;60.7;Matches
112;Breel Embolo\Breel-Embolo;ch SUI;FWMF;M'gladbach;22;1997;12.6;4;0;0;34;33;12;3;6;11;1;0;0;63;15;32;31.9;Matches
113;Alexander Esswein\Alexander-Esswein;de GER;FWMF;Hertha BSC;29;1990;0.5;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0.0;Matches
114;Simon Falette\Simon-Falette;gn GUI;DF;Eint Frankfurt;27;1992;1.0;0;0;0;0;1;0;0;5;1;0;0;0;17;2;0;100.0;Matches
115;Ohis Felix Uduokhai\Ohis-Felix-Uduokhai;de GER;DF;Augsburg;21;1997;14.5;1;0;0;5;9;0;0;27;16;0;0;0;166;60;29;67.4;Matches
116;Edimilson Fernandes\Edimilson-Fernandes;ch SUI;MFDF;Mainz 05;23;1996;13.3;6;1;1;15;4;0;12;28;24;0;0;0;149;11;9;55.0;Matches
117;Gelson Fernandes\Gelson-Fernandes;ch SUI;MF;Eint Frankfurt;32;1986;7.5;5;1;1;25;2;0;2;19;19;0;0;0;86;7;23;23.3;Matches
118;Oliver Fink\Oliver-Fink;de GER;MFFW;Düsseldorf;37;1982;7.4;2;0;0;13;15;0;8;13;20;1;0;0;85;42;32;56.8;Matches
119;Alfreð Finnbogason\Alfred-Finnbogason;is ISL;FW;Augsburg;30;1989;8.7;1;0;0;11;7;4;0;3;4;0;0;0;47;10;37;21.3;Matches
120;Mark Flekken\Mark-Flekken;nl NED;GK;Freiburg;26;1993;9.0;0;0;0;1;0;0;0;1;0;0;0;0;51;0;0;;Matches
121;Emil Forsberg\Emil-Forsberg;se SWE;MF;RB Leipzig;27;1991;10.5;0;0;0;10;18;1;21;5;10;0;0;0;60;7;13;35.0;Matches
122;Raphael Framberger\Raphael-Framberger;de GER;DF;Augsburg;23;1995;7.0;1;0;0;11;6;1;17;15;11;0;1;0;66;7;8;46.7;Matches
123;Mike Frantz\Mike-Frantz;de GER;MFDF;Freiburg;32;1986;2.9;2;0;0;6;5;0;5;0;2;0;0;0;24;6;5;54.5;Matches
124;Marco Friedl\Marco-Friedl;at AUT;DF;Werder Bremen;21;1998;16.5;6;0;0;19;27;0;36;18;31;0;0;0;113;13;12;52.0;Matches
125;Marvin Friedrich\Marvin-Friedrich;de GER;DF;Union Berlin;23;1995;23.0;7;1;1;32;13;0;5;30;30;0;0;0;230;80;43;65.0;Matches
126;Samúel Friðjónsson\Samuel-Fridjonsson;is ISL;MF;Paderborn 07;23;1996;1.9;1;0;0;2;0;0;0;2;1;0;0;0;23;1;4;20.0;Matches
127;Niclas Füllkrug\Niclas-Fullkrug;de GER;FW;Werder Bremen;26;1993;3.2;1;0;0;8;6;2;1;1;1;0;0;0;10;19;21;47.5;Matches
128;Mijat Gaćinović\Mijat-Gacinovic;rs SRB;MFFW;Eint Frankfurt;24;1995;8.0;0;0;0;13;17;0;9;14;11;0;0;0;69;4;7;36.4;Matches
129;Theodor Gebre Selassie\Theodor-Gebre-Selassie;cz CZE;DF;Werder Bremen;32;1986;17.5;1;0;0;13;14;2;18;49;18;1;0;0;107;38;31;55.1;Matches
130;Dennis Geiger\Dennis-Geiger;de GER;MF;Hoffenheim;21;1998;10.5;2;0;0;18;10;0;41;5;10;0;0;0;79;6;12;33.3;Matches
131;Christian Gentner\Christian-Gentner;de GER;MF;Union Berlin;33;1985;21.4;4;0;0;23;29;3;19;38;24;1;0;0;226;24;24;50.0;Matches
132;Yannick Gerhardt\Yannick-Gerhardt;de GER;MF;Wolfsburg;25;1994;7.7;1;0;0;10;18;1;14;9;14;0;0;0;87;8;8;50.0;Matches
133;Niko Gießelmann\Niko-Giesselmann;de GER;DF;Düsseldorf;27;1991;16.8;4;0;0;18;29;0;71;19;20;0;0;0;140;25;13;65.8;Matches
134;Rafał Gikiewicz\Rafal-Gikiewicz;pl POL;GK;Union Berlin;31;1987;25.0;0;0;0;2;4;0;0;1;0;0;2;0;134;0;0;;Matches
135;Daniel Ginczek\Daniel-Ginczek;de GER;FW;Wolfsburg;28;1991;3.9;0;0;0;2;4;2;1;0;1;0;0;0;20;10;18;35.7;Matches
136;Matthias Ginter\Matthias-Ginter;de GER;DF;M'gladbach;25;1994;21.9;2;0;0;9;18;1;8;24;17;0;0;0;235;66;44;60.0;Matches
137;Klaus Gjasula\Klaus-Gjasula;al ALB;MF;Paderborn 07;29;1989;19.6;12;0;0;40;10;0;4;22;36;0;0;0;234;42;33;56.0;Matches
138;Serge Gnabry\Serge-Gnabry;de GER;FWMF;Bayern Munich;24;1995;18.0;0;0;0;8;20;12;63;11;19;0;0;0;111;3;9;25.0;Matches
