Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tkl;TklW;Def 3rdDef;Mid 3rdDef;Att 3rdDef;TklVsDr;Att;Tkl%;Past;Press;Succ;%;DefPre 3rdDefPre;MidPre 3rdDefPre;AttPre 3rdDefPre;Blocks;Sh;ShSv;Pass;Int;Clr;Err;Matches
286;Darwin Machís\Darwin-Machis;ve VEN;FWMF;Granada;26;1993;15.8;21;14;8;8;5;8;23;34.8;15;242;66;27.3;66;109;67;26;2;0;24;19;8;0;Matches
287;Lisandro Magallán\Lisandro-Magallan;ar ARG;DF;Alavés;25;1993;8.3;15;7;11;4;0;3;8;37.5;5;49;11;22.4;34;15;0;15;8;0;7;7;55;1;Matches
288;Nemanja Maksimović\Nemanja-Maksimovic;rs SRB;MF;Getafe;24;1995;23.5;44;29;10;28;6;10;37;27.0;27;542;155;28.6;103;340;99;37;6;0;31;39;47;1;Matches
289;Hugo Mallo\Hugo-Mallo;es ESP;DF;Celta Vigo;28;1991;17.4;47;22;36;10;1;18;42;42.9;24;217;52;24.0;113;79;25;33;5;0;28;19;80;0;Matches
290;Aïssa Mandi\Aissa-Mandi;dz ALG;DF;Betis;27;1991;21.6;27;13;17;9;1;12;24;50.0;12;138;40;29.0;70;58;10;35;16;0;19;35;112;1;Matches
291;Eliaquim Mangala\Eliaquim-Mangala;fr FRA;DF;Valencia;28;1991;3.5;1;1;1;0;0;1;1;100.0;0;19;8;42.1;11;6;2;3;1;0;2;2;17;0;Matches
292;Marcelo\Marcelo;br BRA;DF;Real Madrid;31;1988;10.4;10;7;4;4;2;4;19;21.1;15;108;36;33.3;35;48;25;15;1;0;14;13;12;0;Matches
293;Óscar de Marcos\Oscar-de-Marcos;es ESP;FW;Athletic Bilbao;30;1989;2.1;0;0;0;0;0;0;2;0.0;2;26;3;11.5;6;11;9;2;0;0;2;1;0;0;Matches
294;José María Giménez\Jose-Maria-Gimenez;uy URU;DF;Atlético Madrid;24;1995;11.0;18;9;13;4;1;6;12;50.0;6;55;14;25.5;32;21;2;12;4;0;8;12;73;0;Matches
295;Mariano\Mariano;do DOM;FW;Real Madrid;25;1993;0.2;0;0;0;0;0;0;0;;0;3;1;33.3;0;1;2;0;0;0;0;0;0;0;Matches
296;Adrián Marín\Adrian-Marin;es ESP;DF;Alavés;22;1997;3.8;7;2;4;2;1;2;4;50.0;2;35;8;22.9;16;16;3;11;3;0;8;6;12;0;Matches
297;Guillermo Maripán\Guillermo-Maripan;cl CHI;DF;Alavés;25;1994;1.0;0;0;0;0;0;0;1;0.0;1;5;2;40.0;3;1;1;2;1;0;1;2;7;0;Matches
298;Roger Martí\Roger-Marti;es ESP;FW;Levante;28;1991;18.5;15;7;7;5;3;4;20;20.0;16;361;68;18.8;35;198;128;15;2;0;13;3;13;0;Matches
299;Daniel Martín\Daniel-Martin;es ESP;GK;Betis;21;1998;1.9;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
300;Álex Martínez\Alex-Martinez;es ESP;DF;Granada;28;1990;0.2;0;0;0;0;0;0;0;;0;1;0;0.0;0;1;0;0;0;0;0;0;0;0;Matches
301;Iñigo Martínez\Inigo-Martinez;es ESP;DF;Athletic Bilbao;28;1991;24.0;40;23;28;10;2;13;27;48.1;14;184;59;32.1;103;73;8;31;12;0;19;36;202;2;Matches
302;Pablo Martínez\Pablo-Martinez;es ESP;MF;Levante;21;1998;0.2;2;2;2;0;0;0;1;0.0;1;18;3;16.7;5;10;3;1;1;0;0;0;2;0;Matches
303;Jordi Masip\Jordi-Masip;es ESP;GK;Valladolid;30;1989;27.0;0;0;0;0;0;0;2;0.0;2;4;0;0.0;4;0;0;0;0;0;0;0;0;2;Matches
304;Jaime Mata\Jaime-Mata;es ESP;FW;Getafe;30;1988;21.7;17;7;1;10;6;3;14;21.4;11;364;81;22.3;30;162;172;16;1;0;15;5;10;0;Matches
305;Borja Mayoral\Borja-Mayoral;es ESP;FW;Levante;22;1997;16.5;6;3;3;2;1;1;7;14.3;6;231;58;25.1;18;114;99;9;0;0;9;2;10;0;Matches
306;Óscar Melendo\Oscar-Melendo;es ESP;MFFW;Espanyol;21;1997;7.2;6;3;4;1;1;2;7;28.6;5;102;29;28.4;31;49;22;7;2;0;5;2;2;0;Matches
307;Gonzalo Melero\Gonzalo-Melero;es ESP;MF;Levante;25;1994;9.3;20;10;10;8;2;5;18;27.8;13;177;45;25.4;65;83;29;13;3;0;10;5;17;0;Matches
308;Arthur Melo\Arthur-Melo;br BRA;MF;Barcelona;22;1996;11.2;11;8;4;5;2;1;5;20.0;4;158;42;26.6;28;87;43;9;0;0;9;2;7;1;Matches
309;Brais Méndez\Brais-Mendez;es ESP;MFFW;Celta Vigo;22;1997;11.6;18;11;8;7;3;10;25;40.0;15;208;51;24.5;73;80;55;14;0;0;14;9;25;0;Matches
310;Édgar Méndez\Edgar-Mendez;es ESP;MF;Alavés;28;1991;2.8;5;1;3;2;0;3;6;50.0;3;41;7;17.1;15;16;10;5;3;0;2;2;3;0;Matches
311;Ferland Mendy\Ferland-Mendy;fr FRA;DF;Real Madrid;24;1995;12.5;23;13;13;8;2;8;14;57.1;6;124;38;30.6;53;49;22;29;4;0;25;18;20;0;Matches
312;Fran Mérida\Fran-Merida;es ESP;MF;Osasuna;29;1990;10.3;19;10;6;9;4;6;19;31.6;13;213;60;28.2;48;132;33;17;3;0;14;27;13;0;Matches
313;Mikel Merino\Mikel-Merino;es ESP;MF;Real Sociedad;23;1996;25.0;57;43;15;38;4;15;55;27.3;40;455;142;31.2;103;280;72;38;4;0;34;40;57;0;Matches
314;Sabin Merino\Sabin-Merino;es ESP;FW;Leganés;27;1992;0.9;0;0;0;0;0;0;0;;0;10;2;20.0;0;4;6;1;0;0;1;0;0;0;Matches
315;Roque Mesa\Roque-Mesa;es ESP;MF;Leganés;30;1989;17.7;37;23;15;15;7;9;21;42.9;12;390;109;27.9;111;211;68;25;2;0;23;6;6;0;Matches
316;Lionel Messi\Lionel-Messi;ar ARG;FW;Barcelona;32;1987;21.0;11;8;2;3;6;0;12;0.0;12;193;59;30.6;16;85;92;3;0;0;3;4;1;0;Matches
317;Míchel\Michel;es ESP;MF;Valladolid;31;1988;19.9;38;27;20;16;2;16;54;29.6;38;430;115;26.7;126;255;49;27;5;0;22;28;43;0;Matches
318;Miguel\Miguel;es ESP;FW;Valladolid;19;1999;0.3;1;0;1;0;0;1;1;100.0;0;9;3;33.3;1;4;4;0;0;0;0;0;1;0;Matches
319;Éder Militão\Eder-Militao;br BRA;DF;Real Madrid;21;1998;7.0;15;9;8;7;0;3;6;50.0;3;65;21;32.3;35;29;1;7;5;0;2;13;35;1;Matches
320;Santi Mina\Santi-Mina;es ESP;FW;Celta Vigo;23;1995;15.4;11;7;6;4;1;3;30;10.0;27;285;71;24.9;46;142;97;16;3;0;13;5;18;0;Matches
321;Jorge Miramón\Jorge-Miramon;es ESP;DF;Levante;30;1989;21.4;52;26;34;15;3;22;42;52.4;20;246;72;29.3;134;86;26;55;8;0;47;30;60;0;Matches
322;Luka Modrić\Luka-Modric;hr CRO;MF;Real Madrid;33;1985;15.0;25;11;6;6;13;10;24;41.7;14;303;72;23.8;70;135;98;19;2;0;17;17;9;0;Matches
323;Jorge Molina\Jorge-Molina;es ESP;FW;Getafe;37;1982;15.9;6;3;1;3;2;2;11;18.2;9;160;39;24.4;7;67;86;7;0;0;7;4;13;0;Matches
324;Jon Moncayola\Jon-Moncayola;es ESP;MFDF;Osasuna;21;1998;10.8;34;19;15;15;4;14;35;40.0;21;230;68;29.6;65;138;27;26;4;0;22;10;19;1;Matches
325;Nacho Monreal\Nacho-Monreal;es ESP;DF;Real Sociedad;33;1986;19.5;29;18;16;11;2;15;33;45.5;18;213;59;27.7;92;83;38;44;5;0;39;31;67;0;Matches
326;Ángel Montoro\Angel-Montoro;es ESP;MF;Granada;31;1988;9.8;16;11;9;7;0;2;13;15.4;11;136;39;28.7;46;74;16;19;4;0;15;12;15;0;Matches
327;Álvaro Morata\Alvaro-Morata;es ESP;FW;Atlético Madrid;26;1992;18.0;14;11;5;5;4;1;7;14.3;6;231;57;24.7;31;109;91;11;2;0;9;4;19;0;Matches
328;Alberto Moreno\Alberto-Moreno;es ESP;DF;Villarreal;27;1992;7.6;22;14;11;9;2;4;12;33.3;8;118;44;37.3;59;41;18;12;2;0;10;11;19;0;Matches
329;Álex Moreno\Alex-Moreno;es ESP;DF;Betis;26;1993;19.9;36;22;26;8;2;7;32;21.9;25;316;90;28.5;140;122;54;40;7;1;33;18;60;1;Matches
330;Gerard Moreno\Gerard-Moreno;es ESP;FWMF;Villarreal;27;1992;22.9;16;13;2;10;4;7;37;18.9;30;300;71;23.7;49;163;88;21;3;0;18;12;40;0;Matches
331;Manu Morlanes\Manu-Morlanes;es ESP;MF;Villarreal;20;1999;1.0;2;2;2;0;0;1;3;33.3;2;20;5;25.0;8;12;0;1;0;0;1;2;1;0;Matches
332;Loren Morón\Loren-Moron;es ESP;FW;Betis;25;1993;17.2;13;9;3;5;5;2;14;14.3;12;315;75;23.8;32;133;150;25;7;0;18;9;15;0;Matches
333;Toni Moya\Toni-Moya;es ESP;MF;Atlético Madrid;21;1998;0.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
334;Javi Moyano\Javi-Moyano;es ESP;DF;Valladolid;33;1986;17.8;22;10;13;9;0;5;12;41.7;7;147;45;30.6;66;58;23;25;5;0;20;18;62;0;Matches
335;Iker Muniain\Iker-Muniain;es ESP;FWMF;Athletic Bilbao;26;1992;17.5;20;11;9;8;3;2;14;14.3;12;212;52;24.5;41;112;59;11;0;0;11;8;5;0;Matches
336;Aihen Muñoz\Aihen-Munoz;es ESP;DF;Real Sociedad;21;1997;7.0;19;6;6;12;1;8;16;50.0;8;76;33;43.4;32;33;11;10;2;0;8;2;16;0;Matches
337;Javier Muñoz\Javier-Munoz;es ESP;MF;Alavés;24;1995;0.6;0;0;0;0;0;0;0;;0;10;2;20.0;5;5;0;1;1;0;0;0;0;0;Matches
338;Jeison Murillo\Jeison-Murillo;co COL;DF;Celta Vigo;27;1992;8.0;19;9;17;2;0;6;12;50.0;6;72;24;33.3;58;13;1;9;6;0;3;6;62;0;Matches
339;Nacho\Nacho;es ESP;DF;Real Madrid;29;1990;4.4;11;5;6;4;1;4;11;36.4;7;49;12;24.5;18;25;6;11;2;0;9;9;14;1;Matches
340;Nacho\Nacho;es ESP;DF;Valladolid;30;1989;13.1;41;21;22;14;5;11;27;40.7;16;184;57;31.0;117;57;10;33;7;0;26;15;45;0;Matches
341;Naldo\Naldo;br BRA;DF;Espanyol;30;1988;13.7;23;14;11;11;1;7;14;50.0;7;110;39;35.5;57;49;4;12;6;0;6;19;80;0;Matches
342;Marc Navarro\Marc-Navarro;es ESP;DF;Leganés;24;1995;2.4;3;2;2;1;0;2;2;100.0;0;23;2;8.7;11;6;6;2;0;0;2;0;8;0;Matches
343;Ximo Navarro\Ximo-Navarro;es ESP;DF;Alavés;29;1990;16.6;38;22;26;10;2;9;22;40.9;13;208;58;27.9;97;99;12;33;6;0;27;41;83;3;Matches
344;Jesús Navas\Jesus-Navas;es ESP;DF;Sevilla;33;1985;27.0;25;15;16;7;2;14;25;56.0;11;179;49;27.4;76;65;38;40;2;0;38;19;81;1;Matches
345;Raúl Navas\Raul-Navas;es ESP;DF;Osasuna;31;1988;4.4;8;6;5;3;0;1;7;14.3;6;32;14;43.8;17;15;0;10;2;0;8;8;17;1;Matches
346;Neto\Neto;br BRA;GK;Barcelona;30;1989;1.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
347;Carlos Neva\Carlos-Neva;es ESP;DF;Granada;23;1996;16.1;8;4;4;2;2;4;9;44.4;5;171;43;25.1;79;70;22;31;1;0;30;15;41;0;Matches
348;Saúl Ñíguez\Saul-Niguez;es ESP;MFDF;Atlético Madrid;24;1994;26.0;71;48;30;35;6;25;68;36.8;43;455;138;30.3;167;207;81;77;12;0;65;41;79;1;Matches
349;Fernando Niño\Fernando-Nino;es ESP;FW;Villarreal;18;2000;0.2;0;0;0;0;0;0;0;;0;2;0;0.0;0;0;2;0;0;0;0;0;1;0;Matches
350;Nolito\Nolito;es ESP;FW;Sevilla;32;1986;10.0;12;9;3;5;4;6;24;25.0;18;141;37;26.2;26;65;50;10;0;0;10;1;4;0;Matches
351;Unai Núñez\Unai-Nunez;es ESP;DF;Athletic Bilbao;22;1997;10.6;10;8;7;3;0;3;12;25.0;9;71;21;29.6;49;20;2;19;10;0;9;17;100;0;Matches
352;Allan Nyom\Allan-Nyom;cm CMR;DFMF;Getafe;31;1988;20.0;36;15;20;13;3;12;26;46.2;14;240;70;29.2;107;95;38;32;5;0;27;13;65;0;Matches
353;Jan Oblak\Jan-Oblak;si SVN;GK;Atlético Madrid;26;1993;26.7;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;1;0;0;Matches
354;Lucas Ocampos\Lucas-Ocampos;ar ARG;FW;Sevilla;25;1994;21.3;35;23;19;11;5;11;49;22.4;38;373;114;30.6;100;152;121;42;4;0;38;19;16;0;Matches
355;Álvaro Odriozola\Alvaro-Odriozola;es ESP;DF;Real Madrid;23;1995;3.8;8;4;6;2;0;7;11;63.6;4;39;13;33.3;14;15;10;5;0;0;5;1;2;0;Matches
356;Lucas Olaza\Lucas-Olaza;uy URU;DF;Celta Vigo;25;1994;25.0;46;26;33;12;1;20;40;50.0;20;273;78;28.6;157;88;28;51;8;0;43;27;63;1;Matches
357;Kiko Olivas\Kiko-Olivas;es ESP;DF;Valladolid;30;1988;27.0;34;27;27;6;1;10;34;29.4;24;211;70;33.2;141;65;5;34;11;0;23;48;112;1;Matches
358;Paulo Oliveira\Paulo-Oliveira;pt POR;DF;Eibar;27;1992;17.7;25;11;20;5;0;9;19;47.4;10;142;47;33.1;84;52;6;27;11;2;16;32;107;1;Matches
359;Mathías Olivera\Mathias-Olivera;uy URU;DF;Getafe;21;1997;10.4;39;26;19;15;5;12;27;44.4;15;202;67;33.2;81;92;29;18;1;0;17;15;45;1;Matches
360;Kenneth Omeruo\Kenneth-Omeruo;ng NGA;DF;Leganés;25;1993;17.8;32;23;25;7;0;6;10;60.0;4;125;46;36.8;90;34;1;34;13;0;21;30;161;1;Matches
361;Javier Ontiveros\Javier-Ontiveros;es ESP;FWMF;Villarreal;21;1997;4.9;21;16;11;10;0;2;18;11.1;16;157;45;28.7;56;61;40;7;1;0;6;1;1;0;Matches
362;Fabián Orellana\Fabian-Orellana;cl CHI;MFFW;Eibar;33;1986;23.1;27;16;8;8;11;8;45;17.8;37;344;92;26.7;47;139;158;24;1;0;23;19;0;0;Matches
363;Mikel Oyarzabal\Mikel-Oyarzabal;es ESP;FWMF;Real Sociedad;22;1997;24.0;25;11;9;14;2;15;36;41.7;21;287;69;24.0;55;140;92;33;4;0;29;10;18;0;Matches
364;Fernando Pacheco\Fernando-Pacheco;es ESP;GK;Alavés;27;1992;24.0;0;0;0;0;0;0;3;0.0;3;2;1;50.0;2;0;0;0;0;0;0;0;1;0;Matches
365;Daniel Parejo\Daniel-Parejo;es ESP;MF;Valencia;30;1989;24.6;49;37;22;22;5;16;70;22.9;54;511;128;25.0;180;252;79;36;10;1;26;18;11;1;Matches
366;Thomas Partey\Thomas-Partey;gh GHA;MF;Atlético Madrid;26;1993;20.4;39;25;17;20;2;14;44;31.8;30;307;95;30.9;120;155;32;37;6;0;31;36;42;2;Matches
367;Gabriel Paulista\Gabriel-Paulista;br BRA;DF;Valencia;28;1990;23.2;14;8;10;3;1;7;20;35.0;13;95;32;33.7;71;21;3;43;27;0;16;45;177;3;Matches
368;Alfonso Pedraza\Alfonso-Pedraza;es ESP;DF;Betis;23;1996;8.8;23;14;17;5;1;8;17;47.1;9;108;35;32.4;52;42;14;28;5;0;23;10;25;0;Matches
369;Marc Pedraza\Marc-Pedraza;es ESP;MF;Mallorca;32;1987;0.8;2;2;1;1;0;1;4;25.0;3;9;4;44.4;2;7;0;0;0;0;0;1;1;0;Matches
370;Pedrosa\Pedrosa;es ESP;DFMF;Espanyol;21;1998;9.5;15;10;5;9;1;2;18;11.1;16;173;54;31.2;58;73;42;22;0;0;22;8;26;0;Matches
371;Rubén Peña\Ruben-Pena;es ESP;DF;Villarreal;28;1991;15.7;30;20;16;12;2;9;34;26.5;25;293;80;27.3;124;123;46;39;5;0;34;22;48;0;Matches
372;Luis Perea\Luis-Perea;es ESP;FWMF;Osasuna;21;1997;0.2;0;0;0;0;0;0;0;;0;9;4;44.4;1;5;3;0;0;0;0;0;0;0;Matches
373;Victor Perea\Victor-Perea;es ESP;DF;Espanyol;19;2000;10.0;14;7;5;8;1;7;15;46.7;8;141;34;24.1;52;69;20;19;0;0;19;9;15;0;Matches
374;Gonzalo Pereira Cejudo\Gonzalo-Pereira-Cejudo;es ESP;DF;Levante;22;1997;0.1;0;0;0;0;0;0;0;;0;1;0;0.0;0;1;0;0;0;0;0;0;0;0;Matches
375;Carles Pérez\Carles-Perez;es ESP;FW;Barcelona;21;1998;5.3;5;3;3;0;2;0;8;0.0;8;75;24;32.0;8;38;29;4;1;0;3;1;4;0;Matches
376;Iñigo Pérez\Inigo-Perez;es ESP;MFDF;Osasuna;31;1988;5.7;10;4;3;5;2;3;9;33.3;6;106;40;37.7;28;63;15;7;0;0;7;4;3;0;Matches
377;Juan Pérez\Juan-Perez;es ESP;GK;Osasuna;23;1996;2.0;0;0;0;0;0;0;1;0.0;1;2;0;0.0;2;0;0;0;0;0;0;0;0;0;Matches
378;Lucas Pérez\Lucas-Perez;es ESP;FW;Alavés;30;1988;21.6;9;9;2;7;0;2;14;14.3;12;340;95;27.9;21;172;147;11;1;0;10;2;3;0;Matches
379;Rubén Pérez\Ruben-Perez;es ESP;MF;Leganés;30;1989;16.4;41;26;19;19;3;11;39;28.2;28;319;92;28.8;121;166;32;31;4;0;27;28;36;0;Matches
380;Pablo Piatti\Pablo-Piatti;ar ARG;DFMF;Espanyol;30;1989;0.6;2;1;1;1;0;1;2;50.0;1;11;4;36.4;1;3;7;1;0;0;1;0;2;0;Matches
381;Cristiano Piccini\Cristiano-Piccini;it ITA;DF;Valencia;26;1992;0.8;4;0;1;2;1;2;3;66.7;1;16;3;18.8;5;9;2;1;0;0;1;2;1;0;Matches
382;Tomás Pina Isla\Tomas-Pina-Isla;es ESP;MF;Alavés;31;1987;10.0;23;16;9;14;0;8;16;50.0;8;146;38;26.0;65;72;9;9;3;0;6;12;41;0;Matches
383;Pipa\Pipa;es ESP;DFMF;Espanyol;21;1998;1.3;2;1;1;1;0;2;5;40.0;3;25;7;28.0;8;13;4;8;0;0;8;1;2;0;Matches
384;Gerard Piqué\Gerard-Pique;es ESP;DF;Barcelona;32;1987;24.7;27;17;15;12;0;10;20;50.0;10;184;64;34.8;97;82;5;47;20;2;27;26;128;1;Matches
385;Óscar Plano\Oscar-Plano;es ESP;MF;Valladolid;28;1991;21.8;37;25;22;13;2;9;31;29.0;22;324;95;29.3;107;147;70;42;2;0;40;27;24;0;Matches
386;Pere Pons\Pere-Pons;es ESP;MF;Alavés;26;1993;8.1;18;14;5;11;2;6;12;50.0;6;176;48;27.3;55;97;24;14;2;0;12;10;11;0;Matches
387;Pedro Porro\Pedro-Porro;es ESP;DFMF;Valladolid;19;1999;8.2;18;14;16;2;0;9;20;45.0;11;98;24;24.5;54;33;11;17;0;0;17;8;20;1;Matches
388;Francisco Portillo\Francisco-Portillo;es ESP;MF;Getafe;29;1990;3.7;9;5;3;5;1;3;8;37.5;5;88;28;31.8;18;53;17;5;0;0;5;1;4;0;Matches
389;Portu\Portu;es ESP;FWMF;Real Sociedad;27;1992;19.8;28;19;10;9;9;10;33;30.3;23;315;87;27.6;58;138;119;29;2;0;27;8;4;0;Matches
390;Sergio Postigo\Sergio-Postigo;es ESP;DF;Levante;30;1988;19.5;23;15;15;7;1;4;14;28.6;10;158;48;30.4;98;48;12;21;12;0;9;27;133;2;Matches
391;Darío Poveda\Dario-Poveda;es ESP;FW;Atlético Madrid;22;1997;0.1;0;0;0;0;0;0;0;;0;3;2;66.7;0;3;0;0;0;0;0;0;0;0;Matches
392;Alejandro Pozo Pozo\Alejandro-Pozo-Pozo;es ESP;DF;Mallorca;20;1999;5.7;18;13;15;3;0;8;18;44.4;10;109;34;31.2;61;34;14;11;0;0;11;11;13;0;Matches
393;Alejandro Pozo Pozo\Alejandro-Pozo-Pozo;es ESP;FWMF;Sevilla;20;1999;0.4;2;1;2;0;0;1;3;33.3;2;24;5;20.8;7;11;6;0;0;0;0;0;0;0;Matches
394;Abdón Prats\Abdon-Prats;es ESP;FWMF;Mallorca;26;1992;1.9;2;0;0;1;1;0;1;0.0;1;32;11;34.4;1;15;16;0;0;0;0;0;0;0;Matches
395;Andrés Prieto\Andres-Prieto;es ESP;GK;Espanyol;25;1993;0.0;;0;;;;;;;;;;;;;;;;;;0;;;Matches
396;Antonio Puertas\Antonio-Puertas;es ESP;FWMF;Granada;27;1992;20.2;30;17;6;15;9;12;37;32.4;25;329;80;24.3;52;175;102;16;2;0;14;10;12;0;Matches
397;Riqui Puig\Riqui-Puig;es ESP;MF;Barcelona;19;1999;0.2;0;0;0;0;0;0;0;;0;7;2;28.6;2;4;1;0;0;0;0;1;0;0;Matches
398;Quini\Quini;es ESP;DF;Granada;29;1989;8.0;25;12;19;6;0;10;18;55.6;8;112;37;33.0;59;39;14;12;1;0;11;10;16;0;Matches
399;Xavi Quintillà\Xavi-Quintilla;es ESP;DF;Villarreal;22;1996;15.3;24;10;17;6;1;8;13;61.5;5;181;50;27.6;87;71;23;27;3;0;24;9;40;0;Matches
400;Quique\Quique;es ESP;FW;Eibar;29;1990;4.2;2;2;1;1;0;0;2;0.0;2;90;39;43.3;3;29;58;5;1;0;4;0;3;0;Matches
401;Nemanja Radoja\Nemanja-Radoja;rs SRB;MF;Levante;26;1993;15.8;22;13;14;8;0;8;31;25.8;23;220;58;26.4;100;104;16;17;2;0;15;18;44;0;Matches
402;Rafinha\Rafinha;br BRA;MF;Celta Vigo;26;1993;16.2;50;34;19;28;3;11;38;28.9;27;346;109;31.5;98;181;67;34;4;0;30;26;17;0;Matches
403;Rafinha\Rafinha;br BRA;FWMF;Barcelona;26;1993;2.1;3;3;1;1;1;0;1;0.0;1;14;5;35.7;2;5;7;1;0;0;1;1;0;0;Matches
404;Baba Rahman\Baba-Rahman;gh GHA;DF;Mallorca;25;1994;1.2;2;2;2;0;0;0;0;;0;10;4;40.0;5;1;4;4;1;0;3;1;3;0;Matches
405;Antonio Raillo\Antonio-Raillo;es ESP;DF;Mallorca;27;1991;22.2;29;22;25;4;0;9;13;69.2;4;170;70;41.2;136;31;3;30;16;0;14;16;108;1;Matches
406;Ivan Rakitić\Ivan-Rakitic;hr CRO;MF;Barcelona;31;1988;10.7;11;7;2;6;3;2;11;18.2;9;180;52;28.9;33;98;49;20;3;0;17;10;15;0;Matches
407;Sandro Ramírez\Sandro-Ramirez;es ESP;FWMF;Valladolid;24;1995;12.1;9;9;1;4;4;1;12;8.3;11;209;42;20.1;25;110;74;11;1;0;10;4;3;0;Matches
408;Iván Ramis\Ivan-Ramis;es ESP;DF;Eibar;34;1984;5.1;6;2;5;1;0;1;6;16.7;5;25;7;28.0;11;13;1;3;0;0;3;4;52;1;Matches
409;Adrián Ramos\Adrian-Ramos;co COL;FW;Granada;33;1986;2.5;3;1;0;1;2;0;3;0.0;3;38;8;21.1;2;15;21;4;0;0;4;1;2;0;Matches
410;Sergio Ramos\Sergio-Ramos;es ESP;DF;Real Madrid;33;1986;24.7;45;35;29;16;0;16;34;47.1;18;204;83;40.7;120;73;11;28;9;1;19;35;78;4;Matches
411;Raúl\Raul;es ESP;FWMF;Betis;18;2000;0.2;0;0;0;0;0;0;2;0.0;2;12;1;8.3;2;5;5;0;0;0;0;0;0;0;Matches
412;Recio\Recio;es ESP;MF;Leganés;28;1991;14.5;24;18;9;12;3;11;37;29.7;26;247;54;21.9;67;144;36;15;5;1;10;16;18;0;Matches
413;Sergio Reguilón\Sergio-Reguilon;es ESP;DF;Sevilla;22;1996;20.8;48;29;25;19;4;26;49;53.1;23;275;80;29.1;109;117;49;28;6;0;22;29;71;0;Matches
414;Manolo Reina\Manolo-Reina;es ESP;GK;Mallorca;34;1985;26.0;0;0;0;0;0;0;1;0.0;1;4;0;0.0;4;0;0;1;0;0;1;5;1;0;Matches
415;Álex Remiro\Alex-Remiro;es ESP;GK;Real Sociedad;24;1995;20.0;0;0;0;0;0;0;1;0.0;1;0;0;;0;0;0;0;0;0;0;0;4;0;Matches
416;Luis Rioja\Luis-Rioja;es ESP;MF;Alavés;25;1993;13.3;11;8;6;4;1;5;17;29.4;12;209;47;22.5;60;111;38;16;0;0;16;15;14;0;Matches
417;Rodrigo Riquelme\Rodrigo-Riquelme;es ESP;MF;Atlético Madrid;19;2000;0.1;0;0;0;0;0;0;0;;0;2;0;0.0;0;2;0;1;0;0;1;0;0;0;Matches
418;Cristian Rivera\Cristian-Rivera;es ESP;MF;Leganés;22;1997;3.4;3;3;1;1;1;1;3;33.3;2;48;12;25.0;19;27;2;7;2;0;5;4;5;0;Matches
419;Sergi Roberto\Sergi-Roberto;es ESP;DFMF;Barcelona;27;1992;19.3;20;14;11;6;3;7;19;36.8;12;186;54;29.0;54;82;50;23;3;1;20;24;38;1;Matches
420;Joel Robles\Joel-Robles;es ESP;GK;Betis;29;1990;25.1;0;0;0;0;0;0;1;0.0;1;3;0;0.0;3;0;0;0;0;0;0;0;3;1;Matches
421;Marc Roca\Marc-Roca;es ESP;MF;Espanyol;22;1996;23.0;62;43;24;34;4;23;64;35.9;41;505;136;26.9;172;286;47;23;9;0;14;23;62;1;Matches
422;Rubén Rochina\Ruben-Rochina;es ESP;MF;Levante;28;1991;14.0;32;19;17;8;7;14;38;36.8;24;261;68;26.1;78;122;61;19;0;0;19;11;19;0;Matches
423;Rodrigo\Rodrigo;es ESP;FW;Valencia;28;1991;15.3;11;7;4;5;2;1;11;9.1;10;254;76;29.9;37;134;83;9;1;0;8;7;12;0;Matches
424;Kévin Rodrigues\Kevin-Rodrigues;pt POR;DFFW;Leganés;25;1994;15.1;50;22;24;20;6;17;36;47.2;19;286;76;26.6;107;113;66;33;2;0;31;23;27;0;Matches
425;Kévin Rodrigues\Kevin-Rodrigues;pt POR;DF;Real Sociedad;25;1994;0.1;1;0;1;0;0;1;1;100.0;0;5;1;20.0;3;0;2;0;0;0;0;0;0;0;Matches
426;Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz;es ESP;MFFW;Leganés;21;1998;18.6;16;8;7;5;4;9;38;23.7;29;315;64;20.3;71;155;89;32;0;0;32;17;14;0;Matches
427;Ángel Rodríguez\Angel-Rodriguez;es ESP;FW;Getafe;32;1987;12.2;11;8;1;3;7;0;9;0.0;9;253;66;26.1;13;114;126;8;1;0;7;3;8;0;Matches
428;Dani Rodríguez\Dani-Rodriguez;es ESP;MFFW;Mallorca;31;1988;24.5;53;30;22;23;8;11;44;25.0;33;595;165;27.7;155;296;144;42;3;0;39;26;27;0;Matches
429;Guido Rodríguez\Guido-Rodriguez;ar ARG;MF;Betis;25;1994;2.0;7;5;4;2;1;2;5;40.0;3;34;13;38.2;19;13;2;3;2;0;1;5;11;0;Matches
430;James Rodríguez\James-Rodriguez;co COL;MF;Real Madrid;28;1991;3.8;12;8;4;6;2;1;5;20.0;4;55;19;34.5;14;26;15;2;0;0;2;2;0;0;Matches
431;Rodrygo\Rodrygo;br BRA;FW;Real Madrid;18;2001;7.4;4;3;1;3;0;2;15;13.3;13;137;28;20.4;26;69;42;12;2;0;10;8;3;0;Matches
