Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tkl;TklW;Def 3rdDef;Mid 3rdDef;Att 3rdDef;TklVsDr;Att;Tkl%;Past;Press;Succ;%;DefPre 3rdDefPre;MidPre 3rdDefPre;AttPre 3rdDefPre;Blocks;Sh;ShSv;Pass;Int;Clr;Err;Matches
72;Burgui\Burgui;es ESP;MF;Alavés;25;1993;0.2;0;0;0;0;0;0;0;;0;5;2;40.0;0;4;1;0;0;0;0;0;0;0;Matches
73;Oliver Burke\Oliver-Burke;sco SCO;MFFW;Alavés;22;1997;8.8;12;4;6;4;2;3;11;27.3;8;157;42;26.8;32;94;31;17;2;0;15;8;7;0;Matches
74;Sergio Busquets\Sergio-Busquets;es ESP;MF;Barcelona;31;1988;20.0;62;51;20;34;8;24;44;54.5;20;362;92;25.4;94;199;69;38;3;0;35;33;31;1;Matches
75;Unai Bustinza\Unai-Bustinza;es ESP;DF;Leganés;27;1992;21.4;55;33;33;16;6;17;34;50.0;17;275;95;34.5;142;98;35;37;8;0;29;51;106;0;Matches
76;Erick Cabaco\Erick-Cabaco;uy URU;DF;Getafe;24;1995;0.1;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;2;0;Matches
77;Erick Cabaco\Erick-Cabaco;uy URU;DF;Levante;24;1995;9.0;14;10;12;2;0;4;7;57.1;3;51;21;41.2;40;10;1;15;8;0;7;13;74;0;Matches
78;Ariday Cabrera\Ariday-Cabrera;es ESP;MFFW;Mallorca;30;1988;0.4;1;1;1;0;0;0;0;;0;5;1;20.0;0;2;3;2;0;0;2;0;0;0;Matches
79;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Espanyol;28;1991;7.0;17;7;12;5;0;7;13;53.8;6;65;21;32.3;45;16;4;14;7;0;7;10;53;0;Matches
80;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Getafe;28;1991;17.0;8;2;6;2;0;2;8;25.0;6;128;49;38.3;75;52;1;22;9;0;13;21;169;1;Matches
81;Fernando Calero\Fernando-Calero;es ESP;DF;Espanyol;23;1995;10.8;12;6;7;4;1;5;12;41.7;7;97;27;27.8;57;36;4;15;3;1;12;7;80;0;Matches
82;Jonathan Calleri\Jonathan-Calleri;ar ARG;FW;Espanyol;25;1993;15.1;12;7;4;5;3;4;14;28.6;10;245;76;31.0;24;112;109;12;3;0;9;6;18;0;Matches
83;Víctor Camarasa\Victor-Camarasa;es ESP;MF;Alavés;25;1994;6.7;8;7;4;4;0;3;10;30.0;7;121;30;24.8;22;82;17;4;1;0;3;8;7;0;Matches
84;Sergio Camello\Sergio-Camello;es ESP;FW;Atlético Madrid;18;2001;0.3;1;1;0;1;0;0;0;;0;4;0;0.0;0;4;0;0;0;0;0;0;0;0;Matches
85;José Campaña\Jose-Campana;es ESP;MF;Levante;26;1993;25.6;24;18;12;8;4;13;48;27.1;35;447;113;25.3;142;215;90;41;6;0;35;26;42;0;Matches
86;Xisco Campos\Xisco-Campos;es ESP;DF;Mallorca;37;1982;3.8;6;4;3;3;0;2;6;33.3;4;50;19;38.0;26;22;2;9;4;0;5;9;28;1;Matches
87;Víctor Campuzano\Victor-Campuzano;es ESP;FW;Espanyol;22;1997;7.7;13;12;1;8;4;1;11;9.1;10;169;42;24.9;16;85;68;4;0;0;4;1;3;0;Matches
88;Sergio Canales\Sergio-Canales;es ESP;MF;Betis;28;1991;25.5;22;18;8;9;5;7;30;23.3;23;283;63;22.3;91;135;57;30;2;0;28;9;14;0;Matches
89;Ander Capa\Ander-Capa;es ESP;DF;Athletic Bilbao;27;1992;23.8;42;22;25;14;3;15;42;35.7;27;317;78;24.6;142;113;62;41;3;0;38;24;78;0;Matches
90;Marc Cardona\Marc-Cardona;es ESP;FW;Osasuna;24;1995;5.9;1;1;0;1;0;0;7;0.0;7;108;37;34.3;5;58;45;6;0;0;6;1;4;0;Matches
91;Diego Carlos\Diego-Carlos;br BRA;DF;Sevilla;26;1993;24.8;39;28;24;14;1;14;24;58.3;10;137;57;41.6;84;46;7;39;22;0;17;24;184;3;Matches
92;Yannick Carrasco\Yannick-Carrasco;be BEL;MFFW;Atlético Madrid;25;1993;1.7;0;0;0;0;0;0;1;0.0;1;40;8;20.0;4;22;14;2;0;0;2;2;1;0;Matches
93;Daniel Carriço\Daniel-Carrico;pt POR;DF;Sevilla;30;1988;9.4;11;9;7;3;1;3;8;37.5;5;47;14;29.8;22;20;5;10;3;0;7;8;44;1;Matches
94;Guido Carrillo\Guido-Carrillo;ar ARG;FW;Leganés;28;1991;11.1;15;10;2;10;3;2;12;16.7;10;217;51;23.5;11;107;99;12;3;0;9;1;13;0;Matches
95;Dani Carvajal\Dani-Carvajal;es ESP;DF;Real Madrid;27;1992;22.0;54;38;22;24;8;13;34;38.2;21;354;107;30.2;109;166;79;52;8;0;44;30;26;0;Matches
96;William Carvalho\William-Carvalho;pt POR;MF;Betis;27;1992;7.9;4;3;1;1;2;0;8;0.0;8;76;18;23.7;25;39;12;11;5;0;6;3;13;0;Matches
97;Casemiro\Casemiro;br BRA;MF;Real Madrid;27;1992;24.7;98;67;44;42;12;33;89;37.1;56;494;189;38.3;203;249;42;59;9;1;50;55;56;0;Matches
98;Santi Cazorla\Santi-Cazorla;es ESP;MF;Villarreal;34;1984;20.3;33;20;10;20;3;11;42;26.2;31;360;97;26.9;101;197;62;28;2;0;26;10;7;0;Matches
99;Charles\Charles;br BRA;FW;Eibar;35;1984;10.4;9;3;1;5;3;1;7;14.3;6;164;40;24.4;9;73;82;6;1;0;5;4;6;0;Matches
100;Pablo Chavarría\Pablo-Chavarria;ar ARG;FWMF;Mallorca;31;1988;1.2;2;1;1;1;0;0;1;0.0;1;37;8;21.6;11;12;14;1;0;0;1;0;0;0;Matches
101;Pape Cheikh Diop\Pape-Cheikh-Diop;es ESP;MF;Celta Vigo;21;1997;6.0;9;4;6;3;0;3;13;23.1;10;132;34;25.8;41;66;25;1;0;0;1;2;4;0;Matches
102;Chema\Chema;es ESP;DF;Getafe;27;1992;1.0;1;1;0;1;0;0;0;;0;8;5;62.5;2;6;0;1;0;0;1;2;4;0;Matches
103;Denis Cheryshev\Denis-Cheryshev;ru RUS;MFFW;Valencia;28;1990;7.8;9;4;5;1;3;4;17;23.5;13;124;28;22.6;37;62;25;15;0;0;15;6;6;0;Matches
104;Samuel Chukwueze\Samuel-Chukwueze;ng NGA;MFFW;Villarreal;20;1999;15.6;14;12;6;4;4;5;12;41.7;7;244;76;31.1;54;110;80;18;1;0;17;4;6;1;Matches
105;Jasper Cillessen\Jasper-Cillessen;nl NED;GK;Valencia;30;1989;15.3;0;0;0;0;0;0;1;0.0;1;1;1;100.0;1;0;0;0;0;0;0;2;1;0;Matches
106;Óscar Clemente\Oscar-Clemente;es ESP;MF;Atlético Madrid;20;1999;0.0;0;0;0;0;0;0;0;;0;2;0;0.0;0;0;2;1;0;0;1;0;0;0;Matches
107;Carlos Clerc\Carlos-Clerc;es ESP;DF;Levante;27;1992;14.0;24;10;10;13;1;9;18;50.0;9;189;52;27.5;79;80;30;30;5;0;25;17;49;0;Matches
108;Coke\Coke;es ESP;DF;Levante;32;1987;6.6;15;8;11;3;1;5;15;33.3;10;63;21;33.3;36;19;8;6;2;0;4;6;12;0;Matches
109;Álex Collado\Alex-Collado;es ESP;DF;Barcelona;20;1999;0.1;0;0;0;0;0;0;0;;0;2;2;100.0;0;0;2;0;0;0;0;0;0;0;Matches
110;Francis Coquelin\Francis-Coquelin;fr FRA;MF;Valencia;28;1991;16.5;27;18;18;8;1;7;21;33.3;14;214;64;29.9;113;85;16;20;5;0;15;35;24;0;Matches
111;Sébastien Corchia\Sebastien-Corchia;fr FRA;DF;Espanyol;28;1990;3.0;2;0;2;0;0;1;3;33.3;2;17;5;29.4;7;5;5;12;1;0;11;5;6;0;Matches
112;Iñigo Córdoba\Inigo-Cordoba;es ESP;FW;Athletic Bilbao;22;1997;9.6;16;8;8;7;1;5;32;15.6;27;257;70;27.2;71;115;71;23;1;0;22;6;7;0;Matches
113;Ángel Correa\Angel-Correa;ar ARG;MFFW;Atlético Madrid;24;1995;16.6;16;10;6;4;6;5;31;16.1;26;327;97;29.7;55;159;113;30;5;0;25;9;17;0;Matches
114;Rober Correa\Rober-Correa;es ESP;DF;Eibar;26;1992;3.9;7;4;5;2;0;2;4;50.0;2;36;9;25.0;13;18;5;9;2;0;7;3;20;0;Matches
115;Thierry Correia\Thierry-Correia;pt POR;DF;Valencia;20;1999;2.0;5;3;4;1;0;1;2;50.0;1;21;9;42.9;14;7;0;5;0;0;5;2;9;0;Matches
116;Diego Costa\Diego-Costa;es ESP;FW;Atlético Madrid;30;1988;9.0;3;3;1;2;0;0;4;0.0;4;100;23;23.0;4;53;43;8;1;0;7;1;6;0;Matches
117;Jaume Costa\Jaume-Costa;es ESP;DF;Valencia;31;1988;10.7;26;18;16;8;2;12;19;63.2;7;114;35;30.7;67;36;11;28;6;0;22;15;35;0;Matches
118;David Costas\David-Costas;es ESP;DF;Celta Vigo;24;1995;3.7;7;4;6;1;0;0;3;0.0;3;26;9;34.6;19;4;3;6;4;0;2;6;19;0;Matches
119;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;Real Madrid;27;1992;24.0;0;0;0;0;0;0;2;0.0;2;1;0;0.0;1;0;0;0;0;0;0;0;0;0;Matches
120;Sebastián Cristóforo\Sebastian-Cristoforo;uy URU;MF;Eibar;25;1993;3.5;14;9;3;7;4;4;8;50.0;4;103;30;29.1;27;56;20;12;2;0;10;3;0;0;Matches
121;Cucho\Cucho;co COL;FWMF;Mallorca;20;1999;8.9;11;6;5;5;1;1;7;14.3;6;149;36;24.2;35;70;44;7;0;0;7;3;8;0;Matches
122;Marc Cucurella\Marc-Cucurella;es ESP;MFDF;Getafe;21;1998;25.8;71;48;25;36;10;23;60;38.3;37;687;221;32.2;165;348;174;54;7;1;47;17;31;0;Matches
123;Iván Cuéllar\Ivan-Cuellar;es ESP;GK;Leganés;35;1984;16.0;0;0;0;0;0;0;2;0.0;2;1;0;0.0;1;0;0;0;0;0;0;1;1;1;Matches
124;Moanes Dabour\Moanes-Dabour;il ISR;FW;Sevilla;27;1992;0.3;1;1;0;0;1;0;0;;0;5;3;60.0;0;1;4;0;0;0;0;0;1;0;Matches
125;Sergi Darder\Sergi-Darder;es ESP;MFFW;Espanyol;25;1993;23.5;38;21;9;22;7;10;44;22.7;34;519;121;23.3;106;277;136;26;0;0;26;17;25;1;Matches
126;Ousmane Dembélé\Ousmane-Dembele;fr FRA;FW;Barcelona;22;1997;4.0;0;0;0;0;0;0;3;0.0;3;58;10;17.2;9;31;18;4;0;0;4;0;0;0;Matches
127;Deyverson\Deyverson;br BRA;FW;Getafe;28;1991;1.6;0;0;0;0;0;0;1;0.0;1;28;4;14.3;1;10;17;3;1;0;2;0;4;0;Matches
128;Mouctar Diakhaby\Mouctar-Diakhaby;fr FRA;DF;Valencia;22;1996;11.1;12;9;9;2;1;3;9;33.3;6;97;35;36.1;60;34;3;18;12;0;6;10;79;1;Matches
129;Brahim Díaz\Brahim-Diaz;es ESP;FWMF;Real Madrid;19;1999;0.3;0;0;0;0;0;0;0;;0;4;1;25.0;1;2;1;0;0;0;0;0;0;0;Matches
130;Víctor Díaz\Victor-Diaz;es ESP;DF;Granada;31;1988;24.2;57;31;25;28;4;20;49;40.8;29;297;84;28.3;138;119;40;68;18;0;50;39;96;0;Matches
131;Papakouli Diop\Papakouli-Diop;sn SEN;MF;Eibar;33;1986;18.3;29;18;8;15;6;10;33;30.3;23;311;86;27.7;66;190;55;25;5;0;20;28;36;1;Matches
132;Djené\Djene;tg TOG;DF;Getafe;27;1991;25.0;34;19;24;10;0;8;17;47.1;9;199;71;35.7;117;72;10;19;6;0;13;22;183;0;Matches
133;Marko Dmitrović\Marko-Dmitrovic;rs SRB;GK;Eibar;27;1992;26.0;0;0;0;0;0;0;3;0.0;3;5;0;0.0;5;0;0;1;0;0;1;2;1;0;Matches
134;Jaume Doménech\Jaume-Domenech;es ESP;GK;Valencia;28;1990;11.7;0;0;0;0;0;0;2;0.0;2;0;0;;0;0;0;0;0;0;0;1;0;2;Matches
135;Domingos Duarte\Domingos-Duarte;pt POR;DF;Granada;24;1995;25.5;17;10;15;2;0;4;11;36.4;7;146;54;37.0;92;52;2;39;20;0;19;24;157;0;Matches
136;Óscar Duarte\Oscar-Duarte;cr CRC;DF;Levante;30;1989;3.4;6;4;6;0;0;1;1;100.0;0;32;13;40.6;23;8;1;8;4;0;4;3;28;1;Matches
137;Rubén Duarte\Ruben-Duarte;es ESP;DF;Alavés;23;1995;25.0;60;32;37;18;5;23;46;50.0;23;294;91;31.0;131;125;38;48;8;0;40;37;110;1;Matches
138;Hugo Duro\Hugo-Duro;es ESP;FW;Getafe;19;1999;0.9;1;0;0;0;1;0;1;0.0;1;22;4;18.2;0;11;11;0;0;0;0;0;0;0;Matches
139;Aritz Elustondo\Aritz-Elustondo;es ESP;DF;Real Sociedad;25;1994;10.3;21;9;11;9;1;8;17;47.1;9;82;28;34.1;40;39;3;20;7;0;13;10;97;0;Matches
140;Rodrigo Ely\Rodrigo-Ely;br BRA;DF;Alavés;25;1993;17.6;21;10;12;9;0;8;23;34.8;15;122;37;30.3;83;38;1;29;14;0;15;33;139;1;Matches
141;Adri Embarba\Adri-Embarba;es ESP;MFFW;Espanyol;27;1992;5.9;16;11;9;6;1;7;14;50.0;7;162;52;32.1;48;73;41;16;2;0;14;3;3;0;Matches
