id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;31;1987;27.0;0;0;0;21;20;0;1;37;46;0;1;0;21;26;80.8;21;0;60;73;82.2;13;Matches
2;Mehdi Abeid\Mehdi-Abeid;dz ALG;MF;Nantes;26;1992;19.5;5;0;0;55;43;1;62;40;22;0;1;0;12;21;57.1;12;0;57;93;61.3;36;Matches
3;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;19;2000;6.5;1;0;0;15;10;7;2;7;3;1;0;0;15;20;75.0;15;0;9;17;52.9;8;Matches
4;Amine Adli\Amine-Adli;fr FRA;MFFW;Toulouse;19;2000;0.3;1;0;0;1;0;0;3;0;1;0;0;0;3;4;75.0;3;0;0;1;0.0;1;Matches
5;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;19;2000;10.4;3;0;0;12;17;0;34;14;7;0;0;0;21;39;53.8;24;3;23;43;53.5;20;Matches
6;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Dijon;23;1996;9.6;2;0;0;11;5;0;1;10;17;0;0;0;1;2;50.0;1;0;13;20;65.0;7;Matches
7;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;26;1993;10.8;2;2;0;9;19;0;56;26;10;0;0;0;14;23;60.9;15;0;36;44;81.8;8;Matches
8;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Saint-Étienne;25;1994;6.3;3;1;0;11;13;1;2;18;16;0;0;0;9;11;81.8;10;0;20;27;74.1;7;Matches
9;Youssef Aït Bennasser\Youssef-Ait-Bennasser;ma MAR;MF;Bordeaux;23;1996;5.2;1;0;0;7;3;0;2;7;5;0;0;0;5;11;45.5;6;0;9;30;30.0;21;Matches
10;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;DF;Angers;18;2001;14.3;3;0;0;11;12;0;43;18;20;0;0;0;19;41;46.3;22;2;32;50;64.0;18;Matches
11;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;25;1994;23.0;3;0;0;37;21;4;12;14;3;1;1;0;14;27;51.9;15;1;18;34;52.9;16;Matches
12;Marley Aké\Marley-Ake;fr FRA;FWMF;Marseille;18;2001;1.0;1;0;0;3;3;0;1;2;1;0;0;0;3;4;75.0;3;0;4;5;80.0;1;Matches
13;Chadrac Akolo\Chadrac-Akolo;cd COD;FWMF;Amiens;24;1995;6.0;1;0;0;9;8;2;6;13;5;0;0;0;11;19;57.9;12;0;17;31;54.8;14;Matches
14;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Nîmes;21;1998;15.6;3;0;0;14;26;2;29;29;21;0;1;1;19;33;57.6;19;2;48;73;65.8;25;Matches
15;Haitam Aleesami\Haitam-Aleesami;no NOR;DF;Amiens;28;1991;21.3;4;0;0;31;9;1;43;28;34;0;0;0;19;32;59.4;22;2;44;74;59.5;30;Matches
16;Rúnar Alex Rúnarsson\Runar-Alex-Runarsson;is ISL;GK;Dijon;24;1995;9.0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;100.0;1;0;0;2;0.0;2;Matches
17;Rachid Alioui\Rachid-Alioui;ma MAR;FW;Angers;27;1992;17.2;1;0;0;24;34;5;15;10;3;0;0;0;23;29;79.3;24;1;12;21;57.1;9;Matches
18;Mickaël Alphonse\Mickael-Alphonse;GPE;DF;Dijon;30;1989;15.3;2;0;0;14;13;1;33;19;16;0;0;1;18;30;60.0;22;3;43;61;70.5;18;Matches
19;Romain Amalfitano\Romain-Amalfitano;fr FRA;MF;Dijon;29;1989;18.6;5;0;0;26;42;0;20;22;36;0;0;0;28;42;66.7;30;0;42;85;49.4;43;Matches
20;Jordan Amavi\Jordan-Amavi;fr FRA;DF;Marseille;25;1994;24.0;9;0;0;41;19;1;31;28;56;0;1;0;28;56;50.0;32;0;62;99;62.6;37;Matches
21;Thierry Ambrose\Thierry-Ambrose;fr FRA;FW;Metz;22;1997;5.8;1;0;0;7;9;0;15;5;2;0;0;0;23;41;56.1;26;1;7;14;50.0;7;Matches
22;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Toulouse;21;1998;18.1;3;0;0;23;8;0;12;15;19;0;1;0;8;18;44.4;9;1;27;41;65.9;14;Matches
23;Joachim Andersen\Joachim-Andersen;dk DEN;DF;Lyon;23;1996;16.0;3;0;0;16;3;0;1;8;6;0;1;0;2;2;100.0;2;0;15;27;55.6;12;Matches
24;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;28;1990;21.8;6;0;0;52;36;0;10;60;60;0;0;0;23;27;85.2;25;0;80;141;56.7;61;Matches
25;Victorien Angban\Victorien-Angban;ci CIV;MF;Metz;22;1996;11.3;0;0;0;19;25;0;3;16;5;0;0;0;18;21;85.7;18;0;25;41;61.0;16;Matches
26;Houssem Aouar\Houssem-Aouar;fr FRA;MFFW;Lyon;21;1998;21.1;3;0;0;24;38;2;21;16;13;0;0;0;62;98;63.3;69;5;23;47;48.9;24;Matches
27;Adil Aouchiche\Adil-Aouchiche;fr FRA;MF;Paris S-G;17;2002;0.7;0;0;0;1;0;0;0;2;0;0;0;0;3;3;100.0;3;0;2;4;50.0;2;Matches
28;Dennis Appiah\Dennis-Appiah;fr FRA;DF;Nantes;27;1992;16.8;2;0;0;26;7;0;27;32;21;0;0;0;20;26;76.9;20;0;61;87;70.1;26;Matches
29;Luiz Araújo\Luiz-Araujo;br BRA;FWMF;Lille;23;1996;9.1;1;0;0;13;23;0;30;9;5;1;0;0;26;38;68.4;27;2;18;44;40.9;26;Matches
30;Alphonse Areola\Alphonse-Areola;fr FRA;GK;Paris S-G;26;1993;3.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
31;Youcef Attal\Youcef-Attal;dz ALG;FWDF;Nice;23;1996;11.2;5;0;0;15;25;4;30;17;20;1;1;0;41;85;48.2;43;3;29;48;60.4;19;Matches
32;Jean-Kévin Augustin\Jean-Kevin-Augustin;fr FRA;FW;Monaco;22;1997;2.9;0;0;0;2;7;4;0;0;2;1;0;0;8;12;66.7;8;1;2;6;33.3;4;Matches
33;Mathias Autret\Mathias-Autret;fr FRA;MFFW;Brest;28;1991;13.6;3;0;0;13;6;0;71;11;9;0;0;0;12;27;44.4;12;2;24;42;57.1;18;Matches
34;Ludovic Baal\Ludovic-Baal;gf GUF;DF;Brest;33;1986;9.2;1;0;0;10;15;1;25;21;17;0;1;0;17;27;63.0;19;1;34;47;72.3;13;Matches
35;Bastian Badu\Bastian-Badu;fr FRA;FW;Montpellier;19;2000;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
36;Stéphane Bahoken\Stephane-Bahoken;cm CMR;FW;Angers;27;1992;9.2;3;0;0;22;12;5;13;3;1;0;0;0;2;13;15.4;3;0;5;8;62.5;3;Matches
37;Dénys Bain\Denys-Bain;fr FRA;DF;Brest;26;1993;14.1;3;1;0;8;5;1;0;19;30;0;0;0;0;1;0.0;0;0;29;31;93.5;2;Matches
38;Stefan Bajic\Stefan-Bajic;fr FRA;GK;Saint-Étienne;17;2001;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
39;Tiemoué Bakayoko\Tiemoue-Bakayoko;fr FRA;MF;Monaco;24;1994;18.1;4;1;0;32;56;0;9;46;26;0;0;0;28;53;52.8;30;2;67;92;72.8;25;Matches
40;Mitchel Bakker\Mitchel-Bakker;nl NED;DF;Paris S-G;19;2000;1.0;1;0;0;1;0;0;1;3;0;0;0;0;1;1;100.0;1;0;3;4;75.0;1;Matches
41;Keita Baldé\Keita-Balde;sn SEN;FWMF;Monaco;24;1995;9.5;4;0;0;12;15;5;16;8;2;1;0;0;6;12;50.0;6;1;11;18;61.1;7;Matches
42;Fodé Ballo-Touré\Fode-Ballo-Toure;fr FRA;DF;Monaco;22;1997;17.6;4;0;0;15;21;4;57;21;20;0;1;1;29;48;60.4;32;0;36;52;69.2;16;Matches
43;Florent Balmont\Florent-Balmont;fr FRA;MF;Dijon;39;1980;4.4;1;0;0;4;7;0;8;9;2;0;0;0;1;3;33.3;3;0;16;23;69.6;7;Matches
44;Abdoulaye Bamba\Abdoulaye-Bamba;ci CIV;DF;Angers;29;1990;5.1;2;0;0;4;2;0;13;4;3;0;0;0;3;3;100.0;3;0;9;16;56.3;7;Matches
45;Jonathan Bamba\Jonathan-Bamba;fr FRA;FWMF;Lille;23;1996;20.6;1;0;0;14;43;5;48;10;15;2;0;0;45;74;60.8;48;4;16;35;45.7;19;Matches
46;Danilo Barbosa\Danilo-Barbosa;br BRA;DFMF;Nice;23;1996;11.4;3;0;0;14;18;0;1;14;16;0;0;0;10;16;62.5;13;2;28;40;70.0;12;Matches
47;Melvin Bard\Melvin-Bard;fr FRA;DF;Lyon;18;2000;0.5;0;0;0;0;0;0;3;0;1;0;0;0;0;0;;0;0;0;0;;0;Matches
48;Toma Bašić\Toma-Basic;hr CRO;MF;Bordeaux;22;1996;11.0;4;0;0;12;15;1;46;20;9;0;0;0;18;23;78.3;19;1;32;52;61.5;20;Matches
