"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
299;Yerry Mina\Yerry-Mina;co COL;DF;Everton;24;1994;23.2;1;0.2;+0.8;3;964;1127;85.5;5;14;35.7;559;622;89.9;400;491;81.5;139;879;33;0;0;1;48;1;0;Matches
300;Takumi Minamino\Takumi-Minamino;jp JPN;FWMF;Liverpool;24;1995;0.9;0;0.0;0.0;0;37;39;94.9;2;2;100.0;31;32;96.9;4;5;80.0;8;29;0;0;0;0;2;0;0;Matches
301;Tyrone Mings\Tyrone-Mings;eng ENG;DF;Aston Villa;26;1993;22.3;1;0.5;+0.5;6;800;979;81.7;6;23;26.1;442;477;92.7;352;479;73.5;797;109;35;2;0;2;45;2;0;Matches
302;Henrikh Mkhitaryan\Henrikh-Mkhitaryan;am ARM;FW;Arsenal;30;1989;1.2;0;0.2;-0.2;2;58;77;75.3;2;7;28.6;46;54;85.2;10;16;62.5;20;52;1;2;2;1;3;2;0;Matches
303;Nacho Monreal\Nacho-Monreal;es ESP;DF;Arsenal;33;1986;3.0;0;0.3;-0.3;3;182;201;90.5;4;6;66.7;167;177;94.4;11;18;61.1;162;11;1;0;0;25;8;0;0;Matches
304;Martín Montoya\Martin-Montoya;es ESP;DF;Brighton;28;1991;19.0;1;1.3;-0.3;20;935;1162;80.5;11;46;23.9;769;883;87.1;155;233;66.5;129;771;11;0;1;209;38;18;5;Matches
305;Simon Moore\Simon-Moore;eng ENG;GK;Sheffield Utd;29;1990;1.0;0;0.0;0.0;0;6;22;27.3;0;0;;2;2;100.0;4;20;20.0;3;12;5;0;0;0;0;0;0;Matches
306;Aaron Mooy\Aaron-Mooy;au AUS;MFFW;Brighton;28;1990;18.4;1;2.7;-1.7;33;682;896;76.1;15;49;30.6;546;620;88.1;121;227;53.3;151;709;17;3;47;6;73;21;2;Matches
307;Wesley Moraes\Wesley-Moraes;br BRA;FW;Aston Villa;22;1996;19.9;1;0.9;+0.1;11;277;377;73.5;11;25;44.0;229;302;75.8;37;50;74.0;16;282;0;0;0;2;20;2;0;Matches
308;Wes Morgan\Wes-Morgan;jm JAM;DF;Leicester City;35;1984;1.8;0;0.0;0.0;0;71;81;87.7;0;1;0.0;54;56;96.4;17;24;70.8;9;70;1;0;0;0;1;0;0;Matches
309;Ravel Morrison\Ravel-Morrison;eng ENG;MF;Sheffield Utd;26;1993;0.1;0;0.0;0.0;0;4;6;66.7;0;1;0.0;4;5;80.0;0;0;;1;5;0;0;0;0;2;0;0;Matches
310;Mason Mount\Mason-Mount;eng ENG;MFFW;Chelsea;20;1999;25.6;4;3.3;+0.7;43;859;1073;80.1;39;74;52.7;697;787;88.6;123;212;58.0;120;912;44;2;75;7;72;28;5;Matches
311;Lucas Moura\Lucas-Moura;br BRA;FWMF;Tottenham;26;1992;18.7;2;1.7;+0.3;25;424;577;73.5;13;41;31.7;374;456;82.0;37;80;46.3;58;456;5;2;4;2;30;18;1;Matches
312;Lys Mousset\Lys-Mousset;fr FRA;FW;Sheffield Utd;23;1996;11.3;4;2.4;+1.6;11;160;205;78.0;5;15;33.3;144;173;83.2;11;17;64.7;21;162;0;1;0;1;8;3;0;Matches
313;João Moutinho\Joao-Moutinho;pt POR;MF;Wolves;32;1986;27.1;6;5.3;+0.7;67;1248;1581;78.9;13;43;30.2;820;926;88.6;415;612;67.8;98;1390;115;6;134;5;123;25;9;Matches
314;Glenn Murray\Glenn-Murray;eng ENG;FW;Brighton;35;1983;7.8;0;0.4;-0.4;2;109;164;66.5;5;14;35.7;91;123;74.0;13;27;48.1;15;112;1;1;0;2;7;3;0;Matches
315;Shkodran Mustafi\Shkodran-Mustafi;de GER;DF;Arsenal;27;1992;6.9;1;0.0;+1.0;0;343;410;83.7;1;9;11.1;197;223;88.3;145;178;81.5;14;356;7;0;0;0;30;0;0;Matches
316;Yoshinori Mutō\Yoshinori-Muto;jp JPN;FWMF;Newcastle Utd;27;1992;2.2;0;0.1;-0.1;2;25;29;86.2;1;2;50.0;21;23;91.3;3;4;75.0;10;18;1;0;0;0;1;2;1;Matches
317;Georges-Kévin N'Koudou\Georges-Kevin-NKoudou;fr FRA;FW;Tottenham;24;1995;0.0;0;0.0;0.0;0;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;Matches
318;Marvelous Nakamba\Marvelous-Nakamba;zw ZIM;MF;Aston Villa;25;1994;18.2;0;0.5;-0.5;11;597;709;84.2;10;23;43.5;460;523;88.0;127;163;77.9;565;98;20;0;0;3;27;4;0;Matches
319;Wilfred Ndidi\Wilfred-Ndidi;ng NGA;MF;Leicester City;22;1996;21.0;1;0.4;+0.6;8;972;1132;85.9;21;38;55.3;726;811;89.5;225;283;79.5;123;920;15;1;0;0;93;2;0;Matches
320;Tanguy Ndombele\Tanguy-Ndombele;fr FRA;MF;Tottenham;22;1996;10.5;2;1.3;+0.7;13;484;572;84.6;16;28;57.1;386;435;88.7;82;109;75.2;54;504;14;0;6;0;42;10;0;Matches
321;Reiss Nelson\Reiss-Nelson;eng ENG;FW;Arsenal;19;1999;5.1;0;0.3;-0.3;6;147;184;79.9;4;13;30.8;121;139;87.1;22;32;68.8;23;157;3;1;9;1;8;2;0;Matches
322;Pedro Neto\Pedro-Neto;pt POR;FWMF;Wolves;19;2000;8.1;2;2.3;-0.3;12;221;299;73.9;9;31;29.0;176;214;82.2;36;54;66.7;228;48;4;0;7;2;13;4;1;Matches
