Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;Matches;
334;Jan Oblak\Jan-Oblak;si SVN;GK;Atlético Madrid;28-269;1993;8.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;Matches
335;Lucas Ocampos\Lucas-Ocampos;ar ARG;FW;Sevilla;27-084;1994;2.1;13;5;8;5;0;7;7;100.0;0;36;11;30.6;18;12;6;1;0;0;1;4;17;4;0;Matches
336;Brian Oliván\Brian-Olivan;es ESP;DF;Mallorca;27-185;1994;7.0;13;7;11;2;0;6;8;75.0;2;63;19;30.2;42;17;4;5;3;0;2;15;28;37;0;Matches
337;Mathías Olivera\Mathias-Olivera;uy URU;DF;Getafe;23-337;1997;6.6;10;8;4;4;2;4;8;50.0;4;124;39;31.5;35;56;33;13;0;0;13;9;19;8;0;Matches
338;Javier Ontiveros\Javier-Ontiveros;es ESP;MFFW;Osasuna;24-024;1997;0.3;0;0;0;0;0;0;1;0.0;1;4;0;0.0;1;1;2;0;0;0;0;0;0;0;1;Matches
339;Pedro Ortiz\Pedro-Ortiz;es ESP;MF;Sevilla;21-045;2000;0.1;0;0;0;0;0;0;0;;0;3;0;0.0;1;0;2;0;0;0;0;0;0;1;0;Matches
340;Milutin Osmajić\Milutin-Osmajic;me MNE;FWMF;Cádiz;22-070;1999;1.8;3;2;0;3;0;0;0;;0;36;9;25.0;5;21;10;0;0;0;0;2;5;3;0;Matches
341;Mikel Oyarzabal\Mikel-Oyarzabal;es ESP;MFFW;Real Sociedad;24-165;1997;6.1;8;5;5;2;1;1;4;25.0;3;80;20;25.0;16;35;29;7;0;0;7;5;13;3;0;Matches
342;Fernando Pacheco\Fernando-Pacheco;es ESP;GK;Alavés;29-138;1992;6.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
343;Jon Pacheco\Jon-Pacheco;es ESP;DF;Real Sociedad;20-268;2001;0.1;0;0;0;0;0;0;0;;0;2;1;50.0;2;0;0;0;0;0;0;1;1;1;0;Matches
344;Gavi Paez\Gavi-Paez;es ESP;MFFW;Barcelona;17-059;2004;3.0;7;5;3;3;1;2;4;50.0;2;46;8;17.4;12;24;10;9;0;0;9;2;9;3;0;Matches
345;Helibelton Palacios\Helibelton-Palacios;co COL;DF;Elche;28-116;1993;4.5;10;3;8;2;0;3;6;50.0;3;58;12;20.7;38;17;3;8;2;0;6;9;19;21;0;Matches
346;Isaac Palazón Camacho\Isaac-Palazon-Camacho;es ESP;FWMF;Rayo Vallecano;26-280;1994;5.9;9;6;4;4;1;1;12;8.3;11;120;35;29.2;29;59;32;11;3;0;8;8;17;6;0;Matches
347;Daniel Parejo\Daniel-Parejo;es ESP;MF;Villarreal;32-170;1989;2.4;2;2;2;0;0;0;1;0.0;1;45;11;24.4;18;19;8;5;0;0;5;3;5;4;0;Matches
348;Javier Pastore\Javier-Pastore;ar ARG;MFFW;Elche;32-105;1989;0.7;2;1;0;1;1;2;2;100.0;0;26;7;26.9;4;14;8;1;0;0;1;1;3;0;0;Matches
349;Gabriel Paulista\Gabriel-Paulista;br BRA;DF;Valencia;30-311;1990;8.0;3;1;3;0;0;0;2;0.0;2;33;12;36.4;22;10;1;9;5;0;4;28;31;60;0;Matches
350;Alfonso Pedraza\Alfonso-Pedraza;es ESP;DF;Villarreal;25-177;1996;2.3;6;4;4;1;1;0;3;0.0;3;31;9;29.0;9;15;7;4;0;0;4;6;12;8;0;Matches
351;Pedri\Pedri;es ESP;MF;Barcelona;18-312;2002;1.7;2;2;0;2;0;1;6;16.7;5;31;11;35.5;10;14;7;3;0;0;3;0;2;1;0;Matches
352;Pedrosa\Pedrosa;es ESP;DF;Espanyol;23-143;1998;5.5;16;9;11;4;1;4;7;57.1;3;70;23;32.9;38;21;11;11;2;0;9;14;30;21;0;Matches
353;Facundo Pellistri\Facundo-Pellistri;uy URU;MFFW;Alavés;19-287;2001;2.2;3;2;0;2;1;2;5;40.0;3;48;8;16.7;18;8;22;6;0;0;6;2;5;1;0;Matches
354;Rubén Peña\Ruben-Pena;es ESP;FWDF;Villarreal;30-077;1991;0.5;2;1;1;1;0;0;0;;0;18;8;44.4;8;7;3;1;0;0;1;1;3;1;0;Matches
355;Alberto Perea\Alberto-Perea;es ESP;MFFW;Cádiz;30-288;1990;1.9;4;3;3;0;1;1;5;20.0;4;38;15;39.5;15;17;6;0;0;0;0;3;7;1;1;Matches
356;Victor Perea\Victor-Perea;es ESP;DF;Espanyol;21-185;2000;0.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
357;Iñigo Pérez\Inigo-Perez;es ESP;MF;Osasuna;33-258;1988;0.9;0;0;0;0;0;0;1;0.0;1;15;5;33.3;3;6;6;2;0;0;2;1;1;0;0;Matches
358;Lucas Pérez\Lucas-Perez;es ESP;FW;Elche;33-023;1988;2.7;0;0;0;0;0;0;3;0.0;3;35;7;20.0;2;23;10;0;0;0;0;0;0;1;0;Matches
359;Germán Pezzella\German-Pezzella;ar ARG;DF;Betis;30-098;1991;3.7;3;2;3;0;0;2;6;33.3;4;37;9;24.3;21;14;2;6;2;0;4;9;12;19;0;Matches
360;Pablo Piatti\Pablo-Piatti;ar ARG;MF;Elche;32-186;1989;0.8;2;1;2;0;0;1;2;50.0;1;15;1;6.7;4;10;1;0;0;0;0;1;3;0;0;Matches
361;Tomás Pina Isla\Tomas-Pina-Isla;es ESP;MF;Alavés;33-354;1987;4.3;7;7;0;5;2;0;2;0.0;2;82;25;30.5;28;42;12;5;1;0;4;2;9;7;0;Matches
