;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
467;Kévin Soni\Kevin-Soni;cm CMR;FW;Espanyol;21;1998;0.0;4;0;0;0;4;1;4;0;1;0.0;0;0;3;8;4;8;4;50.0;1;0;Matches
468;David Soria\David-Soria;es ESP;GK;Getafe;26;1993;27.0;845;597;832;18;0;0;495;0;0;;0;0;325;2450;1771;214;212;99.1;0;0;Matches
469;Juan Soriano\Juan-Soriano;es ESP;GK;Leganés;21;1997;11.0;317;280;315;1;2;1;205;0;0;;0;0;160;826;442;110;110;100.0;0;0;Matches
470;Damián Suárez\Damian-Suarez;uy URU;DF;Getafe;31;1988;21.4;1299;30;257;651;441;11;924;16;27;59.3;17;1;532;2754;1514;590;522;88.5;14;11;Matches
471;Denis Suárez\Denis-Suarez;es ESP;MFFW;Celta Vigo;25;1994;14.7;879;16;120;483;363;40;804;46;85;54.1;50;4;696;5762;3737;752;646;85.9;21;41;Matches
472;Luis Suárez\Luis-Suarez;uy URU;FW;Barcelona;32;1987;14.2;603;10;24;247;355;99;572;20;39;51.3;20;3;378;1641;967;746;502;67.3;25;21;Matches
473;Ki Sung-yueng\Ki-Sung-yueng;kr KOR;MF;Mallorca;30;1989;0.1;5;0;0;5;1;0;4;0;1;0.0;0;0;1;11;0;2;1;50.0;1;0;Matches
474;Suso\Suso;es ESP;FWMF;Sevilla;25;1993;3.9;220;0;21;100;115;9;209;9;14;64.3;10;1;183;1035;513;206;177;85.9;4;8;Matches
475;Tachi\Tachi;es ESP;MFDF;Alavés;21;1997;0.1;9;3;7;1;1;0;8;0;0;;0;0;2;11;7;0;0;;0;1;Matches
476;Rodrigo Tarín\Rodrigo-Tarin;es ESP;DF;Leganés;23;1996;4.0;146;28;86;66;3;2;139;0;0;;0;0;71;474;260;72;69;95.8;0;0;Matches
477;Álvaro Tejero\Alvaro-Tejero;es ESP;DF;Eibar;23;1996;13.3;799;40;211;418;211;4;637;1;3;33.3;1;1;399;2047;970;417;372;89.2;8;5;Matches
478;Cristian Tello\Cristian-Tello;es ESP;MFFW;Betis;27;1991;5.0;260;4;36;94;149;21;237;8;11;72.7;8;1;193;1313;859;221;185;83.7;9;1;Matches
479;Marc-André ter Stegen\Marc-Andre-ter-Stegen;de GER;GK;Barcelona;27;1992;26.0;1029;937;1026;3;0;0;831;0;0;;0;0;646;2789;1689;596;594;99.7;0;0;Matches
