;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
149;Sergio Escudero\Sergio-Escudero;es ESP;DF;Sevilla;29;1989;4.6;369;21;135;177;74;7;315;4;7;57.1;5;1;201;1022;652;223;206;92.4;2;5;Matches
150;Bernardo Espinosa\Bernardo-Espinosa;co COL;DF;Espanyol;30;1989;18.0;847;112;489;343;50;30;827;1;1;100.0;1;0;373;1804;769;439;405;92.3;9;3;Matches
151;Esquerdo\Esquerdo;es ESP;MF;Valencia;20;1999;0.1;15;1;5;8;4;0;15;0;1;0.0;0;0;13;79;10;14;12;85.7;3;2;Matches
152;Pervis Estupiñán\Pervis-Estupinan;ec ECU;DF;Osasuna;21;1998;26.0;1774;79;503;894;508;36;1460;48;81;59.3;52;3;1054;7088;4752;1016;914;90.0;49;39;Matches
153;Oghenekaro Etebo\Oghenekaro-Etebo;ng NGA;MF;Getafe;23;1995;3.9;172;2;31;93;57;8;171;5;8;62.5;5;0;110;677;356;113;94;83.2;7;4;Matches
154;Beñat Etxebarria\Benat-Etxebarria;es ESP;MF;Athletic Bilbao;32;1987;4.3;235;8;34;153;57;4;203;0;1;0.0;1;0;124;457;227;141;129;91.5;2;4;Matches
155;Xabier Etxeita\Xabier-Etxeita;es ESP;DF;Getafe;31;1987;9.5;303;36;117;173;17;4;297;0;0;;0;0;83;398;177;84;82;97.6;0;1;Matches
156;Edu Expósito\Edu-Exposito;es ESP;MF;Eibar;22;1996;17.6;787;19;131;497;207;16;774;20;28;71.4;20;0;530;2627;1197;512;457;89.3;20;13;Matches
157;Fabricio\Fabricio;es ESP;GK;Mallorca;31;1987;1.0;35;32;35;0;0;0;23;0;0;;0;0;15;61;23;14;14;100.0;1;0;Matches
158;Fayçal Fajr\Faycal-Fajr;ma MAR;MF;Getafe;30;1988;4.3;213;3;28;100;95;4;177;1;1;100.0;1;1;108;339;142;130;103;79.2;3;2;Matches
159;Eliseo Falcon\Eliseo-Falcon;es ESP;DFMF;Levante;22;1997;0.8;28;6;15;13;2;0;26;2;2;100.0;2;0;23;173;92;19;19;100.0;0;0;Matches
160;Ansu Fati\Ansu-Fati;es ESP;FWDF;Barcelona;16;2002;7.6;463;5;28;147;326;80;452;14;36;38.9;15;0;391;2800;1866;454;381;83.9;23;15;Matches
161;Aleix Febas\Aleix-Febas;es ESP;MF;Mallorca;23;1996;15.6;719;8;118;391;254;39;709;22;39;56.4;22;2;574;3216;1682;665;529;79.5;28;40;Matches
162;Zouhair Feddal\Zouhair-Feddal;ma MAR;DF;Betis;30;1989;9.4;680;104;395;316;15;7;657;3;3;100.0;3;0;443;2396;1256;485;478;98.6;1;2;Matches
163;Ljubomir Fejsa\Ljubomir-Fejsa;rs SRB;MF;Alavés;30;1988;4.1;168;11;43;109;18;0;167;1;2;50.0;2;0;83;290;70;87;77;88.5;1;1;Matches
164;Nabil Fekir\Nabil-Fekir;fr FRA;MFFW;Betis;26;1993;20.2;1002;14;127;529;447;102;967;55;85;64.7;58;2;844;6322;3732;948;762;80.4;50;57;Matches
165;Felipe\Felipe;br BRA;DF;Atlético Madrid;30;1989;20.0;1034;150;556;488;43;27;1008;4;5;80.0;4;1;535;3265;1358;590;561;95.1;3;2;Matches
166;João Félix\Joao-Felix;pt POR;FWMF;Atlético Madrid;19;1999;15.8;600;8;61;314;275;65;582;16;48;33.3;20;5;452;2814;1721;662;467;70.5;34;13;Matches
167;Aitor Fernández\Aitor-Fernandez;es ESP;GK;Levante;28;1991;27.0;954;834;947;8;0;0;605;0;0;;0;0;341;1788;1268;263;261;99.2;0;0;Matches
168;Andrés Fernández\Andres-Fernandez;es ESP;GK;Villarreal;32;1986;3.3;107;104;107;1;0;0;68;0;0;;0;0;43;226;126;39;39;100.0;0;0;Matches
169;Carlos Fernández\Carlos-Fernandez;es ESP;FWMF;Granada;23;1996;15.5;600;30;61;300;272;48;585;19;32;59.4;21;2;357;2078;915;689;422;61.2;43;22;Matches
170;Gabriel Fernández\Gabriel-Fernandez;uy URU;FWMF;Celta Vigo;25;1994;5.7;171;4;16;96;76;28;166;8;10;80.0;8;0;119;941;369;235;130;55.3;17;12;Matches
171;Joaquín Fernández\Joaquin-Fernandez;es ESP;MFDF;Valladolid;23;1996;12.9;702;48;218;464;46;8;685;5;6;83.3;6;0;386;1734;648;437;416;95.2;5;3;Matches
172;Fernando\Fernando;br BRA;MF;Sevilla;32;1987;23.2;1475;117;509;896;147;23;1433;13;17;76.5;15;1;886;4360;2071;945;891;94.3;16;9;Matches
173;Facundo Ferreyra\Facundo-Ferreyra;ar ARG;FW;Espanyol;28;1991;6.0;155;4;9;73;76;24;148;3;5;60.0;3;0;74;334;156;281;103;36.7;16;8;Matches
174;Junior Firpo\Junior-Firpo;es ESP;DF;Barcelona;22;1996;9.0;722;23;193;362;215;24;645;5;12;41.7;6;1;507;2436;1399;541;507;93.7;5;7;Matches
175;Alessandro Florenzi\Alessandro-Florenzi;it ITA;DFMF;Valencia;28;1991;2.2;139;6;52;56;36;3;121;1;2;50.0;1;1;78;300;106;96;83;86.5;4;2;Matches
176;Hernâni Fortes\Hernani-Fortes;pt POR;MFFW;Levante;27;1991;4.7;165;9;32;69;84;21;162;7;18;38.9;9;0;130;1272;890;172;116;67.4;8;8;Matches
177;Dimitri Foulquier\Dimitri-Foulquier;fr FRA;DF;Granada;26;1993;6.2;279;19;84;148;68;5;220;3;12;25.0;5;0;124;907;630;125;105;84.0;5;7;Matches
178;Jorge de Frutos\Jorge-de-Frutos;es ESP;MFFW;Valladolid;22;1997;0.6;29;0;8;13;11;3;28;0;1;0.0;0;0;15;81;45;21;16;76.2;2;2;Matches
179;Ramiro Funes Mori\Ramiro-Funes-Mori;ar ARG;DF;Villarreal;28;1991;5.0;310;34;168;159;8;4;303;1;1;100.0;1;0;215;1537;844;212;208;98.1;2;1;Matches
180;Enric Gallego\Enric-Gallego;es ESP;FW;Getafe;32;1986;1.8;80;2;10;37;36;11;78;2;4;50.0;2;0;39;172;44;120;55;45.8;10;3;Matches
181;Enric Gallego\Enric-Gallego;es ESP;FW;Osasuna;32;1986;4.5;159;3;7;83;73;20;153;2;6;33.3;2;0;55;211;88;232;118;50.9;14;3;Matches
182;Kévin Gameiro\Kevin-Gameiro;fr FRA;FW;Valencia;32;1987;11.6;406;3;40;189;212;65;378;16;23;69.6;17;0;299;2185;1097;467;281;60.2;35;23;Matches
183;Fran Gámez\Fran-Gamez;es ESP;DF;Mallorca;28;1991;13.7;800;78;260;340;252;15;660;13;16;81.3;14;1;417;2586;1543;443;382;86.2;19;11;Matches
184;Ezequiel Garay\Ezequiel-Garay;ar ARG;DF;Valencia;32;1986;16.0;997;175;589;453;36;12;976;0;0;;0;0;631;4263;2239;720;710;98.6;2;1;Matches
185;Dani García\Dani-Garcia;es ESP;MF;Athletic Bilbao;29;1990;25.3;1292;59;328;900;113;11;1265;6;8;75.0;6;1;719;2977;1225;749;710;94.8;4;14;Matches
186;David García\David-Garcia;es ESP;DF;Osasuna;25;1994;22.0;1096;120;531;586;32;20;1053;1;2;50.0;1;0;463;2364;1261;525;510;97.1;2;2;Matches
187;Javi García\Javi-Garcia;es ESP;MF;Betis;32;1987;4.0;229;17;71;154;14;5;220;1;2;50.0;1;0;127;676;259;161;152;94.4;4;3;Matches
188;Manu García\Manu-Garcia;es ESP;MF;Alavés;33;1986;19.6;871;49;179;602;119;25;861;10;15;66.7;12;0;464;1966;641;602;491;81.6;19;24;Matches
189;Raúl García\Raul-Garcia;es ESP;DF;Valladolid;30;1989;7.0;405;15;108;213;109;7;316;3;7;42.9;3;0;198;1200;715;213;189;88.7;5;4;Matches
190;Raúl García\Raul-Garcia;es ESP;DF;Getafe;30;1989;2.7;174;9;46;84;58;0;137;4;5;80.0;4;0;88;592;328;84;78;92.9;2;2;Matches
191;Raúl García\Raul-Garcia;es ESP;MFFW;Athletic Bilbao;33;1986;23.2;995;39;128;511;398;77;980;6;10;60.0;6;2;453;2336;1202;1030;677;65.7;49;21;Matches
192;Rubén García\Ruben-Garcia;es ESP;MFFW;Osasuna;26;1993;20.7;1161;18;131;551;532;50;1014;24;33;72.7;24;1;725;3609;1863;1002;752;75.0;58;42;Matches
193;Unai García\Unai-Garcia;es ESP;DF;Osasuna;27;1992;2.2;103;20;59;48;6;4;92;2;2;100.0;2;0;40;341;215;39;37;94.9;1;0;Matches
194;Mario Gaspar\Mario-Gaspar;es ESP;DF;Villarreal;28;1990;15.7;938;62;305;449;219;30;781;2;7;28.6;3;0;461;1782;959;574;505;88.0;12;6;Matches
195;José Antonio Martínez Gil\Jose-Antonio-Martinez-Gil;es ESP;DF;Granada;26;1993;11.5;535;54;283;252;25;9;502;2;2;100.0;2;1;273;1522;687;264;255;96.6;5;1;Matches
196;Ibai Gómez\Ibai-Gomez;es ESP;FW;Athletic Bilbao;29;1989;7.2;372;4;30;137;224;21;292;8;14;57.1;10;0;214;1011;487;290;216;74.5;11;19;Matches
197;Maxi Gómez\Maxi-Gomez;uy URU;FW;Valencia;22;1996;16.8;416;14;37;228;167;67;392;4;9;44.4;4;0;237;1155;565;589;301;51.1;38;16;Matches
198;Moi Gómez\Moi-Gomez;es ESP;FWMF;Villarreal;25;1994;19.7;1028;24;175;458;464;61;1014;21;41;51.2;25;2;767;4728;2359;953;777;81.5;21;28;Matches
199;Sergi Gómez\Sergi-Gomez;es ESP;DF;Sevilla;27;1992;5.5;370;46;207;171;8;1;363;1;1;100.0;1;0;235;1182;539;265;261;98.5;0;0;Matches
200;Maxime Gonalons\Maxime-Gonalons;fr FRA;MF;Granada;30;1989;16.1;716;42;218;476;57;7;697;12;15;80.0;12;0;425;2608;923;411;380;92.5;10;8;Matches
201;Bruno González\Bruno-Gonzalez;es ESP;DF;Levante;29;1990;3.0;142;31;100;42;3;2;138;0;0;;0;0;69;311;70;75;75;100.0;0;0;Matches
202;Bruno González\Bruno-Gonzalez;es ESP;DF;Getafe;29;1990;2.0;75;5;26;45;5;1;71;0;0;;0;0;34;281;111;41;38;92.7;1;0;Matches
203;Édgar González\Edgar-Gonzalez;es ESP;MF;Betis;22;1997;6.2;325;27;159;158;36;5;321;2;4;50.0;2;0;210;1127;646;236;222;94.1;5;6;Matches
204;Andoni Gorosabel\Andoni-Gorosabel;es ESP;DF;Real Sociedad;22;1996;4.3;281;14;71;125;101;14;244;2;2;100.0;2;0;156;672;367;170;154;90.6;7;3;Matches
205;Esteban Granero\Esteban-Granero;es ESP;MF;Espanyol;32;1987;5.2;277;7;42;153;97;14;243;5;6;83.3;6;0;169;835;308;207;172;83.1;9;10;Matches
206;Antoine Griezmann\Antoine-Griezmann;fr FRA;FW;Barcelona;28;1991;23.8;1165;32;117;487;607;137;1136;12;27;44.4;14;1;788;3539;1456;1223;921;75.3;30;15;Matches
207;Andrés Guardado\Andres-Guardado;mx MEX;MF;Betis;32;1986;17.0;908;37;183;567;210;20;882;16;20;80.0;16;1;656;3598;1663;675;624;92.4;21;15;Matches
208;Sergi Guardiola\Sergi-Guardiola;es ESP;FW;Valladolid;28;1991;22.9;799;14;64;432;362;78;771;27;52;51.9;29;3;558;3628;1952;1025;601;58.6;59;45;Matches
209;Nemanja Gudelj\Nemanja-Gudelj;rs SRB;MFDF;Sevilla;27;1991;7.8;452;43;182;258;30;3;430;3;5;60.0;4;0;259;1562;703;277;267;96.4;1;6;Matches
210;Gonçalo Guedes\Goncalo-Guedes;pt POR;MFFW;Valencia;22;1996;6.6;305;2;34;138;164;22;297;26;36;72.2;26;0;269;1946;1053;293;235;80.2;15;13;Matches
211;Ander Guevara\Ander-Guevara;es ESP;MF;Real Sociedad;22;1997;10.5;788;30;205;544;94;4;767;10;12;83.3;10;0;538;3003;1682;559;535;95.7;10;9;Matches
212;John Guidetti\John-Guidetti;se SWE;FW;Alavés;27;1992;1.0;46;0;0;26;21;2;43;2;4;50.0;2;0;29;160;97;64;35;54.7;0;2;Matches
213;Hugo Guillamón\Hugo-Guillamon;es ESP;DF;Valencia;19;2000;0.5;53;16;38;16;4;0;52;0;0;;0;0;40;253;90;38;38;100.0;0;0;Matches
214;Ismael Gutiérrez\Ismael-Gutierrez;es ESP;MF;Betis;18;2000;0.9;42;2;16;24;5;0;42;0;0;;0;0;24;93;29;29;25;86.2;4;1;Matches
215;Munir El Haddadi\Munir-El-Haddadi;es ESP;FW;Sevilla;23;1995;7.1;294;3;27;122;153;40;284;5;8;62.5;6;0;197;972;438;337;219;65.0;19;15;Matches
216;Eden Hazard\Eden-Hazard;be BEL;FWMF;Real Madrid;28;1991;8.3;539;4;64;232;302;76;533;31;49;63.3;34;0;448;3734;2575;548;448;81.8;19;23;Matches
217;Mario Hermoso\Mario-Hermoso;es ESP;DF;Atlético Madrid;24;1995;11.3;605;66;318;298;20;6;575;3;3;100.0;3;0;338;1494;719;365;354;97.0;2;1;Matches
218;Aridane Hernández\Aridane-Hernandez;gq EQG;DF;Osasuna;30;1989;21.0;925;123;518;429;21;17;894;2;2;100.0;2;0;409;2301;898;433;423;97.7;5;1;Matches
219;Javier Hernández\Javier-Hernandez;mx MEX;FW;Sevilla;31;1988;5.0;142;1;2;69;75;27;134;1;2;50.0;1;0;75;383;183;226;97;42.9;14;8;Matches
220;Juan Hernández\Juan-Hernandez;es ESP;MF;Celta Vigo;24;1994;0.2;13;0;1;5;9;2;13;3;5;60.0;3;0;12;111;84;16;11;68.8;1;0;Matches
221;Héctor Herrera\Hector-Herrera;mx MEX;MF;Atlético Madrid;29;1990;9.3;640;22;115;398;169;11;610;12;13;92.3;12;1;427;2259;1105;469;420;89.6;9;11;Matches
222;Sergio Herrera\Sergio-Herrera;es ESP;GK;Osasuna;26;1993;11.4;404;353;400;5;0;0;274;3;3;100.0;3;0;195;1343;743;125;125;100.0;1;0;Matches
223;Yangel Herrera\Yangel-Herrera;ve VEN;MF;Granada;21;1998;17.5;840;38;181;561;150;17;831;10;12;83.3;10;0;530;2685;1167;556;477;85.8;20;20;Matches
224;Iago Herrerín\Iago-Herrerin;es ESP;GK;Athletic Bilbao;31;1988;3.0;109;98;109;0;0;0;83;0;0;;0;0;59;334;220;47;47;100.0;0;0;Matches
225;Pablo Hervías\Pablo-Hervias;es ESP;MF;Valladolid;26;1993;5.4;252;5;52;119;119;11;230;15;25;60.0;17;1;213;2250;1152;202;165;81.7;6;13;Matches
226;Robert Ibáñez\Robert-Ibanez;es ESP;MFFW;Osasuna;26;1993;5.9;269;3;33;144;117;24;269;15;25;60.0;17;0;231;1679;923;257;209;81.3;16;20;Matches
227;Vicente Iborra\Vicente-Iborra;es ESP;MF;Villarreal;31;1988;23.6;1383;97;418;878;140;26;1342;9;13;69.2;10;2;800;3208;1487;950;866;91.2;14;10;Matches
228;Borja Iglesias\Borja-Iglesias;es ESP;FW;Betis;26;1993;15.3;387;17;39;197;172;73;357;10;25;40.0;11;1;240;1262;558;538;267;49.6;48;18;Matches
229;Asier Illarramendi\Asier-Illarramendi;es ESP;MF;Real Sociedad;29;1990;2.4;203;13;48;150;20;1;197;0;1;0.0;0;0;147;1082;673;150;148;98.7;2;0;Matches
230;Takashi Inui\Takashi-Inui;jp JPN;FWMF;Eibar;31;1988;16.4;642;10;77;278;336;57;631;15;33;45.5;16;2;476;3381;2031;620;442;71.3;27;29;Matches
231;Alexander Isak\Alexander-Isak;se SWE;FW;Real Sociedad;19;1999;11.7;348;6;14;160;208;83;326;15;29;51.7;17;0;238;2015;1333;497;256;51.5;24;33;Matches
232;Isco\Isco;es ESP;FWMF;Real Madrid;27;1992;9.7;706;7;83;384;287;37;690;25;41;61.0;26;1;588;3583;1932;713;602;84.4;18;13;Matches
233;Ander Iturraspe\Ander-Iturraspe;es ESP;MF;Espanyol;30;1989;2.0;64;5;14;39;13;0;63;0;0;;0;0;23;79;56;36;30;83.3;0;1;Matches
234;Adnan Januzaj\Adnan-Januzaj;be BEL;FWMF;Real Sociedad;24;1995;8.9;465;5;38;228;231;31;438;15;38;39.5;16;2;391;2557;1586;452;357;79.0;26;23;Matches
235;Jason\Jason;es ESP;MF;Getafe;25;1994;9.7;439;10;54;180;225;19;393;14;39;35.9;15;0;264;1550;772;314;237;75.5;21;17;Matches
236;Joaquín\Joaquin;es ESP;MFFW;Betis;38;1981;19.1;1100;21;133;513;539;60;1007;47;67;70.1;50;2;822;5192;3132;1002;816;81.4;21;27;Matches
237;Frenkie de Jong\Frenkie-de-Jong;nl NED;MF;Barcelona;22;1997;22.1;1704;36;346;1049;507;38;1684;33;48;68.8;35;1;1407;9020;4933;1528;1401;91.7;19;24;Matches
238;Luuk de Jong\Luuk-de-Jong;nl NED;FW;Sevilla;28;1990;18.0;625;21;56;332;255;99;592;8;12;66.7;8;0;303;1353;546;824;443;53.8;43;26;Matches
239;Joan Jordán\Joan-Jordan;es ESP;MF;Sevilla;25;1994;17.1;1369;27;233;801;396;32;1275;27;33;81.8;28;0;962;4188;1969;1059;985;93.0;23;16;Matches
240;Willian José\Willian-Jose;br BRA;FW;Real Sociedad;27;1991;16.1;531;13;32;280;241;75;500;6;13;46.2;7;0;355;1568;522;673;403;59.9;27;13;Matches
241;Joselu\Joselu;es ESP;FW;Alavés;29;1990;22.9;1045;37;100;593;374;92;1032;8;15;53.3;8;0;437;1710;621;1181;772;65.4;65;45;Matches
242;Luka Jović\Luka-Jovic;rs SRB;FW;Real Madrid;21;1997;4.3;166;0;6;102;65;19;161;4;7;57.1;5;0;94;387;175;211;137;64.9;12;5;Matches
243;Juanmi\Juanmi;es ESP;FWMF;Betis;26;1993;0.8;14;0;0;10;5;4;14;0;0;;0;0;8;43;22;18;12;66.7;4;0;Matches
244;David Juncà\David-Junca;es ESP;DF;Celta Vigo;25;1993;2.9;170;6;52;98;32;2;147;3;5;60.0;3;0;111;691;475;121;108;89.3;2;1;Matches
245;Lago Junior\Lago-Junior;ci CIV;MFFW;Mallorca;28;1990;19.6;863;37;138;375;420;93;849;22;54;40.7;25;1;630;5058;3130;856;629;73.5;49;54;Matches
246;Vinicius Júnior\Vinicius-Junior;br BRA;FWMF;Real Madrid;19;2000;10.0;516;1;36;185;348;112;512;38;81;46.9;42;2;469;4027;3094;555;425;76.6;19;13;Matches
247;Lee Kangin\Lee-Kangin;kr KOR;MFFW;Valencia;18;2001;3.3;178;1;15;95;86;9;168;7;9;77.8;7;1;151;1048;530;169;146;86.4;7;9;Matches
248;Wilfrid Kaptoum\Wilfrid-Kaptoum;cm CMR;MF;Betis;23;1996;2.1;102;4;32;58;19;1;100;2;2;100.0;2;1;68;414;243;78;68;87.2;3;7;Matches
249;Kenedy\Kenedy;br BRA;MFDF;Getafe;23;1996;5.9;279;5;24;125;152;15;272;17;27;63.0;17;2;214;1612;972;238;174;73.1;11;26;Matches
250;Kike\Kike;es ESP;FW;Eibar;29;1989;12.1;493;5;25;182;310;64;484;4;11;36.4;5;1;293;1564;500;773;391;50.6;61;24;Matches
251;Kenan Kodro\Kenan-Kodro;ba BIH;FWMF;Athletic Bilbao;25;1993;3.7;93;3;8;58;35;4;88;2;2;100.0;2;0;56;239;51;139;71;51.1;4;4;Matches
252;Koke\Koke;es ESP;MF;Atlético Madrid;27;1992;20.8;1430;25;218;806;457;38;1294;10;15;66.7;10;0;886;3236;1492;1065;951;89.3;25;22;Matches
253;Geoffrey Kondogbia\Geoffrey-Kondogbia;cf CTA;MF;Valencia;26;1993;13.5;874;63;284;571;84;7;854;6;9;66.7;6;0;569;3687;1655;590;554;93.9;9;14;Matches
254;Jules Koundé\Jules-Kounde;fr FRA;DF;Sevilla;20;1998;15.6;1017;118;519;491;61;22;963;12;15;80.0;13;0;609;3413;1653;676;668;98.8;4;9;Matches
255;Leonardo Koutris\Leonardo-Koutris;gr GRE;DF;Mallorca;24;1995;1.0;67;7;37;22;11;0;50;0;0;;0;0;24;78;31;29;27;93.1;0;1;Matches
256;İsmail Köybaşı\Ismail-Koybasi;tr TUR;DFFW;Granada;30;1989;2.5;108;2;22;55;34;1;91;2;4;50.0;2;0;60;307;125;78;56;71.8;3;4;Matches
257;Toni Kroos\Toni-Kroos;de GER;MF;Real Madrid;29;1990;20.9;1884;22;272;1155;568;33;1703;13;17;76.5;14;0;1302;6228;3227;1554;1467;94.4;11;12;Matches
258;Takefusa Kubo\Takefusa-Kubo;jp JPN;MFFW;Mallorca;18;2001;15.9;682;11;104;276;350;63;657;40;70;57.1;48;1;552;4243;2739;612;479;78.3;37;52;Matches
259;Víctor Laguardia\Victor-Laguardia;es ESP;DF;Alavés;29;1989;20.5;952;116;573;410;19;14;913;2;4;50.0;2;0;470;2485;1076;512;502;98.0;1;2;Matches
260;Diego Lainez\Diego-Lainez;mx MEX;MF;Betis;19;2000;2.3;116;1;9;54;74;8;112;10;17;58.8;10;0;97;999;611;121;89;73.6;6;10;Matches
261;Larra\Larra;es ESP;FWMF;Athletic Bilbao;21;1997;2.0;87;0;3;33;57;4;82;3;7;42.9;4;0;61;468;227;108;68;63.0;6;6;Matches
262;Toni Lato\Toni-Lato;es ESP;MF;Osasuna;21;1997;0.9;31;2;6;13;12;1;30;0;1;0.0;0;0;17;93;48;20;15;75.0;0;0;Matches
263;Robin Le Normand\Robin-Le-Normand;fr FRA;DF;Real Sociedad;22;1996;17.2;1228;159;613;672;24;12;1194;0;0;;0;0;812;5056;2647;881;866;98.3;3;2;Matches
264;Wu Lei\Wu-Lei;cn CHN;FWMF;Espanyol;27;1991;12.8;366;9;59;159;173;64;358;12;22;54.5;12;0;212;1544;992;411;217;52.8;26;11;Matches
265;Iñigo Lekue\Inigo-Lekue;es ESP;DFFW;Athletic Bilbao;26;1993;4.6;282;15;63;125;116;6;241;7;27;25.9;8;3;177;1450;961;200;168;84.0;10;12;Matches
