id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
64;Martin Braithwaite\Martin-Braithwaite;dk DEN;FW;Barcelona;28;1991;1.4;0;0;0;1;1;1;3;0;0;0;0;0;1;1;1;50.0;Matches
65;Brandon\Brandon;es ESP;FW;Osasuna;24;1995;4.5;4;0;0;6;6;0;4;1;2;0;0;0;24;2;14;12.5;Matches
66;Darko Brašanac\Darko-Brasanac;rs SRB;MF;Osasuna;27;1992;18.7;7;0;0;45;17;2;12;14;22;1;0;0;180;29;54;34.9;Matches
67;Yan Brice Eteki\Yan-Brice-Eteki;cm CMR;MF;Granada;21;1997;10.1;4;0;0;38;17;0;0;7;14;0;0;0;94;12;16;42.9;Matches
68;Bryan\Bryan;es ESP;FW;Sevilla;18;2001;0.7;2;0;0;1;0;0;2;0;1;0;0;0;4;0;1;0.0;Matches
69;Bryan\Bryan;es ESP;MFFW;Leganés;18;2001;1.0;2;0;0;6;4;1;3;0;1;0;0;0;14;0;2;0.0;Matches
70;Ante Budimir\Ante-Budimir;hr CRO;FW;Mallorca;28;1991;22.9;6;0;0;51;48;15;2;4;17;1;0;0;77;105;112;48.4;Matches
71;Esteban Burgos\Esteban-Burgos;ar ARG;DF;Eibar;27;1992;5.9;2;0;0;5;3;0;1;9;5;0;0;0;69;11;5;68.8;Matches
72;Burgui\Burgui;es ESP;MF;Alavés;25;1993;0.2;0;0;0;0;1;0;0;0;0;0;0;0;3;0;2;0.0;Matches
73;Oliver Burke\Oliver-Burke;sco SCO;MFFW;Alavés;22;1997;8.8;1;0;0;11;8;0;9;8;4;0;0;0;57;13;14;48.1;Matches
74;Sergio Busquets\Sergio-Busquets;es ESP;MF;Barcelona;31;1988;20.0;7;0;0;32;39;0;1;33;51;0;1;0;269;23;26;46.9;Matches
75;Unai Bustinza\Unai-Bustinza;es ESP;DF;Leganés;27;1992;21.4;3;0;0;41;37;3;38;51;33;0;1;0;237;38;31;55.1;Matches
76;Erick Cabaco\Erick-Cabaco;uy URU;DF;Getafe;24;1995;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;100.0;Matches
77;Erick Cabaco\Erick-Cabaco;uy URU;DF;Levante;24;1995;9.0;4;0;0;7;7;0;1;13;10;0;0;0;85;20;17;54.1;Matches
78;Ariday Cabrera\Ariday-Cabrera;es ESP;MFFW;Mallorca;30;1988;0.4;0;0;0;2;0;0;0;0;1;0;0;0;4;0;0;;Matches
79;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Espanyol;28;1991;7.0;1;0;0;6;4;0;2;10;7;0;0;0;67;17;11;60.7;Matches
80;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Getafe;28;1991;17.0;3;0;0;16;9;1;7;21;2;0;0;0;199;58;33;63.7;Matches
81;Fernando Calero\Fernando-Calero;es ESP;DF;Espanyol;23;1995;10.8;4;1;0;7;5;0;0;7;6;0;0;0;115;15;18;45.5;Matches
82;Jonathan Calleri\Jonathan-Calleri;ar ARG;FW;Espanyol;25;1993;15.1;2;0;0;34;33;7;20;6;8;0;0;0;61;77;94;45.0;Matches
83;Víctor Camarasa\Victor-Camarasa;es ESP;MF;Alavés;25;1994;6.7;1;0;0;7;4;2;7;8;7;0;0;0;49;4;5;44.4;Matches
84;Sergio Camello\Sergio-Camello;es ESP;FW;Atlético Madrid;18;2001;0.3;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;100.0;Matches
85;José Campaña\Jose-Campana;es ESP;MF;Levante;26;1993;25.6;4;1;1;22;42;1;131;26;18;0;1;0;239;21;30;41.2;Matches
86;Xisco Campos\Xisco-Campos;es ESP;DF;Mallorca;37;1982;3.8;1;0;0;6;3;1;0;9;4;0;0;0;32;10;8;55.6;Matches
87;Víctor Campuzano\Victor-Campuzano;es ESP;FW;Espanyol;22;1997;7.7;2;0;0;22;11;11;7;1;12;0;0;0;33;10;25;28.6;Matches
88;Sergio Canales\Sergio-Canales;es ESP;MF;Betis;28;1991;25.5;4;0;0;19;32;1;98;9;18;0;1;0;173;2;26;7.1;Matches
89;Ander Capa\Ander-Capa;es ESP;DF;Athletic Bilbao;27;1992;23.8;10;0;0;40;13;4;79;24;22;0;0;0;233;28;14;66.7;Matches
90;Marc Cardona\Marc-Cardona;es ESP;FW;Osasuna;24;1995;5.9;1;0;0;6;7;6;3;1;1;0;0;0;22;4;25;13.8;Matches
91;Diego Carlos\Diego-Carlos;br BRA;DF;Sevilla;26;1993;24.8;7;0;0;35;7;2;4;24;28;0;1;0;208;57;32;64.0;Matches
92;Yannick Carrasco\Yannick-Carrasco;be BEL;MFFW;Atlético Madrid;25;1993;1.7;0;0;0;2;2;1;8;2;0;0;0;0;14;1;4;20.0;Matches
93;Daniel Carriço\Daniel-Carrico;pt POR;DF;Sevilla;30;1988;9.4;3;0;0;8;2;0;0;8;9;0;0;0;78;15;18;45.5;Matches
94;Guido Carrillo\Guido-Carrillo;ar ARG;FW;Leganés;28;1991;11.1;1;0;0;26;21;3;3;1;10;0;0;0;64;104;70;59.8;Matches
95;Dani Carvajal\Dani-Carvajal;es ESP;DF;Real Madrid;27;1992;22.0;8;0;0;35;20;3;87;30;38;0;0;0;256;25;24;51.0;Matches
96;William Carvalho\William-Carvalho;pt POR;MF;Betis;27;1992;7.9;4;1;0;11;5;0;1;3;3;0;0;0;58;11;8;57.9;Matches
97;Casemiro\Casemiro;br BRA;MF;Real Madrid;27;1992;24.7;9;0;0;64;40;3;18;55;67;0;0;0;361;64;33;66.0;Matches
98;Santi Cazorla\Santi-Cazorla;es ESP;MF;Villarreal;34;1984;20.3;3;0;0;20;29;2;107;10;20;0;0;0;143;9;18;33.3;Matches
99;Charles\Charles;br BRA;FW;Eibar;35;1984;10.4;6;0;0;30;14;5;2;4;3;0;0;0;49;42;59;41.6;Matches
100;Pablo Chavarría\Pablo-Chavarria;ar ARG;FWMF;Mallorca;31;1988;1.2;1;0;0;7;0;5;1;0;1;0;0;0;5;13;4;76.5;Matches
101;Pape Cheikh Diop\Pape-Cheikh-Diop;es ESP;MF;Celta Vigo;21;1997;6.0;4;1;1;22;14;0;0;2;4;0;0;0;56;2;8;20.0;Matches
102;Chema\Chema;es ESP;DF;Getafe;27;1992;1.0;1;0;0;2;0;1;1;2;1;0;0;0;11;3;5;37.5;Matches
103;Denis Cheryshev\Denis-Cheryshev;ru RUS;MFFW;Valencia;28;1990;7.8;5;0;0;17;11;1;31;6;4;1;1;0;51;7;11;38.9;Matches
