"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
237;Bruno Guimarães\Bruno-Guimaraes;br BRA;MF;fr Lyon;21;1997;1.0;0;0.0;0.0;0;44;52;84.6;1;4;25.0;29;33;87.9;14;15;93.3;2;48;2;0;0;0;5;0;0;Matches
238;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;de RB Leipzig;29;1990;6.7;0;0.1;-0.1;1;192;235;81.7;0;0;;95;96;99.0;97;139;69.8;8;187;10;1;0;0;3;0;0;Matches
239;İlkay Gündoğan\Ilkay-Gundogan;de GER;MF;eng Manchester City;28;1990;7.0;2;0.9;+1.1;10;537;588;91.3;5;11;45.5;423;450;94.0;109;127;85.8;180;386;13;4;7;1;60;10;1;Matches
240;Ianis Hagi\Ianis-Hagi;ro ROU;MF;be Genk;20;1998;1.6;0;0.5;-0.5;6;49;78;62.8;2;4;50.0;32;39;82.1;15;35;42.9;34;43;4;0;18;0;5;6;3;Matches
241;Amadou Haidara\Amadou-Haidara;ml MLI;MF;de RB Leipzig;21;1998;2.5;0;0.3;-0.3;5;137;164;83.5;3;9;33.3;119;133;89.5;15;22;68.2;21;135;1;0;0;1;14;5;0;Matches
242;Izet Hajrović\Izet-Hajrovic;ba BIH;MF;hr Dinamo Zagreb;27;1991;0.1;0;0.0;0.0;0;5;6;83.3;0;0;;5;5;100.0;0;1;0.0;5;1;0;0;1;0;0;0;0;Matches
243;Achraf Hakimi\Achraf-Hakimi;ma MAR;DFFW;de Dortmund;20;1998;6.9;0;0.8;-0.8;6;373;440;84.8;9;20;45.0;328;368;89.1;36;52;69.2;45;350;4;0;0;35;20;6;1;Matches
244;Marcel Halstenberg\Marcel-Halstenberg;de GER;DF;de RB Leipzig;27;1991;3.4;0;0.2;-0.2;6;202;238;84.9;1;4;25.0;176;190;92.6;25;44;56.8;182;23;5;0;5;23;18;6;3;Matches
245;Samir Handanović\Samir-Handanovic;si SVN;GK;it Inter;35;1984;6.0;0;0.0;0.0;0;188;222;84.7;1;1;100.0;110;111;99.1;77;110;70.0;32;152;9;0;0;0;2;0;0;Matches
246;Taylor Harwood-Bellis\Taylor-Harwood-Bellis;eng ENG;DF;eng Manchester City;17;2002;0.1;0;0.0;0.0;0;10;10;100.0;0;0;;9;9;100.0;1;1;100.0;1;9;0;0;0;0;1;0;0;Matches
247;Hans Hateboer\Hans-Hateboer;nl NED;DF;it Atalanta;25;1994;4.6;1;0.5;+0.5;4;157;198;79.3;3;8;37.5;138;160;86.3;16;30;53.3;34;113;1;0;0;36;10;1;0;Matches
248;Kai Havertz\Kai-Havertz;de GER;MFFW;de Leverkusen;20;1999;4.8;0;0.4;-0.4;5;223;263;84.8;13;19;68.4;178;205;86.8;32;39;82.1;186;66;0;0;2;4;12;4;0;Matches
249;Eden Hazard\Eden-Hazard;be BEL;FW;es Real Madrid;28;1991;4.2;1;0.7;+0.3;10;209;239;87.4;9;14;64.3;182;200;91.0;18;25;72.0;34;200;4;0;1;2;8;4;0;Matches
250;Thorgan Hazard\Thorgan-Hazard;be BEL;FW;de Dortmund;26;1993;4.6;0;1.7;-1.7;12;162;215;75.3;2;10;20.0;139;167;83.2;21;38;55.3;42;160;2;1;12;4;10;6;0;Matches
251;Hwang Hee-chan\Hwang-Hee-chan;kr KOR;FW;at RB Salzburg;23;1996;6.0;3;2.7;+0.3;14;131;177;74.0;7;16;43.8;110;132;83.3;14;29;48.3;19;142;0;0;1;4;8;11;2;Matches
252;Jordan Henderson\Jordan-Henderson;eng ENG;MF;eng Liverpool;29;1990;4.5;0;0.5;-0.5;5;285;340;83.8;5;15;33.3;203;224;90.6;77;101;76.2;38;278;1;4;0;7;39;5;2;Matches
253;Mario Hermoso\Mario-Hermoso;es ESP;DF;es Atlético Madrid;24;1995;3.9;0;0.0;0.0;1;171;202;84.7;1;4;25.0;120;130;92.3;50;68;73.5;165;30;7;0;0;0;17;0;0;Matches
254;Lucas Hernández\Lucas-Hernandez;fr FRA;DF;de Bayern Munich;23;1996;1.7;0;0.0;0.0;0;136;155;87.7;1;4;25.0;99;108;91.7;36;43;83.7;137;3;0;0;0;7;10;4;4;Matches
255;Ander Herrera\Ander-Herrera;es ESP;MFFW;fr Paris S-G;29;1989;1.1;0;0.0;0.0;0;53;65;81.5;2;2;100.0;48;56;85.7;3;7;42.9;3;61;0;0;0;0;1;1;0;Matches
256;Héctor Herrera\Hector-Herrera;mx MEX;MF;es Atlético Madrid;29;1990;2.3;0;0.4;-0.4;6;131;148;88.5;3;6;50.0;106;115;92.2;22;27;81.5;18;120;4;0;0;0;13;1;0;Matches
257;Son Heung-min\Son-Heung-min;kr KOR;FW;eng Tottenham;27;1992;4.1;2;0.9;+1.1;5;109;137;79.6;2;5;40.0;93;111;83.8;14;21;66.7;16;113;0;2;0;2;7;4;2;Matches
258;Bryan Heynen\Bryan-Heynen;be BEL;MF;be Genk;22;1997;2.9;1;0.5;+0.5;4;66;90;73.3;2;4;50.0;48;62;77.4;16;24;66.7;14;63;8;0;3;1;5;0;0;Matches
259;Gonzalo Higuaín\Gonzalo-Higuain;ar ARG;FW;it Juventus;31;1987;4.7;2;0.9;+1.1;4;106;133;79.7;6;8;75.0;72;87;82.8;28;38;73.7;24;104;0;0;0;0;9;5;1;Matches
260;David Hovorka\David-Hovorka;cz CZE;DF;cz Slavia Prague;25;1993;3.0;0;0.0;0.0;2;139;162;85.8;0;5;0.0;97;107;90.7;42;50;84.0;24;125;3;0;0;0;10;2;1;Matches
261;Benedikt Höwedes\Benedikt-Howedes;de GER;DF;ru Loko Moscow;31;1988;6.0;0;0.0;0.0;1;122;148;82.4;2;2;100.0;78;85;91.8;42;61;68.9;16;122;10;0;0;0;7;0;0;Matches
262;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;de Leverkusen;29;1989;6.0;0;0.0;0.0;0;183;266;68.8;0;0;;69;70;98.6;114;196;58.2;53;182;16;0;0;0;2;0;0;Matches
263;Patrik Hrošovský\Patrik-Hrosovsky;sk SVK;MF;be Genk;27;1992;4.6;0;0.2;-0.2;4;166;200;83.0;6;12;50.0;131;143;91.6;29;45;64.4;40;153;7;0;4;0;13;4;0;Matches
264;Callum Hudson-Odoi\Callum-Hudson-Odoi;eng ENG;FW;eng Chelsea;18;2000;1.9;1;0.4;+0.6;6;58;72;80.6;4;5;80.0;36;46;78.3;18;21;85.7;7;63;0;0;7;0;1;3;2;Matches
265;Mats Hummels\Mats-Hummels;de GER;DF;de Dortmund;30;1988;7.0;0;0.1;-0.1;1;300;349;86.0;1;6;16.7;209;226;92.5;90;117;76.9;122;193;10;0;0;2;20;0;0;Matches
266;Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar;nl NED;FW;nl Ajax;35;1983;0.4;0;0.0;0.0;0;10;13;76.9;0;0;;9;12;75.0;1;1;100.0;0;11;0;0;0;0;0;0;0;Matches
267;Josef Hušbauer\Josef-Husbauer;cz CZE;MF;cz Slavia Prague;29;1990;2.3;0;0.2;-0.2;5;110;131;84.0;1;3;33.3;92;99;92.9;17;29;58.6;11;116;3;0;5;1;10;2;1;Matches
