"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
468;Takumi Minamino\Takumi-Minamino;jp JPN;MF;at RB Salzburg;24;1995;6;510;85;94.4;5.7;6;85;0;;0;1.17;16;13;+3;+0.53;+0.53;12.5;10.3;+2.2;+0.39;+2.36;Matches
469;Aleksei Miranchuk\Aleksei-Miranchuk;ru RUS;MFFW;ru Loko Moscow;23;1995;4;360;90;66.7;4.0;4;90;0;;0;0.00;2;8;-6;-1.50;-1.00;3.9;8.5;-4.6;-1.15;+0.14;Matches
470;Anton Miranchuk\Anton-Miranchuk;ru RUS;MF;ru Loko Moscow;23;1995;1;90;90;16.7;1.0;1;90;0;;1;0.00;0;2;-2;-2.00;-1.00;1.2;0.7;+0.5;+0.51;+2.05;Matches
471;Matej Mitrović\Matej-Mitrovic;hr CRO;DF;be Club Brugge;25;1993;1;90;90;16.7;1.0;1;90;0;;1;2.50;0;0;0;0.00;+1.60;1.3;0.7;+0.6;+0.60;+1.07;Matches
472;Luka Modrić\Luka-Modric;hr CRO;MF;es Real Madrid;33;1985;5;308;62;48.9;3.4;3;88;2;22;0;1.60;9;7;+2;+0.58;-0.53;7.0;6.6;+0.4;+0.11;-1.19;Matches
473;Guillem Molina Gutiérrez\Guillem-Molina-Gutierrez;es ESP;DF;es Valencia;19;2000;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
474;Emre Mor\Emre-Mor;tr TUR;FWMF;tr Galatasaray;22;1997;4;108;27;20.0;1.2;1;62;3;15;1;0.50;0;4;-4;-3.33;-1.46;0.6;2.3;-1.6;-1.37;+0.90;Matches
475;Júnior Moraes\Junior-Moraes;ua UKR;FW;ua Shakhtar;32;1987;6;527;88;97.6;5.9;6;88;0;;0;1.00;8;13;-5;-0.85;-0.85;6.8;13.0;-6.3;-1.07;-1.07;Matches
476;Álvaro Morata\Alvaro-Morata;es ESP;FW;es Atletico Madrid;26;1992;6;450;75;71.4;5.0;5;86;1;20;0;2.00;7;3;+4;+0.80;+1.30;9.2;2.5;+6.7;+1.35;+0.95;Matches
477;Dani Morer\Dani-Morer;es ESP;DF;es Barcelona;21;1998;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
478;Nikola Moro\Nikola-Moro;hr CRO;MF;hr Dinamo Zagreb;21;1998;5;416;83;77.0;4.6;5;83;0;;0;1.44;8;9;-1;-0.22;+1.24;5.2;7.9;-2.7;-0.59;+2.90;Matches
479;François Moubandje\Francois-Moubandje;ch SUI;DF;hr Dinamo Zagreb;29;1990;1;90;90;16.7;1.0;1;90;0;;2;0.00;1;4;-3;-3.00;-3.00;0.3;2.6;-2.2;-2.23;-1.17;Matches
480;Mason Mount\Mason-Mount;eng ENG;MFFW;eng Chelsea;20;1999;7;361;52;57.3;4.0;5;69;2;9;0;1.57;4;9;-5;-1.25;-3.59;5.6;5.8;-0.1;-0.04;-2.01;Matches
481;Lucas Moura\Lucas-Moura;br BRA;FW;eng Tottenham;26;1992;5;311;62;49.4;3.5;4;73;1;19;2;0.80;5;11;-6;-1.74;-4.56;4.2;8.2;-4.1;-1.18;-3.05;Matches
482;Nordi Mukiele\Nordi-Mukiele;fr FRA;DF;de RB Leipzig;21;1997;7;551;79;87.5;6.1;5;90;2;51;0;2.00;11;6;+5;+0.82;+4.23;12.5;6.8;+5.8;+0.94;-0.57;Matches
483;Thomas Müller\Thomas-Muller;de GER;MFFW;de Bayern Munich;29;1989;6;349;58;55.4;3.9;3;89;3;28;1;3.00;12;2;+10;+2.58;-0.30;12.1;1.8;+10.3;+2.66;+0.53;Matches
484;Simone Muratore\Simone-Muratore;it ITA;MF;it Juventus;21;1998;1;;0;0.0;0.0;0;;1;0;0;3.00;0;0;0;;;0.0;0.0;0.0;;;Matches
485;Luis Muriel\Luis-Muriel;co COL;FW;it Atalanta;28;1991;5;199;40;31.6;2.2;2;66;3;22;2;1.40;3;4;-1;-0.45;+0.17;5.0;3.3;+1.7;+0.77;+0.79;Matches
486;Leon Musayev\Leon-Musayev;ru RUS;MF;ru Zenit;20;1999;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
487;Fernando Muslera\Fernando-Muslera;uy URU;GK;tr Galatasaray;33;1986;6;540;90;100.0;6.0;6;90;0;;0;0.33;1;14;-13;-2.17;;3.2;15.8;-12.6;-2.09;;Matches
488;Yvon Mvogo\Yvon-Mvogo;ch SUI;GK;de RB Leipzig;25;1994;1;26;26;4.1;0.3;0;;1;26;6;1.00;2;0;+2;+6.92;+6.92;2.2;0.1;+2.0;+7.03;+6.28;Matches
489;Enoch Mwepu\Enoch-Mwepu;zm ZAM;MF;at RB Salzburg;21;1998;5;404;81;74.8;4.5;4;90;1;45;1;0.80;9;10;-1;-0.22;-2.87;7.9;8.6;-0.8;-0.17;-1.71;Matches
490;Joakim Mæhle\Joakim-Maehle;dk DEN;DF;be Genk;22;1997;6;540;90;100.0;6.0;6;90;0;;0;0.17;5;20;-15;-2.50;;6.4;15.1;-8.7;-1.45;;Matches
491;Nacho\Nacho;es ESP;DF;es Real Madrid;29;1990;1;45;45;7.1;0.5;1;45;0;;1;1.00;0;2;-2;-4.00;-5.23;1.0;1.1;-0.1;-0.29;-1.08;Matches
492;Yuto Nagatomo\Yuto-Nagatomo;jp JPN;DF;tr Galatasaray;32;1986;6;525;88;97.2;5.8;6;88;0;;0;0.33;1;13;-12;-2.06;+3.94;3.2;15.3;-12.1;-2.07;+0.70;Matches
493;Keylor Navas\Keylor-Navas;cr CRC;GK;fr Paris S-G;32;1986;6;540;90;85.7;6.0;6;90;0;;1;2.17;13;4;+9;+1.50;-4.50;12.1;7.6;+4.6;+0.76;-2.96;Matches
494;Tanguy Ndombele\Tanguy-Ndombele;fr FRA;MF;eng Tottenham;22;1996;6;339;57;53.8;3.8;4;77;2;17;0;1.67;13;6;+7;+1.86;+2.79;9.5;4.0;+5.5;+1.45;+2.34;Matches
495;Dieumerci Ndongala\Dieumerci-Ndongala;cd COD;MFFW;be Genk;28;1991;3;118;39;21.9;1.3;1;72;2;23;1;0.00;3;8;-5;-3.81;-1.68;1.1;3.7;-2.6;-1.96;-0.66;Matches
496;David Neres\David-Neres;br BRA;FW;nl Ajax;22;1997;4;180;45;33.3;2.0;2;78;2;13;0;1.88;7;4;+3;+1.50;+0.75;2.3;5.2;-3.0;-1.49;-0.95;Matches
497;Neto\Neto;br BRA;GK;es Barcelona;30;1989;1;90;90;14.3;1.0;1;90;0;;6;3.00;2;1;+1;+1.00;+0.33;1.2;1.3;-0.1;-0.12;-0.50;Matches
498;Manuel Neuer\Manuel-Neuer;de GER;GK;de Bayern Munich;33;1986;7;630;90;100.0;7.0;7;90;0;;0;3.00;27;5;+22;+3.14;;22.0;5.1;+17.0;+2.42;;Matches
499;Neymar\Neymar;br BRA;MFFW;fr Paris S-G;27;1992;3;225;75;35.7;2.5;2;90;1;45;0;1.33;8;3;+5;+2.00;-0.22;6.9;3.1;+3.7;+1.49;+0.48;Matches
500;Saúl Ñíguez\Saul-Niguez;es ESP;MFDF;es Atletico Madrid;24;1994;7;630;90;100.0;7.0;7;90;0;;0;1.86;9;5;+4;+0.57;;11.5;4.0;+7.5;+1.08;;Matches
501;Rasmus Nissen\Rasmus-Nissen;dk DEN;DF;at RB Salzburg;22;1997;6;534;89;98.9;5.9;6;89;0;;0;1.17;16;13;+3;+0.51;+0.51;12.2;11.0;+1.3;+0.21;-4.44;Matches
502;Christopher Nkunku\Christopher-Nkunku;fr FRA;MFFW;de RB Leipzig;21;1997;6;326;54;51.7;3.6;4;75;2;13;1;1.83;6;3;+3;+0.83;+1.12;8.7;2.7;+6.0;+1.64;+1.31;Matches
503;Casper de Norre\Casper-de-Norre;be BEL;DF;be Genk;22;1997;3;257;86;47.6;2.9;3;86;0;;3;0.00;2;10;-8;-2.80;-0.58;3.7;7.7;-4.0;-1.39;+0.12;Matches
504;Steven Nzonzi\Steven-Nzonzi;fr FRA;MFDF;tr Galatasaray;30;1988;5;387;77;71.7;4.3;5;77;0;;0;0.20;0;10;-10;-2.33;-0.56;2.4;10.9;-8.6;-1.99;+0.36;Matches
505;Jan Oblak\Jan-Oblak;si SVN;GK;es Atletico Madrid;26;1993;7;630;90;100.0;7.0;7;90;0;;0;1.86;9;5;+4;+0.57;;11.5;4.0;+7.5;+1.08;;Matches
506;Stephen Odey\Stephen-Odey;ng NGA;FW;be Genk;21;1998;1;9;9;1.7;0.1;0;;1;9;2;0.00;1;1;0;0.00;+2.54;0.3;0.5;-0.3;-2.77;-1.34;Matches
507;Álvaro Odriozola\Alvaro-Odriozola;es ESP;DF;es Real Madrid;23;1995;1;90;90;14.3;1.0;1;90;0;;1;3.00;3;1;+2;+2.00;+1.33;1.3;1.0;+0.3;+0.33;-0.45;Matches
508;Álvaro Odriozola\Alvaro-Odriozola;es ESP;DF;de Bayern Munich;23;1995;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
509;Eric Oelschlägel\Eric-Oelschlagel;de GER;GK;de Dortmund;23;1995;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
510;David Okereke\David-Okereke;ng NGA;FWDF;be Club Brugge;21;1997;4;173;43;32.0;1.9;2;64;2;23;1;1.50;1;5;-4;-2.08;-1.10;2.7;4.3;-1.5;-0.80;-0.75;Matches
511;Masaya Okugawa\Masaya-Okugawa;jp JPN;MFFW;at RB Salzburg;23;1996;4;72;18;13.3;0.8;0;;4;18;1;1.50;2;1;+1;+1.25;+0.87;2.2;2.2;-0.1;-0.08;-0.40;Matches
512;Peter Olayinka\Peter-Olayinka;ng NGA;FWMF;cz Slavia Prague;23;1995;6;535;89;99.1;5.9;6;89;0;;0;1.00;4;9;-5;-0.84;+17.16;7.7;11.2;-3.5;-0.59;+1.90;Matches
513;Dani Olmo\Dani-Olmo;es ESP;FWMF;de RB Leipzig;21;1998;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
514;Dani Olmo\Dani-Olmo;es ESP;MFFW;hr Dinamo Zagreb;21;1998;6;540;90;100.0;6.0;6;90;0;;0;1.45;10;13;-3;-0.50;;6.4;14.0;-7.5;-1.26;;Matches
515;André Onana\Andre-Onana;cm CMR;GK;nl Ajax;23;1996;6;540;90;100.0;6.0;6;90;0;;0;1.80;12;6;+6;+1.00;;6.7;11.8;-5.1;-0.85;;Matches
516;Jerome Onguene\Jerome-Onguene;cm CMR;DF;at RB Salzburg;21;1997;4;360;90;66.7;4.0;4;90;0;;2;1.00;8;8;0;0.00;-1.50;7.3;9.7;-2.4;-0.59;-2.57;Matches
517;Paul Onuachu\Paul-Onuachu;ng NGA;FW;be Genk;25;1994;5;212;42;39.3;2.4;2;86;3;14;1;0.00;1;9;-8;-3.40;-1.48;3.4;6.3;-2.9;-1.24;+0.35;Matches
518;Loïs Openda\Lois-Openda;be BEL;FW;be Club Brugge;19;2000;4;137;34;25.4;1.5;1;77;3;20;0;1.43;0;4;-4;-2.63;-1.73;1.1;1.8;-0.7;-0.43;-0.18;Matches
519;Willi Orban\Willi-Orban;hu HUN;DF;de RB Leipzig;26;1992;3;270;90;42.9;3.0;3;90;0;;0;2.00;4;4;0;0.00;-0.50;4.8;3.9;+0.9;+0.30;-1.25;Matches
520;Divock Origi\Divock-Origi;be BEL;FW;eng Liverpool;24;1995;5;173;35;27.5;1.9;1;89;4;21;1;2.40;4;2;+2;+1.04;+0.45;3.8;0.9;+2.9;+1.51;+1.25;Matches
521;Mislav Oršić\Mislav-Orsic;hr CRO;FWMF;hr Dinamo Zagreb;26;1992;6;476;79;88.1;5.3;6;79;0;;0;1.58;8;8;0;0.00;+4.22;5.4;9.1;-3.7;-0.71;+4.63;Matches
522;Victor Osimhen\Victor-Osimhen;ng NGA;FW;fr Lille;20;1998;5;450;90;83.3;5.0;5;90;0;;1;0.20;3;12;-9;-1.80;-0.80;7.2;6.6;+0.6;+0.11;+2.24;Matches
523;Yordan Osorio\Yordan-Osorio;ve VEN;DF;ru Zenit;25;1994;5;322;64;59.6;3.6;3;90;2;26;1;0.80;3;7;-4;-1.12;-1.94;3.7;6.6;-3.0;-0.83;-1.11;Matches
524;David Ospina\David-Ospina;co COL;GK;it Napoli;30;1988;1;90;90;14.3;1.0;1;90;0;;6;1.00;1;1;0;0.00;-1.17;0.7;0.9;-0.2;-0.16;-0.59;Matches
525;Nicolás Otamendi\Nicolas-Otamendi;ar ARG;DF;eng Manchester City;31;1988;7;555;79;88.1;6.2;6;89;1;23;0;2.43;13;4;+9;+1.46;-2.14;14.5;3.9;+10.6;+1.71;-1.01;Matches
