"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
519;Mats Rits\Mats-Rits;be BEL;MF;be Club Brugge;26;1993;4.4;0;0;0;3;0;0;0.0;0.68;0.00;0.00;;0.2;0.2;0.05;-0.2;-0.2;Matches
520;Sergi Roberto\Sergi-Roberto;es ESP;DF;es Barcelona;27;1992;3.1;0;0;0;1;1;0;100.0;0.33;0.33;0.00;0.00;0.5;0.5;0.45;-0.5;-0.5;Matches
521;Andrew Robertson\Andrew-Robertson;sco SCO;DF;eng Liverpool;25;1994;5.9;1;0;0;5;2;0;40.0;0.85;0.34;0.20;0.50;0.7;0.7;0.13;+0.3;+0.3;Matches
522;Milan Rodić\Milan-Rodic;rs SRB;DF;rs Red Star;28;1991;4.9;0;0;0;2;0;0;0.0;0.41;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
523;Rodri\Rodri;es ESP;MF;eng Manchester City;23;1996;5.0;0;0;0;5;2;0;40.0;0.99;0.40;0.00;0.00;0.3;0.3;0.06;-0.3;-0.3;Matches
524;Rodrigo\Rodrigo;es ESP;FW;es Valencia;28;1991;5.0;2;0;0;18;5;0;27.8;3.60;1.00;0.11;0.40;2.9;2.9;0.16;-0.9;-0.9;Matches
525;James Rodríguez\James-Rodriguez;co COL;MF;es Real Madrid;28;1991;0.9;0;0;0;1;0;0;0.0;1.11;0.00;0.00;;0.1;0.1;0.13;-0.1;-0.1;Matches
526;Rodrygo\Rodrygo;br BRA;FW;es Real Madrid;18;2001;3.0;4;0;0;9;6;0;66.7;3.00;2.00;0.44;0.67;1.5;1.5;0.17;+2.5;+2.5;Matches
527;Cristiano Ronaldo\Cristiano-Ronaldo;pt POR;FW;it Juventus;34;1985;6.9;2;0;0;32;12;5;37.5;4.63;1.74;0.06;0.17;3.5;3.5;0.11;-1.5;-1.5;Matches
528;Marten de Roon\Marten-de-Roon;nl NED;MF;it Atalanta;28;1991;7.0;0;0;0;4;0;0;0.0;0.57;0.00;0.00;;0.2;0.2;0.04;-0.2;-0.2;Matches
529;Danny Rose\Danny-Rose;eng ENG;DF;eng Tottenham;29;1990;4.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
530;Antonio Rüdiger\Antonio-Rudiger;de GER;DF;eng Chelsea;26;1993;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
531;Daniele Rugani\Daniele-Rugani;it ITA;DF;it Juventus;25;1994;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
532;Mário Rui\Mario-Rui;pt POR;DF;it Napoli;28;1991;4.9;0;0;0;1;0;0;0.0;0.21;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
533;Fabián Ruiz Peña\Fabian-Ruiz-Pena;es ESP;MF;it Napoli;23;1996;7.0;0;0;0;9;3;0;33.3;1.29;0.43;0.00;0.00;0.5;0.5;0.05;-0.5;-0.5;Matches
534;Maciej Rybus\Maciej-Rybus;pl POL;DF;ru Loko Moscow;29;1989;5.0;0;0;0;2;1;0;50.0;0.40;0.20;0.00;0.00;0.0;0.0;0.02;0.0;0.0;Matches
535;José Sá\Jose-Sa;pt POR;GK;gr Olympiacos;26;1993;6.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
536;Marcel Sabitzer\Marcel-Sabitzer;at AUT;MFFW;de RB Leipzig;25;1994;6.0;2;0;0;14;5;1;35.7;2.33;0.83;0.14;0.40;0.9;0.9;0.06;+1.1;+1.1;Matches
537;Mohamed Salah\Mohamed-Salah;eg EGY;FW;eng Liverpool;27;1992;6.8;4;0;0;29;9;2;31.0;4.26;1.32;0.14;0.44;4.6;4.6;0.16;-0.6;-0.6;Matches
