id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
13;Ethan Ampadu\Ethan-Ampadu;wal WAL;DF;RB Leipzig;18;2000;0.9;0;0;0;0;0;0;0;3;1;0;0;0;0;0;;0;0;5;6;83.3;1;Matches
14;Opoku Ampomah\Opoku-Ampomah;gh GHA;FW;Düsseldorf;23;1996;5.5;1;0;0;16;5;8;14;6;4;0;0;0;18;41;43.9;21;0;10;19;52.6;9;Matches
15;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Union Berlin;28;1991;22.3;4;0;0;45;34;17;22;10;4;0;0;0;24;31;77.4;24;2;16;29;55.2;13;Matches
16;Robert Andrich\Robert-Andrich;de GER;MF;Union Berlin;24;1994;22.8;9;0;0;51;32;0;36;40;39;2;0;0;19;26;73.1;22;2;66;96;68.8;30;Matches
17;Angeliño\Angelino;es ESP;DF;RB Leipzig;22;1997;4.0;0;0;0;3;8;1;23;4;11;0;0;0;5;5;100.0;5;0;5;8;62.5;3;Matches
18;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Paderborn 07;25;1994;18.8;2;0;0;13;28;3;36;11;11;0;0;0;30;62;48.4;33;2;21;43;48.8;22;Matches
19;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;30;1989;15.0;1;0;0;8;25;0;8;17;16;0;0;0;8;15;53.3;9;1;30;58;51.7;28;Matches
20;Maximilian Arnold\Maximilian-Arnold;de GER;MF;Wolfsburg;25;1994;21.8;6;0;0;36;51;0;115;23;19;0;0;0;19;25;76.0;19;0;34;78;43.6;44;Matches
21;Santiago Ascacíbar\Santiago-Ascacibar;ar ARG;MF;Hertha BSC;22;1997;6.0;2;0;0;7;5;0;1;18;11;0;0;0;5;7;71.4;5;0;28;47;59.6;19;Matches
22;Ludwig Augustinsson\Ludwig-Augustinsson;se SWE;DF;Werder Bremen;25;1994;6.7;0;0;0;12;4;0;34;15;9;0;0;0;5;6;83.3;6;0;21;30;70.0;9;Matches
23;Taiwo Awoniyi\Taiwo-Awoniyi;ng NGA;FWMF;Mainz 05;21;1997;1.7;0;0;0;2;0;3;2;0;0;0;1;0;1;3;33.3;2;0;0;2;0.0;2;Matches
24;Kaan Ayhan\Kaan-Ayhan;tr TUR;DF;Düsseldorf;24;1994;22.4;9;0;0;27;13;3;13;25;37;0;1;0;9;11;81.8;9;1;38;58;65.5;20;Matches
25;Matthias Bader\Matthias-Bader;de GER;DF;Köln;22;1997;0.1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
26;Daniel Baier\Daniel-Baier;de GER;MF;Augsburg;35;1984;17.6;5;0;0;27;34;0;5;21;46;0;0;0;10;13;76.9;10;0;31;66;47.0;35;Matches
27;Leon Bailey\Leon-Bailey;jm JAM;FWMF;Leverkusen;21;1997;7.3;0;2;0;9;13;3;48;3;5;0;0;0;27;46;58.7;27;1;8;13;61.5;5;Matches
28;Lewis Baker\Lewis-Baker;eng ENG;MF;Düsseldorf;24;1995;6.1;1;0;0;8;7;0;4;4;1;0;0;1;10;12;83.3;10;0;7;19;36.8;12;Matches
29;Ridle Baku\Ridle-Baku;de GER;MFDF;Mainz 05;21;1998;17.6;4;1;0;25;28;1;50;27;24;0;0;0;18;39;46.2;24;2;42;73;57.5;31;Matches
30;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;Dortmund;20;1999;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
31;Philipp Bargfrede\Philipp-Bargfrede;de GER;MF;Werder Bremen;30;1989;4.0;1;0;0;8;3;0;2;7;14;0;0;0;4;4;100.0;4;1;12;22;54.5;10;Matches
32;Aymen Barkok\Aymen-Barkok;de GER;FWMF;Düsseldorf;21;1998;0.9;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0.0;0;0;1;3;33.3;2;Matches
33;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;19;2000;5.2;1;0;0;11;9;0;0;14;4;0;0;0;1;4;25.0;2;0;24;30;80.0;6;Matches
34;Fin Bartels\Fin-Bartels;de GER;FWMF;Werder Bremen;32;1987;1.3;1;0;0;2;0;1;3;0;0;0;0;0;2;3;66.7;2;0;1;2;50.0;1;Matches
35;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;29;1990;20.0;1;0;0;0;6;0;0;0;2;0;0;0;0;0;;0;0;0;0;;0;Matches
36;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;31;1988;13.5;2;0;0;11;16;0;2;22;18;0;0;0;6;6;100.0;6;0;32;60;53.3;28;Matches
37;Christoph Baumgartner\Christoph-Baumgartner;at AUT;FWMF;Hoffenheim;19;1999;9.8;2;0;0;24;19;4;12;15;5;0;0;0;13;30;43.3;16;2;26;51;51.0;25;Matches
38;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;MF;Augsburg;22;1996;0.2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
39;Ihlas Bebou\Ihlas-Bebou;tg TOG;FWMF;Hoffenheim;25;1994;17.0;0;0;0;17;22;5;33;15;5;0;0;0;38;67;56.7;41;3;21;38;55.3;17;Matches
40;Sheraldo Becker\Sheraldo-Becker;nl NED;MFFW;Union Berlin;24;1995;5.6;1;0;0;9;4;3;14;2;0;0;0;0;8;12;66.7;8;1;4;7;57.1;3;Matches
41;Timo Becker\Timo-Becker;de GER;DF;Schalke 04;22;1997;0.9;0;0;0;0;0;0;0;1;0;0;0;0;1;2;50.0;1;0;5;5;100.0;0;Matches
