"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
258;Andreas Luthe\Andreas-Luthe;de GER;GK;Augsburg;32;1987;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
259;Arne Maier\Arne-Maier;de GER;MF;Hertha BSC;20;1999;3.0;0;0;0;4;2;0;50.0;1.32;0.66;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
260;Yunus Mallı\Yunus-Malli;tr TUR;FWMF;Union Berlin;27;1992;3.9;0;0;0;8;2;0;25.0;2.07;0.52;0.00;0.00;0.5;0.5;0.06;-0.5;-0.5;Matches
261;Streli Mamba\Streli-Mamba;de GER;FW;Paderborn 07;25;1994;13.6;5;0;0;23;10;0;43.5;1.70;0.74;0.22;0.50;4.0;4.0;0.18;+1.0;+1.0;Matches
262;Aarón Martín\Aaron-Martin;es ESP;DF;Mainz 05;22;1997;16.5;0;0;0;9;3;1;33.3;0.55;0.18;0.00;0.00;0.3;0.3;0.03;-0.3;-0.3;Matches
263;Javi Martínez\Javi-Martinez;es ESP;DFMF;Bayern Munich;30;1988;6.2;0;0;0;1;0;0;0.0;0.16;0.00;0.00;;0.1;0.1;0.15;-0.1;-0.1;Matches
264;Omar Mascarell\Omar-Mascarell;es ESP;MF;Schalke 04;26;1993;22.5;0;0;0;10;2;0;20.0;0.44;0.09;0.00;0.00;0.4;0.4;0.04;-0.4;-0.4;Matches
265;Jean-Philippe Mateta\Jean-Philippe-Mateta;fr FRA;FW;Mainz 05;22;1997;4.8;2;0;0;16;7;0;43.8;3.32;1.45;0.13;0.29;2.7;2.7;0.17;-0.7;-0.7;Matches
266;Rabbi Matondo\Rabbi-Matondo;wal WAL;FW;Schalke 04;18;2000;5.8;1;0;0;12;3;0;25.0;2.06;0.51;0.08;0.33;1.1;1.1;0.09;-0.1;-0.1;Matches
267;Philipp Max\Philipp-Max;de GER;DF;Augsburg;25;1993;21.6;7;1;1;25;10;10;40.0;1.16;0.46;0.24;0.60;3.4;2.6;0.10;+3.6;+3.4;Matches
268;Alexandru Maxim\Alexandru-Maxim;ro ROU;MF;Mainz 05;29;1990;1.2;0;0;0;3;0;0;0.0;2.41;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
269;Kevin Mbabu\Kevin-Mbabu;ch SUI;DF;Wolfsburg;24;1995;9.8;1;0;0;4;1;0;25.0;0.41;0.10;0.25;1.00;0.4;0.4;0.10;+0.6;+0.6;Matches
270;Weston McKennie\Weston-McKennie;us USA;MFDF;Schalke 04;20;1998;14.7;0;0;0;17;2;0;11.8;1.16;0.14;0.00;0.00;1.9;1.9;0.11;-1.9;-1.9;Matches
271;Joshua Mees\Joshua-Mees;de GER;MFFW;Union Berlin;23;1996;1.7;0;0;0;5;1;0;20.0;2.90;0.58;0.00;0.00;0.3;0.3;0.06;-0.3;-0.3;Matches
272;Admir Mehmedi\Admir-Mehmedi;ch SUI;FWMF;Wolfsburg;28;1991;9.7;2;0;0;13;5;0;38.5;1.34;0.52;0.15;0.40;0.9;0.9;0.07;+1.1;+1.1;Matches
273;Münir Mercan\Munir-Mercan;de GER;FW;Schalke 04;18;2000;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
274;Jorge Meré\Jorge-Mere;es ESP;DF;Köln;22;1997;4.7;1;0;0;2;1;0;50.0;0.42;0.21;0.50;1.00;0.7;0.7;0.37;+0.3;+0.3;Matches
275;Sven Michel\Sven-Michel;de GER;FW;Paderborn 07;29;1990;11.3;3;0;0;29;12;0;41.4;2.57;1.06;0.10;0.25;3.8;3.8;0.13;-0.8;-0.8;Matches
276;Juan Miranda\Juan-Miranda;es ESP;DF;Schalke 04;19;2000;2.9;0;0;0;3;1;0;33.3;1.02;0.34;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
277;Maximilian Mittelstädt\Maximilian-Mittelstadt;de GER;DF;Hertha BSC;22;1997;15.8;1;0;0;16;2;0;12.5;1.01;0.13;0.06;0.50;0.5;0.5;0.03;+0.5;+0.5;Matches
278;Anthony Modeste\Anthony-Modeste;fr FRA;FW;Köln;31;1988;8.7;1;0;0;18;4;0;22.2;2.07;0.46;0.06;0.25;2.0;2.0;0.11;-1.0;-1.0;Matches
279;Kevin Möhwald\Kevin-Mohwald;de GER;MF;Werder Bremen;26;1993;0.8;0;0;0;5;1;0;20.0;6.16;1.23;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
280;Niklas Moisander\Niklas-Moisander;fi FIN;DF;Werder Bremen;33;1985;11.0;0;0;0;9;2;0;22.2;0.82;0.18;0.00;0.00;0.5;0.5;0.05;-0.5;-0.5;Matches
281;Alfredo Morales\Alfredo-Morales;us USA;MF;Düsseldorf;29;1990;15.6;1;0;0;19;4;1;21.1;1.22;0.26;0.05;0.25;0.9;0.9;0.05;+0.1;+0.1;Matches
282;Jan Morávek\Jan-Moravek;cz CZE;MF;Augsburg;29;1989;5.0;0;0;0;2;0;0;0.0;0.40;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
283;Nordi Mukiele\Nordi-Mukiele;fr FRA;DF;RB Leipzig;21;1997;13.8;3;0;0;17;6;0;35.3;1.23;0.44;0.18;0.50;1.5;1.5;0.09;+1.5;+1.5;Matches
284;Florian Müller\Florian-Muller;de GER;GK;Mainz 05;21;1997;3.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
285;Thomas Müller\Thomas-Muller;de GER;MFFW;Bayern Munich;29;1989;16.3;5;0;0;35;12;0;34.3;2.15;0.74;0.14;0.42;6.2;6.2;0.18;-1.2;-1.2;Matches
286;Yvon Mvogo\Yvon-Mvogo;ch SUI;GK;RB Leipzig;25;1994;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
287;Phillipp Mwene\Phillipp-Mwene;at AUT;DF;Mainz 05;25;1994;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
288;Obite N'Dicka\Obite-NDicka;fr FRA;DF;Eint Frankfurt;19;1999;12.7;0;0;0;4;1;0;25.0;0.31;0.08;0.00;0.00;0.3;0.3;0.07;-0.3;-0.3;Matches
289;Matija Nastasić\Matija-Nastasic;rs SRB;DF;Schalke 04;26;1993;11.2;0;0;0;11;3;0;27.3;0.99;0.27;0.00;0.00;1.0;1.0;0.09;-1.0;-1.0;Matches
290;Manuel Neuer\Manuel-Neuer;de GER;GK;Bayern Munich;33;1986;24.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
291;Florian Neuhaus\Florian-Neuhaus;de GER;MF;M'gladbach;22;1997;16.2;3;0;0;30;12;1;40.0;1.85;0.74;0.10;0.25;4.4;4.4;0.15;-1.4;-1.4;Matches
292;Moussa Niakhate\Moussa-Niakhate;fr FRA;DF;Mainz 05;23;1996;23.0;0;0;0;10;4;0;40.0;0.43;0.17;0.00;0.00;0.8;0.8;0.08;-0.8;-0.8;Matches
293;Florian Niederlechner\Florian-Niederlechner;de GER;FWMF;Augsburg;28;1990;23.2;11;1;1;60;32;1;53.3;2.59;1.38;0.17;0.31;9.6;8.8;0.15;+1.4;+1.2;Matches
294;Christopher Nkunku\Christopher-Nkunku;fr FRA;MFFW;RB Leipzig;21;1997;15.1;4;0;0;36;16;2;44.4;2.38;1.06;0.11;0.25;4.9;4.9;0.14;-0.9;-0.9;Matches
295;Lukas Nmecha\Lukas-Nmecha;de GER;MFFW;Wolfsburg;20;1998;1.4;0;0;0;3;0;0;0.0;2.13;0.00;0.00;;0.3;0.3;0.12;-0.3;-0.3;Matches
296;Håvard Nordtveit\Havard-Nordtveit;no NOR;DFMF;Hoffenheim;29;1990;4.6;0;0;0;2;0;0;0.0;0.44;0.00;0.00;;0.3;0.3;0.15;-0.3;-0.3;Matches
297;Alexander Nübel\Alexander-Nubel;de GER;GK;Schalke 04;22;1996;19.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
298;Kasim Nuhu\Kasim-Nuhu;gh GHA;DF;Düsseldorf;24;1995;11.0;1;0;0;6;3;0;50.0;0.55;0.27;0.17;0.33;0.9;0.9;0.15;+0.1;+0.1;Matches
299;Bastian Oczipka\Bastian-Oczipka;de GER;DF;Schalke 04;30;1989;24.0;0;0;0;7;3;0;42.9;0.29;0.12;0.00;0.00;0.2;0.2;0.02;-0.2;-0.2;Matches
300;Álvaro Odriozola\Alvaro-Odriozola;es ESP;DF;Bayern Munich;23;1995;0.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
301;Cauly Oliveira Souza\Cauly-Oliveira-Souza;br BRA;MFFW;Paderborn 07;23;1995;8.0;2;0;0;14;8;1;57.1;1.76;1.00;0.14;0.25;1.6;1.6;0.12;+0.4;+0.4;Matches
302;Dani Olmo\Dani-Olmo;es ESP;MFFW;RB Leipzig;21;1998;1.8;0;0;0;3;1;0;33.3;1.70;0.57;0.00;0.00;0.2;0.2;0.07;-0.2;-0.2;Matches
303;Karim Onisiwo\Karim-Onisiwo;at AUT;FW;Mainz 05;27;1992;11.9;4;0;0;29;15;0;51.7;2.44;1.26;0.14;0.27;3.2;3.2;0.11;+0.8;+0.8;Matches
304;Willi Orban\Willi-Orban;hu HUN;DF;RB Leipzig;26;1992;9.0;1;0;0;7;3;1;42.9;0.78;0.33;0.14;0.33;0.7;0.7;0.09;+0.3;+0.3;Matches
305;Yuya Osako\Yuya-Osako;jp JPN;FWMF;Werder Bremen;29;1990;13.4;4;0;0;30;12;0;40.0;2.24;0.89;0.13;0.33;4.0;4.0;0.13;0.0;0.0;Matches
306;Paulo Otávio\Paulo-Otavio;br BRA;DFFW;Wolfsburg;24;1994;2.3;0;0;0;1;0;0;0.0;0.44;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
307;Reece Oxford\Reece-Oxford;eng ENG;MF;Augsburg;20;1998;3.5;0;0;0;2;0;0;0.0;0.57;0.00;0.00;;0.1;0.1;0.04;-0.1;-0.1;Matches
308;Levin Öztunalı\Levin-Oztunali;de GER;MFFW;Mainz 05;23;1996;15.9;3;0;0;29;9;0;31.0;1.82;0.56;0.10;0.33;1.1;1.1;0.04;+1.9;+1.9;Matches
309;Gonçalo Paciência\Goncalo-Paciencia;pt POR;FW;Eint Frankfurt;24;1994;13.9;7;1;1;46;15;1;32.6;3.31;1.08;0.13;0.40;6.7;6.0;0.13;+0.3;0.0;Matches
310;Exequiel Palacios\Exequiel-Palacios;ar ARG;MF;Leverkusen;20;1998;1.7;0;0;0;5;0;0;0.0;2.92;0.00;0.00;;0.3;0.3;0.05;-0.3;-0.3;Matches
311;Michael Parensen\Michael-Parensen;de GER;DF;Union Berlin;33;1986;5.6;1;0;0;3;2;0;66.7;0.54;0.36;0.33;0.50;0.7;0.7;0.24;+0.3;+0.3;Matches
312;Paulinho\Paulinho;br BRA;MFFW;Leverkusen;19;2000;0.9;1;0;0;3;2;0;66.7;3.42;2.28;0.33;0.50;0.6;0.6;0.20;+0.4;+0.4;Matches
313;Benjamin Pavard\Benjamin-Pavard;fr FRA;DF;Bayern Munich;23;1996;22.0;2;0;0;8;3;0;37.5;0.36;0.14;0.25;0.67;0.4;0.4;0.05;+1.6;+1.6;Matches
314;Jiří Pavlenka\Jiri-Pavlenka;cz CZE;GK;Werder Bremen;27;1992;23.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
315;Mads Pedersen\Mads-Pedersen;dk DEN;DF;Augsburg;22;1996;1.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
316;Peter Pekarík\Peter-Pekarik;sk SVK;DF;Hertha BSC;32;1986;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
317;Philipp Pentke\Philipp-Pentke;de GER;GK;Hoffenheim;34;1985;4.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
318;Ivan Perišić\Ivan-Perisic;hr CRO;FWMF;Bayern Munich;30;1989;10.5;4;0;0;35;9;0;25.7;3.32;0.85;0.11;0.44;3.3;3.3;0.09;+0.7;+0.7;Matches
319;Pavao Pervan\Pavao-Pervan;at AUT;GK;Wolfsburg;31;1987;8.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
320;Nils Petersen\Nils-Petersen;de GER;FWMF;Freiburg;30;1988;20.7;8;1;1;45;14;0;31.1;2.18;0.68;0.16;0.50;6.6;5.9;0.13;+1.4;+1.1;Matches
321;Krzysztof Piątek\Krzysztof-Piatek;pl POL;FW;Hertha BSC;24;1995;4.3;1;1;1;14;5;0;35.7;3.26;1.16;0.00;0.00;2.7;1.9;0.14;-1.7;-1.9;Matches
322;Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel;fr FRA;DF;Mainz 05;21;1998;5.9;0;0;0;2;0;0;0.0;0.34;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
323;Łukasz Piszczek\Lukasz-Piszczek;pl POL;DF;Dortmund;34;1985;14.2;1;0;0;7;2;0;28.6;0.49;0.14;0.14;0.50;0.4;0.4;0.05;+0.6;+0.6;Matches
324;Claudio Pizarro\Claudio-Pizarro;pe PER;FWMF;Werder Bremen;40;1978;2.2;0;0;0;4;0;0;0.0;1.80;0.00;0.00;;0.4;0.4;0.10;-0.4;-0.4;Matches
325;Marvin Plattenhardt\Marvin-Plattenhardt;de GER;DF;Hertha BSC;27;1992;9.0;0;0;0;3;0;2;0.0;0.33;0.00;0.00;;0.3;0.3;0.10;-0.3;-0.3;Matches
326;Alassane Pléa\Alassane-Plea;fr FRA;FW;M'gladbach;26;1993;17.1;8;0;1;56;25;2;44.6;3.27;1.46;0.14;0.32;9.3;8.5;0.15;-1.3;-0.5;Matches
327;Thomas Pledl\Thomas-Pledl;de GER;DFFW;Düsseldorf;25;1994;0.8;0;0;0;1;0;0;0.0;1.30;0.00;0.00;;0.1;0.1;0.05;-0.1;-0.1;Matches
328;Joel Pohjanpalo\Joel-Pohjanpalo;fi FIN;MF;Leverkusen;24;1994;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
329;Sebastian Polter\Sebastian-Polter;de GER;FW;Union Berlin;28;1991;3.0;2;2;2;5;0;0;0.0;1.66;0.00;0.00;;1.9;0.4;0.09;+0.1;-0.4;Matches
330;Marin Pongračić\Marin-Pongracic;hr CRO;DF;Wolfsburg;21;1997;1.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
331;Stefan Posch\Stefan-Posch;at AUT;DF;Hoffenheim;22;1997;16.7;0;0;0;14;4;0;28.6;0.84;0.24;0.00;0.00;1.5;1.5;0.11;-1.5;-1.5;Matches
332;Yussuf Poulsen\Yussuf-Poulsen;dk DEN;FW;RB Leipzig;25;1994;10.9;3;0;0;21;8;0;38.1;1.93;0.74;0.14;0.38;3.9;3.9;0.19;-0.9;-0.9;Matches
333;Kai Pröger\Kai-Proger;de GER;MFFW;Paderborn 07;27;1992;19.4;2;0;0;42;12;2;28.6;2.16;0.62;0.05;0.17;2.3;2.3;0.06;-0.3;-0.3;Matches
334;Grischa Prömel\Grischa-Promel;de GER;MF;Union Berlin;24;1995;3.0;0;0;0;3;1;0;33.3;0.99;0.33;0.00;0.00;0.2;0.2;0.07;-0.2;-0.2;Matches
335;Robin Quaison\Robin-Quaison;se SWE;FWMF;Mainz 05;25;1993;21.1;12;1;1;58;25;1;43.1;2.75;1.19;0.19;0.44;9.5;8.8;0.15;+2.5;+2.2;Matches
336;Raffael\Raffael;br BRA;MF;M'gladbach;34;1985;0.5;0;0;0;6;2;1;33.3;11.25;3.75;0.00;0.00;0.3;0.3;0.05;-0.3;-0.3;Matches
337;Benito Raman\Benito-Raman;be BEL;FW;Schalke 04;24;1994;14.2;4;0;0;26;13;0;50.0;1.83;0.91;0.15;0.31;4.2;4.2;0.16;-0.2;-0.2;Matches
338;Milot Rashica\Milot-Rashica;xk KVX;FWMF;Werder Bremen;23;1996;18.3;7;2;2;56;20;3;35.7;3.06;1.09;0.09;0.25;5.0;3.6;0.06;+2.0;+1.4;Matches
339;Ante Rebić\Ante-Rebic;hr CRO;FW;Eint Frankfurt;25;1993;1.0;0;0;0;2;1;1;50.0;2.00;1.00;0.00;0.00;0.1;0.1;0.05;-0.1;-0.1;Matches
340;Daishawn Redan\Daishawn-Redan;nl NED;FW;Hertha BSC;18;2001;0.2;0;0;0;1;0;0;0.0;4.50;0.00;0.00;;0.2;0.2;0.25;-0.2;-0.2;Matches
341;Fabian Reese\Fabian-Reese;de GER;FW;Schalke 04;21;1997;1.0;0;0;0;3;1;0;33.3;3.14;1.05;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
342;Ken Reichel\Ken-Reichel;de GER;DF;Union Berlin;32;1986;1.5;0;0;0;1;0;0;0.0;0.69;0.00;0.00;;0.0;0.0;0.03;0.0;0.0;Matches
343;Karim Rekik\Karim-Rekik;nl NED;DF;Hertha BSC;24;1994;14.0;1;0;0;4;2;0;50.0;0.29;0.14;0.25;0.50;0.5;0.5;0.14;+0.5;+0.5;Matches
344;Panagiotis Retsos\Panagiotis-Retsos;gr GRE;DF;Leverkusen;20;1998;1.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
345;Marco Reus\Marco-Reus;de GER;MFFW;Dortmund;30;1989;16.7;11;1;1;45;22;3;48.9;2.70;1.32;0.22;0.45;9.3;8.6;0.19;+1.7;+1.4;Matches
346;Elvis Rexhbeçaj\Elvis-Rexhbecaj;de GER;MF;Köln;21;1997;2.3;0;0;0;7;5;0;71.4;3.06;2.18;0.00;0.00;0.4;0.4;0.06;-0.4;-0.4;Matches
347;Giovanni Reyna\Giovanni-Reyna;us USA;MFFW;Dortmund;16;2002;1.3;0;0;0;3;1;0;33.3;2.37;0.79;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
348;Marco Richter\Marco-Richter;de GER;MFFW;Augsburg;21;1997;17.3;4;0;0;50;14;4;28.0;2.89;0.81;0.08;0.29;4.3;4.3;0.09;-0.3;-0.3;Matches
349;Marcel Risse\Marcel-Risse;de GER;MFFW;Köln;29;1989;1.4;0;0;0;1;0;1;0.0;0.71;0.00;0.00;;0.1;0.1;0.12;-0.1;-0.1;Matches
350;Marlon Ritter\Marlon-Ritter;de GER;MFFW;Paderborn 07;24;1994;0.8;0;0;0;5;2;1;40.0;6.25;2.50;0.00;0.00;0.2;0.2;0.05;-0.2;-0.2;Matches
351;Sebastian Rode\Sebastian-Rode;de GER;MF;Eint Frankfurt;28;1990;12.8;2;0;0;8;4;0;50.0;0.62;0.31;0.25;0.50;0.7;0.7;0.09;+1.3;+1.3;Matches
352;Jérôme Roussillon\Jerome-Roussillon;fr FRA;DF;Wolfsburg;26;1993;19.6;1;0;0;18;4;0;22.2;0.92;0.20;0.06;0.25;0.8;0.8;0.04;+0.2;+0.2;Matches
353;Sebastian Rudy\Sebastian-Rudy;de GER;MFDF;Hoffenheim;29;1990;22.4;1;0;0;18;5;0;27.8;0.80;0.22;0.06;0.20;1.0;1.0;0.05;0.0;0.0;Matches
354;Lukas Rupp\Lukas-Rupp;de GER;MFFW;Hoffenheim;28;1991;3.8;0;0;0;5;0;0;0.0;1.32;0.00;0.00;;0.3;0.3;0.05;-0.3;-0.3;Matches
355;Julian Ryerson\Julian-Ryerson;no NOR;DF;Union Berlin;21;1997;2.6;0;0;0;1;0;0;0.0;0.39;0.00;0.00;;0.5;0.5;0.54;-0.5;-0.5;Matches
356;Frederik Rønnow\Frederik-Ronnow;dk DEN;GK;Eint Frankfurt;26;1992;8.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
357;João Victor Santos Sá\Joao-Victor-Santos-Sa;br BRA;FWMF;Wolfsburg;25;1994;12.8;1;0;0;25;8;0;32.0;1.95;0.63;0.04;0.13;3.1;3.1;0.12;-2.1;-2.1;Matches
358;Abdelhamid Sabiri\Abdelhamid-Sabiri;de GER;MF;Paderborn 07;22;1996;8.7;3;1;1;29;11;8;37.9;3.34;1.27;0.07;0.18;2.4;1.6;0.06;+0.6;+0.4;Matches
359;Marcel Sabitzer\Marcel-Sabitzer;at AUT;MFFW;RB Leipzig;25;1994;21.7;8;0;0;57;18;7;31.6;2.62;0.83;0.14;0.44;5.8;5.8;0.10;+2.2;+2.2;Matches
360;Nuri Şahin\Nuri-Sahin;tr TUR;MF;Werder Bremen;30;1988;14.0;0;0;0;11;1;2;9.1;0.79;0.07;0.00;0.00;0.3;0.3;0.03;-0.3;-0.3;Matches
361;Roland Sallai\Roland-Sallai;hu HUN;FWMF;Freiburg;22;1997;5.8;0;0;0;16;4;0;25.0;2.76;0.69;0.00;0.00;0.9;0.9;0.06;-0.9;-0.9;Matches
362;Diadie Samassékou\Diadie-Samassekou;ml MLI;MF;Hoffenheim;23;1996;7.8;0;0;0;3;1;0;33.3;0.39;0.13;0.00;0.00;0.1;0.1;0.04;-0.1;-0.1;Matches
363;Renato Sanches\Renato-Sanches;pt POR;MF;Bayern Munich;21;1997;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
364;Jadon Sancho\Jadon-Sancho;eng ENG;FWMF;Dortmund;19;2000;19.8;14;0;0;43;24;1;55.8;2.17;1.21;0.33;0.58;7.0;7.0;0.16;+7.0;+7.0;Matches
365;Salif Sané\Salif-Sane;sn SEN;DF;Schalke 04;28;1990;7.5;2;0;0;7;3;0;42.9;0.93;0.40;0.29;0.67;0.5;0.5;0.08;+1.5;+1.5;Matches
366;Marcelo Saracchi\Marcelo-Saracchi;uy URU;DF;RB Leipzig;21;1998;2.0;1;0;0;3;1;0;33.3;1.53;0.51;0.33;1.00;0.4;0.4;0.14;+0.6;+0.6;Matches
367;Josh Sargent\Josh-Sargent;us USA;FW;Werder Bremen;19;2000;8.5;2;0;0;15;7;0;46.7;1.77;0.83;0.13;0.29;2.2;2.2;0.15;-0.2;-0.2;Matches
368;Louis Schaub\Louis-Schaub;at AUT;MF;Köln;24;1994;7.0;1;0;0;9;5;0;55.6;1.29;0.72;0.11;0.20;0.6;0.6;0.07;+0.4;+0.4;Matches
369;Patrik Schick\Patrik-Schick;cz CZE;FW;RB Leipzig;23;1996;9.0;7;0;0;28;12;0;42.9;3.11;1.33;0.25;0.58;3.6;3.6;0.13;+3.4;+3.4;Matches
370;Julian Schieber\Julian-Schieber;de GER;FW;Augsburg;30;1989;0.5;0;0;0;1;1;0;100.0;2.20;2.20;0.00;0.00;0.0;0.0;0.04;0.0;0.0;Matches
371;Kingsley Schindler\Kingsley-Schindler;de GER;FWMF;Köln;26;1993;8.9;0;0;0;13;2;0;15.4;1.46;0.22;0.00;0.00;0.9;0.9;0.07;-0.9;-0.9;Matches
372;Xaver Schlager\Xaver-Schlager;at AUT;MF;Wolfsburg;21;1997;10.6;1;0;0;19;7;0;36.8;1.78;0.66;0.05;0.14;0.9;0.9;0.05;+0.1;+0.1;Matches
373;Keven Schlotterbeck\Keven-Schlotterbeck;de GER;DF;Union Berlin;22;1997;12.6;0;0;0;5;1;0;20.0;0.40;0.08;0.00;0.00;0.2;0.2;0.05;-0.2;-0.2;Matches
374;Nico Schlotterbeck\Nico-Schlotterbeck;de GER;DF;Freiburg;19;1999;3.9;0;0;0;3;1;0;33.3;0.76;0.25;0.00;0.00;0.1;0.1;0.05;-0.1;-0.1;Matches
375;Marcel Schmelzer\Marcel-Schmelzer;de GER;FW;Dortmund;31;1988;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
376;Jonathan Schmid\Jonathan-Schmid;fr FRA;DF;Freiburg;29;1990;22.9;4;0;0;31;13;9;41.9;1.35;0.57;0.13;0.31;2.6;2.6;0.09;+1.4;+1.4;Matches
377;Manuel Schmiedebach\Manuel-Schmiedebach;de GER;MF;Union Berlin;30;1988;1.6;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
378;Benno Schmitz\Benno-Schmitz;de GER;DF;Köln;24;1994;8.4;0;0;0;2;0;0;0.0;0.24;0.00;0.00;;0.1;0.1;0.06;-0.1;-0.1;Matches
379;Sebastian Schonlau\Sebastian-Schonlau;de GER;DF;Paderborn 07;24;1994;19.0;2;0;0;10;4;0;40.0;0.53;0.21;0.20;0.50;1.1;1.1;0.11;+0.9;+0.9;Matches
380;Alessandro Schöpf\Alessandro-Schopf;at AUT;MFFW;Schalke 04;25;1994;6.7;0;0;0;9;2;0;22.2;1.35;0.30;0.00;0.00;1.0;1.0;0.11;-1.0;-1.0;Matches
381;Markus Schubert\Markus-Schubert;de GER;GK;Schalke 04;21;1998;4.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
382;Nico Schulz\Nico-Schulz;de GER;DF;Dortmund;26;1993;6.3;1;0;0;6;1;0;16.7;0.96;0.16;0.17;1.00;0.4;0.4;0.07;+0.6;+0.6;Matches
383;Alexander Schwolow\Alexander-Schwolow;de GER;GK;Freiburg;27;1992;14.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
384;Davie Selke\Davie-Selke;de GER;FW;Hertha BSC;24;1995;10.6;1;0;0;19;3;0;15.8;1.79;0.28;0.05;0.33;2.6;2.6;0.13;-1.6;-1.6;Matches
385;Davie Selke\Davie-Selke;de GER;FW;Werder Bremen;24;1995;2.8;0;0;0;6;2;0;33.3;2.17;0.72;0.00;0.00;0.7;0.7;0.12;-0.7;-0.7;Matches
386;Suat Serdar\Suat-Serdar;de GER;MF;Schalke 04;22;1997;16.4;7;0;0;34;14;0;41.2;2.07;0.85;0.21;0.50;2.7;2.7;0.08;+4.3;+4.3;Matches
387;Khiry Shelton\Khiry-Shelton;us USA;FWMF;Paderborn 07;26;1993;0.4;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
388;André Silva\Andre-Silva;pt POR;FW;Eint Frankfurt;23;1995;8.5;4;0;0;29;14;0;48.3;3.40;1.64;0.14;0.29;4.0;4.0;0.14;0.0;0.0;Matches
389;Sarpreet Singh\Sarpreet-Singh;nz NZL;MF;Bayern Munich;20;1999;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
390;Daley Sinkgraven\Daley-Sinkgraven;nl NED;DF;Leverkusen;24;1995;6.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
391;Ellyes Skhiri\Ellyes-Skhiri;tn TUN;MF;Köln;24;1995;20.7;1;0;0;20;3;0;15.0;0.97;0.15;0.05;0.33;1.8;1.8;0.09;-0.8;-0.8;Matches
392;Robert Skov\Robert-Skov;dk DEN;DFFW;Hoffenheim;23;1996;19.8;3;0;0;38;12;13;31.6;1.92;0.61;0.08;0.25;1.8;1.8;0.05;+1.2;+1.2;Matches
393;Steven Skrzybski\Steven-Skrzybski;de GER;FWMF;Düsseldorf;26;1992;2.0;0;0;0;3;0;0;0.0;1.50;0.00;0.00;;0.2;0.2;0.07;-0.2;-0.2;Matches
394;Dennis Smarsch\Dennis-Smarsch;de GER;GK;Hertha BSC;20;1999;0.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
