"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
54;Jérôme Boateng\Jerome-Boateng;de GER;DF;Bayern Munich;30;1988;11.2;0;0;0;3;0;0;0.0;0.27;0.00;0.00;;0.2;0.2;0.08;-0.2;-0.2;Matches
55;Adam Bodzek\Adam-Bodzek;de GER;MF;Düsseldorf;33;1985;16.5;0;0;0;8;3;0;37.5;0.49;0.18;0.00;0.00;0.6;0.6;0.07;-0.6;-0.6;Matches
56;Jean-Paul Boëtius\Jean-Paul-Boetius;nl NED;MF;Mainz 05;25;1994;19.9;3;0;0;26;9;0;34.6;1.31;0.45;0.12;0.33;2.0;2.0;0.08;+1.0;+1.0;Matches
57;Robin Bormuth\Robin-Bormuth;de GER;DF;Düsseldorf;23;1995;2.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
58;Sebastiaan Bornauw\Sebastiaan-Bornauw;be BEL;DF;Köln;20;1999;20.9;5;0;0;15;6;0;40.0;0.72;0.29;0.33;0.83;2.7;2.7;0.18;+2.3;+2.3;Matches
59;Brandon Borrello\Brandon-Borrello;au AUS;MFFW;Freiburg;24;1995;3.3;0;0;0;6;1;0;16.7;1.81;0.30;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
60;Nassim Boujellab\Nassim-Boujellab;de GER;MF;Schalke 04;20;1999;1.5;0;0;0;1;0;0;0.0;0.65;0.00;0.00;;0.1;0.1;0.14;-0.1;-0.1;Matches
61;Dedryck Boyata\Dedryck-Boyata;be BEL;DF;Hertha BSC;28;1990;19.6;3;0;0;17;3;0;17.6;0.87;0.15;0.18;1.00;1.6;1.6;0.09;+1.4;+1.4;Matches
62;Julian Brandt\Julian-Brandt;de GER;MFFW;Dortmund;23;1996;15.9;3;0;0;26;12;0;46.2;1.63;0.75;0.12;0.25;3.4;3.4;0.13;-0.4;-0.4;Matches
63;Erling Braut Håland\Erling-Braut-Haland;no NOR;FW;Dortmund;19;2000;4.7;9;0;0;17;12;0;70.6;3.63;2.56;0.53;0.75;4.7;4.7;0.27;+4.3;+4.3;Matches
64;Josip Brekalo\Josip-Brekalo;hr CRO;FWMF;Wolfsburg;21;1998;11.4;3;0;0;24;11;1;45.8;2.10;0.96;0.13;0.27;2.1;2.1;0.09;+0.9;+0.9;Matches
65;John Brooks\John-Brooks;us USA;DF;Wolfsburg;26;1993;15.0;0;0;0;7;3;0;42.9;0.47;0.20;0.00;0.00;1.2;1.2;0.18;-1.2;-1.2;Matches
66;Daniel Brosinski\Daniel-Brosinski;de GER;DF;Mainz 05;31;1988;14.9;2;1;1;16;5;3;31.3;1.08;0.34;0.06;0.20;1.5;0.8;0.05;+0.5;+0.2;Matches
