"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
426;Jean-Clair Todibo\Jean-Clair-Todibo;fr FRA;DF;Schalke 04;19;1999;2.0;0;0.1;-0.1;1;154;175;88.0;1;2;50.0;100;106;94.3;53;67;79.1;8;154;4;0;0;2;15;0;0;Matches
427;Corentin Tolisso\Corentin-Tolisso;fr FRA;MF;Bayern Munich;24;1994;7.1;2;1.7;+0.3;12;506;579;87.4;10;22;45.5;370;409;90.5;126;148;85.1;49;502;9;2;0;2;71;10;1;Matches
428;Ömer Toprak\Omer-Toprak;tr TUR;DF;Werder Bremen;30;1989;8.0;0;0.0;0.0;0;421;473;89.0;2;5;40.0;301;321;93.8;118;147;80.3;117;328;22;0;0;4;22;2;1;Matches
429;Lucas Torró\Lucas-Torro;es ESP;MFFW;Eint Frankfurt;25;1994;1.5;0;0.0;0.0;1;61;68;89.7;0;0;;47;49;95.9;14;19;73.7;6;54;3;0;0;0;8;1;0;Matches
430;Jordan Torunarigha\Jordan-Torunarigha;de GER;DF;Hertha BSC;21;1997;6.2;0;0.3;-0.3;3;217;265;81.9;5;8;62.5;151;173;87.3;61;84;72.6;187;48;12;0;0;6;16;1;0;Matches
431;Almamy Touré\Almamy-Toure;ml MLI;DF;Eint Frankfurt;23;1996;11.2;3;1.5;+1.5;14;325;462;70.3;5;15;33.3;261;328;79.6;59;119;49.6;51;314;1;0;0;46;36;8;3;Matches
432;Ibrahima Traoré\Ibrahima-Traore;gn GUI;FW;M'gladbach;31;1988;0.1;0;0.0;0.0;0;3;3;100.0;0;0;;3;3;100.0;0;0;;2;1;0;0;0;0;0;0;0;Matches
433;Kevin Trapp\Kevin-Trapp;de GER;GK;Eint Frankfurt;29;1990;12.0;0;0.0;0.0;0;353;490;72.0;3;3;100.0;173;174;99.4;177;313;56.5;72;335;36;1;0;1;11;0;0;Matches
434;Christopher Trimmel\Christopher-Trimmel;at AUT;DF;Union Berlin;32;1987;21.8;6;3.8;+2.2;48;707;1026;68.9;9;40;22.5;502;582;86.3;196;404;48.5;103;636;72;0;77;222;38;10;6;Matches
435;Anthony Ujah\Anthony-Ujah;ng NGA;FWMF;Union Berlin;28;1990;6.7;0;0.3;-0.3;5;112;175;64.0;5;16;31.3;92;133;69.2;15;26;57.7;23;94;0;1;0;1;11;3;0;Matches
436;Sven Ulreich\Sven-Ulreich;de GER;GK;Bayern Munich;30;1988;0.0;0;0.0;0.0;0;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;Matches
437;Dayot Upamecano\Dayot-Upamecano;fr FRA;DF;RB Leipzig;20;1998;19.6;0;0.8;-0.8;6;1285;1432;89.7;8;18;44.4;812;873;93.0;465;541;86.0;184;1170;34;2;0;2;123;7;0;Matches
438;Mark Uth\Mark-Uth;de GER;FWMF;Schalke 04;27;1991;3.9;0;0.3;-0.3;2;82;114;71.9;1;4;25.0;67;89;75.3;14;21;66.7;93;10;1;0;0;0;1;1;0;Matches
