"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
18;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Paderborn 07;25;1994;25;19;1689;1;2;0;0;2;0;0.05;0.11;0.16;0.05;0.16;3.3;3.3;2.7;0.18;0.14;0.32;0.18;0.32;Matches
19;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;30;1989;17;14;1352;1;3;0;0;1;0;0.07;0.20;0.27;0.07;0.27;1.0;1.0;1.5;0.06;0.10;0.16;0.06;0.16;Matches
20;Maximilian Arnold\Maximilian-Arnold;de GER;MF;Wolfsburg;25;1994;23;22;1958;3;5;0;0;6;0;0.14;0.23;0.37;0.14;0.37;1.6;1.6;5.2;0.08;0.24;0.31;0.08;0.31;Matches
21;Santiago Ascacíbar\Santiago-Ascacibar;ar ARG;MF;Hertha BSC;22;1997;6;6;540;0;1;0;0;2;0;0.00;0.17;0.17;0.00;0.17;0.0;0.0;0.2;0.00;0.03;0.03;0.00;0.03;Matches
22;Ludwig Augustinsson\Ludwig-Augustinsson;se SWE;DF;Werder Bremen;25;1994;7;7;607;0;1;0;0;0;0;0.00;0.15;0.15;0.00;0.15;0.1;0.1;0.6;0.02;0.09;0.11;0.02;0.11;Matches
23;Taiwo Awoniyi\Taiwo-Awoniyi;ng NGA;FWMF;Mainz 05;21;1997;6;1;150;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.1;0.40;0.08;0.49;0.40;0.49;Matches
24;Kaan Ayhan\Kaan-Ayhan;tr TUR;DF;Düsseldorf;24;1994;23;23;2013;2;3;0;0;9;0;0.09;0.13;0.22;0.09;0.22;2.1;2.1;2.2;0.09;0.10;0.19;0.09;0.19;Matches
25;Matthias Bader\Matthias-Bader;de GER;DF;Köln;22;1997;1;0;11;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
26;Daniel Baier\Daniel-Baier;de GER;MF;Augsburg;35;1984;18;18;1588;1;0;0;0;5;0;0.06;0.00;0.06;0.06;0.06;0.5;0.5;0.4;0.03;0.02;0.05;0.03;0.05;Matches
27;Leon Bailey\Leon-Bailey;jm JAM;FWMF;Leverkusen;21;1997;13;7;661;5;1;0;0;0;2;0.68;0.14;0.82;0.68;0.82;3.2;3.2;1.6;0.44;0.22;0.66;0.44;0.66;Matches
28;Lewis Baker\Lewis-Baker;eng ENG;MF;Düsseldorf;24;1995;8;7;548;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.3;0.08;0.05;0.13;0.08;0.13;Matches
29;Ridle Baku\Ridle-Baku;de GER;MFDF;Mainz 05;21;1998;21;18;1584;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;0.5;0.5;1.9;0.03;0.11;0.14;0.03;0.14;Matches
30;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;Dortmund;20;1999;1;0;12;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
31;Philipp Bargfrede\Philipp-Bargfrede;de GER;MF;Werder Bremen;30;1989;9;4;356;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.02;0.01;0.03;0.02;0.03;Matches
32;Aymen Barkok\Aymen-Barkok;de GER;FWMF;Düsseldorf;21;1998;3;1;77;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
33;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;19;2000;9;6;466;0;1;0;0;1;0;0.00;0.19;0.19;0.00;0.19;0.4;0.4;0.1;0.07;0.02;0.09;0.07;0.09;Matches
34;Fin Bartels\Fin-Bartels;de GER;FWMF;Werder Bremen;32;1987;6;0;114;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.2;0.21;0.13;0.34;0.21;0.34;Matches
35;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;29;1990;20;20;1800;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
36;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;31;1988;17;14;1216;1;1;0;0;2;0;0.07;0.07;0.15;0.07;0.15;1.1;1.1;0.9;0.08;0.07;0.15;0.08;0.15;Matches
37;Christoph Baumgartner\Christoph-Baumgartner;at AUT;FWMF;Hoffenheim;19;1999;16;10;880;3;1;0;0;2;0;0.31;0.10;0.41;0.31;0.41;4.4;4.4;1.3;0.45;0.14;0.59;0.45;0.59;Matches
38;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;MF;Augsburg;22;1996;2;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
39;Ihlas Bebou\Ihlas-Bebou;tg TOG;FWMF;Hoffenheim;25;1994;22;15;1527;3;0;0;0;0;0;0.18;0.00;0.18;0.18;0.18;2.4;2.4;2.5;0.14;0.15;0.28;0.14;0.28;Matches
