"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
113;Alexander Esswein\Alexander-Esswein;de GER;FWMF;Hertha BSC;29;1990;2;0;41;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.6;0.00;1.22;1.22;0.00;1.22;Matches
114;Simon Falette\Simon-Falette;gn GUI;DF;Eint Frankfurt;27;1992;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.03;0.03;0.00;0.03;Matches
115;Ohis Felix Uduokhai\Ohis-Felix-Uduokhai;de GER;DF;Augsburg;21;1997;17;14;1296;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.4;0.01;0.02;0.04;0.01;0.04;Matches
116;Edimilson Fernandes\Edimilson-Fernandes;ch SUI;MFDF;Mainz 05;23;1996;16;15;1195;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.5;0.04;0.04;0.08;0.04;0.08;Matches
117;Gelson Fernandes\Gelson-Fernandes;ch SUI;MF;Eint Frankfurt;32;1986;9;9;674;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
118;Oliver Fink\Oliver-Fink;de GER;MFFW;Düsseldorf;37;1982;13;8;665;0;1;0;0;2;0;0.00;0.14;0.14;0.00;0.14;0.8;0.8;0.3;0.10;0.04;0.14;0.10;0.14;Matches
119;Alfreð Finnbogason\Alfred-Finnbogason;is ISL;FW;Augsburg;30;1989;15;8;767;3;1;1;1;1;0;0.35;0.12;0.47;0.23;0.35;4.5;3.7;1.6;0.53;0.19;0.71;0.44;0.63;Matches
120;Mark Flekken\Mark-Flekken;nl NED;GK;Freiburg;26;1993;9;9;810;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
121;Emil Forsberg\Emil-Forsberg;se SWE;MF;RB Leipzig;27;1991;17;11;883;5;2;2;2;0;0;0.51;0.20;0.71;0.31;0.51;3.2;1.7;2.2;0.33;0.22;0.55;0.17;0.39;Matches
122;Raphael Framberger\Raphael-Framberger;de GER;DF;Augsburg;23;1995;9;5;540;0;1;0;0;1;0;0.00;0.17;0.17;0.00;0.17;0.3;0.3;0.2;0.05;0.04;0.09;0.05;0.09;Matches
123;Mike Frantz\Mike-Frantz;de GER;MFDF;Freiburg;32;1986;11;3;257;0;1;0;0;2;0;0.00;0.35;0.35;0.00;0.35;0.2;0.2;0.6;0.08;0.23;0.31;0.08;0.31;Matches
124;Marco Friedl\Marco-Friedl;at AUT;DF;Werder Bremen;21;1998;17;16;1457;1;1;0;0;6;0;0.06;0.06;0.12;0.06;0.12;1.0;1.0;0.7;0.06;0.04;0.11;0.06;0.11;Matches
125;Marvin Friedrich\Marvin-Friedrich;de GER;DF;Union Berlin;23;1995;22;22;1980;1;0;0;0;5;0;0.05;0.00;0.05;0.05;0.05;1.2;1.2;0.5;0.06;0.02;0.08;0.06;0.08;Matches
126;Samúel Friðjónsson\Samuel-Fridjonsson;is ISL;MF;Paderborn 07;23;1996;3;2;172;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
127;Niclas Füllkrug\Niclas-Fullkrug;de GER;FW;Werder Bremen;26;1993;4;3;292;2;1;0;0;1;0;0.62;0.31;0.92;0.62;0.92;1.6;1.6;0.9;0.49;0.27;0.77;0.49;0.77;Matches
128;Mijat Gaćinović\Mijat-Gacinovic;rs SRB;MFFW;Eint Frankfurt;24;1995;14;8;683;0;1;0;0;0;0;0.00;0.13;0.13;0.00;0.13;1.0;1.0;0.9;0.14;0.11;0.25;0.14;0.25;Matches
129;Theodor Gebre Selassie\Theodor-Gebre-Selassie;cz CZE;DF;Werder Bremen;32;1986;17;17;1485;1;0;0;0;1;0;0.06;0.00;0.06;0.06;0.06;0.6;0.6;0.6;0.03;0.03;0.07;0.03;0.07;Matches
130;Dennis Geiger\Dennis-Geiger;de GER;MF;Hoffenheim;21;1998;14;11;938;0;3;0;0;2;0;0.00;0.29;0.29;0.00;0.29;1.1;1.1;1.8;0.11;0.18;0.28;0.11;0.28;Matches
131;Christian Gentner\Christian-Gentner;de GER;MF;Union Berlin;33;1985;23;22;1838;1;1;0;0;4;0;0.05;0.05;0.10;0.05;0.10;2.0;2.0;1.4;0.10;0.07;0.16;0.10;0.16;Matches
132;Yannick Gerhardt\Yannick-Gerhardt;de GER;MF;Wolfsburg;25;1994;12;5;599;2;0;0;0;1;0;0.30;0.00;0.30;0.30;0.30;1.5;1.5;0.1;0.23;0.02;0.25;0.23;0.25;Matches
133;Niko Gießelmann\Niko-Giesselmann;de GER;DF;Düsseldorf;27;1991;16;15;1420;1;1;0;0;4;0;0.06;0.06;0.13;0.06;0.13;0.4;0.4;1.4;0.02;0.09;0.11;0.02;0.11;Matches
134;Rafał Gikiewicz\Rafal-Gikiewicz;pl POL;GK;Union Berlin;31;1987;24;24;2160;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.3;0.01;0.01;0.02;0.01;0.02;Matches
135;Daniel Ginczek\Daniel-Ginczek;de GER;FW;Wolfsburg;28;1991;9;5;347;2;1;0;0;0;0;0.52;0.26;0.78;0.52;0.78;0.9;0.9;1.3;0.23;0.34;0.57;0.23;0.57;Matches
136;Matthias Ginter\Matthias-Ginter;de GER;DF;M'gladbach;25;1994;20;20;1791;1;0;0;0;1;0;0.05;0.00;0.05;0.05;0.05;1.8;1.8;0.7;0.09;0.03;0.13;0.09;0.13;Matches
137;Klaus Gjasula\Klaus-Gjasula;al ALB;MF;Paderborn 07;29;1989;22;21;1760;2;1;0;1;12;0;0.10;0.05;0.15;0.10;0.15;1.9;1.1;1.0;0.10;0.05;0.15;0.06;0.11;Matches
138;Serge Gnabry\Serge-Gnabry;de GER;FWMF;Bayern Munich;24;1995;22;18;1529;11;8;0;0;0;0;0.65;0.47;1.12;0.65;1.12;8.8;8.8;7.2;0.52;0.42;0.94;0.52;0.94;Matches
139;Akaki Gogia\Akaki-Gogia;de GER;MFFW;Union Berlin;27;1992;3;1;121;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.3;0.02;0.23;0.24;0.02;0.24;Matches
140;Benjamin Goller\Benjamin-Goller;de GER;FWMF;Werder Bremen;20;1999;10;2;280;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.05;0.03;0.08;0.05;0.08;Matches
141;Jérôme Gondorf\Jerome-Gondorf;de GER;MF;Freiburg;31;1988;2;2;122;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.04;0.02;0.06;0.04;0.06;Matches
142;Leon Goretzka\Leon-Goretzka;de GER;MF;Bayern Munich;24;1995;14;8;728;2;4;0;0;2;0;0.25;0.49;0.74;0.25;0.74;3.5;3.5;2.0;0.44;0.24;0.68;0.44;0.68;Matches
143;Mario Götze\Mario-Gotze;de GER;FW;Dortmund;27;1992;13;5;502;3;0;1;1;0;0;0.54;0.00;0.54;0.36;0.36;1.6;0.8;1.5;0.29;0.27;0.55;0.15;0.42;Matches
144;Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw;nl NED;DF;Augsburg;28;1991;15;13;1177;0;1;0;0;4;0;0.00;0.08;0.08;0.00;0.08;0.0;0.0;0.1;0.00;0.01;0.01;0.00;0.01;Matches
145;Michael Gregoritsch\Michael-Gregoritsch;at AUT;MFFW;Augsburg;25;1994;6;4;303;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.3;0.04;0.10;0.14;0.04;0.14;Matches
146;Michael Gregoritsch\Michael-Gregoritsch;at AUT;FW;Schalke 04;25;1994;7;6;462;1;1;0;0;0;0;0.19;0.19;0.39;0.19;0.39;2.3;2.3;0.7;0.44;0.13;0.57;0.44;0.57;Matches
147;Vincenzo Grifo\Vincenzo-Grifo;it ITA;MFFW;Freiburg;26;1993;16;7;783;2;1;1;1;1;1;0.23;0.11;0.34;0.11;0.23;2.2;1.4;1.6;0.25;0.19;0.44;0.16;0.35;Matches
148;Vincenzo Grifo\Vincenzo-Grifo;it ITA;MF;Hoffenheim;26;1993;1;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
149;Florian Grillitsch\Florian-Grillitsch;at AUT;MF;Hoffenheim;23;1995;22;20;1747;0;3;0;0;1;0;0.00;0.15;0.15;0.00;0.15;0.7;0.7;2.5;0.04;0.13;0.17;0.04;0.17;Matches
150;Christian Groß\Christian-Gross;de GER;DF;Werder Bremen;30;1989;10;8;730;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.03;0.01;0.04;0.03;0.04;Matches
151;Carlos Gruezo\Carlos-Gruezo;ec ECU;MF;Augsburg;24;1995;3;3;254;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
152;Marko Grujić\Marko-Grujic;rs SRB;MF;Hertha BSC;23;1996;20;20;1663;3;1;0;0;5;0;0.16;0.05;0.22;0.16;0.22;3.4;3.4;0.5;0.18;0.03;0.21;0.18;0.21;Matches
153;Raphaël Guerreiro\Raphael-Guerreiro;pt POR;DF;Dortmund;25;1993;19;16;1512;5;2;0;0;1;0;0.30;0.12;0.42;0.30;0.42;2.4;2.4;1.5;0.14;0.09;0.23;0.14;0.23;Matches
154;Babacar Guèye\Babacar-Gueye;sn SEN;FW;Paderborn 07;24;1994;3;1;109;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.1;0.37;0.11;0.48;0.37;0.48;Matches
155;Josuha Guilavogui\Josuha-Guilavogui;fr FRA;MFDF;Wolfsburg;28;1990;22;22;1970;0;1;0;0;4;0;0.00;0.05;0.05;0.00;0.05;1.2;1.2;1.0;0.06;0.04;0.10;0.06;0.10;Matches
156;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;RB Leipzig;29;1990;23;23;2070;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.7;0.00;0.03;0.03;0.00;0.03;Matches
157;Manuel Gulde\Manuel-Gulde;de GER;DF;Freiburg;28;1991;12;11;993;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1.1;1.1;0.1;0.10;0.01;0.10;0.10;0.10;Matches
158;Christian Günter\Christian-Gunter;de GER;DF;Freiburg;26;1993;24;24;2160;1;5;0;0;1;0;0.04;0.21;0.25;0.04;0.25;0.8;0.8;5.6;0.03;0.24;0.27;0.03;0.27;Matches
159;Jonathan de Guzmán\Jonathan-de-Guzman;nl NED;MF;Eint Frankfurt;31;1987;1;0;13;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
160;Janik Haberer\Janik-Haberer;de GER;MFFW;Freiburg;25;1994;21;19;1613;2;2;0;0;5;1;0.11;0.11;0.22;0.11;0.22;0.9;0.9;0.8;0.05;0.04;0.09;0.05;0.09;Matches
161;Alexander Hack\Alexander-Hack;de GER;DF;Mainz 05;25;1993;10;7;637;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.2;0.08;0.03;0.11;0.08;0.11;Matches
162;André Hahn\Andre-Hahn;de GER;FWMF;Augsburg;28;1990;11;7;577;1;0;0;1;4;1;0.16;0.00;0.16;0.16;0.16;2.1;1.4;0.2;0.33;0.04;0.37;0.21;0.25;Matches
163;Amadou Haidara\Amadou-Haidara;ml MLI;MF;RB Leipzig;21;1998;13;4;568;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;1.1;0.10;0.17;0.27;0.10;0.27;Matches
164;Achraf Hakimi\Achraf-Hakimi;ma MAR;DFFW;Dortmund;20;1998;24;21;1955;2;10;0;0;3;0;0.09;0.46;0.55;0.09;0.55;2.3;2.3;4.3;0.10;0.20;0.30;0.10;0.30;Matches
165;Marcel Halstenberg\Marcel-Halstenberg;de GER;DF;RB Leipzig;27;1991;20;20;1785;3;2;0;0;4;0;0.15;0.10;0.25;0.15;0.25;2.0;2.0;2.6;0.10;0.13;0.23;0.10;0.23;Matches
166;Amine Harit\Amine-Harit;ma MAR;MFFW;Schalke 04;22;1997;23;23;2005;6;4;1;1;3;0;0.27;0.18;0.45;0.22;0.40;3.2;2.4;3.7;0.14;0.17;0.31;0.11;0.27;Matches
167;Martin Harnik\Martin-Harnik;at AUT;MFFW;Werder Bremen;32;1987;2;0;7;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
168;Makoto Hasebe\Makoto-Hasebe;jp JPN;DFMF;Eint Frankfurt;35;1984;15;14;1320;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.7;0.00;0.05;0.05;0.00;0.05;Matches
169;Kai Havertz\Kai-Havertz;de GER;MFFW;Leverkusen;20;1999;21;21;1798;5;4;0;0;3;0;0.25;0.20;0.45;0.25;0.45;4.5;4.5;5.2;0.22;0.26;0.49;0.22;0.49;Matches
170;Thorgan Hazard\Thorgan-Hazard;be BEL;FWMF;Dortmund;26;1993;23;18;1592;4;10;0;0;1;0;0.23;0.57;0.79;0.23;0.79;3.5;3.5;5.0;0.20;0.28;0.48;0.20;0.48;Matches
171;Jonas Hector\Jonas-Hector;de GER;MFDF;Köln;29;1990;22;22;1901;4;2;0;0;6;0;0.19;0.09;0.28;0.19;0.28;1.9;1.9;2.7;0.09;0.13;0.22;0.09;0.22;Matches
172;Dominique Heintz\Dominique-Heintz;de GER;DF;Freiburg;25;1993;20;19;1714;0;1;0;0;2;0;0.00;0.05;0.05;0.00;0.05;0.2;0.2;0.2;0.01;0.01;0.02;0.01;0.02;Matches
173;Rouwen Hennings\Rouwen-Hennings;de GER;FW;Düsseldorf;31;1987;23;22;1969;11;0;3;3;3;0;0.50;0.00;0.50;0.37;0.37;7.4;5.1;1.1;0.34;0.05;0.39;0.23;0.29;Matches
174;Lucas Hernández\Lucas-Hernandez;fr FRA;DF;Bayern Munich;23;1996;10;7;667;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.3;0.00;0.03;0.04;0.00;0.04;Matches
175;Patrick Herrmann\Patrick-Herrmann;de GER;FWMF;M'gladbach;28;1991;18;10;977;5;4;0;0;4;0;0.46;0.37;0.83;0.46;0.83;5.4;5.4;3.3;0.49;0.30;0.80;0.49;0.80;Matches
176;Martin Hinteregger\Martin-Hinteregger;at AUT;DF;Eint Frankfurt;26;1992;21;21;1890;6;1;0;0;5;0;0.29;0.05;0.33;0.29;0.33;2.6;2.6;0.6;0.12;0.03;0.15;0.12;0.15;Matches
177;Marwin Hitz\Marwin-Hitz;ch SUI;GK;Dortmund;31;1987;4;3;289;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
178;André Hoffmann\Andre-Hoffmann;de GER;DF;Düsseldorf;26;1993;19;18;1605;1;1;0;0;5;0;0.06;0.06;0.11;0.06;0.11;0.4;0.4;0.3;0.02;0.02;0.04;0.02;0.04;Matches
179;Nicolas Höfler\Nicolas-Hofler;de GER;MF;Freiburg;29;1990;22;21;1901;1;0;0;0;7;0;0.05;0.00;0.05;0.05;0.05;2.5;2.5;0.3;0.12;0.02;0.13;0.12;0.13;Matches
180;Jonas Hofmann\Jonas-Hofmann;de GER;MFFW;M'gladbach;27;1992;13;9;831;2;1;0;0;2;0;0.22;0.11;0.32;0.22;0.32;2.2;2.2;1.4;0.24;0.15;0.39;0.24;0.39;Matches
181;Marco Höger\Marco-Hoger;de GER;MF;Köln;29;1989;10;6;519;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.01;0.02;0.03;0.01;0.03;Matches
182;Lucas Höler\Lucas-Holer;de GER;FWMF;Freiburg;25;1994;24;20;1794;4;2;0;1;4;0;0.20;0.10;0.30;0.20;0.30;5.0;4.2;1.8;0.25;0.09;0.34;0.21;0.30;Matches
183;Gerrit Holtmann\Gerrit-Holtmann;de GER;MFDF;Paderborn 07;24;1995;17;9;738;1;0;0;0;1;1;0.12;0.00;0.12;0.12;0.12;0.4;0.4;0.5;0.05;0.06;0.11;0.05;0.11;Matches
184;Timo Horn\Timo-Horn;de GER;GK;Köln;26;1993;24;24;2160;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.4;0.00;0.02;0.02;0.00;0.02;Matches
185;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;Leverkusen;29;1989;24;24;2160;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
186;Benjamin Hübner\Benjamin-Hubner;de GER;DF;Hoffenheim;30;1989;17;17;1495;1;2;0;0;4;0;0.06;0.12;0.18;0.06;0.18;1.2;1.2;0.5;0.07;0.03;0.10;0.07;0.10;Matches
187;Florian Hübner\Florian-Hubner;de GER;DF;Union Berlin;28;1991;7;6;558;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.1;0.09;0.02;0.11;0.09;0.11;Matches
188;Mats Hummels\Mats-Hummels;de GER;DF;Dortmund;30;1988;22;22;1817;1;3;0;0;5;1;0.05;0.15;0.20;0.05;0.20;1.5;1.5;1.7;0.07;0.09;0.16;0.07;0.16;Matches
189;Uwe Hünemeier\Uwe-Hunemeier;de GER;DF;Paderborn 07;33;1986;9;6;603;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.1;0.07;0.02;0.09;0.07;0.09;Matches
190;Jannik Huth\Jannik-Huth;de GER;GK;Paderborn 07;25;1994;6;6;540;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
191;Iago\Iago;br BRA;DFMF;Augsburg;22;1997;7;5;480;1;1;0;0;0;0;0.19;0.19;0.37;0.19;0.37;0.5;0.5;0.1;0.10;0.01;0.11;0.10;0.11;Matches
192;Vedad Ibišević\Vedad-Ibisevic;ba BIH;FW;Hertha BSC;34;1984;15;8;701;3;1;0;0;4;0;0.39;0.13;0.51;0.39;0.51;1.7;1.7;0.7;0.22;0.09;0.31;0.22;0.31;Matches
193;Luc Ihorst\Luc-Ihorst;de GER;FW;Werder Bremen;19;2000;1;0;10;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
194;Stefan Ilsanker\Stefan-Ilsanker;at AUT;MFDF;Eint Frankfurt;30;1989;3;2;225;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
195;Stefan Ilsanker\Stefan-Ilsanker;at AUT;DF;RB Leipzig;30;1989;6;5;418;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.1;0.15;0.02;0.18;0.15;0.18;Matches
196;Marcus Ingvartsen\Marcus-Ingvartsen;dk DEN;FWMF;Union Berlin;23;1996;19;14;1195;4;1;1;1;3;0;0.30;0.08;0.38;0.23;0.30;3.0;2.2;0.9;0.22;0.07;0.29;0.17;0.23;Matches
197;Ismail Jakobs\Ismail-Jakobs;de GER;FWDF;Köln;19;1999;13;13;1126;2;1;0;0;3;0;0.16;0.08;0.24;0.16;0.24;1.4;1.4;0.7;0.11;0.06;0.17;0.11;0.17;Matches
198;Laurent Jans\Laurent-Jans;lu LUX;DF;Paderborn 07;26;1992;16;15;1256;0;1;0;0;1;0;0.00;0.07;0.07;0.00;0.07;0.1;0.1;0.7;0.01;0.05;0.06;0.01;0.06;Matches
199;Tony Jantschke\Tony-Jantschke;de GER;DF;M'gladbach;29;1990;11;9;750;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;1.1;0.08;0.14;0.22;0.08;0.22;Matches
200;Rune Jarstein\Rune-Jarstein;no NOR;GK;Hertha BSC;34;1984;21;21;1827;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.00;0.01;0.01;0.00;0.01;Matches
201;Dennis Jastrzembski\Dennis-Jastrzembski;de GER;DFFW;Paderborn 07;19;2000;3;0;95;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.09;0.10;0.19;0.09;0.19;Matches
202;Tin Jedvaj\Tin-Jedvaj;hr CRO;DF;Augsburg;23;1995;23;23;2024;1;0;0;0;4;0;0.04;0.00;0.04;0.04;0.04;0.5;0.5;0.2;0.02;0.01;0.03;0.02;0.03;Matches
203;Fredrik Jensen\Fredrik-Jensen;fi FIN;FWMF;Augsburg;21;1997;10;5;456;1;0;0;0;0;0;0.20;0.00;0.20;0.20;0.20;0.4;0.4;0.1;0.08;0.01;0.10;0.08;0.10;Matches
204;Fabian Johnson\Fabian-Johnson;us USA;MFDF;M'gladbach;31;1987;6;3;271;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.05;0.05;0.00;0.05;Matches
205;Dejan Joveljić\Dejan-Joveljic;rs SRB;FW;Eint Frankfurt;19;1999;4;2;148;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
206;Mathias Jørgensen\Mathias-Jorgensen;dk DEN;DF;Düsseldorf;29;1990;4;1;174;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
207;Ozan Kabak\Ozan-Kabak;tr TUR;DF;Schalke 04;19;2000;19;14;1189;3;1;0;0;1;0;0.23;0.08;0.30;0.23;0.30;1.4;1.4;0.1;0.10;0.00;0.11;0.10;0.11;Matches
208;Pavel Kadeřábek\Pavel-Kaderabek;cz CZE;DFMF;Hoffenheim;27;1992;21;20;1739;2;3;0;0;2;0;0.10;0.16;0.26;0.10;0.26;1.9;1.9;1.7;0.10;0.09;0.19;0.10;0.19;Matches
209;Florian Kainz\Florian-Kainz;at AUT;FWMF;Köln;26;1992;19;9;1004;2;6;0;0;2;0;0.18;0.54;0.72;0.18;0.72;1.6;1.6;5.2;0.14;0.47;0.61;0.14;0.61;Matches
210;Salomon Kalou\Salomon-Kalou;ci CIV;FWMF;Hertha BSC;33;1985;5;1;143;1;0;0;0;0;0;0.63;0.00;0.63;0.63;0.63;1.2;1.2;0.2;0.78;0.14;0.92;0.78;0.92;Matches
211;Daichi Kamada\Daichi-Kamada;jp JPN;MFFW;Eint Frankfurt;22;1996;18;13;1202;0;2;0;0;3;0;0.00;0.15;0.15;0.00;0.15;2.6;2.6;1.5;0.20;0.11;0.31;0.20;0.31;Matches
212;Kevin Kampl\Kevin-Kampl;si SVN;MF;RB Leipzig;28;1990;4;2;194;1;0;0;0;0;0;0.46;0.00;0.46;0.46;0.46;0.1;0.1;0.4;0.03;0.20;0.22;0.03;0.22;Matches
213;Kenan Karaman\Kenan-Karaman;tr TUR;FWMF;Düsseldorf;25;1994;10;7;585;3;1;0;0;2;0;0.46;0.15;0.62;0.46;0.62;1.4;1.4;1.3;0.22;0.19;0.41;0.22;0.41;Matches
214;Mamoudou Karamoko\Mamoudou-Karamoko;fr FRA;MF;Wolfsburg;20;1999;1;0;8;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
215;Florian Kastenmeier\Florian-Kastenmeier;de GER;GK;Düsseldorf;23;1996;7;7;630;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
216;Noah Katterbach\Noah-Katterbach;de GER;DF;Köln;18;2001;12;12;882;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.4;0.01;0.04;0.05;0.01;0.05;Matches
217;Yannik Keitel\Yannik-Keitel;de GER;MF;Freiburg;19;2000;1;0;45;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
218;Jonjoe Kenny\Jonjoe-Kenny;eng ENG;DF;Schalke 04;22;1997;22;22;1963;1;2;0;0;4;0;0.05;0.09;0.14;0.05;0.14;0.4;0.4;1.0;0.02;0.04;0.06;0.02;0.06;Matches
219;Rani Khedira\Rani-Khedira;de GER;MFDF;Augsburg;25;1994;23;23;1890;0;2;0;0;7;0;0.00;0.10;0.10;0.00;0.10;0.3;0.3;0.8;0.01;0.04;0.05;0.01;0.05;Matches
220;Luca Kilian\Luca-Kilian;de GER;DF;Paderborn 07;19;1999;13;13;1170;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.01;0.01;0.02;0.01;0.02;Matches
221;Joshua Kimmich\Joshua-Kimmich;de GER;MFDF;Bayern Munich;24;1995;23;23;2006;2;4;0;0;6;0;0.09;0.18;0.27;0.09;0.27;0.9;0.9;5.7;0.04;0.26;0.30;0.04;0.30;Matches
222;Davy Klaassen\Davy-Klaassen;nl NED;MF;Werder Bremen;26;1993;23;23;2070;3;3;1;3;4;0;0.13;0.13;0.26;0.09;0.22;5.1;2.8;2.0;0.22;0.09;0.31;0.12;0.21;Matches
223;Felix Klaus\Felix-Klaus;de GER;FWMF;Wolfsburg;26;1992;17;5;483;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1.5;1.5;1.0;0.29;0.19;0.48;0.29;0.48;Matches
224;Lukas Klostermann\Lukas-Klostermann;de GER;DF;RB Leipzig;23;1996;22;22;1880;2;1;0;0;0;0;0.10;0.05;0.14;0.10;0.14;2.4;2.4;1.6;0.11;0.08;0.19;0.11;0.19;Matches
225;Lukas Klünter\Lukas-Klunter;de GER;DF;Hertha BSC;23;1996;19;19;1710;0;2;0;0;3;0;0.00;0.11;0.11;0.00;0.11;0.0;0.0;1.8;0.00;0.10;0.10;0.00;0.10;Matches
226;Robin Knoche\Robin-Knoche;de GER;DF;Wolfsburg;27;1992;17;16;1461;1;0;0;0;2;0;0.06;0.00;0.06;0.06;0.06;0.5;0.5;0.1;0.03;0.01;0.04;0.03;0.04;Matches
227;Robin Koch\Robin-Koch;de GER;DFMF;Freiburg;23;1996;23;23;2008;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1.8;1.8;1.5;0.08;0.07;0.15;0.08;0.15;Matches
228;Dominik Kohr\Dominik-Kohr;de GER;MF;Eint Frankfurt;25;1994;16;9;841;0;2;0;0;4;1;0.00;0.21;0.21;0.00;0.21;0.8;0.8;0.5;0.09;0.06;0.15;0.09;0.15;Matches
229;Ibrahima Konaté\Ibrahima-Konate;fr FRA;DF;RB Leipzig;20;1999;5;5;450;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.01;0.01;0.02;0.01;0.02;Matches
