"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
223;Vedad Ibišević\Vedad-Ibisevic;ba BIH;FW;Hertha BSC;34;1984;15;701;47;32.5;7.8;8;75;7;14;9;1.20;13;16;-3;-0.39;+0.42;8.1;12.6;-4.5;-0.57;-0.25;Matches
224;Luc Ihorst\Luc-Ihorst;de GER;FW;Werder Bremen;19;2000;1;10;10;0.5;0.1;0;;1;10;1;0.00;0;1;-1;-9.00;-7.82;0.3;0.4;-0.2;-1.42;-1.08;Matches
225;Stefan Ilsanker\Stefan-Ilsanker;at AUT;MFDF;Eint Frankfurt;30;1989;3;225;75;10.9;2.5;2;90;1;45;0;1.33;6;5;+1;+0.40;+0.40;3.2;2.1;+1.1;+0.44;+0.40;Matches
226;Stefan Ilsanker\Stefan-Ilsanker;at AUT;DF;RB Leipzig;30;1989;6;418;70;19.4;4.6;5;83;1;4;12;3.00;15;5;+10;+2.15;+0.81;12.6;4.2;+8.4;+1.81;+0.97;Matches
227;Marcus Ingvartsen\Marcus-Ingvartsen;dk DEN;FWMF;Union Berlin;23;1996;19;1195;63;55.3;13.3;14;78;5;22;3;1.42;18;18;0;0.00;+0.65;15.7;16.6;-0.9;-0.07;+0.88;Matches
228;Gian-Luca Itter\Gian-Luca-Itter;de GER;DF;Freiburg;20;1999;0;;;;;0;;0;;11;;;;;;;;;;;;Matches
229;Frederik Jäkel\Frederik-Jakel;de GER;DF;RB Leipzig;18;2001;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
230;Ismail Jakobs\Ismail-Jakobs;de GER;FWDF;Köln;19;1999;13;1126;87;52.1;12.5;13;87;0;;0;1.92;29;20;+9;+0.72;+1.94;21.0;17.5;+3.4;+0.27;+0.51;Matches
231;Laurent Jans\Laurent-Jans;lu LUX;DF;Paderborn 07;26;1992;16;1256;79;55.8;14.0;15;81;1;45;9;0.75;17;26;-9;-0.64;+0.71;16.7;25.6;-8.9;-0.64;+0.30;Matches
232;Tony Jantschke\Tony-Jantschke;de GER;DF;M'gladbach;29;1990;11;750;68;36.2;8.3;9;78;2;24;7;2.27;17;8;+9;+1.08;+0.40;20.8;12.0;+8.9;+1.06;+0.72;Matches
233;Rune Jarstein\Rune-Jarstein;no NOR;GK;Hertha BSC;34;1984;21;1827;87;84.6;20.3;21;87;0;;1;1.19;24;37;-13;-0.64;+0.17;21.6;31.4;-9.7;-0.48;-0.48;Matches
234;Dennis Jastrzembski\Dennis-Jastrzembski;de GER;DFFW;Paderborn 07;19;2000;3;95;32;4.2;1.1;0;;3;32;2;0.33;2;2;0;0.00;+1.00;1.6;2.6;-1.0;-0.93;-0.17;Matches
235;Tin Jedvaj\Tin-Jedvaj;hr CRO;DF;Augsburg;23;1995;23;2024;88;93.7;22.5;23;88;0;;0;1.17;35;40;-5;-0.22;+5.73;32.0;34.0;-2.0;-0.09;+2.56;Matches
236;Tin Jedvaj\Tin-Jedvaj;hr CRO;DF;Leverkusen;23;1995;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
237;Fredrik Jensen\Fredrik-Jensen;fi FIN;FWMF;Augsburg;21;1997;10;456;46;21.1;5.1;5;77;5;14;6;1.10;13;13;0;0.00;+0.74;10.0;10.5;-0.4;-0.09;+0.21;Matches
238;Fabian Johnson\Fabian-Johnson;us USA;MFDF;M'gladbach;31;1987;6;271;45;13.1;3.0;3;81;3;10;4;1.83;5;4;+1;+0.33;-0.57;4.8;4.0;+0.8;+0.25;-0.41;Matches
239;Dejan Joveljić\Dejan-Joveljic;rs SRB;FW;Eint Frankfurt;19;1999;4;148;37;7.1;1.6;2;68;2;7;12;1.00;2;4;-2;-1.22;-1.36;1.7;2.0;-0.2;-0.15;-0.26;Matches
240;Mathias Jørgensen\Mathias-Jorgensen;dk DEN;DF;Düsseldorf;29;1990;4;174;44;8.1;1.9;1;90;3;28;0;1.25;1;6;-5;-2.59;-1.77;1.9;6.1;-4.2;-2.19;-1.41;Matches
241;Ozan Kabak\Ozan-Kabak;tr TUR;DF;Schalke 04;19;2000;19;1189;63;55.0;13.2;14;82;5;9;3;1.47;17;24;-7;-0.53;-0.90;13.6;24.0;-10.4;-0.79;-1.08;Matches
242;Julius Kade\Julius-Kade;de GER;MF;Union Berlin;20;1999;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
243;Pavel Kadeřábek\Pavel-Kaderabek;cz CZE;DFMF;Hoffenheim;27;1992;21;1739;83;80.5;19.3;20;86;1;12;3;1.57;29;30;-1;-0.05;+1.44;28.1;29.3;-1.2;-0.06;+1.11;Matches
244;Florian Kainz\Florian-Kainz;at AUT;FWMF;Köln;26;1992;19;1004;53;46.5;11.2;9;81;10;27;2;1.21;23;21;+2;+0.18;+0.72;20.3;15.6;+4.7;+0.42;+0.72;Matches
245;Salomon Kalou\Salomon-Kalou;ci CIV;FWMF;Hertha BSC;33;1985;5;143;29;6.6;1.6;1;70;4;18;12;0.00;2;4;-2;-1.26;-0.63;2.8;3.1;-0.3;-0.19;+0.23;Matches
246;Daichi Kamada\Daichi-Kamada;jp JPN;MFFW;Eint Frankfurt;22;1996;18;1202;67;58.1;13.4;13;81;5;29;4;0.89;18;21;-3;-0.22;-0.64;18.3;17.7;+0.7;+0.05;-0.10;Matches
247;Kevin Kampl\Kevin-Kampl;si SVN;MF;RB Leipzig;28;1990;4;194;49;9.0;2.2;2;72;2;26;3;2.50;8;2;+6;+2.78;+1.41;5.3;2.3;+3.0;+1.38;+0.39;Matches
248;Rifet Kapić\Rifet-Kapic;ba BIH;MF;Paderborn 07;24;1995;0;;;;;0;;0;;12;;;;;;;;;;;;Matches
249;Stefanos Kapino\Stefanos-Kapino;gr GRE;GK;Werder Bremen;25;1994;0;;;;;0;;0;;22;;;;;;;;;;;;Matches
250;Kenan Karaman\Kenan-Karaman;tr TUR;FWMF;Düsseldorf;25;1994;10;585;59;27.1;6.5;7;77;3;14;0;1.10;11;9;+2;+0.31;+1.74;6.2;10.8;-4.6;-0.71;+0.24;Matches
251;Mamoudou Karamoko\Mamoudou-Karamoko;fr FRA;MF;Wolfsburg;20;1999;1;8;8;0.4;0.1;0;;1;8;1;3.00;0;0;0;0.00;-0.17;0.2;0.0;+0.2;+2.46;+2.10;Matches
252;Lino Kasten\Lino-Kasten;de GER;GK;Wolfsburg;18;2001;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
253;Florian Kastenmeier\Florian-Kastenmeier;de GER;GK;Düsseldorf;23;1996;7;630;90;29.2;7.0;7;90;0;;17;0.86;8;13;-5;-0.71;+0.34;6.6;13.0;-6.4;-0.91;-0.03;Matches
254;Noah Katterbach\Noah-Katterbach;de GER;DF;Köln;18;2001;12;882;74;40.8;9.8;12;74;0;;0;1.58;17;16;+1;+0.10;+0.52;14.5;12.9;+1.5;+0.15;+0.21;Matches
