id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Matches
136;Vladimir Ilyin\Vladimir-Ilyin;ru RUS;FW;Akhmat Grozny;27;1992;1.0;0;0;0;0;0;1;0;0;0;;;0;Matches
137;Aleksei Ionov\Aleksei-Ionov;ru RUS;MFFW;Rostov;30;1989;17.7;0;0;0;8;7;10;50;7;6;;;0;Matches
138;Oleg Ivanov\Oleg-Ivanov;ru RUS;MFFW;Akhmat Grozny;32;1986;16.2;4;0;0;22;30;2;14;14;6;;;0;Matches
139;Branislav Ivanović\Branislav-Ivanovic;rs SRB;DF;Zenit;35;1984;19.7;4;0;0;9;12;1;5;10;19;;;0;Matches
140;Darko Jevtić\Darko-Jevtic;ch SUI;MF;Rubin Kazan;26;1993;0.8;0;0;0;1;0;0;3;0;0;;;0;Matches
141;Joãozinho\Joaozinho;br BRA;MF;Dynamo Mosc;30;1988;9.4;3;0;0;11;18;5;36;12;4;;;0;Matches
142;Bojan Jokić\Bojan-Jokic;si SVN;DF;Ufa;33;1986;10.2;3;0;0;8;10;0;27;11;10;;;0;Matches
143;Othman El Kabir\Othman-El-Kabir;nl NED;MF;Ural;28;1991;13.2;2;0;0;16;19;4;106;10;15;;;0;Matches
144;Charles Kaboré\Charles-Kabore;bf BFA;MF;Dynamo Mosc;31;1988;12.6;9;1;1;25;16;1;6;24;20;;;0;Matches
145;Dmitri Kabutov\Dmitri-Kabutov;ru RUS;MF;Samara;27;1992;14.3;4;0;0;28;34;0;107;8;14;;;0;Matches
146;Nikita Kalugin\Nikita-Kalugin;ru RUS;DF;Sochi;21;1998;12.9;2;0;0;17;5;1;10;24;41;;;1;Matches
147;Ruslan Kambolov\Ruslan-Kambolov;ru RUS;MF;Krasnodar;29;1990;10.0;3;0;0;21;18;0;3;17;29;;;0;Matches
148;Evans Kangwa\Evans-Kangwa;zm ZAM;FWMF;Arsenal Tula;26;1992;8.1;2;0;0;13;12;1;9;6;0;;;0;Matches
149;Kings Kangwa\Kings-Kangwa;zm ZAM;MF;Arsenal Tula;20;1999;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
150;Maksim Kanunnikov\Maksim-Kanunnikov;ru RUS;MF;Samara;28;1991;12.5;1;0;0;19;42;1;24;15;10;;;0;Matches
151;Oleksandr Kapliyenko\Oleksandr-Kapliyenko;ua UKR;DF;Tambov;23;1996;1.0;0;0;0;3;0;0;3;3;4;;;0;Matches
152;Aleksandre Karapetian\Aleksandre-Karapetian;am ARM;FW;Sochi;31;1987;4.7;2;0;0;9;4;2;0;1;0;;;0;Matches
153;Pavel Karasyov\Pavel-Karasyov;ru RUS;MF;Tambov;27;1992;15.4;3;0;0;23;15;1;47;26;29;;;0;Matches
154;Vyacheslav Karavayev\Vyacheslav-Karavayev;ru RUS;DFMF;Zenit;24;1995;9.7;3;0;0;8;1;0;42;16;9;;;0;Matches
155;Maksim Karpov\Maksim-Karpov;ru RUS;DF;Samara;24;1995;17.9;3;1;0;25;8;0;3;21;39;;;0;Matches
156;Vadim Karpov\Vadim-Karpov;ru RUS;DF;CSKA Moscow;17;2002;8.3;2;0;0;14;6;0;1;10;10;;;0;Matches
157;Yan Kazayev\Yan-Kazayev;ru RUS;MF;Sochi;27;1991;3.0;0;0;0;3;8;0;4;1;0;;;0;Matches
158;Mikhail Kerzhakov\Mikhail-Kerzhakov;ru RUS;GK;Zenit;32;1987;8.0;0;0;0;0;4;0;0;0;1;;;0;Matches
159;Anri Khagush\Anri-Khagush;ru RUS;DF;Arsenal Tula;32;1986;1.4;0;0;0;3;2;0;2;1;1;;;0;Matches
160;Evgenii Kharin\Evgenii-Kharin;ee EST;MFDF;Akhmat Grozny;24;1995;12.2;6;0;0;28;18;0;26;19;21;;;0;Matches
161;Khetag Khosonov\Khetag-Khosonov;ru RUS;MF;Tambov;21;1998;0.9;1;0;0;1;1;0;5;3;0;;;0;Matches
162;Anton Kilin\Anton-Kilin;ru RUS;DFMF;Tambov;28;1990;13.8;3;0;0;13;23;6;17;14;16;;;0;Matches
163;Nikolai Kipiani\Nikolai-Kipiani;ru RUS;FW;Rubin Kazan;22;1997;0.5;0;0;0;1;2;0;1;0;0;;;0;Matches
164;Danil Klenkin\Danil-Klenkin;ru RUS;MF;Tambov;29;1990;1.4;0;0;0;1;9;1;1;0;0;;;0;Matches
165;Andrey Klimovich\Andrey-Klimovich;by BLR;GK;Orenburg;30;1988;11.0;0;0;0;1;3;0;0;0;0;;;0;Matches
