id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Matches
22;Hasan Ali Kaldırım\Hasan-Ali-Kaldirim;tr TUR;DF;Fenerbahçe;29;1989;7.9;2;0;0;4;8;2;21;5;11;;;0;Matches
23;Ömer Ali Şahiner\Omer-Ali-Sahiner;tr TUR;MFFW;Konyaspor;27;1992;20.8;4;1;1;33;16;7;53;16;16;;;0;Matches
24;Barış Alıcı\Baris-Alici;tr TUR;MF;Rizespor;22;1997;1.5;0;0;0;1;6;0;5;0;0;;;0;Matches
25;Ziya Alkurt\Ziya-Alkurt;tr TUR;MF;Kayserispor;28;1990;7.8;0;0;0;4;10;4;20;8;7;;;0;Matches
26;Harun Alpsoy\Harun-Alpsoy;ch SUI;MF;Antalyaspor;22;1997;0.4;0;0;0;0;0;0;1;0;0;;;0;Matches
27;Gökhan Alsan\Gokhan-Alsan;tr TUR;MF;Gaziantep FK;29;1990;0.1;0;0;0;0;0;0;0;0;0;;;0;Matches
28;Emircan Altıntaş\Emircan-Altintas;tr TUR;MF;Alanyaspor;24;1995;0.2;0;0;0;1;0;0;2;0;0;;;0;Matches
29;Hüseyin Altıntaş\Huseyin-Altintas;tr TUR;GK;Denizlispor;24;1994;0.0;1;0;0;0;0;0;0;0;0;;;0;Matches
30;Amilton\Amilton;br BRA;MFFW;Antalyaspor;29;1989;14.0;2;0;0;18;23;8;73;12;8;;;0;Matches
31;Florin Andone\Florin-Andone;ro ROU;FW;Galatasaray;26;1993;5.1;1;0;0;14;6;7;2;6;1;;;0;Matches
32;Diego Ângelo\Diego-Angelo;br BRA;DF;Antalyaspor;33;1986;14.9;3;1;1;11;11;0;3;14;24;;;0;Matches
33;Diego Ângelo\Diego-Angelo;br BRA;DF;Kayserispor;33;1986;5.0;1;0;0;3;0;0;3;8;4;;;0;Matches
34;Marin Aničić\Marin-Anicic;ba BIH;DF;Konyaspor;29;1989;20.0;4;0;0;12;5;0;1;10;15;;;0;Matches
35;Taylan Antalyalı\Taylan-Antalyali;tr TUR;MF;Galatasaray;24;1995;2.8;0;0;0;7;7;0;1;3;1;;;0;Matches
36;Aaron Appindangoyé\Aaron-Appindangoye;ga GAB;DF;Sivasspor;27;1992;24.0;3;0;0;14;5;0;0;12;34;;;0;Matches
37;Hakan Arslan\Hakan-Arslan;tr TUR;MF;Sivasspor;31;1988;23.0;6;0;0;41;37;1;2;34;38;;;0;Matches
38;Tolgay Arslan\Tolgay-Arslan;de GER;MF;Fenerbahçe;28;1990;0.9;1;0;0;6;3;0;2;2;1;;;0;Matches
39;Muhammet Arslantaş\Muhammet-Arslantas;tr TUR;FW;Başakşehir;18;2001;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
40;Serkan Asan\Serkan-Asan;tr TUR;DF;Trabzonspor;20;1999;1.4;1;0;0;3;3;0;2;6;4;;;0;Matches
41;Kerem Atakan Kesgin\Kerem-Atakan-Kesgin;tr TUR;MF;Göztepe;18;2000;0.1;0;0;0;1;0;0;0;0;0;;;0;Matches
42;Donis Avdijaj\Donis-Avdijaj;xk KVX;MF;Trabzonspor;22;1996;2.7;1;0;0;8;5;1;6;2;3;;;0;Matches
