"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
37;Kwadwo Asamoah\Kwadwo-Asamoah;gh GHA;DF;it Inter;30;1988;3;3;260;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.02;0.02;0.00;0.02;Matches
38;Majeed Ashimeru\Majeed-Ashimeru;gh GHA;MFFW;at RB Salzburg;21;1997;4;0;63;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.02;0.02;0.00;0.02;Matches
39;Iyayi Atiemwen\Iyayi-Atiemwen;ng NGA;FW;hr Dinamo Zagreb;23;1996;1;0;6;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
40;Serge Aurier\Serge-Aurier;ci CIV;DF;eng Tottenham;26;1992;4;4;360;1;2;0;0;0;0;0.25;0.50;0.75;0.25;0.75;0.1;0.1;1.6;0.03;0.39;0.43;0.03;0.43;Matches
41;Sardar Azmoun\Sardar-Azmoun;ir IRN;FW;ru Zenit;24;1995;6;6;466;2;0;0;0;1;0;0.39;0.00;0.39;0.39;0.39;3.1;3.1;0.1;0.60;0.01;0.62;0.60;0.62;Matches
42;César Azpilicueta\Cesar-Azpilicueta;es ESP;DF;eng Chelsea;29;1989;7;7;613;2;0;0;0;2;0;0.29;0.00;0.29;0.29;0.29;1.2;1.2;0.6;0.18;0.09;0.27;0.18;0.27;Matches
43;Ryan Babel\Ryan-Babel;nl NED;FW;tr Galatasaray;32;1986;4;4;334;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.3;0.15;0.09;0.24;0.15;0.24;Matches
44;Leon Bailey\Leon-Bailey;jm JAM;FWMF;de Leverkusen;21;1997;3;2;114;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.3;0.02;0.24;0.26;0.02;0.26;Matches
45;Gareth Bale\Gareth-Bale;wal WAL;FW;es Real Madrid;30;1989;3;1;115;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.0;0.31;0.00;0.31;0.31;0.31;Matches
46;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;de Dortmund;20;1999;1;0;7;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
47;Jonathan Bamba\Jonathan-Bamba;fr FRA;FWMF;fr Lille;23;1996;6;3;280;0;2;0;0;0;0;0.00;0.64;0.64;0.00;0.64;0.7;0.7;1.2;0.24;0.38;0.63;0.24;0.63;Matches
48;Nicolò Barella\Nicolo-Barella;it ITA;MF;it Inter;22;1997;4;3;289;1;0;0;0;2;0;0.31;0.00;0.31;0.31;0.31;0.3;0.3;0.0;0.10;0.00;0.10;0.10;0.10;Matches
49;Dmitri Barinov\Dmitri-Barinov;ru RUS;MF;ru Loko Moscow;22;1996;5;5;450;1;0;0;0;3;0;0.20;0.00;0.20;0.20;0.20;0.4;0.4;0.1;0.07;0.02;0.09;0.07;0.09;Matches
50;Ross Barkley\Ross-Barkley;eng ENG;FWMF;eng Chelsea;25;1993;2;1;71;0;0;0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.8;0.0;0.0;1.00;0.00;1.00;0.04;0.04;Matches
51;Wílmar Barrios\Wilmar-Barrios;co COL;MF;ru Zenit;25;1993;6;6;540;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.01;0.01;0.01;0.01;0.01;Matches
52;Musa Barrow\Musa-Barrow;gm GAM;FW;it Atalanta;20;1998;1;0;2;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
53;Michy Batshuayi\Michy-Batshuayi;be BEL;FW;eng Chelsea;25;1993;4;0;85;1;0;0;0;0;0;1.06;0.00;1.06;1.06;1.06;1.6;1.6;0.1;1.73;0.14;1.86;1.73;1.86;Matches
54;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;de Leverkusen;31;1988;6;3;345;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.02;0.01;0.03;0.02;0.03;Matches
55;Ömer Bayram\Omer-Bayram;tr TUR;FWMF;tr Galatasaray;28;1991;5;2;251;0;1;0;0;0;0;0.00;0.36;0.36;0.00;0.36;0.1;0.1;0.5;0.05;0.18;0.23;0.05;0.23;Matches
56;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;nl Ajax;22;1997;5;5;448;2;1;0;0;1;0;0.40;0.20;0.60;0.40;0.60;1.0;1.0;1.0;0.21;0.20;0.41;0.21;0.41;Matches
57;Younès Belhanda\Younes-Belhanda;ma MAR;MF;tr Galatasaray;29;1990;4;4;306;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.4;0.11;0.11;0.22;0.11;0.22;Matches
