id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
63;Yassine Benzia\Yassine-Benzia;dz ALG;MF;gr Olympiacos;24;1994;0.9;2;1;1;3;6;0;1;4;0;0;0;0;1;1;100.0;1;0;7;10;70.0;3;Matches
64;Sander Berge\Sander-Berge;no NOR;MF;be Genk;21;1998;6.0;0;0;0;3;3;1;9;7;7;0;0;0;9;12;75.0;10;0;12;21;57.1;9;Matches
65;Steven Bergwijn\Steven-Bergwijn;nl NED;MFFW;eng Tottenham;21;1997;1.0;0;0;0;1;1;0;0;1;0;0;0;0;2;3;66.7;3;1;1;1;100.0;0;Matches
66;Federico Bernardeschi\Federico-Bernardeschi;it ITA;MF;it Juventus;25;1994;2.1;0;0;0;1;5;0;7;1;0;0;0;0;3;7;42.9;4;0;1;2;50.0;1;Matches
67;Juan Bernat\Juan-Bernat;es ESP;DF;fr Paris S-G;26;1993;5.8;1;0;0;3;8;1;6;7;6;0;0;0;13;18;72.2;13;0;12;26;46.2;14;Matches
68;Antoine Bernede\Antoine-Bernede;fr FRA;MF;at RB Salzburg;20;1999;1.0;1;0;0;1;0;0;0;2;0;0;0;0;0;1;0.0;1;0;2;7;28.6;5;Matches
69;Cristiano Biraghi\Cristiano-Biraghi;it ITA;DF;it Inter;26;1992;2.5;1;0;0;2;1;0;15;2;3;0;0;0;0;0;;0;0;5;5;100.0;0;Matches
70;Daley Blind\Daley-Blind;nl NED;DF;nl Ajax;29;1990;4.7;3;1;1;5;3;0;3;5;5;0;0;0;3;3;100.0;3;0;9;13;69.2;4;Matches
71;Richmond Boakye\Richmond-Boakye;gh GHA;FW;rs Red Star;26;1993;2.1;1;0;0;2;8;0;0;0;0;0;0;0;5;5;100.0;5;0;1;2;50.0;1;Matches
72;Jérôme Boateng\Jerome-Boateng;de GER;DF;de Bayern Munich;30;1988;4.1;0;0;0;2;1;0;2;3;6;0;0;0;0;1;0.0;0;0;3;3;100.0;0;Matches
73;Serhiy Bolbat\Serhiy-Bolbat;ua UKR;DF;ua Shakhtar;26;1993;2.7;2;0;0;5;7;0;1;5;4;0;0;0;2;6;33.3;2;0;7;12;58.3;5;Matches
74;Theo Bongonda\Theo-Bongonda;be BEL;MFFW;be Genk;23;1995;2.9;1;0;0;2;7;1;16;2;0;0;0;0;10;15;66.7;11;0;6;9;66.7;3;Matches
75;Leonardo Bonucci\Leonardo-Bonucci;it ITA;DF;it Juventus;32;1987;6.0;1;0;0;4;5;0;2;2;5;0;0;0;3;3;100.0;3;0;2;4;50.0;2;Matches
76;Neto Borges\Neto-Borges;br BRA;DF;be Genk;22;1996;0.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
77;Jan Bořil\Jan-Boril;cz CZE;DF;cz Slavia Prague;28;1991;6.0;2;0;0;11;7;1;10;2;7;0;0;0;5;9;55.6;5;0;6;19;31.6;13;Matches
78;Milan Borjan\Milan-Borjan;ca CAN;GK;rs Red Star;31;1987;6.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
79;Andreas Bouchalakis\Andreas-Bouchalakis;gr GRE;MF;gr Olympiacos;26;1993;5.4;1;0;0;7;1;0;1;7;10;0;0;0;2;3;66.7;2;0;9;15;60.0;6;Matches
80;Domagoj Bradarić\Domagoj-Bradaric;hr CRO;DF;fr Lille;19;1999;3.0;1;0;0;3;2;0;15;2;2;0;0;0;4;9;44.4;4;0;6;11;54.5;5;Matches
81;Julian Brandt\Julian-Brandt;de GER;MFFW;de Dortmund;23;1996;5.2;1;0;0;4;1;2;4;3;2;0;0;0;13;16;81.3;15;1;6;18;33.3;12;Matches
82;Erling Braut Håland\Erling-Braut-Haland;no NOR;FW;at RB Salzburg;19;2000;4.2;1;0;0;7;1;2;3;1;1;0;0;0;6;11;54.5;6;1;1;8;12.5;7;Matches
83;Erling Braut Håland\Erling-Braut-Haland;no NOR;FW;de Dortmund;19;2000;1.0;0;0;0;3;0;0;0;4;1;0;0;0;4;6;66.7;5;0;4;5;80.0;1;Matches
84;Claudio Bravo\Claudio-Bravo;cl CHI;GK;eng Manchester City;36;1983;1.4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
85;Marcelo Brozović\Marcelo-Brozovic;hr CRO;MF;it Inter;26;1992;5.8;1;0;0;9;7;0;4;10;11;0;0;0;9;11;81.8;9;0;16;29;55.2;13;Matches
86;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;FW;de Dortmund;20;1998;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;0;0;0;0;;0;Matches
87;Gianluigi Buffon\Gianluigi-Buffon;it ITA;GK;it Juventus;41;1978;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
88;Mick van Buren\Mick-van-Buren;nl NED;FW;cz Slavia Prague;26;1992;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0;1;0;0;0;;0;Matches
89;Roman Bürki\Roman-Burki;ch SUI;GK;de Dortmund;28;1990;7.0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
90;Sergio Busquets\Sergio-Busquets;es ESP;MF;es Barcelona;31;1988;4.9;3;0;0;7;8;0;0;9;14;0;0;0;2;4;50.0;3;0;14;21;66.7;7;Matches
91;Adem Büyük\Adem-Buyuk;tr TUR;FW;tr Galatasaray;31;1987;1.0;0;0;0;2;6;0;0;0;0;0;0;0;1;1;100.0;1;0;0;2;0.0;2;Matches
92;Willy Caballero\Willy-Caballero;ar ARG;GK;eng Chelsea;37;1981;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
93;Mattia Caldara\Mattia-Caldara;it ITA;DF;it Atalanta;25;1994;0.8;0;0;0;2;1;0;0;1;1;0;0;0;0;0;;0;0;1;3;33.3;2;Matches
94;José Callejón\Jose-Callejon;es ESP;MF;it Napoli;32;1987;5.6;0;0;0;4;9;0;22;3;2;2;0;0;0;2;0.0;0;0;3;8;37.5;5;Matches
95;Mohamed Camara\Mohamed-Camara;gn GUI;MF;gr Olympiacos;22;1997;4.6;1;0;0;6;10;0;3;5;5;0;0;0;11;12;91.7;11;0;7;15;46.7;8;Matches
96;Emre Can\Emre-Can;de GER;MF;de Dortmund;25;1994;1.0;0;0;0;3;0;0;0;0;0;0;0;0;5;8;62.5;5;0;0;4;0.0;4;Matches
97;José Cañas\Jose-Canas;es ESP;MF;rs Red Star;32;1987;3.5;0;0;0;1;5;0;0;4;4;0;0;0;1;3;33.3;2;0;5;18;27.8;13;Matches
98;João Cancelo\Joao-Cancelo;pt POR;DF;eng Manchester City;25;1994;4.3;1;0;0;4;1;0;9;9;8;0;0;0;9;14;64.3;10;1;13;19;68.4;6;Matches
99;Antonio Candreva\Antonio-Candreva;it ITA;DF;it Inter;32;1987;4.3;2;0;0;3;6;1;16;1;4;0;0;0;7;8;87.5;7;0;5;9;55.6;4;Matches
100;Carlos\Carlos;br BRA;FW;pt Benfica;24;1995;3.6;0;0;0;1;3;3;3;2;0;0;0;0;2;3;66.7;2;0;3;7;42.9;4;Matches
101;Dani Carvajal\Dani-Carvajal;es ESP;DF;es Real Madrid;27;1992;6.0;1;0;0;6;6;0;19;11;6;0;1;0;3;9;33.3;4;0;19;33;57.6;14;Matches
102;Casemiro\Casemiro;br BRA;MF;es Real Madrid;27;1992;6.7;1;0;0;10;8;1;5;17;8;0;0;0;6;6;100.0;6;0;25;43;58.1;18;Matches
103;Timothy Castagne\Timothy-Castagne;be BEL;DF;it Atalanta;23;1995;4.3;1;0;0;8;2;0;11;2;1;0;0;0;3;4;75.0;3;0;6;13;46.2;7;Matches
104;Edinson Cavani\Edinson-Cavani;uy URU;FW;fr Paris S-G;32;1987;0.4;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0.0;0;0;1;2;50.0;1;Matches
105;Zeki Çelik\Zeki-Celik;tr TUR;DF;fr Lille;22;1997;6.0;2;0;0;9;6;0;16;8;12;0;0;0;5;11;45.5;6;0;15;21;71.4;6;Matches
106;Murilo Cerqueira\Murilo-Cerqueira;br BRA;MFDF;ru Loko Moscow;22;1997;4.1;1;0;0;7;4;0;1;7;15;0;0;0;0;0;;0;0;8;24;33.3;16;Matches
107;Franco Cervi\Franco-Cervi;ar ARG;MF;pt Benfica;25;1994;4.4;0;0;0;3;6;1;9;6;3;0;0;0;1;3;33.3;2;0;13;21;61.9;8;Matches
108;Leonardo César Jardim\Leonardo-Cesar-Jardim;br BRA;GK;fr Lille;24;1995;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
109;Rayan Cherki\Rayan-Cherki;fr FRA;MF;fr Lyon;15;2003;0.2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
110;Denis Cheryshev\Denis-Cheryshev;ru RUS;MFFW;es Valencia;28;1990;2.7;0;0;0;3;7;2;7;0;1;0;0;0;2;3;66.7;2;0;1;8;12.5;7;Matches
111;Chiquinho\Chiquinho;pt POR;MFFW;pt Benfica;24;1995;3.0;0;0;0;2;4;0;5;4;3;0;0;0;2;7;28.6;2;0;5;7;71.4;2;Matches
112;Andreas Christensen\Andreas-Christensen;dk DEN;DF;eng Chelsea;23;1996;3.0;0;0;0;1;2;0;0;1;5;0;0;0;0;0;;0;0;4;6;66.7;2;Matches
113;Jasper Cillessen\Jasper-Cillessen;nl NED;GK;es Valencia;30;1989;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
114;Kingsley Coman\Kingsley-Coman;fr FRA;FW;de Bayern Munich;23;1996;4.8;0;0;0;4;7;1;24;4;0;0;1;0;14;24;58.3;15;0;7;15;46.7;8;Matches
115;Dion Cools\Dion-Cools;be BEL;MF;be Club Brugge;23;1996;0.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
116;Francis Coquelin\Francis-Coquelin;fr FRA;MF;es Valencia;28;1991;4.0;1;0;0;3;7;0;0;7;10;0;0;0;5;9;55.6;6;0;9;14;64.3;5;Matches
117;Vedran Ćorluka\Vedran-Corluka;hr CRO;DF;ru Loko Moscow;33;1986;5.8;1;0;0;6;3;1;0;6;13;0;0;0;0;0;;0;0;10;14;71.4;4;Matches
118;Maxwel Cornet\Maxwel-Cornet;ci CIV;MFDF;fr Lyon;22;1996;3.1;1;0;0;4;4;1;14;3;2;0;0;0;8;12;66.7;9;0;5;11;45.5;6;Matches
119;Carlos Coronel\Carlos-Coronel;br BRA;GK;at RB Salzburg;22;1996;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
120;Ángel Correa\Angel-Correa;ar ARG;MFFW;es Atletico Madrid;24;1995;3.8;2;0;0;6;3;1;4;5;5;0;0;0;7;15;46.7;8;0;8;14;57.1;6;Matches
121;Thierry Correia\Thierry-Correia;pt POR;DF;es Valencia;20;1999;0.2;0;0;0;0;0;0;3;1;1;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
122;Diego Costa\Diego-Costa;es ESP;FW;es Atletico Madrid;30;1988;3.7;1;0;0;5;4;2;1;2;0;0;0;0;1;2;50.0;1;0;2;3;66.7;1;Matches
123;Douglas Costa\Douglas-Costa;br BRA;MF;it Juventus;28;1990;0.2;1;0;0;0;1;0;2;1;0;0;0;0;6;7;85.7;7;0;1;1;100.0;0;Matches
124;Jaume Costa\Jaume-Costa;es ESP;DF;es Valencia;31;1988;2.7;1;0;0;4;5;0;3;6;4;0;0;0;0;1;0.0;0;0;9;12;75.0;3;Matches
125;Gaëtan Coucke\Gaetan-Coucke;be BEL;GK;be Genk;20;1998;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
126;Vladimír Coufal\Vladimir-Coufal;cz CZE;DF;cz Slavia Prague;26;1992;6.0;1;0;0;6;3;0;10;8;6;0;0;0;1;3;33.3;2;0;10;16;62.5;6;Matches
127;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;es Real Madrid;27;1992;5.5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;0;0;0;;0;Matches
128;Philippe Coutinho\Philippe-Coutinho;br BRA;MFFW;de Bayern Munich;27;1992;4.9;0;0;0;4;10;1;33;1;2;0;0;0;13;22;59.1;14;0;2;12;16.7;10;Matches
129;Juan Cuadrado\Juan-Cuadrado;co COL;DFFW;it Juventus;31;1988;4.8;3;0;0;7;17;0;15;3;10;0;0;0;10;13;76.9;10;0;7;17;41.2;10;Matches
130;Carlos Cuesta\Carlos-Cuesta;co COL;DFMF;be Genk;20;1999;4.0;0;0;0;3;0;0;0;3;7;0;0;0;2;2;100.0;2;0;11;16;68.8;5;Matches
131;Matheus Cunha\Matheus-Cunha;br BRA;FW;de RB Leipzig;20;1999;0.9;0;0;0;5;0;1;1;1;3;0;0;0;3;4;75.0;3;0;1;4;25.0;3;Matches
132;Danilo D'Ambrosio\Danilo-DAmbrosio;it ITA;DF;it Inter;30;1988;2.0;0;0;0;6;2;1;2;6;4;0;0;0;2;3;66.7;2;2;9;14;64.3;5;Matches
133;Colin Dagba\Colin-Dagba;fr FRA;DF;fr Paris S-G;20;1998;1.0;0;0;0;0;0;1;5;0;2;0;0;0;0;1;0.0;0;0;0;1;0.0;1;Matches
134;Mahmoud Dahoud\Mahmoud-Dahoud;de GER;MFFW;de Dortmund;23;1996;0.3;0;0;0;2;0;0;0;1;1;0;0;0;0;1;0.0;0;0;2;3;66.7;1;Matches
135;Patson Daka\Patson-Daka;zm ZAM;FW;at RB Salzburg;20;1998;2.7;0;0;0;8;2;4;0;4;1;0;0;0;4;9;44.4;5;0;6;7;85.7;1;Matches
136;Danilo\Danilo;br BRA;DF;it Juventus;28;1991;5.0;0;0;0;4;3;0;10;4;9;0;0;0;1;3;33.3;2;0;12;17;70.6;5;Matches
137;Alphonso Davies\Alphonso-Davies;ca CAN;DF;de Bayern Munich;18;2000;4.0;0;0;0;3;2;1;8;10;4;0;0;0;20;25;80.0;21;0;18;24;75.0;6;Matches
138;Ben Davies\Ben-Davies;wal WAL;DF;eng Tottenham;26;1993;3.0;1;0;0;2;1;0;6;0;2;0;1;0;1;1;100.0;1;0;1;3;33.3;2;Matches
139;Kevin De Bruyne\Kevin-De-Bruyne;be BEL;MF;eng Manchester City;28;1991;4.4;1;0;0;4;6;1;34;5;6;0;0;0;13;18;72.2;13;1;7;13;53.8;6;Matches
140;Charles De Ketelaere\Charles-De-Ketelaere;be BEL;MFFW;be Club Brugge;18;2001;1.4;1;0;0;9;2;1;2;1;1;0;0;0;4;5;80.0;4;0;4;7;57.1;3;Matches
141;Mattia De Sciglio\Mattia-De-Sciglio;it ITA;DF;it Juventus;26;1992;2.0;0;0;0;2;2;0;3;2;1;0;0;0;4;5;80.0;4;0;5;7;71.4;2;Matches
142;Miloš Degenek\Milos-Degenek;au AUS;DF;rs Red Star;25;1994;6.0;2;0;0;4;2;0;0;5;13;0;1;0;2;2;100.0;2;0;9;15;60.0;6;Matches
143;Thomas Delaney\Thomas-Delaney;dk DEN;MF;de Dortmund;27;1991;2.7;1;0;0;4;3;0;1;4;3;0;0;0;1;1;100.0;1;0;6;7;85.7;1;Matches
