id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
63;Federico Bonazzoli\Federico-Bonazzoli;it ITA;FW;Sampdoria;22;1997;4.6;1;0;0;10;15;0;7;3;4;0;0;0;23;2;8;20.0;Matches
64;Kevin Bonifazi\Kevin-Bonifazi;it ITA;DF;Torino;23;1996;2.8;0;0;0;4;1;0;0;5;5;0;0;0;24;5;5;50.0;Matches
65;Kevin Bonifazi\Kevin-Bonifazi;it ITA;DF;SPAL;23;1996;5.5;1;0;0;4;0;1;4;9;5;0;1;0;62;6;5;54.5;Matches
66;Leonardo Bonucci\Leonardo-Bonucci;it ITA;DF;Juventus;32;1987;24.7;5;0;0;14;15;0;6;24;12;0;1;0;187;48;31;60.8;Matches
67;Fabio Borini\Fabio-Borini;it ITA;MFFW;Milan;28;1991;0.8;1;0;0;1;2;0;0;0;2;0;0;0;6;0;0;;Matches
68;Fabio Borini\Fabio-Borini;it ITA;FWMF;Hellas Verona;28;1991;4.0;1;0;0;8;15;3;4;7;2;0;0;0;27;7;11;38.9;Matches
69;Mehdi Bourabia\Mehdi-Bourabia;ma MAR;MF;Sassuolo;27;1991;3.1;2;0;0;8;8;0;3;9;6;0;0;1;32;2;7;22.2;Matches
70;Gleison Bremer\Gleison-Bremer;br BRA;DF;Torino;22;1997;12.4;6;2;2;25;12;2;1;35;21;0;2;0;134;34;26;56.7;Matches
71;Marcelo Brozović\Marcelo-Brozovic;hr CRO;MF;Inter;26;1992;22.1;6;0;0;31;15;1;42;32;45;0;0;0;248;17;12;58.6;Matches
72;Gastón Brugman\Gaston-Brugman;uy URU;MF;Parma;26;1992;10.8;2;0;0;21;12;0;11;18;31;0;0;0;114;8;3;72.7;Matches
73;Gianluigi Buffon\Gianluigi-Buffon;it ITA;GK;Juventus;41;1978;7.0;0;0;0;0;1;0;0;0;0;0;0;0;27;0;0;;Matches
74;Fabrizio Cacciatore\Fabrizio-Cacciatore;it ITA;DF;Cagliari;32;1986;11.8;1;1;0;8;8;1;26;13;5;0;0;0;85;11;9;55.0;Matches
75;Martín Cáceres\Martin-Caceres;uy URU;DF;Fiorentina;32;1987;19.4;6;0;0;17;11;0;11;26;30;0;0;0;142;27;20;57.4;Matches
76;Felipe Caicedo\Felipe-Caicedo;ec ECU;FW;Lazio;30;1988;9.6;4;0;0;13;11;6;0;3;16;2;0;0;35;11;28;28.2;Matches
77;Davide Calabria\Davide-Calabria;it ITA;DF;Milan;22;1996;12.1;4;2;1;11;15;1;33;13;11;0;0;0;114;11;8;57.9;Matches
78;Mattia Caldara\Mattia-Caldara;it ITA;DF;Atalanta;25;1994;1.7;0;0;0;4;1;0;0;1;0;0;0;0;23;8;1;88.9;Matches
79;Marco Calderoni\Marco-Calderoni;it ITA;DF;Lecce;30;1989;17.8;6;0;0;22;33;1;83;31;27;0;1;0;106;11;14;44.0;Matches
